Deaths_Race_American_Indian_Alaskan_Native,Deaths_Race_Asian,Deaths_Race_Black,Deaths_Race_Native_Hawaiian_Other_Pacific_Islander,Deaths_Race_Other,Deaths_Race_Unknown,Deaths_Race_White,Parish,Scrape Time
0,0,13,0,1,0,12,Rapides,2020-06-05 20:15:33.579618
0,0,22,0,0,0,22,St. Charles,2020-06-05 20:15:33.579618
0,0,19,0,0,0,6,St. James,2020-06-05 20:15:33.579618
0,0,41,0,0,0,38,St. John the Baptist,2020-06-05 20:15:33.579618
0,0,10,0,0,0,44,St. Landry,2020-06-05 20:15:33.579618
0,1,16,0,0,0,13,St. Mary,2020-06-05 20:15:33.579618
0,1,27,0,0,0,130,St. Tammany,2020-06-05 20:15:33.579618
0,0,12,0,0,0,23,Tangipahoa,2020-06-05 20:15:33.579618
2,0,22,0,0,0,27,Terrebonne,2020-06-05 20:15:33.579618
0,0,19,0,0,1,18,Washington,2020-06-05 20:15:33.579618
0,0,19,0,0,0,11,West Baton Rouge,2020-06-05 20:15:33.579618
0,0,31,0,0,2,23,Ascension,2020-06-06 20:34:16.458794
0,0,15,0,0,0,11,Bossier,2020-06-06 20:34:16.458794
0,0,134,1,0,1,52,Caddo,2020-06-06 20:34:16.458794
0,0,20,0,1,2,26,Calcasieu,2020-06-06 20:34:16.458794
0,6,133,1,0,3,96,East Baton Rouge,2020-06-06 20:34:16.458794
0,0,16,0,0,0,14,East Feliciana,2020-06-06 20:34:16.458794
0,0,11,0,0,0,27,Iberia,2020-06-06 20:34:16.458794
0,1,28,0,0,0,12,Iberville,2020-06-06 20:34:16.458794
0,7,220,2,6,6,209,Jefferson,2020-06-06 20:34:16.458794
0,0,13,0,0,2,11,Lafayette,2020-06-06 20:34:16.458794
0,0,25,0,0,2,45,Lafourche,2020-06-06 20:34:16.458794
0,0,6,0,0,0,23,Livingston,2020-06-06 20:34:16.458794
0,4,388,0,6,2,107,Orleans,2020-06-06 20:34:16.458794
0,0,27,0,0,1,13,Ouachita,2020-06-06 20:34:16.458794
0,0,13,0,1,0,12,Rapides,2020-06-06 20:34:16.458794
0,0,22,0,0,0,22,St. Charles,2020-06-06 20:34:16.458794
0,0,19,0,0,0,6,St. James,2020-06-06 20:34:16.458794
0,0,41,0,0,0,38,St. John the Baptist,2020-06-06 20:34:16.458794
0,0,10,0,0,0,44,St. Landry,2020-06-06 20:34:16.458794
0,1,16,0,0,0,13,St. Mary,2020-06-06 20:34:16.458794
0,1,27,0,0,0,130,St. Tammany,2020-06-06 20:34:16.458794
0,0,12,0,0,0,23,Tangipahoa,2020-06-06 20:34:16.458794
2,0,22,0,0,0,27,Terrebonne,2020-06-06 20:34:16.458794
0,0,19,0,0,1,18,Washington,2020-06-06 20:34:16.458794
0,0,19,0,0,0,11,West Baton Rouge,2020-06-06 20:34:16.458794
0,0,31,0,0,2,23,Ascension,2020-06-07 20:32:22.875467
0,0,15,0,0,0,11,Bossier,2020-06-07 20:32:22.875467
0,0,134,1,0,1,52,Caddo,2020-06-07 20:32:22.875467
0,0,20,0,1,2,26,Calcasieu,2020-06-07 20:32:22.875467
0,6,133,1,0,3,96,East Baton Rouge,2020-06-07 20:32:22.875467
0,0,16,0,0,0,14,East Feliciana,2020-06-07 20:32:22.875467
0,0,11,0,0,0,27,Iberia,2020-06-07 20:32:22.875467
0,1,28,0,0,0,12,Iberville,2020-06-07 20:32:22.875467
0,7,220,2,6,6,209,Jefferson,2020-06-07 20:32:22.875467
0,0,13,0,0,2,11,Lafayette,2020-06-07 20:32:22.875467
0,0,25,0,0,2,45,Lafourche,2020-06-07 20:32:22.875467
0,0,6,0,0,0,23,Livingston,2020-06-07 20:32:22.875467
0,4,388,0,6,2,107,Orleans,2020-06-07 20:32:22.875467
0,0,27,0,0,1,13,Ouachita,2020-06-07 20:32:22.875467
0,0,13,0,1,0,12,Rapides,2020-06-07 20:32:22.875467
0,0,22,0,0,0,22,St. Charles,2020-06-07 20:32:22.875467
0,0,19,0,0,0,6,St. James,2020-06-07 20:32:22.875467
0,0,41,0,0,0,38,St. John the Baptist,2020-06-07 20:32:22.875467
0,0,10,0,0,0,44,St. Landry,2020-06-07 20:32:22.875467
0,1,16,0,0,0,13,St. Mary,2020-06-07 20:32:22.875467
0,1,27,0,0,0,130,St. Tammany,2020-06-07 20:32:22.875467
0,0,12,0,0,0,23,Tangipahoa,2020-06-07 20:32:22.875467
2,0,22,0,0,0,27,Terrebonne,2020-06-07 20:32:22.875467
0,0,19,0,0,1,18,Washington,2020-06-07 20:32:22.875467
0,0,19,0,0,0,11,West Baton Rouge,2020-06-07 20:32:22.875467
0,0,8,0,0,0,21,Acadia,2020-06-08 20:29:53.344045
0,0,32,0,0,3,23,Ascension,2020-06-08 20:29:53.344045
0,0,15,0,0,0,11,Bossier,2020-06-08 20:29:53.344045
0,0,142,1,0,2,61,Caddo,2020-06-08 20:29:53.344045
0,0,20,0,1,2,28,Calcasieu,2020-06-08 20:29:53.344045
0,6,139,1,0,5,101,East Baton Rouge,2020-06-08 20:29:53.344045
0,0,16,0,0,0,14,East Feliciana,2020-06-08 20:29:53.344045
0,0,12,0,0,1,28,Iberia,2020-06-08 20:29:53.344045
0,1,29,0,0,0,12,Iberville,2020-06-08 20:29:53.344045
0,8,224,2,6,7,215,Jefferson,2020-06-08 20:29:53.344045
0,0,13,0,0,5,12,Lafayette,2020-06-08 20:29:53.344045
0,0,25,0,0,2,48,Lafourche,2020-06-08 20:29:53.344045
0,0,7,0,0,0,24,Livingston,2020-06-08 20:29:53.344045
0,4,388,0,6,4,110,Orleans,2020-06-08 20:29:53.344045
0,0,31,0,0,0,23,Ouachita,2020-06-08 20:29:53.344045
0,0,12,0,0,0,13,Pointe Coupee,2020-06-08 20:29:53.344045
0,0,20,0,1,0,17,Rapides,2020-06-08 20:29:53.344045
0,0,22,0,0,0,23,St. Charles,2020-06-08 20:29:53.344045
0,0,21,0,0,0,6,St. James,2020-06-08 20:29:53.344045
0,0,45,0,0,0,39,St. John the Baptist,2020-06-08 20:29:53.344045
0,0,10,0,0,0,44,St. Landry,2020-06-08 20:29:53.344045
