% Probable Deaths by Ethnicity: Hispanic/Latino,% Probable Deaths by Ethnicity: Non-Hispanic/Latino,% Probable Deaths by Ethnicity: Unknown,% Probable Deaths by Gender: Female,% Probable Deaths by Gender: Male,% Probable Deaths by Gender: Unknown/Other,% Probable Deaths by Race: American Indian/Alaska N..,% Probable Deaths by Race: Asian,% Probable Deaths by Race: Black,% Probable Deaths by Race: Native Hawaiian/Pl,% Probable Deaths by Race: Other,% Probable Deaths by Race: Unknown,% Probable Deaths by Race: White,% Probable Deaths by Underlying Condition: Asthma,% Probable Deaths by Underlying Condition: Cancer,% Probable Deaths by Underlying Condition: Cardiac Disease,% Probable Deaths by Underlying Condition: Chronic Kidney Disease,% Probable Deaths by Underlying Condition: Congestive Heart Failure,% Probable Deaths by Underlying Condition: Diabetes,% Probable Deaths by Underlying Condition: Hypertension,% Probable Deaths by Underlying Condition: Neurological,% Probable Deaths by Underlying Condition: Obesity,% Probable Deaths by Underlying Condition: Pulmonary,Beds_InUseRegion1,Beds_InUseRegion2,Beds_InUseRegion3,Beds_InUseRegion4,Beds_InUseRegion5,Beds_InUseRegion6,Beds_InUseRegion7,Beds_InUseRegion8,Beds_InUseRegion9,Beds_StillAvailableRegion1,Beds_StillAvailableRegion2,Beds_StillAvailableRegion3,Beds_StillAvailableRegion4,Beds_StillAvailableRegion5,Beds_StillAvailableRegion6,Beds_StillAvailableRegion7,Beds_StillAvailableRegion8,Beds_StillAvailableRegion9,Case_Pct_Female,Case_Pct_Male,Case_Pct_Other,Cases_0_17,Cases_18_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_plus,CommercialTests,Deaths_0_17,Deaths_18_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_Region 1_race_American Indian/Alaskan Native,Deaths_Region 1_race_Asian,Deaths_Region 1_race_Black,Deaths_Region 1_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 1_race_Other,Deaths_Region 1_race_Unknown,Deaths_Region 1_race_White,Deaths_Region 2_race_American Indian/Alaskan Native,Deaths_Region 2_race_Asian,Deaths_Region 2_race_Black,Deaths_Region 2_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 2_race_Other,Deaths_Region 2_race_Unknown,Deaths_Region 2_race_White,Deaths_Region 3_race_American Indian/Alaskan Native,Deaths_Region 3_race_Asian,Deaths_Region 3_race_Black,Deaths_Region 3_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 3_race_Other,Deaths_Region 3_race_Unknown,Deaths_Region 3_race_White,Deaths_Region 4_race_American Indian/Alaskan Native,Deaths_Region 4_race_Asian,Deaths_Region 4_race_Black,Deaths_Region 4_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 4_race_Other,Deaths_Region 4_race_Unknown,Deaths_Region 4_race_White,Deaths_Region 5_race_American Indian/Alaskan Native,Deaths_Region 5_race_Asian,Deaths_Region 5_race_Black,Deaths_Region 5_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 5_race_Other,Deaths_Region 5_race_Unknown,Deaths_Region 5_race_White,Deaths_Region 6_race_American Indian/Alaskan Native,Deaths_Region 6_race_Asian,Deaths_Region 6_race_Black,Deaths_Region 6_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 6_race_Other,Deaths_Region 6_race_Unknown,Deaths_Region 6_race_White,Deaths_Region 7_race_American Indian/Alaskan Native,Deaths_Region 7_race_Asian,Deaths_Region 7_race_Black,Deaths_Region 7_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 7_race_Other,Deaths_Region 7_race_Unknown,Deaths_Region 7_race_White,Deaths_Region 8_race_American Indian/Alaskan Native,Deaths_Region 8_race_Asian,Deaths_Region 8_race_Black,Deaths_Region 8_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 8_race_Other,Deaths_Region 8_race_Unknown,Deaths_Region 8_race_White,Deaths_Region 9_race_American Indian/Alaskan Native,Deaths_Region 9_race_Asian,Deaths_Region 9_race_Black,Deaths_Region 9_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 9_race_Other,Deaths_Region 9_race_Unknown,Deaths_Region 9_race_White,Hospitalized,ICUBeds_InUseRegion1,ICUBeds_InUseRegion2,ICUBeds_InUseRegion3,ICUBeds_InUseRegion4,ICUBeds_InUseRegion5,ICUBeds_InUseRegion6,ICUBeds_InUseRegion7,ICUBeds_InUseRegion8,ICUBeds_InUseRegion9,ICUBeds_StillAvailableRegion1,ICUBeds_StillAvailableRegion2,ICUBeds_StillAvailableRegion3,ICUBeds_StillAvailableRegion4,ICUBeds_StillAvailableRegion5,ICUBeds_StillAvailableRegion6,ICUBeds_StillAvailableRegion7,ICUBeds_StillAvailableRegion8,ICUBeds_StillAvailableRegion9,OnVentilator,Probable Deaths Age: Average,Probable Deaths Age: Median,Scrape_Time,TestsByStateLab,Total Probable Deaths,Vent_InUseRegion1,Vent_InUseRegion2,Vent_InUseRegion3,Vent_InUseRegion4,Vent_InUseRegion5,Vent_InUseRegion6,Vent_InUseRegion7,Vent_InUseRegion8,Vent_InUseRegion9,Vent_StillAvailableRegion1,Vent_StillAvailableRegion2,Vent_StillAvailableRegion3,Vent_StillAvailableRegion4,Vent_StillAvailableRegion5,Vent_StillAvailableRegion6,Vent_StillAvailableRegion7,Vent_StillAvailableRegion8,Vent_StillAvailableRegion9
2.07,88.30,9.63,47.00,53.00,0.00,0.10,0.74,53.11,0.08,0.57,0.00,45.32,4.28,7.35,20.39,20.19,13.74,36.83,60.09,12.67,19.42,11.93,2022,1292,404,1208,479,841,1554,760,869,960,813,338,511,353,441,762,619,619,56,42,2,2571,9570,8634,8466,8631,7170,8152,628513,3,10,55,109,267,543,2064,1,13,657,3,12,0,361,0,7,269,1,0,0,190,2,1,162,0,0,0,183,0,0,55,0,0,0,144,0,0,28,0,3,0,46,0,0,44,0,1,0,34,0,0,221,1,0,0,114,0,0,81,0,1,0,67,0,1,72,0,0,0,213,653,350,155,50,138,56,90,284,124,94,222,87,51,43,31,32,122,57,78,77,74,76,2020-06-25 20:01:18.164730,32152,113,180,51,10,46,28,24,88,47,33,449,208,110,131,66,106,218,102,173
2.07,88.30,9.63,47.00,53.00,0.00,0.10,0.74,53.11,0.08,0.57,0.00,45.32,4.28,7.35,20.39,20.19,13.74,36.83,60.09,12.67,19.42,11.93,2001,1304,394,1173,482,830,1523,762,885,948,769,334,551,350,450,792,616,600,56,42,2,2709,10018,8845,8643,8784,7271,8278,644687,3,11,55,111,269,543,2085,1,13,657,3,12,0,361,0,7,269,1,0,0,190,2,1,162,0,0,0,183,0,0,55,0,0,0,144,0,0,28,0,3,0,46,0,0,44,0,1,0,34,0,0,221,1,0,0,114,0,0,81,0,1,0,67,0,1,72,0,0,0,213,700,339,159,51,141,52,86,281,127,97,228,85,44,41,35,34,127,54,72,73,74,76,2020-06-26 19:36:58.183847,33319,113,183,53,11,51,24,25,88,48,28,446,206,109,126,70,105,225,102,178
2.07,88.30,9.63,47.00,53.00,0.00,0.10,0.74,53.11,0.08,0.57,0.00,45.32,4.28,7.35,20.39,20.19,13.74,36.83,60.09,12.67,19.42,11.93,2001,1304,394,1173,482,830,1523,762,885,948,769,334,551,350,450,792,616,600,56,42,2,2709,10018,8845,8643,8784,7271,8278,644687,3,11,55,111,269,543,2085,1,13,657,3,12,0,361,0,7,269,1,0,0,190,2,1,162,0,0,0,183,0,0,55,0,0,0,144,0,0,28,0,3,0,46,0,0,44,0,1,0,34,0,0,221,1,0,0,114,0,0,81,0,1,0,67,0,1,72,0,0,0,213,700,339,159,51,141,52,86,281,127,97,228,85,44,41,35,34,127,54,72,73,74,76,2020-06-27 21:29:39.174423,33319,113,183,53,11,51,24,25,88,48,28,446,206,109,126,70,105,225,102,178
2.07,88.30,9.63,47.00,53.00,0.00,0.10,0.74,53.11,0.08,0.57,0.00,45.32,4.28,7.35,20.39,20.19,13.74,36.83,60.09,12.67,19.42,11.93,1876,1172,369,1110,461,790,1451,694,794,1048,887,352,604,374,490,847,685,691,56,42,2,2871,10485,9105,8840,8968,7374,8371,661257,3,11,55,111,269,545,2092,1,13,657,3,12,0,361,0,7,269,1,0,0,190,2,1,162,0,0,0,183,0,0,55,0,0,0,144,0,0,28,0,3,0,46,0,0,44,0,1,0,34,0,0,221,1,0,0,114,0,0,81,0,1,0,67,0,1,72,0,0,0,213,715,333,137,40,125,58,84,277,104,85,230,107,47,52,32,36,127,77,84,76,74,76,2020-06-28 20:04:09.713311,34854,113,175,59,9,46,25,27,86,47,37,454,200,112,131,69,103,240,103,169
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1931,1190,376,1136,448,792,1463,705,813,1019,876,350,576,385,490,842,678,673,56,42,2,2971,10779,9224,8945,9052,7463,8423,669512,3,11,56,111,269,546,2095,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,737,329,130,40,133,51,82,278,108,82,236,114,51,44,37,40,123,73,88,79,74,76,2020-06-29 22:52:45.826655,35125,108,176,58,6,49,26,29,87,48,39,453,201,115,128,68,101,231,102,167
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1974,1298,421,1200,456,820,1505,712,876,1006,775,318,523,376,460,801,669,614,56,42,2,3074,11057,9387,9079,9164,7555,8555,692993,3,11,56,111,270,549,2113,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,781,328,147,37,128,53,88,280,120,87,250,97,54,50,34,32,120,61,84,83,74,76,2020-06-30 20:05:45.530189,35518,108,173,56,9,56,19,39,88,48,38,456,203,112,124,74,91,231,102,168
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1973,1294,435,1195,473,798,1572,727,839,981,787,309,528,361,484,724,655,639,56,42,2,3268,11884,9722,9349,9392,7680,8659,716156,3,11,56,110,271,552,2127,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,799,316,146,48,139,57,86,302,117,95,241,100,43,40,31,36,104,64,78,84,74,76,2020-07-01 20:08:53.720203,35932,108,174,60,10,49,17,37,99,49,39,455,199,111,131,76,93,219,101,167
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1948,1294,446,1239,463,793,1589,720,888,1012,770,297,494,369,487,705,660,592,56,42,2,3415,12295,9961,9547,9564,7793,8762,730850,3,11,56,110,272,557,2138,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,840,314,164,43,141,58,86,297,111,100,245,84,48,40,29,34,109,70,73,91,74,76,2020-07-02 22:15:42.588522,36524,108,125,59,11,53,29,35,103,48,37,467,200,110,127,65,95,215,103,169
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1922,1303,422,1185,459,753,1551,736,840,1011,770,312,520,374,529,752,640,639,56,42,2,3595,12865,10259,9795,9758,7937,8847,746745,3,11,56,110,273,560,2157,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,852,342,164,42,134,54,86,297,121,87,222,84,57,41,34,36,113,60,86,93,74,76,2020-07-03 22:45:12.894967,37397,108,135,60,10,50,27,35,97,49,31,459,199,109,133,68,95,223,102,175
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1922,1303,422,1185,459,753,1551,736,840,1011,770,312,520,374,529,752,640,639,56,42,2,3595,12865,10259,9795,9758,7937,8847,746745,3,11,56,110,273,560,2157,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,852,342,164,42,134,54,86,297,121,87,222,84,57,41,34,36,113,60,86,93,74,76,2020-07-04 20:32:38.881924,37397,108,135,60,10,50,27,35,97,49,31,459,199,109,133,68,95,223,102,175
2.00,89.00,9.00,48.00,52.00,0.00,0.13,0.71,52.79,0.08,0.52,0.00,45.69,4.24,7.36,20.32,20.41,13.71,36.65,59.98,13.32,19.22,12.09,1827,1214,374,1137,439,724,1492,693,794,1107,855,339,568,397,558,799,689,685,56,42,2,3796,13467,10600,10066,10006,8098,8967,763302,3,11,56,110,273,564,2163,1,13,660,3,11,0,369,0,7,273,1,0,0,194,3,1,165,0,0,0,190,0,0,58,0,0,0,157,0,0,30,0,3,0,47,0,0,50,0,1,0,39,0,0,232,1,0,0,116,0,0,89,0,1,0,75,0,1,73,0,0,0,227,926,336,167,37,136,65,87,284,121,91,232,86,50,41,25,35,119,61,82,105,74,76,2020-07-05 20:06:54.298560,39152,108,138,59,8,58,29,28,92,53,34,456,200,111,125,65,102,229,98,172
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,1905,1270,377,1171,451,738,1521,713,821,1056,812,346,539,383,544,773,669,666,56,42,2,3938,13852,10798,10226,10134,8191,9034,774493,3,11,56,110,275,566,2167,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,964,341,171,32,134,65,84,287,124,89,234,84,53,41,23,38,117,58,82,109,74,76,2020-07-06 20:05:25.825733,39152,108,138,61,9,58,32,36,94,56,29,456,198,110,125,62,94,228,95,177
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,2000,1324,403,1192,467,772,1600,738,871,971,762,319,523,366,510,710,638,613,56,42,2,4095,14383,11098,10490,10417,8331,9295,808010,3,11,57,111,280,571,2178,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1025,351,181,38,132,70,90,310,122,90,225,74,51,44,18,32,102,60,78,109,74,76,2020-07-07 20:03:16.214015,39588,108,145,66,6,51,33,34,90,59,29,449,193,113,133,61,96,235,92,177
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,1993,1324,398,1206,462,793,1587,746,933,968,760,343,509,370,489,724,630,554,56,42,2,4282,14949,11457,10768,10631,8490,9419,825644,3,11,59,113,282,574,2189,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1022,338,174,41,131,71,88,297,127,97,231,81,50,45,17,34,115,56,72,105,74,76,2020-07-08 20:35:53.259603,40093,108,150,62,6,49,30,33,99,56,31,444,197,113,136,65,97,226,95,175
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,2054,1454,448,1219,452,781,1597,732,928,968,653,307,498,380,499,698,645,554,56,42,2,4493,15479,11782,11049,10857,8640,9538,839308,3,11,59,113,284,578,2199,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1042,362,179,46,136,61,79,299,122,101,229,80,45,41,27,41,98,60,70,110,74,76,2020-07-09 20:25:21.815684,40832,108,153,53,6,54,30,33,93,57,31,441,206,113,131,65,97,232,94,175
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,2089,1343,441,1210,485,776,1606,737,936,926,740,299,495,349,502,694,637,556,56,42,2,4819,16188,12238,11423,11192,8875,9742,863389,3,11,59,114,287,582,2216,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1117,367,179,46,150,68,73,303,122,105,210,72,42,28,21,49,94,59,68,122,74,76,2020-07-10 20:18:32.107785,41859,108,146,48,11,55,31,41,85,58,31,431,211,110,130,64,89,229,90,175
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,1999,1340,428,1169,440,763,1561,714,874,1020,754,296,536,395,521,721,657,618,56,42,2,5051,16725,12623,11745,11478,9082,9939,881703,3,11,59,116,288,585,2233,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1182,358,191,50,148,61,74,306,121,103,227,68,41,31,29,48,94,61,72,121,74,76,2020-07-11 20:17:19.362972,42744,108,141,49,15,63,31,38,76,59,31,504,210,106,122,64,92,239,87,175
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,1951,1293,430,1179,455,768,1518,724,836,1043,820,301,523,380,516,759,650,655,56,42,2,5205,17056,12835,11946,11643,9240,10037,891899,3,11,59,118,290,585,2242,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1243,350,186,52,145,67,74,306,118,97,223,84,42,33,23,48,95,64,74,134,74,76,2020-07-12 20:10:35.061700,43096,108,147,55,18,68,36,39,77,68,37,498,204,103,117,59,91,234,77,168
