# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: Multiple Races,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown,# Cases Race/Ethnicity: White,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: Multiple Races,# Deaths Race/Ethnicity: Other Race,# Deaths Race/Ethnicity: Unknown,# Deaths Race/Ethnicity: White,# Hospitalized Race/Ethnicity: Black,# Hospitalized Race/Ethnicity: Hispanic,# Hospitalized Race/Ethnicity: Multiple Races,# Hospitalized Race/Ethnicity: Other Race,# Hospitalized Race/Ethnicity: Unknown,# Hospitalized Race/Ethnicity: White,CasesAge_0_9,CasesAge_100_plus,CasesAge_10_19,CasesAge_20_29,CasesAge_30_39,CasesAge_40_49,CasesAge_50_59,CasesAge_60_69,CasesAge_70_79,CasesAge_80_89,CasesAge_90_99,CasesFemale,CasesMale,CasesOther,DeathAge_0_9,DeathAge_100_plus,DeathAge_10_19,DeathAge_20_29,DeathAge_30_39,DeathAge_40_49,DeathAge_50_59,DeathAge_60_69,DeathAge_70_79,DeathAge_80_89,DeathAge_90_99,DeathFemale,DeathMale,DeathOther,HospAge_0_9,HospAge_100_plus,HospAge_10_19,HospAge_20_29,HospAge_30_39,HospAge_40_49,HospAge_50_59,HospAge_60_69,HospAge_70_79,HospAge_80_89,HospAge_90_99,HospFemale,HospMale,HospOther,Scrape_Time
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-13 14:10:22.711291
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-13 20:36:11.609161
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-14 20:17:50.895942
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-15 20:20:24.725063
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-16 20:26:34.050223
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-17 20:25:00.896748
1858,6981,nan,576,3866,5483,52,92,nan,14,184,673,217,636,nan,65,439,866,578,55,1159,3208,3131,2889,2892,2071,1339,1199,742,10619,8584,39,0,22,<5,<5,7,16,46,104,244,324,249,533,482,0,22,6,30,119,178,267,372,458,441,296,119,1081,1221,10,2020-08-18 20:22:15.655542
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-19 20:24:52.916622
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-20 20:21:40.940804
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-21 22:15:32.934068
