,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-20T00:00:00.000,Alexandria,Female,2139,143,38
1,2020-10-20T00:00:00.000,Alexandria,Male,1981,181,37
2,2020-10-20T00:00:00.000,Alexandria,Not Reported,13,0,0
3,2020-10-20T00:00:00.000,Alleghany,Female,1263,50,21
4,2020-10-20T00:00:00.000,Alleghany,Male,1025,53,11
5,2020-10-20T00:00:00.000,Alleghany,Not Reported,9,0,0
6,2020-10-20T00:00:00.000,Arlington,Female,2180,233,70
7,2020-10-20T00:00:00.000,Arlington,Male,2216,287,82
8,2020-10-20T00:00:00.000,Arlington,Not Reported,3,0,0
9,2020-10-20T00:00:00.000,Central Shenandoah,Female,3452,150,37
10,2020-10-20T00:00:00.000,Central Shenandoah,Male,3018,141,40
11,2020-10-20T00:00:00.000,Central Shenandoah,Not Reported,19,0,0
12,2020-10-20T00:00:00.000,Central Virginia,Female,2337,76,25
13,2020-10-20T00:00:00.000,Central Virginia,Male,2001,90,31
14,2020-10-20T00:00:00.000,Central Virginia,Not Reported,44,0,0
15,2020-10-20T00:00:00.000,Chesapeake,Female,2594,239,35
16,2020-10-20T00:00:00.000,Chesapeake,Male,2164,225,44
17,2020-10-20T00:00:00.000,Chesapeake,Not Reported,5,0,0
18,2020-10-20T00:00:00.000,Chesterfield,Female,3709,215,57
19,2020-10-20T00:00:00.000,Chesterfield,Male,3455,227,73
20,2020-10-20T00:00:00.000,Chesterfield,Not Reported,143,0,1
21,2020-10-20T00:00:00.000,Chickahominy,Female,1117,88,28
22,2020-10-20T00:00:00.000,Chickahominy,Male,1073,90,28
23,2020-10-20T00:00:00.000,Chickahominy,Not Reported,31,1,0
24,2020-10-20T00:00:00.000,Crater,Female,1982,157,59
25,2020-10-20T00:00:00.000,Crater,Male,2818,134,52
26,2020-10-20T00:00:00.000,Crater,Not Reported,49,3,0
27,2020-10-20T00:00:00.000,Cumberland Plateau,Female,649,40,7
28,2020-10-20T00:00:00.000,Cumberland Plateau,Male,536,37,6
29,2020-10-20T00:00:00.000,Cumberland Plateau,Not Reported,10,0,0
30,2020-10-20T00:00:00.000,Eastern Shore,Female,762,73,26
31,2020-10-20T00:00:00.000,Eastern Shore,Male,745,71,24
32,2020-10-20T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-10-20T00:00:00.000,Fairfax,Female,11741,953,291
34,2020-10-20T00:00:00.000,Fairfax,Male,11097,1285,320
35,2020-10-20T00:00:00.000,Fairfax,Not Reported,161,1,6
36,2020-10-20T00:00:00.000,Hampton,Female,1129,32,14
37,2020-10-20T00:00:00.000,Hampton,Male,922,54,18
38,2020-10-20T00:00:00.000,Hampton,Not Reported,7,0,0
39,2020-10-20T00:00:00.000,Henrico,Female,3173,239,121
40,2020-10-20T00:00:00.000,Henrico,Male,2795,234,106
41,2020-10-20T00:00:00.000,Henrico,Not Reported,38,0,0
42,2020-10-20T00:00:00.000,Lenowisco,Female,670,44,5
43,2020-10-20T00:00:00.000,Lenowisco,Male,596,53,18
44,2020-10-20T00:00:00.000,Lenowisco,Not Reported,2,0,0
45,2020-10-20T00:00:00.000,Lord Fairfax,Female,1952,148,59
46,2020-10-20T00:00:00.000,Lord Fairfax,Male,1740,161,66
47,2020-10-20T00:00:00.000,Lord Fairfax,Not Reported,16,0,0
48,2020-10-20T00:00:00.000,Loudoun,Female,3824,215,80
49,2020-10-20T00:00:00.000,Loudoun,Male,3713,255,50
50,2020-10-20T00:00:00.000,Loudoun,Not Reported,62,0,0
51,2020-10-20T00:00:00.000,Mount Rogers,Female,1944,134,70
52,2020-10-20T00:00:00.000,Mount Rogers,Male,1471,162,71
53,2020-10-20T00:00:00.000,Mount Rogers,Not Reported,12,0,1
54,2020-10-20T00:00:00.000,New River,Female,1997,28,14
55,2020-10-20T00:00:00.000,New River,Male,2007,45,14
56,2020-10-20T00:00:00.000,New River,Not Reported,35,0,0
57,2020-10-20T00:00:00.000,Norfolk,Female,2699,202,38
58,2020-10-20T00:00:00.000,Norfolk,Male,2507,196,46
59,2020-10-20T00:00:00.000,Norfolk,Not Reported,3,0,0
60,2020-10-20T00:00:00.000,Peninsula,Female,2534,103,50
61,2020-10-20T00:00:00.000,Peninsula,Male,2364,111,41
62,2020-10-20T00:00:00.000,Peninsula,Not Reported,19,0,0
63,2020-10-20T00:00:00.000,Piedmont,Female,893,61,16
64,2020-10-20T00:00:00.000,Piedmont,Male,1484,87,38
65,2020-10-20T00:00:00.000,Piedmont,Not Reported,5,0,0
66,2020-10-20T00:00:00.000,Pittsylvania-Danville,Female,1308,107,35
67,2020-10-20T00:00:00.000,Pittsylvania-Danville,Male,1043,68,21
68,2020-10-20T00:00:00.000,Pittsylvania-Danville,Not Reported,6,0,0
69,2020-10-20T00:00:00.000,Portsmouth,Female,1432,168,35
70,2020-10-20T00:00:00.000,Portsmouth,Male,1295,126,30
71,2020-10-20T00:00:00.000,Portsmouth,Not Reported,3,0,0
72,2020-10-20T00:00:00.000,Prince William,Female,8287,510,107
73,2020-10-20T00:00:00.000,Prince William,Male,7905,654,149
74,2020-10-20T00:00:00.000,Prince William,Not Reported,127,2,0
75,2020-10-20T00:00:00.000,Rappahannock,Female,3124,196,32
76,2020-10-20T00:00:00.000,Rappahannock,Male,2718,228,48
77,2020-10-20T00:00:00.000,Rappahannock,Not Reported,20,0,0
78,2020-10-20T00:00:00.000,Rappahannock Rapidan,Female,1463,76,27
79,2020-10-20T00:00:00.000,Rappahannock Rapidan,Male,1436,109,27
80,2020-10-20T00:00:00.000,Rappahannock Rapidan,Not Reported,37,0,0
81,2020-10-20T00:00:00.000,Richmond,Female,2578,224,25
82,2020-10-20T00:00:00.000,Richmond,Male,2507,220,37
83,2020-10-20T00:00:00.000,Richmond,Not Reported,49,1,2
84,2020-10-20T00:00:00.000,Roanoke,Female,1357,53,20
85,2020-10-20T00:00:00.000,Roanoke,Male,1070,37,15
86,2020-10-20T00:00:00.000,Roanoke,Not Reported,18,0,0
87,2020-10-20T00:00:00.000,Southside,Female,827,43,23
88,2020-10-20T00:00:00.000,Southside,Male,885,47,23
89,2020-10-20T00:00:00.000,Southside,Not Reported,9,0,0
90,2020-10-20T00:00:00.000,Thomas Jefferson,Female,2203,109,41
91,2020-10-20T00:00:00.000,Thomas Jefferson,Male,1984,107,35
92,2020-10-20T00:00:00.000,Thomas Jefferson,Not Reported,3,0,0
93,2020-10-20T00:00:00.000,Three Rivers,Female,961,65,17
94,2020-10-20T00:00:00.000,Three Rivers,Male,1156,69,19
95,2020-10-20T00:00:00.000,Three Rivers,Not Reported,25,0,0
96,2020-10-20T00:00:00.000,Virginia Beach,Female,4123,219,52
97,2020-10-20T00:00:00.000,Virginia Beach,Male,3455,203,50
98,2020-10-20T00:00:00.000,Virginia Beach,Not Reported,15,0,0
99,2020-10-20T00:00:00.000,Western Tidewater,Female,2114,107,66
100,2020-10-20T00:00:00.000,Western Tidewater,Male,2349,119,78
101,2020-10-20T00:00:00.000,Western Tidewater,Not Reported,5,0,2
102,2020-10-20T00:00:00.000,West Piedmont,Female,1514,148,44
103,2020-10-20T00:00:00.000,West Piedmont,Male,1166,133,40
104,2020-10-20T00:00:00.000,West Piedmont,Not Reported,14,0,0
105,2020-10-19T00:00:00.000,Alexandria,Female,2132,143,38
106,2020-10-19T00:00:00.000,Alexandria,Male,1978,180,37
107,2020-10-19T00:00:00.000,Alexandria,Not Reported,13,0,0
108,2020-10-19T00:00:00.000,Alleghany,Female,1218,48,20
109,2020-10-19T00:00:00.000,Alleghany,Male,1001,52,10
110,2020-10-19T00:00:00.000,Alleghany,Not Reported,9,0,0
111,2020-10-19T00:00:00.000,Arlington,Female,2171,232,70
112,2020-10-19T00:00:00.000,Arlington,Male,2210,287,82
113,2020-10-19T00:00:00.000,Arlington,Not Reported,3,0,0
114,2020-10-19T00:00:00.000,Central Shenandoah,Female,3445,150,37
115,2020-10-19T00:00:00.000,Central Shenandoah,Male,3008,141,40
116,2020-10-19T00:00:00.000,Central Shenandoah,Not Reported,19,0,0
117,2020-10-19T00:00:00.000,Central Virginia,Female,2306,76,23
118,2020-10-19T00:00:00.000,Central Virginia,Male,1985,87,31
119,2020-10-19T00:00:00.000,Central Virginia,Not Reported,42,0,0
120,2020-10-19T00:00:00.000,Chesapeake,Female,2586,237,35
121,2020-10-19T00:00:00.000,Chesapeake,Male,2157,223,44
122,2020-10-19T00:00:00.000,Chesapeake,Not Reported,5,0,0
123,2020-10-19T00:00:00.000,Chesterfield,Female,3685,215,57
124,2020-10-19T00:00:00.000,Chesterfield,Male,3431,224,72
125,2020-10-19T00:00:00.000,Chesterfield,Not Reported,145,0,1
126,2020-10-19T00:00:00.000,Chickahominy,Female,1108,88,28
127,2020-10-19T00:00:00.000,Chickahominy,Male,1065,88,28
128,2020-10-19T00:00:00.000,Chickahominy,Not Reported,35,1,0
129,2020-10-19T00:00:00.000,Crater,Female,1964,155,59
130,2020-10-19T00:00:00.000,Crater,Male,2826,134,52
131,2020-10-19T00:00:00.000,Crater,Not Reported,49,3,0
132,2020-10-19T00:00:00.000,Cumberland Plateau,Female,642,39,7
133,2020-10-19T00:00:00.000,Cumberland Plateau,Male,533,37,6
134,2020-10-19T00:00:00.000,Cumberland Plateau,Not Reported,9,0,0
135,2020-10-19T00:00:00.000,Eastern Shore,Female,761,73,26
136,2020-10-19T00:00:00.000,Eastern Shore,Male,744,70,24
137,2020-10-19T00:00:00.000,Eastern Shore,Not Reported,9,0,0
