,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-09-15T00:00:00.000,Alexandria,Female,1881,140,34
1,2020-09-15T00:00:00.000,Alexandria,Male,1723,165,31
2,2020-09-15T00:00:00.000,Alexandria,Not Reported,11,0,0
3,2020-09-15T00:00:00.000,Alleghany,Female,719,29,14
4,2020-09-15T00:00:00.000,Alleghany,Male,649,41,9
5,2020-09-15T00:00:00.000,Alleghany,Not Reported,7,0,0
6,2020-09-15T00:00:00.000,Arlington,Female,1862,216,68
7,2020-09-15T00:00:00.000,Arlington,Male,1891,271,77
8,2020-09-15T00:00:00.000,Arlington,Not Reported,6,0,0
9,2020-09-15T00:00:00.000,Central Shenandoah,Female,2551,128,32
10,2020-09-15T00:00:00.000,Central Shenandoah,Male,2126,125,36
11,2020-09-15T00:00:00.000,Central Shenandoah,Not Reported,16,0,0
12,2020-09-15T00:00:00.000,Central Virginia,Female,1472,42,11
13,2020-09-15T00:00:00.000,Central Virginia,Male,1297,55,14
14,2020-09-15T00:00:00.000,Central Virginia,Not Reported,34,0,0
15,2020-09-15T00:00:00.000,Chesapeake,Female,2258,191,26
16,2020-09-15T00:00:00.000,Chesapeake,Male,1829,182,27
17,2020-09-15T00:00:00.000,Chesapeake,Not Reported,9,0,0
18,2020-09-15T00:00:00.000,Chesterfield,Female,3032,156,52
19,2020-09-15T00:00:00.000,Chesterfield,Male,2886,177,62
20,2020-09-15T00:00:00.000,Chesterfield,Not Reported,122,0,1
21,2020-09-15T00:00:00.000,Chickahominy,Female,840,74,23
22,2020-09-15T00:00:00.000,Chickahominy,Male,811,78,26
23,2020-09-15T00:00:00.000,Chickahominy,Not Reported,33,0,0
24,2020-09-15T00:00:00.000,Crater,Female,1540,140,44
25,2020-09-15T00:00:00.000,Crater,Male,1983,121,44
26,2020-09-15T00:00:00.000,Crater,Not Reported,33,2,0
27,2020-09-15T00:00:00.000,Cumberland Plateau,Female,341,24,5
28,2020-09-15T00:00:00.000,Cumberland Plateau,Male,298,26,4
29,2020-09-15T00:00:00.000,Cumberland Plateau,Not Reported,1,0,0
30,2020-09-15T00:00:00.000,Eastern Shore,Female,740,70,26
31,2020-09-15T00:00:00.000,Eastern Shore,Male,716,67,22
32,2020-09-15T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-09-15T00:00:00.000,Fairfax,Female,10171,919,280
34,2020-09-15T00:00:00.000,Fairfax,Male,9609,1214,298
35,2020-09-15T00:00:00.000,Fairfax,Not Reported,150,2,5
36,2020-09-15T00:00:00.000,Hampton,Female,954,20,9
37,2020-09-15T00:00:00.000,Hampton,Male,759,38,10
38,2020-09-15T00:00:00.000,Hampton,Not Reported,17,0,0
39,2020-09-15T00:00:00.000,Henrico,Female,2684,197,109
40,2020-09-15T00:00:00.000,Henrico,Male,2364,201,94
41,2020-09-15T00:00:00.000,Henrico,Not Reported,31,0,0
42,2020-09-15T00:00:00.000,Lenowisco,Female,423,34,4
43,2020-09-15T00:00:00.000,Lenowisco,Male,414,37,13
44,2020-09-15T00:00:00.000,Lenowisco,Not Reported,2,0,0
45,2020-09-15T00:00:00.000,Lord Fairfax,Female,1540,125,51
46,2020-09-15T00:00:00.000,Lord Fairfax,Male,1400,136,53
47,2020-09-15T00:00:00.000,Lord Fairfax,Not Reported,14,0,0
48,2020-09-15T00:00:00.000,Loudoun,Female,3249,184,73
49,2020-09-15T00:00:00.000,Loudoun,Male,3186,230,46
50,2020-09-15T00:00:00.000,Loudoun,Not Reported,54,0,0
51,2020-09-15T00:00:00.000,Mount Rogers,Female,1413,83,34
52,2020-09-15T00:00:00.000,Mount Rogers,Male,1069,130,53
53,2020-09-15T00:00:00.000,Mount Rogers,Not Reported,10,0,0
54,2020-09-15T00:00:00.000,New River,Female,1362,17,4
55,2020-09-15T00:00:00.000,New River,Male,1255,33,7
56,2020-09-15T00:00:00.000,New River,Not Reported,26,0,0
57,2020-09-15T00:00:00.000,Norfolk,Female,2435,173,32
58,2020-09-15T00:00:00.000,Norfolk,Male,2239,164,34
59,2020-09-15T00:00:00.000,Norfolk,Not Reported,2,0,0
60,2020-09-15T00:00:00.000,Peninsula,Female,2142,89,39
61,2020-09-15T00:00:00.000,Peninsula,Male,1983,94,26
62,2020-09-15T00:00:00.000,Peninsula,Not Reported,19,0,0
63,2020-09-15T00:00:00.000,Piedmont,Female,622,52,10
