,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
82,2020-09-12T00:00:00.000,Crater,20-29,572,9,0
83,2020-09-12T00:00:00.000,Crater,30-39,642,12,0
84,2020-09-12T00:00:00.000,Crater,40-49,547,25,1
85,2020-09-12T00:00:00.000,Crater,50-59,611,54,5
86,2020-09-12T00:00:00.000,Crater,60-69,438,67,21
87,2020-09-12T00:00:00.000,Crater,70-79,246,51,28
88,2020-09-12T00:00:00.000,Crater,80+,190,39,25
89,2020-09-12T00:00:00.000,Crater,Missing,30,0,0
90,2020-09-12T00:00:00.000,Cumberland Plateau,0-9,22,0,0
91,2020-09-12T00:00:00.000,Cumberland Plateau,10-19,88,1,0
92,2020-09-12T00:00:00.000,Cumberland Plateau,20-29,90,0,0
93,2020-09-12T00:00:00.000,Cumberland Plateau,30-39,78,2,0
94,2020-09-12T00:00:00.000,Cumberland Plateau,40-49,106,5,1
95,2020-09-12T00:00:00.000,Cumberland Plateau,50-59,101,13,1
96,2020-09-12T00:00:00.000,Cumberland Plateau,60-69,71,13,2
97,2020-09-12T00:00:00.000,Cumberland Plateau,70-79,41,5,0
98,2020-09-12T00:00:00.000,Cumberland Plateau,80+,30,10,5
99,2020-09-12T00:00:00.000,Cumberland Plateau,Missing,0,0,0
100,2020-09-12T00:00:00.000,Eastern Shore,0-9,28,2,0
101,2020-09-12T00:00:00.000,Eastern Shore,10-19,75,1,0
102,2020-09-12T00:00:00.000,Eastern Shore,20-29,217,6,0
103,2020-09-12T00:00:00.000,Eastern Shore,30-39,253,11,0
104,2020-09-12T00:00:00.000,Eastern Shore,40-49,264,13,2
105,2020-09-12T00:00:00.000,Eastern Shore,50-59,292,24,6
106,2020-09-12T00:00:00.000,Eastern Shore,60-69,205,31,8
107,2020-09-12T00:00:00.000,Eastern Shore,70-79,67,24,12
108,2020-09-12T00:00:00.000,Eastern Shore,80+,55,25,20
109,2020-09-12T00:00:00.000,Eastern Shore,Missing,6,0,0
110,2020-09-12T00:00:00.000,Fairfax,0-9,782,27,0
111,2020-09-12T00:00:00.000,Fairfax,10-19,1551,34,0
112,2020-09-12T00:00:00.000,Fairfax,20-29,3467,107,3
113,2020-09-12T00:00:00.000,Fairfax,30-39,3757,233,9
114,2020-09-12T00:00:00.000,Fairfax,40-49,3429,332,15
115,2020-09-12T00:00:00.000,Fairfax,50-59,2976,384,39
116,2020-09-12T00:00:00.000,Fairfax,60-69,1825,396,79
117,2020-09-12T00:00:00.000,Fairfax,70-79,812,276,122
118,2020-09-12T00:00:00.000,Fairfax,80+,908,336,315
119,2020-09-12T00:00:00.000,Fairfax,Missing,181,6,0
120,2020-09-12T00:00:00.000,Hampton,0-9,44,0,0
121,2020-09-12T00:00:00.000,Hampton,10-19,107,0,0
122,2020-09-12T00:00:00.000,Hampton,20-29,438,3,0
123,2020-09-12T00:00:00.000,Hampton,30-39,315,3,0
124,2020-09-12T00:00:00.000,Hampton,40-49,242,9,0
125,2020-09-12T00:00:00.000,Hampton,50-59,232,12,4
126,2020-09-12T00:00:00.000,Hampton,60-69,162,13,6
127,2020-09-12T00:00:00.000,Hampton,70-79,89,13,4
128,2020-09-12T00:00:00.000,Hampton,80+,46,5,3
129,2020-09-12T00:00:00.000,Hampton,Missing,31,0,0
130,2020-09-12T00:00:00.000,Henrico,0-9,189,6,0
131,2020-09-12T00:00:00.000,Henrico,10-19,452,6,0
132,2020-09-12T00:00:00.000,Henrico,20-29,898,21,1
133,2020-09-12T00:00:00.000,Henrico,30-39,898,22,0
134,2020-09-12T00:00:00.000,Henrico,40-49,723,43,2
135,2020-09-12T00:00:00.000,Henrico,50-59,627,67,12
136,2020-09-12T00:00:00.000,Henrico,60-69,440,68,38
137,2020-09-12T00:00:00.000,Henrico,70-79,307,67,47
138,2020-09-12T00:00:00.000,Henrico,80+,416,95,94
139,2020-09-12T00:00:00.000,Henrico,Missing,50,1,1
140,2020-09-12T00:00:00.000,Lenowisco,0-9,36,0,0
141,2020-09-12T00:00:00.000,Lenowisco,10-19,75,0,0
142,2020-09-12T00:00:00.000,Lenowisco,20-29,114,0,0
143,2020-09-12T00:00:00.000,Lenowisco,30-39,130,3,1
144,2020-09-12T00:00:00.000,Lenowisco,40-49,117,6,0
145,2020-09-12T00:00:00.000,Lenowisco,50-59,119,14,1
146,2020-09-12T00:00:00.000,Lenowisco,60-69,123,14,3
147,2020-09-12T00:00:00.000,Lenowisco,70-79,84,24,9
148,2020-09-12T00:00:00.000,Lenowisco,80+,29,9,1
149,2020-09-12T00:00:00.000,Lenowisco,Missing,0,0,0
150,2020-09-12T00:00:00.000,Lord Fairfax,0-9,98,2,0
151,2020-09-12T00:00:00.000,Lord Fairfax,10-19,246,4,0
152,2020-09-12T00:00:00.000,Lord Fairfax,20-29,496,7,0
153,2020-09-12T00:00:00.000,Lord Fairfax,30-39,473,15,1
154,2020-09-12T00:00:00.000,Lord Fairfax,40-49,435,23,1
155,2020-09-12T00:00:00.000,Lord Fairfax,50-59,470,40,6
156,2020-09-12T00:00:00.000,Lord Fairfax,60-69,290,57,14
157,2020-09-12T00:00:00.000,Lord Fairfax,70-79,192,57,20
158,2020-09-12T00:00:00.000,Lord Fairfax,80+,216,52,56
159,2020-09-12T00:00:00.000,Lord Fairfax,Missing,4,0,0
160,2020-09-12T00:00:00.000,Loudoun,0-9,255,4,0
161,2020-09-12T00:00:00.000,Loudoun,10-19,935,2,0
162,2020-09-12T00:00:00.000,Loudoun,20-29,1154,15,0
163,2020-09-12T00:00:00.000,Loudoun,30-39,1078,37,0
164,2020-09-12T00:00:00.000,Loudoun,40-49,1188,73,1
165,2020-09-12T00:00:00.000,Loudoun,50-59,938,80,4
166,2020-09-12T00:00:00.000,Loudoun,60-69,372,74,9
167,2020-09-12T00:00:00.000,Loudoun,70-79,193,62,19
168,2020-09-12T00:00:00.000,Loudoun,80+,230,63,84
169,2020-09-12T00:00:00.000,Loudoun,Missing,66,0,1
170,2020-09-12T00:00:00.000,Mount Rogers,0-9,85,2,0
171,2020-09-12T00:00:00.000,Mount Rogers,10-19,186,0,0
172,2020-09-12T00:00:00.000,Mount Rogers,20-29,370,0,0
173,2020-09-12T00:00:00.000,Mount Rogers,30-39,303,14,0
174,2020-09-12T00:00:00.000,Mount Rogers,40-49,316,8,2
175,2020-09-12T00:00:00.000,Mount Rogers,50-59,344,26,3
176,2020-09-12T00:00:00.000,Mount Rogers,60-69,284,31,3
177,2020-09-12T00:00:00.000,Mount Rogers,70-79,260,70,27
178,2020-09-12T00:00:00.000,Mount Rogers,80+,243,55,44
179,2020-09-12T00:00:00.000,Mount Rogers,Missing,0,0,0
180,2020-09-12T00:00:00.000,New River,0-9,22,0,0
181,2020-09-12T00:00:00.000,New River,10-19,700,0,0
182,2020-09-12T00:00:00.000,New River,20-29,1103,1,0
183,2020-09-12T00:00:00.000,New River,30-39,157,4,0
184,2020-09-12T00:00:00.000,New River,40-49,125,4,0
185,2020-09-12T00:00:00.000,New River,50-59,115,7,0
