,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-12-13T00:00:00.000,Alexandria,0-9,437,3,0
1,2020-12-13T00:00:00.000,Alexandria,10-19,428,6,0
2,2020-12-13T00:00:00.000,Alexandria,20-29,1250,10,1
3,2020-12-13T00:00:00.000,Alexandria,30-39,1446,42,2
4,2020-12-13T00:00:00.000,Alexandria,40-49,1073,64,1
5,2020-12-13T00:00:00.000,Alexandria,50-59,736,82,14
6,2020-12-13T00:00:00.000,Alexandria,60-69,457,78,8
7,2020-12-13T00:00:00.000,Alexandria,70-79,201,63,20
8,2020-12-13T00:00:00.000,Alexandria,80+,165,47,36
9,2020-12-13T00:00:00.000,Alexandria,Missing,22,1,0
10,2020-12-13T00:00:00.000,Alleghany,0-9,160,0,0
11,2020-12-13T00:00:00.000,Alleghany,10-19,596,2,0
12,2020-12-13T00:00:00.000,Alleghany,20-29,1067,4,0
13,2020-12-13T00:00:00.000,Alleghany,30-39,1048,9,0
14,2020-12-13T00:00:00.000,Alleghany,40-49,975,13,0
15,2020-12-13T00:00:00.000,Alleghany,50-59,1044,23,4
16,2020-12-13T00:00:00.000,Alleghany,60-69,732,41,8
17,2020-12-13T00:00:00.000,Alleghany,70-79,516,55,38
18,2020-12-13T00:00:00.000,Alleghany,80+,439,42,51
19,2020-12-13T00:00:00.000,Alleghany,Missing,29,0,0
20,2020-12-13T00:00:00.000,Arlington,0-9,245,2,0
21,2020-12-13T00:00:00.000,Arlington,10-19,506,6,0
22,2020-12-13T00:00:00.000,Arlington,20-29,1905,28,0
23,2020-12-13T00:00:00.000,Arlington,30-39,1482,61,0
24,2020-12-13T00:00:00.000,Arlington,40-49,1125,84,10
25,2020-12-13T00:00:00.000,Arlington,50-59,899,100,9
26,2020-12-13T00:00:00.000,Arlington,60-69,569,117,23
27,2020-12-13T00:00:00.000,Arlington,70-79,310,100,40
28,2020-12-13T00:00:00.000,Arlington,80+,302,113,82
29,2020-12-13T00:00:00.000,Arlington,Missing,52,1,0
30,2020-12-13T00:00:00.000,Central Shenandoah,0-9,313,0,0
31,2020-12-13T00:00:00.000,Central Shenandoah,10-19,1820,3,0
32,2020-12-13T00:00:00.000,Central Shenandoah,20-29,2976,16,0
33,2020-12-13T00:00:00.000,Central Shenandoah,30-39,1555,16,2
34,2020-12-13T00:00:00.000,Central Shenandoah,40-49,1441,40,0
35,2020-12-13T00:00:00.000,Central Shenandoah,50-59,1543,70,8
36,2020-12-13T00:00:00.000,Central Shenandoah,60-69,1177,95,27
37,2020-12-13T00:00:00.000,Central Shenandoah,70-79,687,114,32
38,2020-12-13T00:00:00.000,Central Shenandoah,80+,533,93,59
39,2020-12-13T00:00:00.000,Central Shenandoah,Missing,32,0,0
40,2020-12-13T00:00:00.000,Central Virginia,0-9,274,1,0
41,2020-12-13T00:00:00.000,Central Virginia,10-19,1053,3,0
42,2020-12-13T00:00:00.000,Central Virginia,20-29,1963,11,0
43,2020-12-13T00:00:00.000,Central Virginia,30-39,1166,23,0
44,2020-12-13T00:00:00.000,Central Virginia,40-49,1133,15,1
