,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-26T00:00:00.000,Alexandria,4230,325,74
1,2020-10-26T00:00:00.000,Alleghany,2582,115,36
2,2020-10-26T00:00:00.000,Arlington,4562,533,154
3,2020-10-26T00:00:00.000,Central Shenandoah,6710,296,82
4,2020-10-26T00:00:00.000,Central Virginia,4690,180,61
5,2020-10-26T00:00:00.000,Chesapeake,4880,478,78
6,2020-10-26T00:00:00.000,Chesterfield,7643,455,133
7,2020-10-26T00:00:00.000,Chickahominy,2324,190,57
8,2020-10-26T00:00:00.000,Crater,4981,301,115
9,2020-10-26T00:00:00.000,Cumberland Plateau,1366,86,13
10,2020-10-26T00:00:00.000,Eastern Shore,1529,145,50
11,2020-10-26T00:00:00.000,Fairfax,23695,2274,621
12,2020-10-26T00:00:00.000,Hampton,2102,88,32
13,2020-10-26T00:00:00.000,Henrico,6249,479,232
14,2020-10-26T00:00:00.000,Lenowisco,1483,107,25
15,2020-10-26T00:00:00.000,Lord Fairfax,3886,321,130
16,2020-10-26T00:00:00.000,Loudoun,7784,475,130
17,2020-10-26T00:00:00.000,Mount Rogers,3682,311,147
18,2020-10-26T00:00:00.000,New River,4328,76,27
19,2020-10-26T00:00:00.000,Norfolk,5331,407,85
20,2020-10-26T00:00:00.000,Peninsula,5064,220,92
21,2020-10-26T00:00:00.000,Piedmont,2445,152,56
22,2020-10-26T00:00:00.000,Pittsylvania-Danville,2448,186,59
23,2020-10-26T00:00:00.000,Portsmouth,2819,306,69
24,2020-10-26T00:00:00.000,Prince William,16689,1177,258
25,2020-10-26T00:00:00.000,Rappahannock,6017,429,88
26,2020-10-26T00:00:00.000,Rappahannock Rapidan,3059,193,55
27,2020-10-26T00:00:00.000,Richmond,5285,449,76
28,2020-10-26T00:00:00.000,Roanoke,2695,96,37
29,2020-10-26T00:00:00.000,Southside,1800,90,48
30,2020-10-26T00:00:00.000,Thomas Jefferson,4390,230,77
31,2020-10-26T00:00:00.000,Three Rivers,2232,136,39
32,2020-10-26T00:00:00.000,Virginia Beach,7833,431,104
