,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
89,2020-10-28T00:00:00.000,Norfolk,5395,410,84
90,2020-10-28T00:00:00.000,Peninsula,5116,221,92
91,2020-10-28T00:00:00.000,Piedmont,2489,155,56
92,2020-10-28T00:00:00.000,Pittsylvania-Danville,2508,194,60
93,2020-10-28T00:00:00.000,Portsmouth,2838,311,70
94,2020-10-28T00:00:00.000,Prince William,16928,1185,258
95,2020-10-28T00:00:00.000,Rappahannock,6108,429,92
96,2020-10-28T00:00:00.000,Rappahannock Rapidan,3080,192,55
97,2020-10-28T00:00:00.000,Richmond,5355,452,77
98,2020-10-28T00:00:00.000,Roanoke,2771,97,39
99,2020-10-28T00:00:00.000,Southside,1825,90,48
100,2020-10-28T00:00:00.000,Thomas Jefferson,4438,232,77
101,2020-10-28T00:00:00.000,Three Rivers,2251,137,38
102,2020-10-28T00:00:00.000,Virginia Beach,7926,432,106
103,2020-10-28T00:00:00.000,Western Tidewater,4591,235,155
104,2020-10-28T00:00:00.000,West Piedmont,2975,294,88
105,2020-10-27T00:00:00.000,Alexandria,4248,325,74
106,2020-10-27T00:00:00.000,Alleghany,2647,115,37
107,2020-10-27T00:00:00.000,Arlington,4586,536,154
108,2020-10-27T00:00:00.000,Central Shenandoah,6768,297,83
109,2020-10-27T00:00:00.000,Central Virginia,4741,192,64
110,2020-10-27T00:00:00.000,Chesapeake,4905,479,79
111,2020-10-27T00:00:00.000,Chesterfield,7676,458,137
112,2020-10-27T00:00:00.000,Chickahominy,2338,192,58
113,2020-10-27T00:00:00.000,Crater,5017,303,117
114,2020-10-27T00:00:00.000,Cumberland Plateau,1392,88,13
115,2020-10-27T00:00:00.000,Eastern Shore,1530,145,50
116,2020-10-27T00:00:00.000,Fairfax,23769,2285,620
117,2020-10-27T00:00:00.000,Hampton,2109,88,32
118,2020-10-27T00:00:00.000,Henrico,6294,482,232
119,2020-10-27T00:00:00.000,Lenowisco,1515,107,26
120,2020-10-27T00:00:00.000,Lord Fairfax,3916,322,130
121,2020-10-27T00:00:00.000,Loudoun,7817,478,130
122,2020-10-27T00:00:00.000,Mount Rogers,3713,311,149
123,2020-10-27T00:00:00.000,New River,4355,77,27
124,2020-10-27T00:00:00.000,Norfolk,5369,407,84
125,2020-10-27T00:00:00.000,Peninsula,5085,220,92
126,2020-10-27T00:00:00.000,Piedmont,2475,152,56
127,2020-10-27T00:00:00.000,Pittsylvania-Danville,2468,189,59
128,2020-10-27T00:00:00.000,Portsmouth,2824,307,69
129,2020-10-27T00:00:00.000,Prince William,16849,1180,258
130,2020-10-27T00:00:00.000,Rappahannock,6053,429,88
131,2020-10-27T00:00:00.000,Rappahannock Rapidan,3060,192,55
132,2020-10-27T00:00:00.000,Richmond,5320,450,77
133,2020-10-27T00:00:00.000,Roanoke,2730,97,39
134,2020-10-27T00:00:00.000,Southside,1807,90,48
135,2020-10-27T00:00:00.000,Thomas Jefferson,4407,232,77
136,2020-10-27T00:00:00.000,Three Rivers,2236,136,38
137,2020-10-27T00:00:00.000,Virginia Beach,7881,432,105
138,2020-10-27T00:00:00.000,Western Tidewater,4570,235,155
139,2020-10-27T00:00:00.000,West Piedmont,2939,292,88
140,2020-10-26T00:00:00.000,Alexandria,4230,325,74
141,2020-10-26T00:00:00.000,Alleghany,2582,115,36
142,2020-10-26T00:00:00.000,Arlington,4562,533,154
143,2020-10-26T00:00:00.000,Central Shenandoah,6710,296,82
144,2020-10-26T00:00:00.000,Central Virginia,4690,180,61
145,2020-10-26T00:00:00.000,Chesapeake,4880,478,78
146,2020-10-26T00:00:00.000,Chesterfield,7643,455,133
147,2020-10-26T00:00:00.000,Chickahominy,2324,190,57
148,2020-10-26T00:00:00.000,Crater,4981,301,115
149,2020-10-26T00:00:00.000,Cumberland Plateau,1366,86,13
150,2020-10-26T00:00:00.000,Eastern Shore,1529,145,50
