,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-28T00:00:00.000,Alexandria,0-9,297,3,0
1,2020-10-28T00:00:00.000,Alexandria,10-19,303,5,0
2,2020-10-28T00:00:00.000,Alexandria,20-29,827,9,1
3,2020-10-28T00:00:00.000,Alexandria,30-39,965,36,1
4,2020-10-28T00:00:00.000,Alexandria,40-49,735,53,1
5,2020-10-28T00:00:00.000,Alexandria,50-59,536,67,14
6,2020-10-28T00:00:00.000,Alexandria,60-69,318,62,5
7,2020-10-28T00:00:00.000,Alexandria,70-79,148,52,21
8,2020-10-28T00:00:00.000,Alexandria,80+,128,38,31
9,2020-10-28T00:00:00.000,Alexandria,Missing,12,0,0
10,2020-10-28T00:00:00.000,Alleghany,0-9,72,0,0
11,2020-10-28T00:00:00.000,Alleghany,10-19,292,2,0
12,2020-10-28T00:00:00.000,Alleghany,20-29,499,2,0
13,2020-10-28T00:00:00.000,Alleghany,30-39,357,8,0
14,2020-10-28T00:00:00.000,Alleghany,40-49,379,9,0
15,2020-10-28T00:00:00.000,Alleghany,50-59,417,15,1
16,2020-10-28T00:00:00.000,Alleghany,60-69,260,26,2
17,2020-10-28T00:00:00.000,Alleghany,70-79,204,28,19
18,2020-10-28T00:00:00.000,Alleghany,80+,192,25,15
19,2020-10-28T00:00:00.000,Alleghany,Missing,5,0,0
20,2020-10-28T00:00:00.000,Arlington,0-9,141,2,0
21,2020-10-28T00:00:00.000,Arlington,10-19,292,6,0
22,2020-10-28T00:00:00.000,Arlington,20-29,1090,25,0
23,2020-10-28T00:00:00.000,Arlington,30-39,884,51,0
24,2020-10-28T00:00:00.000,Arlington,40-49,723,71,9
25,2020-10-28T00:00:00.000,Arlington,50-59,595,89,8
26,2020-10-28T00:00:00.000,Arlington,60-69,418,109,23
27,2020-10-28T00:00:00.000,Arlington,70-79,228,87,38
28,2020-10-28T00:00:00.000,Arlington,80+,238,97,76
29,2020-10-28T00:00:00.000,Arlington,Missing,21,1,0
30,2020-10-28T00:00:00.000,Central Shenandoah,0-9,174,0,0
31,2020-10-28T00:00:00.000,Central Shenandoah,10-19,1306,2,0
32,2020-10-28T00:00:00.000,Central Shenandoah,20-29,1984,14,0
33,2020-10-28T00:00:00.000,Central Shenandoah,30-39,725,11,2
34,2020-10-28T00:00:00.000,Central Shenandoah,40-49,755,28,0
35,2020-10-28T00:00:00.000,Central Shenandoah,50-59,757,51,7
36,2020-10-28T00:00:00.000,Central Shenandoah,60-69,557,66,17
37,2020-10-28T00:00:00.000,Central Shenandoah,70-79,288,72,22
38,2020-10-28T00:00:00.000,Central Shenandoah,80+,257,57,35
39,2020-10-28T00:00:00.000,Central Shenandoah,Missing,18,0,0
40,2020-10-28T00:00:00.000,Central Virginia,0-9,136,0,0
