,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-10-29T00:00:00.000,51001,Accomack,Eastern Shore,1214,97,19
1,2020-10-29T00:00:00.000,51003,Albemarle,Thomas Jefferson,1593,95,24
2,2020-10-29T00:00:00.000,51005,Alleghany,Alleghany,114,11,4
3,2020-10-29T00:00:00.000,51007,Amelia,Piedmont,147,17,6
4,2020-10-29T00:00:00.000,51009,Amherst,Central Virginia,614,25,6
5,2020-10-29T00:00:00.000,51011,Appomattox,Central Virginia,300,18,6
6,2020-10-29T00:00:00.000,51013,Arlington,Arlington,4647,539,154
7,2020-10-29T00:00:00.000,51015,Augusta,Central Shenandoah,687,28,9
8,2020-10-29T00:00:00.000,51017,Bath,Central Shenandoah,24,1,0
9,2020-10-29T00:00:00.000,51019,Bedford,Central Virginia,1262,59,18
10,2020-10-29T00:00:00.000,51021,Bland,Mount Rogers,71,3,5
11,2020-10-29T00:00:00.000,51023,Botetourt,Alleghany,405,26,12
12,2020-10-29T00:00:00.000,51025,Brunswick,Southside,421,30,5
13,2020-10-29T00:00:00.000,51027,Buchanan,Cumberland Plateau,268,15,3
14,2020-10-29T00:00:00.000,51029,Buckingham,Piedmont,751,26,9
15,2020-10-29T00:00:00.000,51031,Campbell,Central Virginia,753,32,8
16,2020-10-29T00:00:00.000,51033,Caroline,Rappahannock,429,31,6
17,2020-10-29T00:00:00.000,51035,Carroll,Mount Rogers,615,49,29
18,2020-10-29T00:00:00.000,51036,Charles City,Chickahominy,102,22,5
19,2020-10-29T00:00:00.000,51037,Charlotte,Piedmont,216,13,1
20,2020-10-29T00:00:00.000,51041,Chesterfield,Chesterfield,7162,418,118
21,2020-10-29T00:00:00.000,51043,Clarke,Lord Fairfax,121,13,1
22,2020-10-29T00:00:00.000,51045,Craig,Alleghany,50,4,0
23,2020-10-29T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,1390,97,18
24,2020-10-29T00:00:00.000,51049,Cumberland,Piedmont,121,9,2
25,2020-10-29T00:00:00.000,51051,Dickenson,Cumberland Plateau,143,8,1
26,2020-10-29T00:00:00.000,51053,Dinwiddie,Crater,533,43,12
27,2020-10-29T00:00:00.000,51057,Essex,Three Rivers,198,13,2
28,2020-10-29T00:00:00.000,51059,Fairfax,Fairfax,23832,2271,605
29,2020-10-29T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,1110,56,27
30,2020-10-29T00:00:00.000,51063,Floyd,New River,249,13,15
31,2020-10-29T00:00:00.000,51065,Fluvanna,Thomas Jefferson,430,42,9
32,2020-10-29T00:00:00.000,51067,Franklin County,West Piedmont,886,34,6
33,2020-10-29T00:00:00.000,51069,Frederick,Lord Fairfax,1186,85,13
34,2020-10-29T00:00:00.000,51071,Giles,New River,135,4,0
35,2020-10-29T00:00:00.000,51073,Gloucester,Three Rivers,352,17,3
36,2020-10-29T00:00:00.000,51075,Goochland,Chickahominy,331,31,7
37,2020-10-29T00:00:00.000,51077,Grayson,Mount Rogers,388,30,19
38,2020-10-29T00:00:00.000,51079,Greene,Thomas Jefferson,293,15,3
39,2020-10-29T00:00:00.000,51081,Greensville,Crater,906,40,15
40,2020-10-29T00:00:00.000,51083,Halifax,Southside,536,15,8
41,2020-10-29T00:00:00.000,51085,Hanover,Chickahominy,1666,128,44
42,2020-10-29T00:00:00.000,51087,Henrico,Henrico,6394,483,239
43,2020-10-29T00:00:00.000,51089,Henry,West Piedmont,1336,140,32
44,2020-10-29T00:00:00.000,51091,Highland,Central Shenandoah,10,0,0
45,2020-10-29T00:00:00.000,51093,Isle of Wight,Western Tidewater,875,45,26
46,2020-10-29T00:00:00.000,51095,James City,Peninsula,960,68,22
47,2020-10-29T00:00:00.000,51097,King and Queen,Three Rivers,85,12,2
48,2020-10-29T00:00:00.000,51099,King George,Rappahannock,278,25,5
49,2020-10-29T00:00:00.000,51101,King William,Three Rivers,211,17,4
50,2020-10-29T00:00:00.000,51103,Lancaster,Three Rivers,200,8,1
51,2020-10-29T00:00:00.000,51105,Lee,Lenowisco,509,33,10
52,2020-10-29T00:00:00.000,51107,Loudoun,Loudoun,7908,480,130
53,2020-10-29T00:00:00.000,51109,Louisa,Thomas Jefferson,404,39,8
54,2020-10-29T00:00:00.000,51111,Lunenburg,Piedmont,152,8,4
55,2020-10-29T00:00:00.000,51113,Madison,Rappahannock Rapidan,133,10,3
56,2020-10-29T00:00:00.000,51115,Mathews,Three Rivers,136,10,0
57,2020-10-29T00:00:00.000,51117,Mecklenburg,Southside,888,45,35
58,2020-10-29T00:00:00.000,51119,Middlesex,Three Rivers,146,9,11
59,2020-10-29T00:00:00.000,51121,Montgomery,New River,2812,33,5
60,2020-10-29T00:00:00.000,51125,Nelson,Thomas Jefferson,140,8,2
61,2020-10-29T00:00:00.000,51127,New Kent,Chickahominy,294,16,3
62,2020-10-29T00:00:00.000,51131,Northampton,Eastern Shore,320,49,31
63,2020-10-29T00:00:00.000,51133,Northumberland,Three Rivers,224,13,7
64,2020-10-29T00:00:00.000,51135,Nottoway,Piedmont,358,49,21
65,2020-10-29T00:00:00.000,51137,Orange,Rappahannock Rapidan,412,24,5
66,2020-10-29T00:00:00.000,51139,Page,Lord Fairfax,482,52,31
67,2020-10-29T00:00:00.000,51141,Patrick,West Piedmont,320,58,27
68,2020-10-29T00:00:00.000,51143,Pittsylvania,Pittsylvania-Danville,1323,83,17
69,2020-10-29T00:00:00.000,51145,Powhatan,Chesterfield,315,18,5
70,2020-10-29T00:00:00.000,51147,Prince Edward,Piedmont,768,37,13
71,2020-10-29T00:00:00.000,51149,Prince George,Crater,1105,25,7
72,2020-10-29T00:00:00.000,51153,Prince William,Prince William,14350,1000,223
73,2020-10-29T00:00:00.000,51155,Pulaski,New River,302,18,6
74,2020-10-29T00:00:00.000,51157,Rappahannock,Rappahannock Rapidan,72,6,2
75,2020-10-29T00:00:00.000,51159,Richmond County,Three Rivers,370,14,4
76,2020-10-29T00:00:00.000,51161,Roanoke County,Alleghany,1541,47,14
77,2020-10-29T00:00:00.000,51163,Rockbridge,Central Shenandoah,153,7,3
78,2020-10-29T00:00:00.000,51165,Rockingham,Central Shenandoah,1769,130,27
79,2020-10-29T00:00:00.000,51167,Russell,Cumberland Plateau,494,41,8
80,2020-10-29T00:00:00.000,51169,Scott,Lenowisco,404,29,6
