,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-12-01T00:00:00.000,51001,Accomack,Eastern Shore,1357,107,21
1,2020-12-01T00:00:00.000,51003,Albemarle,Thomas Jefferson,1921,100,27
2,2020-12-01T00:00:00.000,51005,Alleghany,Alleghany,340,19,7
3,2020-12-01T00:00:00.000,51007,Amelia,Piedmont,224,21,6
4,2020-12-01T00:00:00.000,51009,Amherst,Central Virginia,829,32,7
5,2020-12-01T00:00:00.000,51011,Appomattox,Central Virginia,407,27,6
6,2020-12-01T00:00:00.000,51013,Arlington,Arlington,6334,589,157
7,2020-12-01T00:00:00.000,51015,Augusta,Central Shenandoah,1231,44,12
8,2020-12-01T00:00:00.000,51017,Bath,Central Shenandoah,65,1,0
9,2020-12-01T00:00:00.000,51019,Bedford,Central Virginia,1877,80,20
10,2020-12-01T00:00:00.000,51021,Bland,Mount Rogers,201,7,5
11,2020-12-01T00:00:00.000,51023,Botetourt,Alleghany,784,33,13
12,2020-12-01T00:00:00.000,51025,Brunswick,Southside,474,34,7
13,2020-12-01T00:00:00.000,51027,Buchanan,Cumberland Plateau,431,23,6
14,2020-12-01T00:00:00.000,51029,Buckingham,Piedmont,900,34,10
15,2020-12-01T00:00:00.000,51031,Campbell,Central Virginia,1214,39,13
16,2020-12-01T00:00:00.000,51033,Caroline,Rappahannock,634,32,6
17,2020-12-01T00:00:00.000,51035,Carroll,Mount Rogers,984,66,30
18,2020-12-01T00:00:00.000,51036,Charles City,Chickahominy,145,24,7
19,2020-12-01T00:00:00.000,51037,Charlotte,Piedmont,285,25,5
20,2020-12-01T00:00:00.000,51041,Chesterfield,Chesterfield,9443,499,131
21,2020-12-01T00:00:00.000,51043,Clarke,Lord Fairfax,208,19,3
22,2020-12-01T00:00:00.000,51045,Craig,Alleghany,90,3,1
23,2020-12-01T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,2245,113,20
24,2020-12-01T00:00:00.000,51049,Cumberland,Piedmont,161,13,4
25,2020-12-01T00:00:00.000,51051,Dickenson,Cumberland Plateau,274,13,1
26,2020-12-01T00:00:00.000,51053,Dinwiddie,Crater,677,49,14
27,2020-12-01T00:00:00.000,51057,Essex,Three Rivers,255,19,2
28,2020-12-01T00:00:00.000,51059,Fairfax,Fairfax,31287,2559,624
29,2020-12-01T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,1518,68,28
30,2020-12-01T00:00:00.000,51063,Floyd,New River,352,15,16
31,2020-12-01T00:00:00.000,51065,Fluvanna,Thomas Jefferson,503,44,9
32,2020-12-01T00:00:00.000,51067,Franklin County,West Piedmont,1642,55,17
33,2020-12-01T00:00:00.000,51069,Frederick,Lord Fairfax,2266,124,18
34,2020-12-01T00:00:00.000,51071,Giles,New River,303,9,1
