,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-09-26T00:00:00.000,Alexandria,0-9,244,3,0
1,2020-09-26T00:00:00.000,Alexandria,10-19,271,5,0
2,2020-09-26T00:00:00.000,Alexandria,20-29,711,14,1
3,2020-09-26T00:00:00.000,Alexandria,30-39,882,38,1
4,2020-09-26T00:00:00.000,Alexandria,40-49,662,49,1
5,2020-09-26T00:00:00.000,Alexandria,50-59,481,66,13
6,2020-09-26T00:00:00.000,Alexandria,60-69,287,60,4
7,2020-09-26T00:00:00.000,Alexandria,70-79,135,49,19
8,2020-09-26T00:00:00.000,Alexandria,80+,120,35,30
9,2020-09-26T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-09-26T00:00:00.000,Alleghany,0-9,46,0,0
11,2020-09-26T00:00:00.000,Alleghany,10-19,192,1,0
12,2020-09-26T00:00:00.000,Alleghany,20-29,334,1,0
13,2020-09-26T00:00:00.000,Alleghany,30-39,207,5,0
14,2020-09-26T00:00:00.000,Alleghany,40-49,211,7,0
15,2020-09-26T00:00:00.000,Alleghany,50-59,251,12,1
16,2020-09-26T00:00:00.000,Alleghany,60-69,137,15,1
17,2020-09-26T00:00:00.000,Alleghany,70-79,120,20,15
18,2020-09-26T00:00:00.000,Alleghany,80+,67,15,9
19,2020-09-26T00:00:00.000,Alleghany,Missing,4,0,0
20,2020-09-26T00:00:00.000,Arlington,0-9,110,2,0
21,2020-09-26T00:00:00.000,Arlington,10-19,224,5,0
22,2020-09-26T00:00:00.000,Arlington,20-29,880,24,0
23,2020-09-26T00:00:00.000,Arlington,30-39,738,47,0
24,2020-09-26T00:00:00.000,Arlington,40-49,642,67,9
25,2020-09-26T00:00:00.000,Arlington,50-59,517,81,8
26,2020-09-26T00:00:00.000,Arlington,60-69,370,95,20
27,2020-09-26T00:00:00.000,Arlington,70-79,211,83,37
28,2020-09-26T00:00:00.000,Arlington,80+,225,93,75
29,2020-09-26T00:00:00.000,Arlington,Missing,18,1,0
30,2020-09-26T00:00:00.000,Central Shenandoah,0-9,133,0,0
31,2020-09-26T00:00:00.000,Central Shenandoah,10-19,978,1,0
32,2020-09-26T00:00:00.000,Central Shenandoah,20-29,1609,14,0
33,2020-09-26T00:00:00.000,Central Shenandoah,30-39,557,11,1
34,2020-09-26T00:00:00.000,Central Shenandoah,40-49,589,21,0
35,2020-09-26T00:00:00.000,Central Shenandoah,50-59,607,45,6
36,2020-09-26T00:00:00.000,Central Shenandoah,60-69,436,60,16
37,2020-09-26T00:00:00.000,Central Shenandoah,70-79,222,65,19
38,2020-09-26T00:00:00.000,Central Shenandoah,80+,189,49,28
39,2020-09-26T00:00:00.000,Central Shenandoah,Missing,8,0,0
40,2020-09-26T00:00:00.000,Central Virginia,0-9,91,0,0
41,2020-09-26T00:00:00.000,Central Virginia,10-19,421,3,0
42,2020-09-26T00:00:00.000,Central Virginia,20-29,809,5,0
43,2020-09-26T00:00:00.000,Central Virginia,30-39,395,15,0
44,2020-09-26T00:00:00.000,Central Virginia,40-49,393,7,1
45,2020-09-26T00:00:00.000,Central Virginia,50-59,454,19,4
46,2020-09-26T00:00:00.000,Central Virginia,60-69,305,27,7
47,2020-09-26T00:00:00.000,Central Virginia,70-79,193,22,10
48,2020-09-26T00:00:00.000,Central Virginia,80+,137,22,15
49,2020-09-26T00:00:00.000,Central Virginia,Missing,3,0,0
50,2020-09-26T00:00:00.000,Chesapeake,0-9,143,2,0
51,2020-09-26T00:00:00.000,Chesapeake,10-19,355,4,0
52,2020-09-26T00:00:00.000,Chesapeake,20-29,788,8,0
53,2020-09-26T00:00:00.000,Chesapeake,30-39,776,25,0
54,2020-09-26T00:00:00.000,Chesapeake,40-49,660,47,1
55,2020-09-26T00:00:00.000,Chesapeake,50-59,634,73,7
56,2020-09-26T00:00:00.000,Chesapeake,60-69,481,99,15
57,2020-09-26T00:00:00.000,Chesapeake,70-79,236,85,16
58,2020-09-26T00:00:00.000,Chesapeake,80+,182,63,32
59,2020-09-26T00:00:00.000,Chesapeake,Missing,41,1,0
60,2020-09-26T00:00:00.000,Chesterfield,0-9,266,3,0
61,2020-09-26T00:00:00.000,Chesterfield,10-19,668,2,0
62,2020-09-26T00:00:00.000,Chesterfield,20-29,1207,17,0
63,2020-09-26T00:00:00.000,Chesterfield,30-39,1233,36,1
64,2020-09-26T00:00:00.000,Chesterfield,40-49,1045,56,4
65,2020-09-26T00:00:00.000,Chesterfield,50-59,880,74,8
66,2020-09-26T00:00:00.000,Chesterfield,60-69,544,83,25
67,2020-09-26T00:00:00.000,Chesterfield,70-79,236,50,31
68,2020-09-26T00:00:00.000,Chesterfield,80+,201,47,55
69,2020-09-26T00:00:00.000,Chesterfield,Missing,142,1,0
70,2020-09-26T00:00:00.000,Chickahominy,0-9,38,0,0
71,2020-09-26T00:00:00.000,Chickahominy,10-19,206,1,0
72,2020-09-26T00:00:00.000,Chickahominy,20-29,324,4,0
73,2020-09-26T00:00:00.000,Chickahominy,30-39,261,4,0
74,2020-09-26T00:00:00.000,Chickahominy,40-49,249,16,1
75,2020-09-26T00:00:00.000,Chickahominy,50-59,315,30,1
76,2020-09-26T00:00:00.000,Chickahominy,60-69,189,34,10
