,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-12-01T00:00:00.000,Alexandria,0-9,382,3,0
1,2020-12-01T00:00:00.000,Alexandria,10-19,373,6,0
2,2020-12-01T00:00:00.000,Alexandria,20-29,1086,9,1
3,2020-12-01T00:00:00.000,Alexandria,30-39,1237,40,2
4,2020-12-01T00:00:00.000,Alexandria,40-49,925,61,1
5,2020-12-01T00:00:00.000,Alexandria,50-59,650,78,14
6,2020-12-01T00:00:00.000,Alexandria,60-69,399,68,5
7,2020-12-01T00:00:00.000,Alexandria,70-79,182,59,21
8,2020-12-01T00:00:00.000,Alexandria,80+,148,42,33
9,2020-12-01T00:00:00.000,Alexandria,Missing,22,0,0
10,2020-12-01T00:00:00.000,Alleghany,0-9,120,0,0
11,2020-12-01T00:00:00.000,Alleghany,10-19,474,2,0
12,2020-12-01T00:00:00.000,Alleghany,20-29,866,3,0
13,2020-12-01T00:00:00.000,Alleghany,30-39,837,9,0
14,2020-12-01T00:00:00.000,Alleghany,40-49,778,12,0
15,2020-12-01T00:00:00.000,Alleghany,50-59,798,18,3
16,2020-12-01T00:00:00.000,Alleghany,60-69,565,36,6
17,2020-12-01T00:00:00.000,Alleghany,70-79,424,47,32
18,2020-12-01T00:00:00.000,Alleghany,80+,380,36,38
19,2020-12-01T00:00:00.000,Alleghany,Missing,18,0,0
20,2020-12-01T00:00:00.000,Arlington,0-9,201,2,0
21,2020-12-01T00:00:00.000,Arlington,10-19,431,6,0
22,2020-12-01T00:00:00.000,Arlington,20-29,1603,27,0
23,2020-12-01T00:00:00.000,Arlington,30-39,1263,59,0
24,2020-12-01T00:00:00.000,Arlington,40-49,975,79,9
25,2020-12-01T00:00:00.000,Arlington,50-59,776,99,9
26,2020-12-01T00:00:00.000,Arlington,60-69,505,112,23
27,2020-12-01T00:00:00.000,Arlington,70-79,273,96,39
28,2020-12-01T00:00:00.000,Arlington,80+,269,108,77
29,2020-12-01T00:00:00.000,Arlington,Missing,38,1,0
30,2020-12-01T00:00:00.000,Central Shenandoah,0-9,238,0,0
31,2020-12-01T00:00:00.000,Central Shenandoah,10-19,1632,2,0
32,2020-12-01T00:00:00.000,Central Shenandoah,20-29,2531,15,0
33,2020-12-01T00:00:00.000,Central Shenandoah,30-39,1146,15,1
34,2020-12-01T00:00:00.000,Central Shenandoah,40-49,1113,36,0
35,2020-12-01T00:00:00.000,Central Shenandoah,50-59,1136,61,7
36,2020-12-01T00:00:00.000,Central Shenandoah,60-69,883,84,23
37,2020-12-01T00:00:00.000,Central Shenandoah,70-79,503,99,30
38,2020-12-01T00:00:00.000,Central Shenandoah,80+,410,78,51
39,2020-12-01T00:00:00.000,Central Shenandoah,Missing,24,0,0
40,2020-12-01T00:00:00.000,Central Virginia,0-9,205,0,0
41,2020-12-01T00:00:00.000,Central Virginia,10-19,876,3,0
42,2020-12-01T00:00:00.000,Central Virginia,20-29,1636,10,0
43,2020-12-01T00:00:00.000,Central Virginia,30-39,929,21,0
44,2020-12-01T00:00:00.000,Central Virginia,40-49,906,15,1
45,2020-12-01T00:00:00.000,Central Virginia,50-59,1014,28,5
46,2020-12-01T00:00:00.000,Central Virginia,60-69,718,54,12
47,2020-12-01T00:00:00.000,Central Virginia,70-79,504,70,21
48,2020-12-01T00:00:00.000,Central Virginia,80+,306,60,41
49,2020-12-01T00:00:00.000,Central Virginia,Missing,9,0,0
50,2020-12-01T00:00:00.000,Chesapeake,0-9,259,3,0
51,2020-12-01T00:00:00.000,Chesapeake,10-19,581,5,0
52,2020-12-01T00:00:00.000,Chesapeake,20-29,1235,14,0
53,2020-12-01T00:00:00.000,Chesapeake,30-39,1283,31,0
54,2020-12-01T00:00:00.000,Chesapeake,40-49,1028,64,1
55,2020-12-01T00:00:00.000,Chesapeake,50-59,967,98,8
56,2020-12-01T00:00:00.000,Chesapeake,60-69,703,126,15
57,2020-12-01T00:00:00.000,Chesapeake,70-79,347,107,16
58,2020-12-01T00:00:00.000,Chesapeake,80+,247,87,40
59,2020-12-01T00:00:00.000,Chesapeake,Missing,49,1,0
60,2020-12-01T00:00:00.000,Chesterfield,0-9,433,6,0
61,2020-12-01T00:00:00.000,Chesterfield,10-19,1080,3,0
62,2020-12-01T00:00:00.000,Chesterfield,20-29,1834,25,0
63,2020-12-01T00:00:00.000,Chesterfield,30-39,1860,52,2
64,2020-12-01T00:00:00.000,Chesterfield,40-49,1669,69,5
65,2020-12-01T00:00:00.000,Chesterfield,50-59,1450,114,8
66,2020-12-01T00:00:00.000,Chesterfield,60-69,948,120,31
67,2020-12-01T00:00:00.000,Chesterfield,70-79,497,93,49
68,2020-12-01T00:00:00.000,Chesterfield,80+,374,70,68
69,2020-12-01T00:00:00.000,Chesterfield,Missing,201,2,0
70,2020-12-01T00:00:00.000,Chickahominy,0-9,99,1,0
71,2020-12-01T00:00:00.000,Chickahominy,10-19,390,0,0
72,2020-12-01T00:00:00.000,Chickahominy,20-29,552,4,0
73,2020-12-01T00:00:00.000,Chickahominy,30-39,474,8,0
74,2020-12-01T00:00:00.000,Chickahominy,40-49,454,19,1
75,2020-12-01T00:00:00.000,Chickahominy,50-59,604,39,1
76,2020-12-01T00:00:00.000,Chickahominy,60-69,392,50,15
77,2020-12-01T00:00:00.000,Chickahominy,70-79,283,51,13
