,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-09-11T00:00:00.000,Alexandria,0-9,222,3,0
1,2020-09-11T00:00:00.000,Alexandria,10-19,253,4,0
2,2020-09-11T00:00:00.000,Alexandria,20-29,660,12,1
3,2020-09-11T00:00:00.000,Alexandria,30-39,834,37,1
4,2020-09-11T00:00:00.000,Alexandria,40-49,628,47,0
5,2020-09-11T00:00:00.000,Alexandria,50-59,453,62,12
6,2020-09-11T00:00:00.000,Alexandria,60-69,275,60,3
7,2020-09-11T00:00:00.000,Alexandria,70-79,126,44,18
8,2020-09-11T00:00:00.000,Alexandria,80+,115,35,27
9,2020-09-11T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-09-11T00:00:00.000,Alleghany,0-9,43,0,0
11,2020-09-11T00:00:00.000,Alleghany,10-19,168,1,0
12,2020-09-11T00:00:00.000,Alleghany,20-29,273,1,0
13,2020-09-11T00:00:00.000,Alleghany,30-39,179,5,0
14,2020-09-11T00:00:00.000,Alleghany,40-49,178,5,0
15,2020-09-11T00:00:00.000,Alleghany,50-59,210,12,1
16,2020-09-11T00:00:00.000,Alleghany,60-69,120,13,1
17,2020-09-11T00:00:00.000,Alleghany,70-79,102,16,13
18,2020-09-11T00:00:00.000,Alleghany,80+,54,14,8
19,2020-09-11T00:00:00.000,Alleghany,Missing,4,0,0
20,2020-09-11T00:00:00.000,Arlington,0-9,96,2,0
21,2020-09-11T00:00:00.000,Arlington,10-19,200,5,0
22,2020-09-11T00:00:00.000,Arlington,20-29,816,24,0
23,2020-09-11T00:00:00.000,Arlington,30-39,699,46,0
24,2020-09-11T00:00:00.000,Arlington,40-49,596,62,9
25,2020-09-11T00:00:00.000,Arlington,50-59,504,80,7
26,2020-09-11T00:00:00.000,Arlington,60-69,348,89,19
27,2020-09-11T00:00:00.000,Arlington,70-79,206,81,35
28,2020-09-11T00:00:00.000,Arlington,80+,219,91,74
29,2020-09-11T00:00:00.000,Arlington,Missing,16,1,0
30,2020-09-11T00:00:00.000,Central Shenandoah,0-9,109,0,0
31,2020-09-11T00:00:00.000,Central Shenandoah,10-19,622,1,0
32,2020-09-11T00:00:00.000,Central Shenandoah,20-29,1279,14,0
33,2020-09-11T00:00:00.000,Central Shenandoah,30-39,505,10,1
34,2020-09-11T00:00:00.000,Central Shenandoah,40-49,534,20,0
