,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-03T00:00:00.000,Alexandria,0-9,260,3,0
1,2020-10-03T00:00:00.000,Alexandria,10-19,275,5,0
2,2020-10-03T00:00:00.000,Alexandria,20-29,729,15,1
3,2020-10-03T00:00:00.000,Alexandria,30-39,897,38,1
4,2020-10-03T00:00:00.000,Alexandria,40-49,676,51,1
5,2020-10-03T00:00:00.000,Alexandria,50-59,492,67,14
6,2020-10-03T00:00:00.000,Alexandria,60-69,291,61,4
7,2020-10-03T00:00:00.000,Alexandria,70-79,139,50,19
8,2020-10-03T00:00:00.000,Alexandria,80+,123,36,30
9,2020-10-03T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-10-03T00:00:00.000,Alleghany,0-9,48,0,0
11,2020-10-03T00:00:00.000,Alleghany,10-19,202,1,0
12,2020-10-03T00:00:00.000,Alleghany,20-29,350,1,0
13,2020-10-03T00:00:00.000,Alleghany,30-39,228,5,0
14,2020-10-03T00:00:00.000,Alleghany,40-49,233,7,0
15,2020-10-03T00:00:00.000,Alleghany,50-59,267,12,1
16,2020-10-03T00:00:00.000,Alleghany,60-69,151,15,1
17,2020-10-03T00:00:00.000,Alleghany,70-79,129,20,16
18,2020-10-03T00:00:00.000,Alleghany,80+,80,17,10
19,2020-10-03T00:00:00.000,Alleghany,Missing,4,0,0
20,2020-10-03T00:00:00.000,Arlington,0-9,116,2,0
21,2020-10-03T00:00:00.000,Arlington,10-19,233,5,0
22,2020-10-03T00:00:00.000,Arlington,20-29,911,24,0
23,2020-10-03T00:00:00.000,Arlington,30-39,758,48,0
24,2020-10-03T00:00:00.000,Arlington,40-49,653,68,9
25,2020-10-03T00:00:00.000,Arlington,50-59,526,82,8
26,2020-10-03T00:00:00.000,Arlington,60-69,373,96,21
27,2020-10-03T00:00:00.000,Arlington,70-79,212,85,38
28,2020-10-03T00:00:00.000,Arlington,80+,226,94,75
29,2020-10-03T00:00:00.000,Arlington,Missing,18,1,0
30,2020-10-03T00:00:00.000,Central Shenandoah,0-9,144,0,0
31,2020-10-03T00:00:00.000,Central Shenandoah,10-19,1051,1,0
32,2020-10-03T00:00:00.000,Central Shenandoah,20-29,1690,14,0
33,2020-10-03T00:00:00.000,Central Shenandoah,30-39,588,11,1
34,2020-10-03T00:00:00.000,Central Shenandoah,40-49,632,22,0
35,2020-10-03T00:00:00.000,Central Shenandoah,50-59,632,46,6
36,2020-10-03T00:00:00.000,Central Shenandoah,60-69,461,62,16
37,2020-10-03T00:00:00.000,Central Shenandoah,70-79,233,67,19
38,2020-10-03T00:00:00.000,Central Shenandoah,80+,202,49,28
39,2020-10-03T00:00:00.000,Central Shenandoah,Missing,9,0,0
40,2020-10-03T00:00:00.000,Central Virginia,0-9,93,0,0
41,2020-10-03T00:00:00.000,Central Virginia,10-19,463,3,0
