,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-11-13T00:00:00.000,Alexandria,Female,2372,147,38
1,2020-11-13T00:00:00.000,Alexandria,Male,2217,189,38
2,2020-11-13T00:00:00.000,Alexandria,Not Reported,13,0,0
3,2020-11-13T00:00:00.000,Alleghany,Female,2021,74,33
4,2020-11-13T00:00:00.000,Alleghany,Male,1666,62,23
5,2020-11-13T00:00:00.000,Alleghany,Not Reported,20,0,1
6,2020-11-13T00:00:00.000,Arlington,Female,2573,245,71
7,2020-11-13T00:00:00.000,Arlington,Male,2614,313,84
8,2020-11-13T00:00:00.000,Arlington,Not Reported,4,0,0
9,2020-11-13T00:00:00.000,Central Shenandoah,Female,4080,163,42
10,2020-11-13T00:00:00.000,Central Shenandoah,Male,3543,162,51
11,2020-11-13T00:00:00.000,Central Shenandoah,Not Reported,20,0,0
12,2020-11-13T00:00:00.000,Central Virginia,Female,2956,101,28
13,2020-11-13T00:00:00.000,Central Virginia,Male,2572,114,39
14,2020-11-13T00:00:00.000,Central Virginia,Not Reported,164,2,1
15,2020-11-13T00:00:00.000,Chesapeake,Female,2950,258,37
16,2020-11-13T00:00:00.000,Chesapeake,Male,2497,243,43
17,2020-11-13T00:00:00.000,Chesapeake,Not Reported,6,0,0
18,2020-11-13T00:00:00.000,Chesterfield,Female,4445,249,71
19,2020-11-13T00:00:00.000,Chesterfield,Male,4067,254,79
20,2020-11-13T00:00:00.000,Chesterfield,Not Reported,144,0,3
21,2020-11-13T00:00:00.000,Chickahominy,Female,1388,100,32
22,2020-11-13T00:00:00.000,Chickahominy,Male,1335,113,30
23,2020-11-13T00:00:00.000,Chickahominy,Not Reported,29,0,0
24,2020-11-13T00:00:00.000,Crater,Female,2267,170,64
25,2020-11-13T00:00:00.000,Crater,Male,3136,149,54
26,2020-11-13T00:00:00.000,Crater,Not Reported,62,5,0
27,2020-11-13T00:00:00.000,Cumberland Plateau,Female,1026,59,10
28,2020-11-13T00:00:00.000,Cumberland Plateau,Male,852,57,7
29,2020-11-13T00:00:00.000,Cumberland Plateau,Not Reported,23,0,0
30,2020-11-13T00:00:00.000,Eastern Shore,Female,795,76,26
31,2020-11-13T00:00:00.000,Eastern Shore,Male,772,75,26
32,2020-11-13T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-11-13T00:00:00.000,Fairfax,Female,13463,1042,295
34,2020-11-13T00:00:00.000,Fairfax,Male,12769,1380,324
35,2020-11-13T00:00:00.000,Fairfax,Not Reported,169,1,6
