,report_date,case_status,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-17T00:00:00.000,Confirmed,155068,11726,3175
1,2020-10-17T00:00:00.000,Probable,10170,105,247
2,2020-10-16T00:00:00.000,Confirmed,154126,11675,3161
3,2020-10-16T00:00:00.000,Probable,9998,105,247
4,2020-10-15T00:00:00.000,Confirmed,153117,11602,3149
5,2020-10-15T00:00:00.000,Probable,9824,102,239
6,2020-10-14T00:00:00.000,Confirmed,152039,11526,3141
7,2020-10-14T00:00:00.000,Probable,9571,102,240
8,2020-10-13T00:00:00.000,Confirmed,151357,11497,3132
9,2020-10-13T00:00:00.000,Probable,9448,101,240
10,2020-10-12T00:00:00.000,Confirmed,150321,11453,3122
11,2020-10-12T00:00:00.000,Probable,9249,100,239
12,2020-10-11T00:00:00.000,Confirmed,149631,11421,3120
13,2020-10-11T00:00:00.000,Probable,9085,98,238
14,2020-10-10T00:00:00.000,Confirmed,148933,11405,3116
15,2020-10-10T00:00:00.000,Probable,8972,96,238
16,2020-10-09T00:00:00.000,Confirmed,147928,11352,3110
17,2020-10-09T00:00:00.000,Probable,8721,95,234
18,2020-10-08T00:00:00.000,Confirmed,146957,11299,3097
19,2020-10-08T00:00:00.000,Probable,8578,94,231
20,2020-10-07T00:00:00.000,Confirmed,145462,11252,3088
21,2020-10-07T00:00:00.000,Probable,8229,93,215
22,2020-10-06T00:00:00.000,Confirmed,144987,11222,3077
23,2020-10-06T00:00:00.000,Probable,8195,94,214
24,2020-10-05T00:00:00.000,Confirmed,144439,11167,3063
25,2020-10-05T00:00:00.000,Probable,8118,92,213
26,2020-10-04T00:00:00.000,Confirmed,143883,11130,3060
27,2020-10-04T00:00:00.000,Probable,7987,91,213
28,2020-10-03T00:00:00.000,Confirmed,142923,11102,3057
29,2020-10-03T00:00:00.000,Probable,7880,89,213
30,2020-10-02T00:00:00.000,Confirmed,141850,11051,3037
31,2020-10-02T00:00:00.000,Probable,7837,89,213
32,2020-10-01T00:00:00.000,Confirmed,140990,11006,3015
33,2020-10-01T00:00:00.000,Probable,7731,86,213
34,2020-09-30T00:00:00.000,Confirmed,140614,10956,2995
35,2020-09-30T00:00:00.000,Probable,7657,85,213
36,2020-09-29T00:00:00.000,Confirmed,139961,10894,2976
37,2020-09-29T00:00:00.000,Probable,7555,84,211
38,2020-09-28T00:00:00.000,Confirmed,139144,10832,2962
39,2020-09-28T00:00:00.000,Probable,7449,84,210
40,2020-09-27T00:00:00.000,Confirmed,138734,10804,2951
41,2020-09-27T00:00:00.000,Probable,7410,85,208
42,2020-09-26T00:00:00.000,Confirmed,138173,10778,2937
43,2020-09-26T00:00:00.000,Probable,7235,85,207
44,2020-09-25T00:00:00.000,Confirmed,137283,10721,2930
45,2020-09-25T00:00:00.000,Probable,7150,85,206
46,2020-09-24T00:00:00.000,Confirmed,136448,10684,2907
47,2020-09-24T00:00:00.000,Probable,7044,85,206
48,2020-09-23T00:00:00.000,Confirmed,135626,10634,2882
49,2020-09-23T00:00:00.000,Probable,6964,84,207
50,2020-09-22T00:00:00.000,Confirmed,135101,10592,2853
51,2020-09-22T00:00:00.000,Probable,6909,83,207
52,2020-09-21T00:00:00.000,Confirmed,134301,10531,2816
53,2020-09-21T00:00:00.000,Probable,6837,82,205
54,2020-09-20T00:00:00.000,Confirmed,133722,10510,2811
55,2020-09-20T00:00:00.000,Probable,6789,81,204
56,2020-09-19T00:00:00.000,Confirmed,132966,10484,2787
57,2020-09-19T00:00:00.000,Probable,6689,78,203
58,2020-09-18T00:00:00.000,Confirmed,132090,10445,2755
59,2020-09-18T00:00:00.000,Probable,6612,75,194
60,2020-09-17T00:00:00.000,Confirmed,130960,10393,2734
61,2020-09-17T00:00:00.000,Probable,6500,71,186
62,2020-09-16T00:00:00.000,Confirmed,129963,10318,2711
63,2020-09-16T00:00:00.000,Probable,6396,71,173
64,2020-09-15T00:00:00.000,Confirmed,129259,10267,2691
65,2020-09-15T00:00:00.000,Probable,6255,70,148
66,2020-09-14T00:00:00.000,Confirmed,128400,10223,2607
67,2020-09-14T00:00:00.000,Probable,6171,70,136
68,2020-09-13T00:00:00.000,Confirmed,127672,10175,2591
69,2020-09-13T00:00:00.000,Probable,6142,69,133
70,2020-09-12T00:00:00.000,Confirmed,126850,10149,2589
71,2020-09-12T00:00:00.000,Probable,6090,69,133
72,2020-09-11T00:00:00.000,Confirmed,125703,10085,2578
73,2020-09-11T00:00:00.000,Probable,5937,70,133
74,2020-09-10T00:00:00.000,Confirmed,124619,10015,2575
75,2020-09-10T00:00:00.000,Probable,5906,70,133
76,2020-09-09T00:00:00.000,Confirmed,123488,9938,2564
77,2020-09-09T00:00:00.000,Probable,5801,70,133
78,2020-09-08T00:00:00.000,Confirmed,122711,9863,2553
79,2020-09-08T00:00:00.000,Probable,5696,69,133
80,2020-09-07T00:00:00.000,Confirmed,121919,9833,2551
81,2020-09-07T00:00:00.000,Probable,5652,69,133
82,2020-09-06T00:00:00.000,Confirmed,121317,9812,2545
83,2020-09-06T00:00:00.000,Probable,5609,69,133
84,2020-09-05T00:00:00.000,Confirmed,120191,9781,2544
85,2020-09-05T00:00:00.000,Probable,5536,68,133
86,2020-09-04T00:00:00.000,Confirmed,119259,9730,2529
87,2020-09-04T00:00:00.000,Probable,5520,68,133
88,2020-09-03T00:00:00.000,Confirmed,118190,9673,2519
89,2020-09-03T00:00:00.000,Probable,5478,68,133
90,2020-09-02T00:00:00.000,Confirmed,117141,9610,2508
91,2020-09-02T00:00:00.000,Probable,5401,68,133
92,2020-09-01T00:00:00.000,Confirmed,116294,9555,2479
93,2020-09-01T00:00:00.000,Probable,5321,66,133
94,2020-08-31T00:00:00.000,Confirmed,115334,9504,2447
95,2020-08-31T00:00:00.000,Probable,5260,65,133
96,2020-08-30T00:00:00.000,Confirmed,114514,9490,2436
97,2020-08-30T00:00:00.000,Probable,5233,65,133
98,2020-08-29T00:00:00.000,Confirmed,113623,9448,2435
99,2020-08-29T00:00:00.000,Probable,5186,64,133
100,2020-08-28T00:00:00.000,Confirmed,112446,9397,2417
101,2020-08-28T00:00:00.000,Probable,5146,63,133
102,2020-08-27T00:00:00.000,Confirmed,111484,9329,2394
103,2020-08-27T00:00:00.000,Probable,5095,62,133
104,2020-08-26T00:00:00.000,Confirmed,110437,9264,2382
105,2020-08-26T00:00:00.000,Probable,5021,62,133
106,2020-08-25T00:00:00.000,Confirmed,109679,9199,2370
107,2020-08-25T00:00:00.000,Probable,4956,60,124
108,2020-08-24T00:00:00.000,Confirmed,108767,9148,2352
109,2020-08-24T00:00:00.000,Probable,4863,59,119
110,2020-08-23T00:00:00.000,Confirmed,108112,9117,2348
111,2020-08-23T00:00:00.000,Probable,4854,59,119
112,2020-08-22T00:00:00.000,Confirmed,107268,9081,2324
113,2020-08-22T00:00:00.000,Probable,4804,58,119
114,2020-08-21T00:00:00.000,Confirmed,106177,9014,2319
115,2020-08-21T00:00:00.000,Probable,4683,57,117
116,2020-08-20T00:00:00.000,Confirmed,105289,8940,2310
117,2020-08-20T00:00:00.000,Probable,4593,58,117
118,2020-08-19T00:00:00.000,Confirmed,104475,8868,2293
119,2020-08-19T00:00:00.000,Probable,4544,57,117
120,2020-08-18T00:00:00.000,Confirmed,103809,8793,2278
121,2020-08-18T00:00:00.000,Probable,4473,56,118
122,2020-08-17T00:00:00.000,Confirmed,103016,8713,2268
123,2020-08-17T00:00:00.000,Probable,4405,54,117
124,2020-08-16T00:00:00.000,Confirmed,102299,8682,2266
125,2020-08-16T00:00:00.000,Probable,4388,55,115
126,2020-08-15T00:00:00.000,Confirmed,101448,8648,2265
127,2020-08-15T00:00:00.000,Probable,4302,53,116
128,2020-08-14T00:00:00.000,Confirmed,100603,8597,2255
129,2020-08-14T00:00:00.000,Probable,4235,53,115
130,2020-08-13T00:00:00.000,Confirmed,99428,8540,2248
131,2020-08-13T00:00:00.000,Probable,4194,52,115
132,2020-08-12T00:00:00.000,Confirmed,98374,8480,2238
133,2020-08-12T00:00:00.000,Probable,4147,52,114
134,2020-08-11T00:00:00.000,Confirmed,97712,8407,2232
135,2020-08-11T00:00:00.000,Probable,4033,51,112
136,2020-08-10T00:00:00.000,Confirmed,96807,8341,2215
137,2020-08-10T00:00:00.000,Probable,3942,50,112
138,2020-08-09T00:00:00.000,Confirmed,96167,8319,2214
139,2020-08-09T00:00:00.000,Probable,3919,50,112
140,2020-08-08T00:00:00.000,Confirmed,95326,8282,2211
141,2020-08-08T00:00:00.000,Probable,3863,50,111
142,2020-08-07T00:00:00.000,Confirmed,94141,8231,2208
143,2020-08-07T00:00:00.000,Probable,3741,50,109
144,2020-08-06T00:00:00.000,Confirmed,92244,8135,2191
145,2020-08-06T00:00:00.000,Probable,3623,48,108
146,2020-08-05T00:00:00.000,Confirmed,91473,8077,2164
147,2020-08-05T00:00:00.000,Probable,3576,49,110
148,2020-08-04T00:00:00.000,Confirmed,90728,8037,2134
149,2020-08-04T00:00:00.000,Probable,3523,48,110
150,2020-08-03T00:00:00.000,Confirmed,89602,7970,2108
151,2020-08-03T00:00:00.000,Probable,3504,48,110
152,2020-08-02T00:00:00.000,Confirmed,88324,7907,2108
153,2020-08-02T00:00:00.000,Probable,3458,48,110
154,2020-08-01T00:00:00.000,Confirmed,87367,7862,2105
155,2020-08-01T00:00:00.000,Probable,3434,48,110
156,2020-07-31T00:00:00.000,Confirmed,86501,7820,2067
157,2020-07-31T00:00:00.000,Probable,3387,46,107
158,2020-07-30T00:00:00.000,Confirmed,85546,7740,2035
159,2020-07-30T00:00:00.000,Probable,3358,46,106
160,2020-07-29T00:00:00.000,Confirmed,84700,7692,2020
161,2020-07-29T00:00:00.000,Probable,3293,46,105
162,2020-07-28T00:00:00.000,Confirmed,83732,7640,1991
163,2020-07-28T00:00:00.000,Probable,3262,46,104
164,2020-07-27T00:00:00.000,Confirmed,82871,7600,1978
165,2020-07-27T00:00:00.000,Probable,3201,47,104
166,2020-07-26T00:00:00.000,Confirmed,81393,7546,1975
167,2020-07-26T00:00:00.000,Probable,3174,47,103
168,2020-07-25T00:00:00.000,Confirmed,80480,7524,1972
169,2020-07-25T00:00:00.000,Probable,3129,46,103
170,2020-07-24T00:00:00.000,Confirmed,79253,7472,1964
171,2020-07-24T00:00:00.000,Probable,3111,43,103
172,2020-07-23T00:00:00.000,Confirmed,78182,7394,1951
173,2020-07-23T00:00:00.000,Probable,3055,43,103
174,2020-07-22T00:00:00.000,Confirmed,77380,7307,1948
175,2020-07-22T00:00:00.000,Probable,3013,44,103
176,2020-07-21T00:00:00.000,Confirmed,76427,7223,1945
177,2020-07-21T00:00:00.000,Probable,2944,44,103
178,2020-07-20T00:00:00.000,Confirmed,75415,7157,1927
179,2020-07-20T00:00:00.000,Probable,2960,44,104
180,2020-07-19T00:00:00.000,Confirmed,74490,7121,1923
181,2020-07-19T00:00:00.000,Probable,2940,44,104
182,2020-07-18T00:00:00.000,Confirmed,73420,7102,1921
183,2020-07-18T00:00:00.000,Probable,2953,45,104
184,2020-07-17T00:00:00.000,Confirmed,72516,7040,1909
185,2020-07-17T00:00:00.000,Probable,2917,47,104
186,2020-07-16T00:00:00.000,Confirmed,71570,6975,1903
187,2020-07-16T00:00:00.000,Probable,2861,45,104
188,2020-07-15T00:00:00.000,Confirmed,70669,6859,1882
189,2020-07-15T00:00:00.000,Probable,2858,46,110
190,2020-07-14T00:00:00.000,Confirmed,69610,6771,1870
191,2020-07-14T00:00:00.000,Probable,2833,46,107
192,2020-07-13T00:00:00.000,Confirmed,68814,6720,1861
193,2020-07-13T00:00:00.000,Probable,2828,45,107
194,2020-07-12T00:00:00.000,Confirmed,67830,6699,1859
195,2020-07-12T00:00:00.000,Probable,2840,45,107
196,2020-07-11T00:00:00.000,Confirmed,66963,6663,1857
197,2020-07-11T00:00:00.000,Probable,2819,44,105
198,2020-07-10T00:00:00.000,Confirmed,66095,6632,1853
