,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-12-01T00:00:00.000,Alexandria,Female,2829,158,38
1,2020-12-01T00:00:00.000,Alexandria,Male,2559,208,39
2,2020-12-01T00:00:00.000,Alexandria,Not Reported,16,0,0
3,2020-12-01T00:00:00.000,Alleghany,Female,2790,91,48
4,2020-12-01T00:00:00.000,Alleghany,Male,2353,72,30
5,2020-12-01T00:00:00.000,Alleghany,Not Reported,117,0,1
6,2020-12-01T00:00:00.000,Arlington,Female,3131,261,71
7,2020-12-01T00:00:00.000,Arlington,Male,3192,328,86
8,2020-12-01T00:00:00.000,Arlington,Not Reported,11,0,0
9,2020-12-01T00:00:00.000,Central Shenandoah,Female,5087,195,50
10,2020-12-01T00:00:00.000,Central Shenandoah,Male,4445,195,62
11,2020-12-01T00:00:00.000,Central Shenandoah,Not Reported,84,0,0
12,2020-12-01T00:00:00.000,Central Virginia,Female,3711,125,33
13,2020-12-01T00:00:00.000,Central Virginia,Male,3225,134,46
14,2020-12-01T00:00:00.000,Central Virginia,Not Reported,167,2,1
15,2020-12-01T00:00:00.000,Chesapeake,Female,3472,276,39
16,2020-12-01T00:00:00.000,Chesapeake,Male,3211,260,41
17,2020-12-01T00:00:00.000,Chesapeake,Not Reported,16,0,0
18,2020-12-01T00:00:00.000,Chesterfield,Female,5370,275,77
19,2020-12-01T00:00:00.000,Chesterfield,Male,4808,279,84
20,2020-12-01T00:00:00.000,Chesterfield,Not Reported,168,0,2
21,2020-12-01T00:00:00.000,Chickahominy,Female,1797,113,38
22,2020-12-01T00:00:00.000,Chickahominy,Male,1630,126,34
23,2020-12-01T00:00:00.000,Chickahominy,Not Reported,46,0,0
24,2020-12-01T00:00:00.000,Crater,Female,2550,186,66
25,2020-12-01T00:00:00.000,Crater,Male,3383,156,57
26,2020-12-01T00:00:00.000,Crater,Not Reported,62,3,0
27,2020-12-01T00:00:00.000,Cumberland Plateau,Female,1394,73,10
28,2020-12-01T00:00:00.000,Cumberland Plateau,Male,1138,75,13
29,2020-12-01T00:00:00.000,Cumberland Plateau,Not Reported,78,0,0
