,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-11-04T00:00:00.000,Alexandria,4391,328,74
1,2020-11-04T00:00:00.000,Alleghany,3230,121,44
2,2020-11-04T00:00:00.000,Arlington,4854,541,154
3,2020-11-04T00:00:00.000,Central Shenandoah,7176,311,85
4,2020-11-04T00:00:00.000,Central Virginia,5247,207,66
5,2020-11-04T00:00:00.000,Chesapeake,5112,486,80
6,2020-11-04T00:00:00.000,Chesterfield,8052,484,151
7,2020-11-04T00:00:00.000,Chickahominy,2519,203,60
8,2020-11-04T00:00:00.000,Crater,5216,315,118
9,2020-11-04T00:00:00.000,Cumberland Plateau,1557,102,15
10,2020-11-04T00:00:00.000,Eastern Shore,1553,148,50
11,2020-11-04T00:00:00.000,Fairfax,24833,2327,619
12,2020-11-04T00:00:00.000,Hampton,2223,99,33
13,2020-11-04T00:00:00.000,Henrico,6655,506,240
14,2020-11-04T00:00:00.000,Lenowisco,1864,117,27
15,2020-11-04T00:00:00.000,Lord Fairfax,4219,349,132
16,2020-11-04T00:00:00.000,Loudoun,8143,493,132
17,2020-11-04T00:00:00.000,Mount Rogers,4122,330,153
18,2020-11-04T00:00:00.000,New River,4753,91,28
19,2020-11-04T00:00:00.000,Norfolk,5589,414,85
20,2020-11-04T00:00:00.000,Peninsula,5299,229,92
21,2020-11-04T00:00:00.000,Piedmont,2594,170,56
22,2020-11-04T00:00:00.000,Pittsylvania-Danville,2689,211,63
23,2020-11-04T00:00:00.000,Portsmouth,2876,321,69
24,2020-11-04T00:00:00.000,Prince William,17564,1209,258
25,2020-11-04T00:00:00.000,Rappahannock,6404,440,94
26,2020-11-04T00:00:00.000,Rappahannock Rapidan,3218,196,55
27,2020-11-04T00:00:00.000,Richmond,5542,460,78
28,2020-11-04T00:00:00.000,Roanoke,3091,111,47
29,2020-11-04T00:00:00.000,Southside,1919,91,48
30,2020-11-04T00:00:00.000,Thomas Jefferson,4552,240,77
31,2020-11-04T00:00:00.000,Three Rivers,2318,142,40
32,2020-11-04T00:00:00.000,Virginia Beach,8419,454,108
33,2020-11-04T00:00:00.000,Western Tidewater,4725,240,156
34,2020-11-04T00:00:00.000,West Piedmont,3318,311,90
35,2020-11-03T00:00:00.000,Alexandria,4377,326,74
36,2020-11-03T00:00:00.000,Alleghany,3117,120,43
37,2020-11-03T00:00:00.000,Arlington,4813,540,154
38,2020-11-03T00:00:00.000,Central Shenandoah,7133,309,84
39,2020-11-03T00:00:00.000,Central Virginia,5201,205,66
40,2020-11-03T00:00:00.000,Chesapeake,5077,484,80
41,2020-11-03T00:00:00.000,Chesterfield,8004,481,151
42,2020-11-03T00:00:00.000,Chickahominy,2500,202,59
43,2020-11-03T00:00:00.000,Crater,5213,314,118
44,2020-11-03T00:00:00.000,Cumberland Plateau,1551,100,15
45,2020-11-03T00:00:00.000,Eastern Shore,1549,148,50
46,2020-11-03T00:00:00.000,Fairfax,24701,2323,619
47,2020-11-03T00:00:00.000,Hampton,2215,97,33
48,2020-11-03T00:00:00.000,Henrico,6619,501,240
49,2020-11-03T00:00:00.000,Lenowisco,1854,118,27
50,2020-11-03T00:00:00.000,Lord Fairfax,4184,341,132
51,2020-11-03T00:00:00.000,Loudoun,8105,492,132
52,2020-11-03T00:00:00.000,Mount Rogers,4077,326,152
53,2020-11-03T00:00:00.000,New River,4722,92,27
54,2020-11-03T00:00:00.000,Norfolk,5563,414,84
55,2020-11-03T00:00:00.000,Peninsula,5288,229,92
56,2020-11-03T00:00:00.000,Piedmont,2593,164,56
57,2020-11-03T00:00:00.000,Pittsylvania-Danville,2669,208,62
58,2020-11-03T00:00:00.000,Portsmouth,2875,321,69
59,2020-11-03T00:00:00.000,Prince William,17496,1207,258
60,2020-11-03T00:00:00.000,Rappahannock,6363,440,94
61,2020-11-03T00:00:00.000,Rappahannock Rapidan,3195,195,55
62,2020-11-03T00:00:00.000,Richmond,5521,459,78
63,2020-11-03T00:00:00.000,Roanoke,3051,109,43
64,2020-11-03T00:00:00.000,Southside,1901,91,48
65,2020-11-03T00:00:00.000,Thomas Jefferson,4538,240,77
66,2020-11-03T00:00:00.000,Three Rivers,2307,141,40
67,2020-11-03T00:00:00.000,Virginia Beach,8351,454,108
68,2020-11-03T00:00:00.000,Western Tidewater,4705,239,155
69,2020-11-03T00:00:00.000,West Piedmont,3251,309,91
70,2020-11-02T00:00:00.000,Alexandria,4363,325,74
71,2020-11-02T00:00:00.000,Alexandria,4363,325,74
72,2020-11-02T00:00:00.000,Alleghany,3060,118,41
73,2020-11-02T00:00:00.000,Alleghany,3060,118,41
74,2020-11-02T00:00:00.000,Arlington,4778,540,154
75,2020-11-02T00:00:00.000,Arlington,4778,540,154
76,2020-11-02T00:00:00.000,Central Shenandoah,7089,308,84
77,2020-11-02T00:00:00.000,Central Shenandoah,7089,308,84
78,2020-11-02T00:00:00.000,Central Virginia,5144,203,66
79,2020-11-02T00:00:00.000,Central Virginia,5144,203,66
80,2020-11-02T00:00:00.000,Chesapeake,5058,483,79
81,2020-11-02T00:00:00.000,Chesapeake,5058,483,79
82,2020-11-02T00:00:00.000,Chesterfield,7964,476,151
83,2020-11-02T00:00:00.000,Chesterfield,7964,476,151
84,2020-11-02T00:00:00.000,Chickahominy,2483,200,59
85,2020-11-02T00:00:00.000,Chickahominy,2483,200,59
