,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
80,2020-10-22T00:00:00.000,Rappahannock Rapidan,Not Reported,40,0,0
81,2020-10-22T00:00:00.000,Richmond,Female,2591,224,28
82,2020-10-22T00:00:00.000,Richmond,Male,2532,220,39
83,2020-10-22T00:00:00.000,Richmond,Not Reported,53,1,2
84,2020-10-22T00:00:00.000,Roanoke,Female,1393,52,20
85,2020-10-22T00:00:00.000,Roanoke,Male,1105,40,15
86,2020-10-22T00:00:00.000,Roanoke,Not Reported,19,0,0
87,2020-10-22T00:00:00.000,Southside,Female,837,43,24
88,2020-10-22T00:00:00.000,Southside,Male,893,47,24
89,2020-10-22T00:00:00.000,Southside,Not Reported,10,0,0
90,2020-10-22T00:00:00.000,Thomas Jefferson,Female,2249,111,41
91,2020-10-22T00:00:00.000,Thomas Jefferson,Male,2015,111,35
92,2020-10-22T00:00:00.000,Thomas Jefferson,Not Reported,4,0,0
93,2020-10-22T00:00:00.000,Three Rivers,Female,989,65,17
94,2020-10-22T00:00:00.000,Three Rivers,Male,1172,71,20
95,2020-10-22T00:00:00.000,Three Rivers,Not Reported,26,0,0
96,2020-10-22T00:00:00.000,Virginia Beach,Female,4165,222,53
97,2020-10-22T00:00:00.000,Virginia Beach,Male,3497,204,50
98,2020-10-22T00:00:00.000,Virginia Beach,Not Reported,17,0,0
99,2020-10-22T00:00:00.000,Western Tidewater,Female,2133,108,66
100,2020-10-22T00:00:00.000,Western Tidewater,Male,2358,118,80
101,2020-10-22T00:00:00.000,Western Tidewater,Not Reported,5,0,2
102,2020-10-22T00:00:00.000,West Piedmont,Female,1562,150,44
103,2020-10-22T00:00:00.000,West Piedmont,Male,1206,136,41
104,2020-10-22T00:00:00.000,West Piedmont,Not Reported,14,0,0
105,2020-10-21T00:00:00.000,Alexandria,Female,2145,144,38
106,2020-10-21T00:00:00.000,Alexandria,Male,1986,182,37
107,2020-10-21T00:00:00.000,Alexandria,Not Reported,13,0,0
108,2020-10-21T00:00:00.000,Alleghany,Female,1286,53,22
109,2020-10-21T00:00:00.000,Alleghany,Male,1045,53,11
110,2020-10-21T00:00:00.000,Alleghany,Not Reported,9,0,0
111,2020-10-21T00:00:00.000,Arlington,Female,2201,233,70
112,2020-10-21T00:00:00.000,Arlington,Male,2233,289,82
113,2020-10-21T00:00:00.000,Arlington,Not Reported,3,0,0
114,2020-10-21T00:00:00.000,Central Shenandoah,Female,3471,149,37
115,2020-10-21T00:00:00.000,Central Shenandoah,Male,3033,141,41
116,2020-10-21T00:00:00.000,Central Shenandoah,Not Reported,20,0,0
117,2020-10-21T00:00:00.000,Central Virginia,Female,2366,78,26
118,2020-10-21T00:00:00.000,Central Virginia,Male,2030,91,32
119,2020-10-21T00:00:00.000,Central Virginia,Not Reported,46,0,0
120,2020-10-21T00:00:00.000,Chesapeake,Female,2602,239,34
121,2020-10-21T00:00:00.000,Chesapeake,Male,2173,225,43
122,2020-10-21T00:00:00.000,Chesapeake,Not Reported,5,0,0
123,2020-10-21T00:00:00.000,Chesterfield,Female,3749,217,57
124,2020-10-21T00:00:00.000,Chesterfield,Male,3472,228,73
125,2020-10-21T00:00:00.000,Chesterfield,Not Reported,152,0,1
126,2020-10-21T00:00:00.000,Chickahominy,Female,1126,88,29
127,2020-10-21T00:00:00.000,Chickahominy,Male,1081,93,28
128,2020-10-21T00:00:00.000,Chickahominy,Not Reported,31,0,0
129,2020-10-21T00:00:00.000,Crater,Female,1986,159,62
130,2020-10-21T00:00:00.000,Crater,Male,2824,134,52
131,2020-10-21T00:00:00.000,Crater,Not Reported,49,3,0
132,2020-10-21T00:00:00.000,Cumberland Plateau,Female,677,41,7
133,2020-10-21T00:00:00.000,Cumberland Plateau,Male,550,38,6
134,2020-10-21T00:00:00.000,Cumberland Plateau,Not Reported,11,0,0
135,2020-10-21T00:00:00.000,Eastern Shore,Female,763,73,26
136,2020-10-21T00:00:00.000,Eastern Shore,Male,745,71,24
137,2020-10-21T00:00:00.000,Eastern Shore,Not Reported,9,0,0
138,2020-10-21T00:00:00.000,Fairfax,Female,11780,953,291
139,2020-10-21T00:00:00.000,Fairfax,Male,11144,1288,322
140,2020-10-21T00:00:00.000,Fairfax,Not Reported,157,1,6
141,2020-10-21T00:00:00.000,Hampton,Female,1133,33,14
142,2020-10-21T00:00:00.000,Hampton,Male,924,54,18
143,2020-10-21T00:00:00.000,Hampton,Not Reported,7,0,0
144,2020-10-21T00:00:00.000,Henrico,Female,3199,239,121
145,2020-10-21T00:00:00.000,Henrico,Male,2818,236,106
146,2020-10-21T00:00:00.000,Henrico,Not Reported,41,0,0
147,2020-10-21T00:00:00.000,Lenowisco,Female,685,45,5
148,2020-10-21T00:00:00.000,Lenowisco,Male,613,56,18
149,2020-10-21T00:00:00.000,Lenowisco,Not Reported,2,0,0
150,2020-10-21T00:00:00.000,Lord Fairfax,Female,1970,149,59
151,2020-10-21T00:00:00.000,Lord Fairfax,Male,1755,164,67
152,2020-10-21T00:00:00.000,Lord Fairfax,Not Reported,16,0,0
153,2020-10-21T00:00:00.000,Loudoun,Female,3840,215,80
154,2020-10-21T00:00:00.000,Loudoun,Male,3733,255,50
155,2020-10-21T00:00:00.000,Loudoun,Not Reported,61,0,0
156,2020-10-21T00:00:00.000,Mount Rogers,Female,1959,134,72
157,2020-10-21T00:00:00.000,Mount Rogers,Male,1476,163,71
158,2020-10-21T00:00:00.000,Mount Rogers,Not Reported,12,0,1
159,2020-10-21T00:00:00.000,New River,Female,2020,30,14
160,2020-10-21T00:00:00.000,New River,Male,2024,45,14
161,2020-10-21T00:00:00.000,New River,Not Reported,35,0,0
162,2020-10-21T00:00:00.000,Norfolk,Female,2702,203,38
163,2020-10-21T00:00:00.000,Norfolk,Male,2514,199,46
164,2020-10-21T00:00:00.000,Norfolk,Not Reported,3,0,0
165,2020-10-21T00:00:00.000,Peninsula,Female,2539,103,50
166,2020-10-21T00:00:00.000,Peninsula,Male,2378,111,41
167,2020-10-21T00:00:00.000,Peninsula,Not Reported,19,0,0
168,2020-10-21T00:00:00.000,Piedmont,Female,897,61,16
169,2020-10-21T00:00:00.000,Piedmont,Male,1487,87,38
170,2020-10-21T00:00:00.000,Piedmont,Not Reported,5,0,0
171,2020-10-21T00:00:00.000,Pittsylvania-Danville,Female,1320,108,35
172,2020-10-21T00:00:00.000,Pittsylvania-Danville,Male,1052,68,22
173,2020-10-21T00:00:00.000,Pittsylvania-Danville,Not Reported,6,0,0
174,2020-10-21T00:00:00.000,Portsmouth,Female,1442,170,36
175,2020-10-21T00:00:00.000,Portsmouth,Male,1296,128,31
176,2020-10-21T00:00:00.000,Portsmouth,Not Reported,3,0,0
177,2020-10-21T00:00:00.000,Prince William,Female,8321,510,107
178,2020-10-21T00:00:00.000,Prince William,Male,7939,654,150
179,2020-10-21T00:00:00.000,Prince William,Not Reported,127,2,0
180,2020-10-21T00:00:00.000,Rappahannock,Female,3139,197,35
181,2020-10-21T00:00:00.000,Rappahannock,Male,2727,228,51
182,2020-10-21T00:00:00.000,Rappahannock,Not Reported,20,0,0
183,2020-10-21T00:00:00.000,Rappahannock Rapidan,Female,1471,76,27
184,2020-10-21T00:00:00.000,Rappahannock Rapidan,Male,1441,112,27
185,2020-10-21T00:00:00.000,Rappahannock Rapidan,Not Reported,39,0,0
186,2020-10-21T00:00:00.000,Richmond,Female,2579,224,28
187,2020-10-21T00:00:00.000,Richmond,Male,2514,220,38
188,2020-10-21T00:00:00.000,Richmond,Not Reported,52,1,2
189,2020-10-21T00:00:00.000,Roanoke,Female,1373,52,20
190,2020-10-21T00:00:00.000,Roanoke,Male,1087,38,15
191,2020-10-21T00:00:00.000,Roanoke,Not Reported,18,0,0
192,2020-10-21T00:00:00.000,Southside,Female,831,43,24
