,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-09-13T00:00:00.000,51001,Accomack,Eastern Shore,1159,88,19
1,2020-09-13T00:00:00.000,51003,Albemarle,Thomas Jefferson,1137,72,19
2,2020-09-13T00:00:00.000,51005,Alleghany,Alleghany,74,8,4
3,2020-09-13T00:00:00.000,51007,Amelia,Piedmont,120,13,3
4,2020-09-13T00:00:00.000,51009,Amherst,Central Virginia,343,11,1
5,2020-09-13T00:00:00.000,51011,Appomattox,Central Virginia,193,10,1
6,2020-09-13T00:00:00.000,51013,Arlington,Arlington,3727,484,145
7,2020-09-13T00:00:00.000,51015,Augusta,Central Shenandoah,423,21,4
8,2020-09-13T00:00:00.000,51017,Bath,Central Shenandoah,4,0,0
9,2020-09-13T00:00:00.000,51019,Bedford,Central Virginia,660,28,9
10,2020-09-13T00:00:00.000,51021,Bland,Mount Rogers,64,2,1
11,2020-09-13T00:00:00.000,51023,Botetourt,Alleghany,277,23,10
12,2020-09-13T00:00:00.000,51025,Brunswick,Southside,331,27,2
13,2020-09-13T00:00:00.000,51027,Buchanan,Cumberland Plateau,112,6,2
14,2020-09-13T00:00:00.000,51029,Buckingham,Piedmont,665,24,8
15,2020-09-13T00:00:00.000,51031,Campbell,Central Virginia,383,10,3
16,2020-09-13T00:00:00.000,51033,Caroline,Rappahannock,299,28,5
17,2020-09-13T00:00:00.000,51035,Carroll,Mount Rogers,460,36,19
18,2020-09-13T00:00:00.000,51036,Charles City,Chickahominy,76,20,5
19,2020-09-13T00:00:00.000,51037,Charlotte,Piedmont,96,5,0
20,2020-09-13T00:00:00.000,51041,Chesterfield,Chesterfield,5540,293,85
21,2020-09-13T00:00:00.000,51043,Clarke,Lord Fairfax,87,12,0
22,2020-09-13T00:00:00.000,51045,Craig,Alleghany,25,1,0
23,2020-09-13T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,1159,90,14
24,2020-09-13T00:00:00.000,51049,Cumberland,Piedmont,102,8,0
25,2020-09-13T00:00:00.000,51051,Dickenson,Cumberland Plateau,79,7,1
26,2020-09-13T00:00:00.000,51053,Dinwiddie,Crater,336,35,8
27,2020-09-13T00:00:00.000,51057,Essex,Three Rivers,162,11,2
28,2020-09-13T00:00:00.000,51059,Fairfax,Fairfax,19601,2111,568
29,2020-09-13T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,861,45,21
30,2020-09-13T00:00:00.000,51063,Floyd,New River,181,10,3
31,2020-09-13T00:00:00.000,51065,Fluvanna,Thomas Jefferson,246,35,9
32,2020-09-13T00:00:00.000,51067,Franklin County,West Piedmont,266,15,1
33,2020-09-13T00:00:00.000,51069,Frederick,Lord Fairfax,813,62,11
34,2020-09-13T00:00:00.000,51071,Giles,New River,67,2,0
35,2020-09-13T00:00:00.000,51073,Gloucester,Three Rivers,223,13,2
36,2020-09-13T00:00:00.000,51075,Goochland,Chickahominy,247,26,7
37,2020-09-13T00:00:00.000,51077,Grayson,Mount Rogers,287,25,8
38,2020-09-13T00:00:00.000,51079,Greene,Thomas Jefferson,206,10,3
39,2020-09-13T00:00:00.000,51081,Greensville,Crater,735,31,11
40,2020-09-13T00:00:00.000,51083,Halifax,Southside,289,7,4
41,2020-09-13T00:00:00.000,51085,Hanover,Chickahominy,1090,91,35
