,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-11-09T00:00:00.000,Alexandria,4517,334,76
1,2020-11-09T00:00:00.000,Alleghany,3497,127,45
2,2020-11-09T00:00:00.000,Arlington,5060,546,155
3,2020-11-09T00:00:00.000,Central Shenandoah,7450,317,86
4,2020-11-09T00:00:00.000,Central Virginia,5484,210,66
5,2020-11-09T00:00:00.000,Chesapeake,5301,499,80
6,2020-11-09T00:00:00.000,Chesterfield,8388,492,151
7,2020-11-09T00:00:00.000,Chickahominy,2653,210,61
8,2020-11-09T00:00:00.000,Crater,5393,318,118
9,2020-11-09T00:00:00.000,Cumberland Plateau,1752,109,15
10,2020-11-09T00:00:00.000,Eastern Shore,1568,150,50
11,2020-11-09T00:00:00.000,Fairfax,25715,2377,621
12,2020-11-09T00:00:00.000,Hampton,2278,100,34
13,2020-11-09T00:00:00.000,Henrico,6937,521,241
14,2020-11-09T00:00:00.000,Lenowisco,2138,127,31
15,2020-11-09T00:00:00.000,Lord Fairfax,4459,367,135
16,2020-11-09T00:00:00.000,Loudoun,8413,505,134
17,2020-11-09T00:00:00.000,Mount Rogers,4503,351,153
18,2020-11-09T00:00:00.000,New River,5053,100,30
19,2020-11-09T00:00:00.000,Norfolk,5728,419,85
20,2020-11-09T00:00:00.000,Peninsula,5482,233,92
21,2020-11-09T00:00:00.000,Piedmont,2701,181,57
22,2020-11-09T00:00:00.000,Pittsylvania-Danville,2785,221,64
23,2020-11-09T00:00:00.000,Portsmouth,2930,337,70
24,2020-11-09T00:00:00.000,Prince William,18067,1216,259
25,2020-11-09T00:00:00.000,Rappahannock,6643,446,94
26,2020-11-09T00:00:00.000,Rappahannock Rapidan,3451,202,55
27,2020-11-09T00:00:00.000,Richmond,5772,472,78
28,2020-11-09T00:00:00.000,Roanoke,3255,113,48
29,2020-11-09T00:00:00.000,Southside,2007,92,49
30,2020-11-09T00:00:00.000,Thomas Jefferson,4684,251,78
31,2020-11-09T00:00:00.000,Three Rivers,2371,145,41
32,2020-11-09T00:00:00.000,Virginia Beach,8737,464,112
33,2020-11-09T00:00:00.000,Western Tidewater,4788,246,156
34,2020-11-09T00:00:00.000,West Piedmont,3517,318,93
35,2020-11-08T00:00:00.000,Alexandria,4499,333,76
36,2020-11-08T00:00:00.000,Alleghany,3473,127,45
37,2020-11-08T00:00:00.000,Arlington,5036,545,155
38,2020-11-08T00:00:00.000,Central Shenandoah,7391,316,85
39,2020-11-08T00:00:00.000,Central Virginia,5446,210,66
40,2020-11-08T00:00:00.000,Chesapeake,5264,498,80
41,2020-11-08T00:00:00.000,Chesterfield,8296,490,151
42,2020-11-08T00:00:00.000,Chickahominy,2644,208,61
43,2020-11-08T00:00:00.000,Crater,5374,318,118
44,2020-11-08T00:00:00.000,Cumberland Plateau,1741,107,15
45,2020-11-08T00:00:00.000,Eastern Shore,1566,150,50
46,2020-11-08T00:00:00.000,Fairfax,25555,2366,621
47,2020-11-08T00:00:00.000,Hampton,2270,100,34
48,2020-11-08T00:00:00.000,Henrico,6904,520,241
49,2020-11-08T00:00:00.000,Lenowisco,2125,125,31
50,2020-11-08T00:00:00.000,Lord Fairfax,4405,364,135
51,2020-11-08T00:00:00.000,Loudoun,8336,505,134
52,2020-11-08T00:00:00.000,Mount Rogers,4402,346,153
53,2020-11-08T00:00:00.000,New River,5004,99,30
