,sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
0,Female,5015,2020-04-02,,,,
1,Male,5547,2020-04-02,,,,
2,Unknown,139,2020-04-02,,,,
3,Female,5674,2020-04-03,,,,
4,Male,6202,2020-04-03,,,,
5,Unknown,150,2020-04-03,,,,
6,Female,6349,2020-04-04,,,,
7,Male,6876,2020-04-04,,,,
8,Unknown,213,2020-04-04,,,,
9,Female,6740,2020-04-05,,,,
10,Male,7296,2020-04-05,,,,
11,Unknown,300,2020-04-05,,,,
12,Female,7600,2020-04-06,,,,
13,Male,7957,2020-04-06,,,,
14,Unknown,308,2020-04-06,,,,
15,Female,8108,2020-04-07,,,,
16,Male,8488,2020-04-07,,,,
17,Unknown,361,2020-04-07,,,,
18,Female,8776,2020-04-08,,,,
19,Male,9130,2020-04-08,,,,
20,Transgender,2,2020-04-08,,,,
21,Unknown,401,2020-04-08,,,,
22,Female,9387,2020-04-09,,,,
23,Male,9745,2020-04-09,,,,
24,Unknown,400,2020-04-09,,,,
25,Female,9981,2020-04-10,,,,
26,Male,10330,2020-04-10,,,,
27,Unknown,304,2020-04-10,,,,
28,Female,9981,2020-04-10,,,,
29,Male,10330,2020-04-10,,,,
30,Unknown,304,2020-04-10,,,,
31,Female,10571,2020-04-11,,,,
32,Male,10926,2020-04-11,,,,
33,Unknown,297,2020-04-11,,,,
34,Female,10877,2020-04-12,,,,
35,Male,11256,2020-04-12,,,,
36,Unknown,215,2020-04-12,,,,
37,Female,11352,2020-04-13,,,,
38,Male,11772,2020-04-13,,,,
39,Unknown,214,2020-04-13,,,,
40,Female,11934,2020-04-14,,,,
41,Male,12265,2020-04-14,,,,
42,Unknown,225,2020-04-14,,,,
43,Female,12771,2020-04-15,,,,
44,Male,13169,2020-04-15,,,,
45,Unknown,242,2020-04-15,,,,
46,Female,13424,2020-04-16,,,,
47,Male,13865,2020-04-16,,,,
48,Unknown,239,2020-04-16,,,,
49,Female,14185,2020-04-17,,,,
50,Male,14535,2020-04-17,,,,
51,Unknown,243,2020-04-17,,,,
52,Female,14902,2020-04-18,,,,
53,Male,15185,2020-04-18,,,,
54,Unknown,246,2020-04-18,,,,
55,Female,15224,2020-04-19,,,,
56,Male,15507,2020-04-19,,,,
57,Unknown,247,2020-04-19,,,,
58,Female,16363,2020-04-20,,,,
59,Male,16641,2020-04-20,,,,
60,Unknown,257,2020-04-20,,,,
61,Female,17411,2020-04-21,,,,
62,Male,17718,2020-04-21,,,,
63,Unknown,267,2020-04-21,,,,
64,Female,18395,2020-04-22,49.23,552.0,39.54,50.31
65,Male,18690,2020-04-22,50.01,839.0,60.1,49.69
66,Unknown,284,2020-04-22,0.76,5.0,0.36,
67,Female,19394,2020-04-23,49.41,593.0,39.82,50.31
68,Male,19577,2020-04-23,49.87,891.0,59.84,49.69
69,Unknown,283,2020-04-23,0.72,5.0,0.34,
70,Female,20395,2020-04-24,49.58,625.0,39.73,50.31
71,Male,20459,2020-04-24,49.73,944.0,60.01,49.69
72,Unknown,283,2020-04-24,0.69,4.0,0.25,
73,Female,20908,2020-04-25,49.59,657.0,39.89,50.31
