,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
1,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
2,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
3,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
4,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
5,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
6,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
7,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
8,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
9,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
10,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
11,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
12,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
13,Inyo,2020-03-29,,,,,,,
14,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
15,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
16,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
17,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
18,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
19,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
20,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
21,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
22,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
23,Calaveras,2020-03-29,,,,,,,
24,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
25,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
26,Napa,2020-03-29,0.0,26.0,,,,,5.0
27,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
28,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
29,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
30,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
31,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
32,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
33,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
34,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
35,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
36,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
37,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
38,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
39,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
40,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
41,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
42,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
43,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
44,Glenn,2020-03-29,,,,,,,
45,Colusa,2020-03-29,,,,,,,
46,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
47,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
48,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
49,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
50,Butte,2020-03-29,,,,,,,
51,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
52,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
53,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
54,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
55,Sonoma,2020-03-30,7.0,22.0,,,3.0,4.0,29.0
56,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
57,Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
58,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
59,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
60,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
61,San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
62,Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
63,Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
64,Modoc,2020-03-30,0.0,31.0,,,0.0,0.0,
65,Shasta,2020-03-30,1.0,4.0,,,0.0,0.0,13.0
66,Mono,2020-03-30,0.0,1.0,,,0.0,0.0,2.0
67,Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
68,Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
69,Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
70,San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
71,Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
72,Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
73,Stanislaus,2020-03-30,17.0,51.0,,,9.0,5.0,29.0
74,Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
75,Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
76,Tuolumne,2020-03-30,1.0,2.0,,,0.0,0.0,3.0
77,El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
78,Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
79,Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
80,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
81,Inyo,2020-03-30,,,,,,,
82,San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
83,Trinity,2020-03-30,0.0,0.0,,,0.0,0.0,
84,Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
85,Nevada,2020-03-30,26.0,17.0,,,2.0,5.0,3.0
86,Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
87,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
88,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
89,San Luis Obispo,2020-03-30,5.0,11.0,,,3.0,4.0,957.0
90,Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
91,Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
92,Kern,2020-03-30,18.0,123.0,,,6.0,8.0,51.0
93,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
94,Mendocino,2020-03-30,2.0,11.0,,,0.0,1.0,8.0
95,Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
96,Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
97,Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
98,Lake,2020-03-30,0.0,1.0,,,0.0,1.0,3.0
99,Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
100,Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
101,Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
