,age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
135,0-17,1398,2020-04-29,2.86,0.0,0.0,22.49
136,18-49,23836,2020-04-29,48.73,131.0,6.93,43.52
137,50-64,12705,2020-04-29,25.97,292.0,15.45,18.42
138,65+,10906,2020-04-29,22.29,1467.0,77.62,15.57
139,Unknown,72,2020-04-29,0.15,0.0,0.0,
140,0-17,1449,2020-04-30,2.9,0.0,0.0,22.49
141,18-49,24613,2020-04-30,48.8,137.0,6.9,43.52
142,50-64,13044,2020-04-30,25.9,308.0,15.5,18.42
143,65+,11256,2020-04-30,22.3,1543.0,77.6,15.57
144,Unknown,80,2020-04-30,0.2,0.0,0.0,
145,0-17,1566,2020-05-01,3.0,0.0,0.0,22.49
146,18-49,25548,2020-05-01,48.95,139.0,6.67,43.52
147,50-64,13454,2020-05-01,25.78,322.0,15.46,18.42
148,65+,11547,2020-05-01,22.12,1622.0,77.87,15.57
149,Unknown,82,2020-05-01,0.16,0.0,0.0,
150,0-17,1640,2020-05-02,3.1,0.0,0.0,22.5
151,18-49,26256,2020-05-02,49.0,139.0,6.5,43.5
152,50-64,13773,2020-05-02,25.7,331.0,15.5,18.4
153,65+,11860,2020-05-02,22.1,1668.0,78.0,15.6
154,Unknown,87,2020-05-02,0.2,0.0,0.0,0.0
155,0-17,1715,2020-05-03,3.12,0.0,0.0,22.5
156,18-49,26956,2020-05-03,49.07,139.0,6.38,43.5
157,50-64,14078,2020-05-03,25.63,335.0,15.38,18.4
158,65+,12098,2020-05-03,22.02,1704.0,78.24,15.6
159,Unknown,90,2020-05-03,0.16,0.0,0.0,0.0
160,0-17,1773,2020-05-04,3.2,0.0,0.0,22.5
161,18-49,27556,2020-05-04,49.0,141.0,6.3,43.5
162,50-64,14366,2020-05-04,25.6,342.0,15.4,18.4
163,65+,12425,2020-05-04,22.1,1738.0,78.3,15.6
164,Unknown,92,2020-05-04,0.2,0.0,0.0,0.0
165,0-17,1937,2020-05-05,3.3,0.0,0.0,22.5
166,18-49,28968,2020-05-05,49.3,145.0,6.2,43.5
167,50-64,14974,2020-05-05,25.5,353.0,15.2,18.4
168,65+,12842,2020-05-05,21.8,1826.0,78.5,15.6
169,Unknown,94,2020-05-05,0.2,1.0,0.0,0.0
170,0-17,2055,2020-05-06,3.4,0.0,0.0,22.5
171,18-49,29902,2020-05-06,49.3,150.0,6.2,43.5
172,50-64,15375,2020-05-06,25.4,370.0,15.3,18.4
173,65+,13194,2020-05-06,21.8,1891.0,78.4,15.6
174,Unknown,88,2020-05-06,0.1,1.0,0.0,0.0
175,0-17,2181,2020-05-07,3.5,0.0,0.0,22.5
176,18-49,30860,2020-05-07,49.4,153.0,6.1,43.5
177,50-64,15793,2020-05-07,25.3,386.0,15.5,18.4
178,65+,13580,2020-05-07,21.7,1953.0,78.3,15.6
179,Unknown,98,2020-05-07,0.2,1.0,0.0,0.0
180,0-17,2260,2020-05-08,3.5,0.0,0.0,22.5
181,18-49,32004,2020-05-08,49.6,156.0,6.1,43.5
182,50-64,16250,2020-05-08,25.2,395.0,15.3,18.4
183,65+,13948,2020-05-08,21.6,2024.0,78.6,15.6
184,Unknown,99,2020-05-08,0.2,1.0,0.0,0.0
185,0-17,2373,2020-05-09,3.6,0.0,0.0,22.5
186,18-49,33190,2020-05-09,49.8,162.0,6.1,43.5
187,50-64,16729,2020-05-09,25.1,405.0,15.2,18.4
188,65+,14290,2020-05-09,21.4,2089.0,78.6,15.6
189,Unknown,98,2020-05-09,0.1,1.0,0.0,0.0
