County Name,Scrape Time,Total Cases,Total Deaths
Audrain,2020-05-24 18:35:42.946138,56,0
Mercer,2020-05-24 18:35:42.946138,0,0
St Louis,2020-05-24 18:35:42.946138,4479,385
Carter,2020-05-24 18:35:42.946138,5,1
Shelby,2020-05-24 20:34:54.621453,1,0
Warren,2020-05-24 20:34:54.621453,26,0
St Clair,2020-05-24 20:34:54.621453,2,0
Shannon,2020-05-24 20:34:54.621453,0,0
Pemiscot,2020-05-24 20:34:54.621453,72,4
Ralls,2020-05-24 20:34:54.621453,2,0
Pulaski,2020-05-24 20:34:54.621453,33,1
Harrison,2020-05-24 20:34:54.621453,8,0
Grundy,2020-05-24 20:34:54.621453,2,0
Oregon,2020-05-24 20:34:54.621453,2,0
Dade,2020-05-24 20:34:54.621453,0,0
Scotland,2020-05-24 20:34:54.621453,4,0
Cass,2020-05-24 20:34:54.621453,79,7
Wayne,2020-05-24 20:34:54.621453,0,0
Hickory,2020-05-24 20:34:54.621453,0,0
Dallas,2020-05-24 20:34:54.621453,2,0
Washington,2020-05-24 20:34:54.621453,10,1
Pike,2020-05-24 20:34:54.621453,14,1
Caldwell,2020-05-24 20:34:54.621453,5,0
Adair,2020-05-24 20:34:54.621453,41,0
Platte,2020-05-24 20:34:54.621453,65,1
Butler,2020-05-24 20:34:54.621453,28,0
Cape Girardeau,2020-05-24 20:34:54.621453,59,2
Ozark,2020-05-24 20:34:54.621453,0,0
Bates,2020-05-24 20:34:54.621453,7,1
Putnam,2020-05-24 20:34:54.621453,0,0
Osage,2020-05-24 20:34:54.621453,5,0
Jackson,2020-05-24 20:34:54.621453,517,15
Stoddard,2020-05-24 20:34:54.621453,70,3
Johnson,2020-05-24 20:34:54.621453,72,0
McDonald,2020-05-24 20:34:54.621453,17,0
Crawford,2020-05-24 20:34:54.621453,8,0
Clinton,2020-05-24 20:34:54.621453,18,0
Linn,2020-05-24 20:34:54.621453,6,1
Barry,2020-05-24 20:34:54.621453,9,0
Cole,2020-05-24 20:34:54.621453,59,1
Dent,2020-05-24 20:34:54.621453,1,0
Miller,2020-05-24 20:34:54.621453,4,0
Reynolds,2020-05-24 20:34:54.621453,2,0
Saline,2020-05-24 20:34:54.621453,265,0
Christian,2020-05-24 20:34:54.621453,20,0
Montgomery,2020-05-24 20:34:54.621453,8,0
Worth,2020-05-24 20:34:54.621453,4,0
Pettis,2020-05-24 20:34:54.621453,69,1
Clark,2020-05-24 20:34:54.621453,1,0
Marion,2020-05-24 20:34:54.621453,5,0
Cooper,2020-05-24 20:34:54.621453,9,0
Phelps,2020-05-24 20:34:54.621453,4,0
Greene,2020-05-24 20:34:54.621453,116,8
Monroe,2020-05-24 20:34:54.621453,0,0
Daviess,2020-05-24 20:34:54.621453,4,0
Barton,2020-05-24 20:34:54.621453,0,0
Ripley,2020-05-24 20:34:54.621453,7,0
Gentry,2020-05-24 20:34:54.621453,17,0
Benton,2020-05-24 20:34:54.621453,10,0
Wright,2020-05-24 20:34:54.621453,11,0
Lincoln,2020-05-24 20:34:54.621453,79,1
Howell,2020-05-24 20:34:54.621453,5,0
Schuyler,2020-05-24 20:34:54.621453,2,0
Maries,2020-05-24 20:34:54.621453,2,0
Laclede,2020-05-24 20:34:54.621453,3,0
DeKalb,2020-05-24 20:34:54.621453,5,0
Vernon,2020-05-24 20:34:54.621453,7,0
Buchanan,2020-05-24 20:34:54.621453,617,2
Clay,2020-05-24 20:34:54.621453,149,2
Stone,2020-05-24 20:34:54.621453,4,0
Bollinger,2020-05-24 20:34:54.621453,6,0
Jefferson,2020-05-24 20:34:54.621453,320,16
Knox,2020-05-24 20:34:54.621453,0,0
Lafayette,2020-05-24 20:34:54.621453,69,1
Nodaway,2020-05-24 20:34:54.621453,12,0
Gasconade,2020-05-24 20:34:54.621453,2,0
Kansas City,2020-05-24 20:34:54.621453,1024,24
Livingston,2020-05-24 20:34:54.621453,3,0
Perry,2020-05-24 20:34:54.621453,49,0
Franklin,2020-05-24 20:34:54.621453,138,16
New Madrid,2020-05-24 20:34:54.621453,17,1
Iron,2020-05-24 20:34:54.621453,2,0
Howard,2020-05-24 20:34:54.621453,3,0
Randolph,2020-05-24 20:34:54.621453,9,0
Lewis,2020-05-24 20:34:54.621453,7,1
Texas,2020-05-24 20:34:54.621453,0,0
Douglas,2020-05-24 20:34:54.621453,0,0
Moniteau,2020-05-24 20:34:54.621453,45,1
Callaway,2020-05-24 20:34:54.621453,24,1
Atchison,2020-05-24 20:34:54.621453,3,0
St Charles,2020-05-24 20:34:54.621453,741,54
Ste Genevieve,2020-05-24 20:34:54.621453,8,1
Jasper,2020-05-24 20:34:54.621453,20,0
Joplin,2020-05-24 20:34:54.621453,11,0
Cedar,2020-05-24 20:34:54.621453,9,0
Andrew,2020-05-24 20:34:54.621453,23,0
Carroll,2020-05-24 20:34:54.621453,7,0
Henry,2020-05-24 20:34:54.621453,10,3
Madison,2020-05-24 20:34:54.621453,3,0
Boone,2020-05-24 20:34:54.621453,116,1
Ray,2020-05-24 20:34:54.621453,16,0
Sullivan,2020-05-24 20:34:54.621453,49,0
Taney,2020-05-24 20:34:54.621453,13,2
St Louis City,2020-05-24 20:34:54.621453,1714,107
Newton,2020-05-24 20:34:54.621453,16,1
Webster,2020-05-24 20:34:54.621453,17,0
Lawrence,2020-05-24 20:34:54.621453,7,0
Dunklin,2020-05-24 20:34:54.621453,28,2
Macon,2020-05-24 20:34:54.621453,2,0
Polk,2020-05-24 20:34:54.621453,2,0
Camden,2020-05-24 20:34:54.621453,38,1
Chariton,2020-05-24 20:34:54.621453,5,0
St Francois,2020-05-24 20:34:54.621453,31,2
Morgan,2020-05-24 20:34:54.621453,8,0
Holt,2020-05-24 20:34:54.621453,1,0
Audrain,2020-05-24 20:34:54.621453,56,0
Mercer,2020-05-24 20:34:54.621453,0,0
St Louis,2020-05-24 20:34:54.621453,4479,385
Carter,2020-05-24 20:34:54.621453,5,1
Shelby,2020-05-25 20:50:59.330466,1,0
Warren,2020-05-25 20:50:59.330466,26,0
St Clair,2020-05-25 20:50:59.330466,2,0
Shannon,2020-05-25 20:50:59.330466,0,0
Pemiscot,2020-05-25 20:50:59.330466,72,4
Ralls,2020-05-25 20:50:59.330466,2,0
Pulaski,2020-05-25 20:50:59.330466,33,1
Harrison,2020-05-25 20:50:59.330466,8,0
Grundy,2020-05-25 20:50:59.330466,2,0
Oregon,2020-05-25 20:50:59.330466,2,0
Dade,2020-05-25 20:50:59.330466,0,0
Scotland,2020-05-25 20:50:59.330466,4,0
Cass,2020-05-25 20:50:59.330466,80,7
Wayne,2020-05-25 20:50:59.330466,0,0
Hickory,2020-05-25 20:50:59.330466,0,0
Dallas,2020-05-25 20:50:59.330466,2,0
Washington,2020-05-25 20:50:59.330466,10,1
Pike,2020-05-25 20:50:59.330466,14,1
Caldwell,2020-05-25 20:50:59.330466,5,0
Adair,2020-05-25 20:50:59.330466,44,0
Platte,2020-05-25 20:50:59.330466,67,2
Butler,2020-05-25 20:50:59.330466,28,0
Cape Girardeau,2020-05-25 20:50:59.330466,62,2
Ozark,2020-05-25 20:50:59.330466,0,0
Bates,2020-05-25 20:50:59.330466,7,1
Putnam,2020-05-25 20:50:59.330466,0,0
Osage,2020-05-25 20:50:59.330466,5,0
Jackson,2020-05-25 20:50:59.330466,520,15
Stoddard,2020-05-25 20:50:59.330466,74,4
Johnson,2020-05-25 20:50:59.330466,73,0
McDonald,2020-05-25 20:50:59.330466,17,0
Crawford,2020-05-25 20:50:59.330466,8,0
Clinton,2020-05-25 20:50:59.330466,18,0
Linn,2020-05-25 20:50:59.330466,6,1
Barry,2020-05-25 20:50:59.330466,9,0
Cole,2020-05-25 20:50:59.330466,60,1
