County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Shannon,MO,,0,0,0,2020-03-29 12:33:48.028923
Shelby,MO,,1,1,0,2020-03-29 12:33:48.028923
St. Clair,MO,,0,0,0,2020-03-29 12:33:48.028923
St. Francois,MO,,4,1,3,2020-03-29 12:33:48.028923
Ste. Genevieve,MO,,0,0,0,2020-03-29 12:33:48.028923
Stoddard,MO,,1,0,1,2020-03-29 12:33:48.028923
Stone,MO,,0,0,0,2020-03-29 12:33:48.028923
Sullivan,MO,,0,0,0,2020-03-29 12:33:48.028923
Taney,MO,,2,0,2,2020-03-29 12:33:48.028923
Texas,MO,,1,0,1,2020-03-29 12:33:48.028923
Vernon,MO,,0,0,0,2020-03-29 12:33:48.028923
Warren,MO,,1,0,1,2020-03-29 12:33:48.028923
Washington,MO,,0,0,0,2020-03-29 12:33:48.028923
Wayne,MO,,0,0,0,2020-03-29 12:33:48.028923
Webster,MO,,0,0,0,2020-03-29 12:33:48.028923
Worth,MO,,0,0,0,2020-03-29 12:33:48.028923
Wright,MO,,1,0,1,2020-03-29 12:33:48.028923
TBD,MO,,5,0,5,2020-03-29 12:33:48.028923

Boone,MO,1.0,59.0,4.0,55.0,2020-03-30 12:59:16.746871
Camden,MO,1.0,11.0,2.0,9.0,2020-03-30 12:59:16.746871
Greene,MO,3.0,38.0,17.0,21.0,2020-03-30 12:59:16.746871
Henry,MO,1.0,1.0,1.0,0.0,2020-03-30 12:59:16.746871
Jackson,MO,1.0,56.0,4.0,52.0,2020-03-30 12:59:16.746871
Lafayette,MO,1.0,17.0,0.0,17.0,2020-03-30 12:59:16.746871
St. Charles County,MO,2.0,,,,2020-03-30 12:59:16.746871
St. Louis City,MO,1.0,91.0,11.0,80.0,2020-03-30 12:59:16.746871
St. Louis County,MO,2.0,366.0,29.0,337.0,2020-03-30 12:59:16.746871
Adair,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Andrew,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Atchison,MO,,1.0,1.0,0.0,2020-03-30 12:59:16.746871
Audrain,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Barry,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Barton,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Bates,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Benton,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Bollinger,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Buchanan,MO,,3.0,0.0,3.0,2020-03-30 12:59:16.746871
Butler,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Caldwell,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Callaway,MO,,13.0,1.0,12.0,2020-03-30 12:59:16.746871
Cape Girardeau,MO,,13.0,0.0,13.0,2020-03-30 12:59:16.746871
Carroll,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Carter,MO,,2.0,1.0,1.0,2020-03-30 12:59:16.746871
Cass,MO,,9.0,4.0,5.0,2020-03-30 12:59:16.746871
Cedar,MO,,5.0,0.0,5.0,2020-03-30 12:59:16.746871
Chariton,MO,,3.0,0.0,3.0,2020-03-30 12:59:16.746871
Christian,MO,,12.0,4.0,8.0,2020-03-30 12:59:16.746871
Clark,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Clay,MO,,13.0,0.0,13.0,2020-03-30 12:59:16.746871
Clinton,MO,,4.0,0.0,4.0,2020-03-30 12:59:16.746871
Cole,MO,,25.0,3.0,22.0,2020-03-30 12:59:16.746871
Cooper,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Crawford,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Dade,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Dallas,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Daviess,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
DeKalb,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Dent,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Douglas,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Dunklin,MO,,6.0,0.0,6.0,2020-03-30 12:59:16.746871
Franklin,MO,,7.0,0.0,7.0,2020-03-30 12:59:16.746871
Gasconade,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Gentry,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Grundy,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Harrison,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Hickory,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Holt,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Howard,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Howell,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Iron,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Jasper,MO,,3.0,1.0,2.0,2020-03-30 12:59:16.746871
Jefferson,MO,,18.0,3.0,15.0,2020-03-30 12:59:16.746871
Johnson,MO,,9.0,1.0,8.0,2020-03-30 12:59:16.746871
Joplin,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Kansas City,MO,,100.0,2.0,98.0,2020-03-30 12:59:16.746871
Knox,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Laclede,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Lawrence,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Lewis,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Lincoln,MO,,5.0,1.0,4.0,2020-03-30 12:59:16.746871
Linn,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Livingston,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Macon,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Madison,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Maries,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Marion,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
McDonald,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Mercer,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Miller,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Mississippi,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Moniteau,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Monroe,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Montgomery,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Morgan,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
New Madrid,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Newton,MO,,4.0,3.0,1.0,2020-03-30 12:59:16.746871
Nodaway,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Oregon,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Osage,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Ozark,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Pemiscot,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Perry,MO,,12.0,9.0,3.0,2020-03-30 12:59:16.746871
Pettis,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Phelps,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Pike,MO,,1.0,1.0,0.0,2020-03-30 12:59:16.746871
Platte,MO,,7.0,0.0,7.0,2020-03-30 12:59:16.746871
Polk,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Pulaski,MO,,6.0,1.0,5.0,2020-03-30 12:59:16.746871
Putnam,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Ralls,MO,,1.0,1.0,0.0,2020-03-30 12:59:16.746871
Randolph,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Ray,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Reynolds,MO,,2.0,1.0,1.0,2020-03-30 12:59:16.746871
Ripley,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Saline,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Schuyler,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Scotland,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Scott,MO,,5.0,1.0,4.0,2020-03-30 12:59:16.746871
Shannon,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Shelby,MO,,1.0,1.0,0.0,2020-03-30 12:59:16.746871
St. Charles,MO,,56.0,11.0,45.0,2020-03-30 12:59:16.746871
St. Clair,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
St. Francois,MO,,3.0,1.0,2.0,2020-03-30 12:59:16.746871
Ste. Genevieve,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Stoddard,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Stone,MO,,1.0,1.0,0.0,2020-03-30 12:59:16.746871
Sullivan,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Taney,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Texas,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Vernon,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Warren,MO,,2.0,0.0,2.0,2020-03-30 12:59:16.746871
Washington,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
