County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Clay,MO,,37.0,0.0,37.0,2020-04-06 20:29:19.176194
Clinton,MO,,8.0,0.0,8.0,2020-04-06 20:29:19.176194
Cole,MO,,30.0,3.0,27.0,2020-04-06 20:29:19.176194
Cooper,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Crawford,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Dade,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Dallas,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Daviess,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
DeKalb,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
Dent,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Douglas,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Dunklin,MO,,8.0,0.0,8.0,2020-04-06 20:29:19.176194
Gasconade,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Gentry,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
Grundy,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Harrison,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Hickory,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Holt,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Howard,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Howell,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
Iron,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Jasper,MO,,9.0,2.0,7.0,2020-04-06 20:29:19.176194
Jefferson,MO,,81.0,10.0,71.0,2020-04-06 20:29:19.176194
Johnson,MO,,32.0,1.0,31.0,2020-04-06 20:29:19.176194
Joplin,MO,,2.0,1.0,1.0,2020-04-06 20:29:19.176194
Kansas City,MO,,212.0,2.0,210.0,2020-04-06 20:29:19.176194
Knox,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Laclede,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Lawrence,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Lewis,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Lincoln,MO,,18.0,2.0,16.0,2020-04-06 20:29:19.176194
Linn,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Livingston,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
Macon,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Madison,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
Maries,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Marion,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
McDonald,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Mercer,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Miller,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Mississippi,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Moniteau,MO,,4.0,0.0,4.0,2020-04-06 20:29:19.176194
Monroe,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Montgomery,MO,,5.0,0.0,5.0,2020-04-06 20:29:19.176194
Morgan,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
New Madrid,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Newton,MO,,6.0,3.0,3.0,2020-04-06 20:29:19.176194
Nodaway,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Oregon,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Osage,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Ozark,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Pemiscot,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Perry,MO,,28.0,15.0,13.0,2020-04-06 20:29:19.176194
Pettis,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Phelps,MO,,1.0,0.0,0.0,2020-04-06 20:29:19.176194
Pike,MO,,2.0,1.0,1.0,2020-04-06 20:29:19.176194
Platte,MO,,17.0,0.0,17.0,2020-04-06 20:29:19.176194
Polk,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Pulaski,MO,,11.0,1.0,10.0,2020-04-06 20:29:19.176194
Putnam,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Ralls,MO,,1.0,1.0,0.0,2020-04-06 20:29:19.176194
Randolph,MO,,7.0,0.0,7.0,2020-04-06 20:29:19.176194
Ray,MO,,4.0,1.0,3.0,2020-04-06 20:29:19.176194
Reynolds,MO,,2.0,1.0,1.0,2020-04-06 20:29:19.176194
Ripley,MO,,2.0,0.0,2.0,2020-04-06 20:29:19.176194
Saline,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Schuyler,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Scotland,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Scott,MO,,10.0,2.0,8.0,2020-04-06 20:29:19.176194
Shannon,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Shelby,MO,,1.0,1.0,0.0,2020-04-06 20:29:19.176194
St. Charles,MO,,188.0,22.0,166.0,2020-04-06 20:29:19.176194
St. Clair,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
St. Francois,MO,,17.0,4.0,13.0,2020-04-06 20:29:19.176194
Ste. Genevieve,MO,,6.0,1.0,5.0,2020-04-06 20:29:19.176194
Stoddard,MO,,7.0,2.0,5.0,2020-04-06 20:29:19.176194
Stone,MO,,3.0,1.0,2.0,2020-04-06 20:29:19.176194
Sullivan,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Taney,MO,,7.0,1.0,6.0,2020-04-06 20:29:19.176194
Texas,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Vernon,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Warren,MO,,9.0,0.0,9.0,2020-04-06 20:29:19.176194
Washington,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Wayne,MO,,0.0,0.0,0.0,2020-04-06 20:29:19.176194
Webster,MO,,3.0,0.0,3.0,2020-04-06 20:29:19.176194
Worth,MO,,1.0,0.0,1.0,2020-04-06 20:29:19.176194
Wright,MO,,7.0,1.0,6.0,2020-04-06 20:29:19.176194
Boone,MO,1.0,77.0,5.0,72.0,2020-04-07 20:05:15.950748
Callaway,MO,1.0,19.0,1.0,18.0,2020-04-07 20:05:15.950748
Camden,MO,1.0,24.0,3.0,21.0,2020-04-07 20:05:15.950748
Carter,MO,1.0,3.0,1.0,2.0,2020-04-07 20:05:15.950748
Cass,MO,1.0,25.0,3.0,22.0,2020-04-07 20:05:15.950748
Clay,MO,1.0,37.0,0.0,37.0,2020-04-07 20:05:15.950748
Cole,MO,1.0,32.0,3.0,29.0,2020-04-07 20:05:15.950748
Franklin,MO,3.0,35.0,0.0,35.0,2020-04-07 20:05:15.950748
Greene,MO,6.0,67.0,20.0,47.0,2020-04-07 20:05:15.950748
Henry,MO,1.0,2.0,1.0,1.0,2020-04-07 20:05:15.950748
Jackson,MO,1.0,154.0,10.0,144.0,2020-04-07 20:05:15.950748
Kansas City,MO,5.0,219.0,2.0,217.0,2020-04-07 20:05:15.950748
Lafayette,MO,1.0,28.0,0.0,28.0,2020-04-07 20:05:15.950748
St. Charles County,MO,6.0,,,,2020-04-07 20:05:15.950748
St. Louis City,MO,5.0,399.0,19.0,380.0,2020-04-07 20:05:15.950748
St. Louis County,MO,15.0,1203.0,56.0,1147.0,2020-04-07 20:05:15.950748
TBD,MO,3.0,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Adair,MO,,11.0,0.0,11.0,2020-04-07 20:05:15.950748
Andrew,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Atchison,MO,,1.0,1.0,0.0,2020-04-07 20:05:15.950748
Audrain,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Barry,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Barton,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Bates,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Benton,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Bollinger,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Buchanan,MO,,14.0,6.0,8.0,2020-04-07 20:05:15.950748
Butler,MO,,5.0,0.0,5.0,2020-04-07 20:05:15.950748
Caldwell,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Cape Girardeau,MO,,20.0,1.0,19.0,2020-04-07 20:05:15.950748
Carroll,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Cedar,MO,,7.0,0.0,7.0,2020-04-07 20:05:15.950748
Chariton,MO,,4.0,0.0,4.0,2020-04-07 20:05:15.950748
Christian,MO,,17.0,4.0,13.0,2020-04-07 20:05:15.950748
Clark,MO,,1.0,1.0,0.0,2020-04-07 20:05:15.950748
Clinton,MO,,8.0,0.0,8.0,2020-04-07 20:05:15.950748
Cooper,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Crawford,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Dade,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Dallas,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Daviess,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
DeKalb,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Dent,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Douglas,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Dunklin,MO,,8.0,0.0,8.0,2020-04-07 20:05:15.950748
Gasconade,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Gentry,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Grundy,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Harrison,MO,,4.0,0.0,4.0,2020-04-07 20:05:15.950748
Hickory,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Holt,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Howard,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Howell,MO,,4.0,0.0,4.0,2020-04-07 20:05:15.950748
Iron,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Jasper,MO,,9.0,2.0,7.0,2020-04-07 20:05:15.950748
Jefferson,MO,,92.0,10.0,82.0,2020-04-07 20:05:15.950748
Johnson,MO,,33.0,1.0,32.0,2020-04-07 20:05:15.950748
Joplin,MO,,3.0,1.0,2.0,2020-04-07 20:05:15.950748
Knox,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Laclede,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Lawrence,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Lewis,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Lincoln,MO,,21.0,2.0,19.0,2020-04-07 20:05:15.950748
Linn,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Livingston,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Macon,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Madison,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Maries,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Marion,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
McDonald,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Mercer,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Miller,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Mississippi,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Moniteau,MO,,4.0,0.0,4.0,2020-04-07 20:05:15.950748
Monroe,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Montgomery,MO,,5.0,0.0,5.0,2020-04-07 20:05:15.950748
Morgan,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
New Madrid,MO,,5.0,0.0,5.0,2020-04-07 20:05:15.950748
Newton,MO,,6.0,3.0,3.0,2020-04-07 20:05:15.950748
Nodaway,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Oregon,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Osage,MO,,4.0,0.0,4.0,2020-04-07 20:05:15.950748
Ozark,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Pemiscot,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Perry,MO,,28.0,15.0,13.0,2020-04-07 20:05:15.950748
Pettis,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Phelps,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Pike,MO,,2.0,1.0,1.0,2020-04-07 20:05:15.950748
Platte,MO,,17.0,0.0,17.0,2020-04-07 20:05:15.950748
Polk,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Pulaski,MO,,12.0,1.0,11.0,2020-04-07 20:05:15.950748
Putnam,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Ralls,MO,,1.0,1.0,0.0,2020-04-07 20:05:15.950748
Randolph,MO,,7.0,0.0,7.0,2020-04-07 20:05:15.950748
Ray,MO,,7.0,1.0,6.0,2020-04-07 20:05:15.950748
Reynolds,MO,,2.0,1.0,1.0,2020-04-07 20:05:15.950748
Ripley,MO,,2.0,0.0,2.0,2020-04-07 20:05:15.950748
Saline,MO,,5.0,0.0,5.0,2020-04-07 20:05:15.950748
Schuyler,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Scotland,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Scott,MO,,10.0,2.0,8.0,2020-04-07 20:05:15.950748
Shannon,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Shelby,MO,,1.0,1.0,0.0,2020-04-07 20:05:15.950748
St. Charles,MO,,221.0,22.0,199.0,2020-04-07 20:05:15.950748
St. Clair,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
St. Francois,MO,,19.0,4.0,15.0,2020-04-07 20:05:15.950748
Ste. Genevieve,MO,,6.0,1.0,5.0,2020-04-07 20:05:15.950748
Stoddard,MO,,8.0,2.0,6.0,2020-04-07 20:05:15.950748
Stone,MO,,3.0,1.0,2.0,2020-04-07 20:05:15.950748
Sullivan,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Taney,MO,,7.0,1.0,6.0,2020-04-07 20:05:15.950748
Texas,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Vernon,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Warren,MO,,11.0,0.0,11.0,2020-04-07 20:05:15.950748
Washington,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Wayne,MO,,0.0,0.0,0.0,2020-04-07 20:05:15.950748
Webster,MO,,3.0,0.0,3.0,2020-04-07 20:05:15.950748
Worth,MO,,1.0,0.0,1.0,2020-04-07 20:05:15.950748
Wright,MO,,7.0,1.0,6.0,2020-04-07 20:05:15.950748
Boone,MO,1.0,78.0,2020-04-08 20:19:21.750060
Callaway,MO,1.0,20.0,2020-04-08 20:19:21.750060
Camden,MO,1.0,25.0,2020-04-08 20:19:21.750060
Cape Girardeau,MO,1.0,23.0,2020-04-08 20:19:21.750060
Carter,MO,1.0,3.0,2020-04-08 20:19:21.750060
Cass,MO,1.0,26.0,2020-04-08 20:19:21.750060
Clay,MO,1.0,37.0,2020-04-08 20:19:21.750060
Cole,MO,1.0,35.0,2020-04-08 20:19:21.750060
Franklin,MO,3.0,56.0,2020-04-08 20:19:21.750060
Greene,MO,6.0,71.0,2020-04-08 20:19:21.750060
Henry,MO,1.0,2.0,2020-04-08 20:19:21.750060
Jackson,MO,1.0,167.0,2020-04-08 20:19:21.750060
Kansas City,MO,6.0,249.0,2020-04-08 20:19:21.750060
Lafayette,MO,1.0,27.0,2020-04-08 20:19:21.750060
Lincoln,MO,1.0,25.0,2020-04-08 20:19:21.750060
St. Charles County,MO,6.0,,2020-04-08 20:19:21.750060
St. Francois,MO,1.0,20.0,2020-04-08 20:19:21.750060
St. Louis City,MO,6.0,444.0,2020-04-08 20:19:21.750060
St. Louis County,MO,15.0,1302.0,2020-04-08 20:19:21.750060
Ste. Genevieve,MO,1.0,6.0,2020-04-08 20:19:21.750060
TBD,MO,2.0,0.0,2020-04-08 20:19:21.750060
Adair,MO,,11.0,2020-04-08 20:19:21.750060
Andrew,MO,,0.0,2020-04-08 20:19:21.750060
Atchison,MO,,1.0,2020-04-08 20:19:21.750060
Audrain,MO,,0.0,2020-04-08 20:19:21.750060
Barry,MO,,2.0,2020-04-08 20:19:21.750060
Barton,MO,,0.0,2020-04-08 20:19:21.750060
Bates,MO,,4.0,2020-04-08 20:19:21.750060
Benton,MO,,3.0,2020-04-08 20:19:21.750060
Bollinger,MO,,2.0,2020-04-08 20:19:21.750060
Buchanan,MO,,16.0,2020-04-08 20:19:21.750060
Butler,MO,,5.0,2020-04-08 20:19:21.750060
Caldwell,MO,,1.0,2020-04-08 20:19:21.750060
Carroll,MO,,0.0,2020-04-08 20:19:21.750060
Cedar,MO,,8.0,2020-04-08 20:19:21.750060
Chariton,MO,,4.0,2020-04-08 20:19:21.750060
Christian,MO,,17.0,2020-04-08 20:19:21.750060
Clark,MO,,1.0,2020-04-08 20:19:21.750060
Clinton,MO,,11.0,2020-04-08 20:19:21.750060
Cooper,MO,,2.0,2020-04-08 20:19:21.750060
Crawford,MO,,5.0,2020-04-08 20:19:21.750060
Dade,MO,,0.0,2020-04-08 20:19:21.750060
Dallas,MO,,1.0,2020-04-08 20:19:21.750060
Daviess,MO,,0.0,2020-04-08 20:19:21.750060
DeKalb,MO,,2.0,2020-04-08 20:19:21.750060
Dent,MO,,0.0,2020-04-08 20:19:21.750060
Douglas,MO,,0.0,2020-04-08 20:19:21.750060
Dunklin,MO,,9.0,2020-04-08 20:19:21.750060
Gasconade,MO,,2.0,2020-04-08 20:19:21.750060
Gentry,MO,,1.0,2020-04-08 20:19:21.750060
Grundy,MO,,0.0,2020-04-08 20:19:21.750060
Harrison,MO,,4.0,2020-04-08 20:19:21.750060
Hickory,MO,,0.0,2020-04-08 20:19:21.750060
Holt,MO,,0.0,2020-04-08 20:19:21.750060
Howard,MO,,1.0,2020-04-08 20:19:21.750060
Howell,MO,,4.0,2020-04-08 20:19:21.750060
Iron,MO,,0.0,2020-04-08 20:19:21.750060
Jasper,MO,,10.0,2020-04-08 20:19:21.750060
Jefferson,MO,,95.0,2020-04-08 20:19:21.750060
Johnson,MO,,35.0,2020-04-08 20:19:21.750060
Joplin,MO,,3.0,2020-04-08 20:19:21.750060
Knox,MO,,0.0,2020-04-08 20:19:21.750060
Laclede,MO,,0.0,2020-04-08 20:19:21.750060
Lawrence,MO,,0.0,2020-04-08 20:19:21.750060
Lewis,MO,,0.0,2020-04-08 20:19:21.750060
Linn,MO,,3.0,2020-04-08 20:19:21.750060
Livingston,MO,,1.0,2020-04-08 20:19:21.750060
Macon,MO,,2.0,2020-04-08 20:19:21.750060
Madison,MO,,1.0,2020-04-08 20:19:21.750060
Maries,MO,,2.0,2020-04-08 20:19:21.750060
Marion,MO,,0.0,2020-04-08 20:19:21.750060
McDonald,MO,,3.0,2020-04-08 20:19:21.750060
Mercer,MO,,0.0,2020-04-08 20:19:21.750060
Miller,MO,,0.0,2020-04-08 20:19:21.750060
Mississippi,MO,,0.0,2020-04-08 20:19:21.750060
Moniteau,MO,,4.0,2020-04-08 20:19:21.750060
Monroe,MO,,0.0,2020-04-08 20:19:21.750060
Montgomery,MO,,5.0,2020-04-08 20:19:21.750060
Morgan,MO,,1.0,2020-04-08 20:19:21.750060
New Madrid,MO,,5.0,2020-04-08 20:19:21.750060
Newton,MO,,6.0,2020-04-08 20:19:21.750060
Nodaway,MO,,2.0,2020-04-08 20:19:21.750060
Oregon,MO,,1.0,2020-04-08 20:19:21.750060
Osage,MO,,4.0,2020-04-08 20:19:21.750060
Ozark,MO,,0.0,2020-04-08 20:19:21.750060
Pemiscot,MO,,4.0,2020-04-08 20:19:21.750060
Perry,MO,,30.0,2020-04-08 20:19:21.750060
Pettis,MO,,3.0,2020-04-08 20:19:21.750060
Phelps,MO,,1.0,2020-04-08 20:19:21.750060
Pike,MO,,4.0,2020-04-08 20:19:21.750060
Platte,MO,,19.0,2020-04-08 20:19:21.750060
Polk,MO,,1.0,2020-04-08 20:19:21.750060
Pulaski,MO,,12.0,2020-04-08 20:19:21.750060
Putnam,MO,,0.0,2020-04-08 20:19:21.750060
Ralls,MO,,1.0,2020-04-08 20:19:21.750060
Randolph,MO,,7.0,2020-04-08 20:19:21.750060
Ray,MO,,7.0,2020-04-08 20:19:21.750060
Reynolds,MO,,2.0,2020-04-08 20:19:21.750060
Ripley,MO,,2.0,2020-04-08 20:19:21.750060
Saline,MO,,7.0,2020-04-08 20:19:21.750060
Schuyler,MO,,0.0,2020-04-08 20:19:21.750060
Scotland,MO,,1.0,2020-04-08 20:19:21.750060
Scott,MO,,11.0,2020-04-08 20:19:21.750060
Shannon,MO,,0.0,2020-04-08 20:19:21.750060
Shelby,MO,,1.0,2020-04-08 20:19:21.750060
St. Charles,MO,,254.0,2020-04-08 20:19:21.750060
St. Clair,MO,,0.0,2020-04-08 20:19:21.750060
Stoddard,MO,,8.0,2020-04-08 20:19:21.750060
Stone,MO,,3.0,2020-04-08 20:19:21.750060
Sullivan,MO,,0.0,2020-04-08 20:19:21.750060
Taney,MO,,7.0,2020-04-08 20:19:21.750060
Texas,MO,,0.0,2020-04-08 20:19:21.750060
Vernon,MO,,0.0,2020-04-08 20:19:21.750060
Warren,MO,,13.0,2020-04-08 20:19:21.750060
Washington,MO,,1.0,2020-04-08 20:19:21.750060
Wayne,MO,,0.0,2020-04-08 20:19:21.750060
Webster,MO,,3.0,2020-04-08 20:19:21.750060
Worth,MO,,1.0,2020-04-08 20:19:21.750060
Wright,MO,,7.0,2020-04-08 20:19:21.750060
Boone,MO,1.0,78.0,2020-04-09 19:52:07.310490
Buchanan,MO,1.0,17.0,2020-04-09 19:52:07.310490
Callaway,MO,1.0,20.0,2020-04-09 19:52:07.310490
Camden,MO,1.0,26.0,2020-04-09 19:52:07.310490
Cape Girardeau,MO,1.0,24.0,2020-04-09 19:52:07.310490
Carter,MO,1.0,3.0,2020-04-09 19:52:07.310490
Cass,MO,1.0,27.0,2020-04-09 19:52:07.310490
Clay,MO,1.0,38.0,2020-04-09 19:52:07.310490
Cole,MO,1.0,35.0,2020-04-09 19:52:07.310490
Franklin,MO,3.0,62.0,2020-04-09 19:52:07.310490
Greene,MO,7.0,72.0,2020-04-09 19:52:07.310490
Henry,MO,1.0,2.0,2020-04-09 19:52:07.310490
Jackson,MO,4.0,177.0,2020-04-09 19:52:07.310490
Jefferson,MO,2.0,98.0,2020-04-09 19:52:07.310490
Kansas City,MO,6.0,257.0,2020-04-09 19:52:07.310490
Lafayette,MO,1.0,26.0,2020-04-09 19:52:07.310490
Lincoln,MO,1.0,25.0,2020-04-09 19:52:07.310490
St. Charles County,MO,6.0,,2020-04-09 19:52:07.310490
St. Francois,MO,1.0,20.0,2020-04-09 19:52:07.310490
St. Louis City,MO,6.0,498.0,2020-04-09 19:52:07.310490
St. Louis County,MO,28.0,1393.0,2020-04-09 19:52:07.310490
Ste. Genevieve,MO,1.0,6.0,2020-04-09 19:52:07.310490
Taney,MO,1.0,7.0,2020-04-09 19:52:07.310490
TBD,MO,0.0,0.0,2020-04-09 19:52:07.310490
Adair,MO,,11.0,2020-04-09 19:52:07.310490
Andrew,MO,,0.0,2020-04-09 19:52:07.310490
Atchison,MO,,1.0,2020-04-09 19:52:07.310490
Audrain,MO,,0.0,2020-04-09 19:52:07.310490
Barry,MO,,1.0,2020-04-09 19:52:07.310490
Barton,MO,,0.0,2020-04-09 19:52:07.310490
Bates,MO,,4.0,2020-04-09 19:52:07.310490
Benton,MO,,3.0,2020-04-09 19:52:07.310490
Bollinger,MO,,3.0,2020-04-09 19:52:07.310490
Butler,MO,,6.0,2020-04-09 19:52:07.310490
Caldwell,MO,,1.0,2020-04-09 19:52:07.310490
Carroll,MO,,0.0,2020-04-09 19:52:07.310490
Cedar,MO,,5.0,2020-04-09 19:52:07.310490
Chariton,MO,,4.0,2020-04-09 19:52:07.310490
Christian,MO,,17.0,2020-04-09 19:52:07.310490
Clark,MO,,1.0,2020-04-09 19:52:07.310490
Clinton,MO,,9.0,2020-04-09 19:52:07.310490
Cooper,MO,,3.0,2020-04-09 19:52:07.310490
Crawford,MO,,4.0,2020-04-09 19:52:07.310490
Dade,MO,,0.0,2020-04-09 19:52:07.310490
Dallas,MO,,2.0,2020-04-09 19:52:07.310490
Daviess,MO,,0.0,2020-04-09 19:52:07.310490
DeKalb,MO,,3.0,2020-04-09 19:52:07.310490
Dent,MO,,0.0,2020-04-09 19:52:07.310490
Douglas,MO,,0.0,2020-04-09 19:52:07.310490
Dunklin,MO,,10.0,2020-04-09 19:52:07.310490
Gasconade,MO,,2.0,2020-04-09 19:52:07.310490
Gentry,MO,,1.0,2020-04-09 19:52:07.310490
Grundy,MO,,0.0,2020-04-09 19:52:07.310490
Harrison,MO,,4.0,2020-04-09 19:52:07.310490
Hickory,MO,,0.0,2020-04-09 19:52:07.310490
Holt,MO,,0.0,2020-04-09 19:52:07.310490
Howard,MO,,1.0,2020-04-09 19:52:07.310490
Howell,MO,,4.0,2020-04-09 19:52:07.310490
Iron,MO,,0.0,2020-04-09 19:52:07.310490
Jasper,MO,,11.0,2020-04-09 19:52:07.310490
Johnson,MO,,36.0,2020-04-09 19:52:07.310490
Joplin,MO,,2.0,2020-04-09 19:52:07.310490
Knox,MO,,0.0,2020-04-09 19:52:07.310490
Laclede,MO,,0.0,2020-04-09 19:52:07.310490
Lawrence,MO,,0.0,2020-04-09 19:52:07.310490
Lewis,MO,,0.0,2020-04-09 19:52:07.310490
Linn,MO,,3.0,2020-04-09 19:52:07.310490
Livingston,MO,,1.0,2020-04-09 19:52:07.310490
Macon,MO,,2.0,2020-04-09 19:52:07.310490
Madison,MO,,1.0,2020-04-09 19:52:07.310490
Maries,MO,,2.0,2020-04-09 19:52:07.310490
Marion,MO,,0.0,2020-04-09 19:52:07.310490
McDonald,MO,,4.0,2020-04-09 19:52:07.310490
Mercer,MO,,0.0,2020-04-09 19:52:07.310490
Miller,MO,,0.0,2020-04-09 19:52:07.310490
Mississippi,MO,,0.0,2020-04-09 19:52:07.310490
Moniteau,MO,,3.0,2020-04-09 19:52:07.310490
Monroe,MO,,0.0,2020-04-09 19:52:07.310490
Montgomery,MO,,6.0,2020-04-09 19:52:07.310490
Morgan,MO,,1.0,2020-04-09 19:52:07.310490
New Madrid,MO,,6.0,2020-04-09 19:52:07.310490
Newton,MO,,7.0,2020-04-09 19:52:07.310490
Nodaway,MO,,2.0,2020-04-09 19:52:07.310490
Oregon,MO,,1.0,2020-04-09 19:52:07.310490
Osage,MO,,4.0,2020-04-09 19:52:07.310490
Ozark,MO,,0.0,2020-04-09 19:52:07.310490
Pemiscot,MO,,4.0,2020-04-09 19:52:07.310490
Perry,MO,,31.0,2020-04-09 19:52:07.310490
Pettis,MO,,3.0,2020-04-09 19:52:07.310490
Phelps,MO,,1.0,2020-04-09 19:52:07.310490
Pike,MO,,5.0,2020-04-09 19:52:07.310490
Platte,MO,,21.0,2020-04-09 19:52:07.310490
Polk,MO,,1.0,2020-04-09 19:52:07.310490
