County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Clay,MO,,13,0,13,59:16.7
Clinton,MO,,4,0,4,59:16.7
Cole,MO,,25,3,22,59:16.7
Cooper,MO,,1,0,1,59:16.7
Crawford,MO,,1,0,1,59:16.7
Dade,MO,,0,0,0,59:16.7
Dallas,MO,,0,0,0,59:16.7
Daviess,MO,,0,0,0,59:16.7
DeKalb,MO,,0,0,0,59:16.7
Dent,MO,,0,0,0,59:16.7
Douglas,MO,,0,0,0,59:16.7
Dunklin,MO,,6,0,6,59:16.7
Franklin,MO,,7,0,7,59:16.7
Gasconade,MO,,0,0,0,59:16.7
Gentry,MO,,0,0,0,59:16.7
Grundy,MO,,0,0,0,59:16.7
Harrison,MO,,0,0,0,59:16.7
Hickory,MO,,0,0,0,59:16.7
Holt,MO,,0,0,0,59:16.7
Howard,MO,,0,0,0,59:16.7
Howell,MO,,0,0,0,59:16.7
Iron,MO,,0,0,0,59:16.7
Jasper,MO,,3,1,2,59:16.7
Jefferson,MO,,18,3,15,59:16.7
Johnson,MO,,9,1,8,59:16.7
Joplin,MO,,1,0,1,59:16.7
Kansas City,MO,,100,2,98,59:16.7
Knox,MO,,0,0,0,59:16.7
Laclede,MO,,0,0,0,59:16.7
Lawrence,MO,,0,0,0,59:16.7
Lewis,MO,,0,0,0,59:16.7
Lincoln,MO,,5,1,4,59:16.7
Linn,MO,,0,0,0,59:16.7
Livingston,MO,,1,0,1,59:16.7
Macon,MO,,1,0,1,59:16.7
Madison,MO,,0,0,0,59:16.7
Maries,MO,,1,0,1,59:16.7
Marion,MO,,0,0,0,59:16.7
McDonald,MO,,2,0,2,59:16.7
Mercer,MO,,0,0,0,59:16.7
Miller,MO,,0,0,0,59:16.7
Mississippi,MO,,0,0,0,59:16.7
Moniteau,MO,,2,0,2,59:16.7
Monroe,MO,,0,0,0,59:16.7
Montgomery,MO,,2,0,2,59:16.7
Morgan,MO,,1,0,1,59:16.7
New Madrid,MO,,0,0,0,59:16.7
Newton,MO,,4,3,1,59:16.7
Nodaway,MO,,0,0,0,59:16.7
Oregon,MO,,0,0,0,59:16.7
Osage,MO,,1,0,1,59:16.7
Ozark,MO,,0,0,0,59:16.7
Pemiscot,MO,,2,0,2,59:16.7
Perry,MO,,12,9,3,59:16.7
Pettis,MO,,1,0,1,59:16.7
Phelps,MO,,0,0,0,59:16.7
Pike,MO,,1,1,0,59:16.7
Platte,MO,,7,0,7,59:16.7
Polk,MO,,0,0,0,59:16.7
Pulaski,MO,,6,1,5,59:16.7
Putnam,MO,,0,0,0,59:16.7
Ralls,MO,,1,1,0,59:16.7
Randolph,MO,,1,0,1,59:16.7
Ray,MO,,1,0,1,59:16.7
Reynolds,MO,,2,1,1,59:16.7
Ripley,MO,,2,0,2,59:16.7
Saline,MO,,0,0,0,59:16.7
