County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Harrison,MO,,1,0,1,13:49.9
Hickory,MO,,0,0,0,13:49.9
Holt,MO,,0,0,0,13:49.9
Howard,MO,,0,0,0,13:49.9
Howell,MO,,0,0,0,13:49.9
Iron,MO,,0,0,0,13:49.9
Jasper,MO,,4,1,3,13:49.9
Jefferson,MO,,30,3,27,13:49.9
Johnson,MO,,10,1,9,13:49.9
Joplin,MO,,2,0,2,13:49.9
Kansas City,MO,,119,2,117,13:49.9
Knox,MO,,0,0,0,13:49.9
Laclede,MO,,0,0,0,13:49.9
Lawrence,MO,,0,0,0,13:49.9
Lewis,MO,,0,0,0,13:49.9
Lincoln,MO,,7,1,6,13:49.9
Linn,MO,,0,0,0,13:49.9
Livingston,MO,,1,0,1,13:49.9
Macon,MO,,3,0,3,13:49.9
Madison,MO,,0,0,0,13:49.9
Maries,MO,,1,0,1,13:49.9
Marion,MO,,0,0,0,13:49.9
McDonald,MO,,2,0,2,13:49.9
Mercer,MO,,0,0,0,13:49.9
Miller,MO,,0,0,0,13:49.9
Mississippi,MO,,0,0,0,13:49.9
Moniteau,MO,,2,0,2,13:49.9
Monroe,MO,,0,0,0,13:49.9
Montgomery,MO,,2,0,2,13:49.9
Morgan,MO,,1,0,1,13:49.9
New Madrid,MO,,0,0,0,13:49.9
Newton,MO,,5,3,2,13:49.9
Nodaway,MO,,0,0,0,13:49.9
Oregon,MO,,0,0,0,13:49.9
Osage,MO,,1,0,1,13:49.9
Ozark,MO,,0,0,0,13:49.9
Pemiscot,MO,,2,0,2,13:49.9
Perry,MO,,14,9,5,13:49.9
Pettis,MO,,1,0,1,13:49.9
Phelps,MO,,0,0,0,13:49.9
Pike,MO,,1,1,0,13:49.9
Platte,MO,,9,0,9,13:49.9
Polk,MO,,0,0,0,13:49.9
Pulaski,MO,,7,1,6,13:49.9
Putnam,MO,,0,0,0,13:49.9
Ralls,MO,,1,1,0,13:49.9
Randolph,MO,,2,0,2,13:49.9
Ray,MO,,1,0,1,13:49.9
Reynolds,MO,,2,1,1,13:49.9
Ripley,MO,,2,0,2,13:49.9
Saline,MO,,0,0,0,13:49.9
Schuyler,MO,,0,0,0,13:49.9
Scotland,MO,,0,0,0,13:49.9
Scott,MO,,6,1,5,13:49.9
Shannon,MO,,0,0,0,13:49.9
Shelby,MO,,1,1,0,13:49.9
St. Charles,MO,,71,11,60,13:49.9
St. Clair,MO,,0,0,0,13:49.9
St. Francois,MO,,5,1,4,13:49.9
Ste. Genevieve,MO,,2,0,2,13:49.9
Stoddard,MO,,3,0,3,13:49.9
Stone,MO,,1,1,0,13:49.9
Sullivan,MO,,0,0,0,13:49.9
Taney,MO,,2,0,2,13:49.9
Texas,MO,,0,0,0,13:49.9
Vernon,MO,,0,0,0,13:49.9
Warren,MO,,5,0,5,13:49.9
Washington,MO,,0,0,0,13:49.9
Wayne,MO,,0,0,0,13:49.9
Webster,MO,,2,0,2,13:49.9
Worth,MO,,0,0,0,13:49.9
Wright,MO,,4,1,3,13:49.9
TBD,MO,,1,0,1,13:49.9
County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1,64,3,61,09:36.6
Camden,MO,1,12,2,10,09:36.6
Greene,MO,3,48,17,31,09:36.6
Henry,MO,1,1,1,0,09:36.6
Jackson,MO,1,77,5,72,09:36.6
Lafayette,MO,1,19,0,19,09:36.6
St. Charles County,MO,2,,,,09:36.6
St. Louis City,MO,1,136,11,125,09:36.6
St. Louis County,MO,3,492,29,463,09:36.6
Adair,MO,,2,0,2,09:36.6
Andrew,MO,,0,0,0,09:36.6
Atchison,MO,,1,1,0,09:36.6
Audrain,MO,,0,0,0,09:36.6
Barry,MO,,1,0,1,09:36.6
Barton,MO,,0,0,0,09:36.6
Bates,MO,,1,0,1,09:36.6
Benton,MO,,2,0,2,09:36.6
Bollinger,MO,,1,0,1,09:36.6
Buchanan,MO,,5,0,5,09:36.6
Butler,MO,,0,0,0,09:36.6
Caldwell,MO,,0,0,0,09:36.6
Callaway,MO,,14,1,13,09:36.6
Cape Girardeau,MO,,15,0,15,09:36.6
Carroll,MO,,0,0,0,09:36.6
Carter,MO,,4,1,3,09:36.6
Cass,MO,,14,3,11,09:36.6
Cedar,MO,,3,0,3,09:36.6
Chariton,MO,,4,0,4,09:36.6
Christian,MO,,11,4,7,09:36.6
Clark,MO,,0,0,0,09:36.6
Clay,MO,,16,0,16,09:36.6
Clinton,MO,,4,0,4,09:36.6
Cole,MO,,23,3,20,09:36.6
Cooper,MO,,2,0,2,09:36.6
Crawford,MO,,1,0,1,09:36.6
Dade,MO,,0,0,0,09:36.6
Dallas,MO,,0,0,0,09:36.6
Daviess,MO,,0,0,0,09:36.6
DeKalb,MO,,0,0,0,09:36.6
Dent,MO,,0,0,0,09:36.6
Douglas,MO,,0,0,0,09:36.6
Dunklin,MO,,5,0,5,09:36.6
Franklin,MO,,13,0,13,09:36.6
Gasconade,MO,,0,0,0,09:36.6
Gentry,MO,,0,0,0,09:36.6
Grundy,MO,,0,0,0,09:36.6
Harrison,MO,,1,0,1,09:36.6
Hickory,MO,,0,0,0,09:36.6
Holt,MO,,0,0,0,09:36.6
Howard,MO,,0,0,0,09:36.6
Howell,MO,,0,0,0,09:36.6
Iron,MO,,0,0,0,09:36.6
Jasper,MO,,4,1,3,09:36.6
Jefferson,MO,,30,3,27,09:36.6
Johnson,MO,,10,1,9,09:36.6
Joplin,MO,,2,0,2,09:36.6
Kansas City,MO,,119,2,117,09:36.6
Knox,MO,,0,0,0,09:36.6
Laclede,MO,,0,0,0,09:36.6
Lawrence,MO,,0,0,0,09:36.6
Lewis,MO,,0,0,0,09:36.6
Lincoln,MO,,7,1,6,09:36.6
Linn,MO,,0,0,0,09:36.6
Livingston,MO,,1,0,1,09:36.6
Macon,MO,,3,0,3,09:36.6
Madison,MO,,0,0,0,09:36.6
Maries,MO,,1,0,1,09:36.6
Marion,MO,,0,0,0,09:36.6
McDonald,MO,,2,0,2,09:36.6
Mercer,MO,,0,0,0,09:36.6
Miller,MO,,0,0,0,09:36.6
Mississippi,MO,,0,0,0,09:36.6
Moniteau,MO,,2,0,2,09:36.6
Monroe,MO,,0,0,0,09:36.6
Montgomery,MO,,2,0,2,09:36.6
Morgan,MO,,1,0,1,09:36.6
New Madrid,MO,,0,0,0,09:36.6
Newton,MO,,5,3,2,09:36.6
Nodaway,MO,,0,0,0,09:36.6
Oregon,MO,,0,0,0,09:36.6
Osage,MO,,1,0,1,09:36.6
Ozark,MO,,0,0,0,09:36.6
Pemiscot,MO,,2,0,2,09:36.6
Perry,MO,,14,9,5,09:36.6
Pettis,MO,,1,0,1,09:36.6
Phelps,MO,,0,0,0,09:36.6
Pike,MO,,1,1,0,09:36.6
Platte,MO,,9,0,9,09:36.6
Polk,MO,,0,0,0,09:36.6
Pulaski,MO,,7,1,6,09:36.6
Putnam,MO,,0,0,0,09:36.6
Ralls,MO,,1,1,0,09:36.6
Randolph,MO,,2,0,2,09:36.6
Ray,MO,,1,0,1,09:36.6
Reynolds,MO,,2,1,1,09:36.6
Ripley,MO,,2,0,2,09:36.6
Saline,MO,,0,0,0,09:36.6
Schuyler,MO,,0,0,0,09:36.6
Scotland,MO,,0,0,0,09:36.6
Scott,MO,,6,1,5,09:36.6
Shannon,MO,,0,0,0,09:36.6
Shelby,MO,,1,1,0,09:36.6
St. Charles,MO,,71,11,60,09:36.6
St. Clair,MO,,0,0,0,09:36.6
St. Francois,MO,,5,1,4,09:36.6
Ste. Genevieve,MO,,2,0,2,09:36.6
Stoddard,MO,,3,0,3,09:36.6
Stone,MO,,1,1,0,09:36.6
Sullivan,MO,,0,0,0,09:36.6
Taney,MO,,2,0,2,09:36.6
Texas,MO,,0,0,0,09:36.6
Vernon,MO,,0,0,0,09:36.6
Warren,MO,,5,0,5,09:36.6
Washington,MO,,0,0,0,09:36.6
Wayne,MO,,0,0,0,09:36.6
Webster,MO,,2,0,2,09:36.6
Worth,MO,,0,0,0,09:36.6
Wright,MO,,4,1,3,09:36.6
TBD,MO,,1,0,1,09:36.6
Boone,MO,1,65,1,64,08:41.3
Camden,MO,1,17,2,15,08:41.3
Cass,MO,1,17,3,14,08:41.3
Greene,MO,6,51,17,34,08:41.3
Henry,MO,1,1,1,0,08:41.3
Jackson,MO,1,86,5,81,08:41.3
Lafayette,MO,1,20,0,20,08:41.3
St. Charles County,MO,2,,,,08:41.3
St. Louis City,MO,1,176,12,164,08:41.3
St. Louis County,MO,3,605,37,568,08:41.3
Adair,MO,,3,0,3,08:41.3
Andrew,MO,,0,0,0,08:41.3
Atchison,MO,,1,1,0,08:41.3
Audrain,MO,,0,0,0,08:41.3
Barry,MO,,1,0,1,08:41.3
Barton,MO,,0,0,0,08:41.3
Bates,MO,,2,0,2,08:41.3
Benton,MO,,3,0,3,08:41.3
Bollinger,MO,,1,0,1,08:41.3
Buchanan,MO,,5,1,4,08:41.3
Butler,MO,,1,0,1,08:41.3
Caldwell,MO,,1,0,1,08:41.3
Callaway,MO,,17,1,16,08:41.3
Cape Girardeau,MO,,15,0,15,08:41.3
Carroll,MO,,0,0,0,08:41.3
Carter,MO,,3,1,2,08:41.3
Cedar,MO,,3,0,3,08:41.3
Chariton,MO,,4,0,4,08:41.3
Christian,MO,,11,4,7,08:41.3
Clark,MO,,0,0,0,08:41.3
Clay,MO,,21,0,21,08:41.3
Clinton,MO,,5,0,5,08:41.3
Cole,MO,,24,3,21,08:41.3
Cooper,MO,,2,0,2,08:41.3
Crawford,MO,,1,0,1,08:41.3
Dade,MO,,0,0,0,08:41.3
Dallas,MO,,0,0,0,08:41.3
Daviess,MO,,0,0,0,08:41.3
DeKalb,MO,,1,0,1,08:41.3
Dent,MO,,0,0,0,08:41.3
Douglas,MO,,0,0,0,08:41.3
Dunklin,MO,,5,0,5,08:41.3
Franklin,MO,,16,0,16,08:41.3
Gasconade,MO,,1,0,1,08:41.3
Gentry,MO,,0,0,0,08:41.3
Grundy,MO,,0,0,0,08:41.3
Harrison,MO,,1,0,1,08:41.3
Hickory,MO,,0,0,0,08:41.3
Holt,MO,,0,0,0,08:41.3
Howard,MO,,0,0,0,08:41.3
Howell,MO,,0,0,0,08:41.3
Iron,MO,,0,0,0,08:41.3
Jasper,MO,,5,1,4,08:41.3
Jefferson,MO,,38,4,34,08:41.3
Johnson,MO,,14,1,13,08:41.3
Joplin,MO,,1,0,1,08:41.3
Kansas City,MO,,128,2,126,08:41.3
Knox,MO,,0,0,0,08:41.3
Laclede,MO,,0,0,0,08:41.3
Lawrence,MO,,0,0,0,08:41.3
Lewis,MO,,0,0,0,08:41.3
Lincoln,MO,,10,2,8,08:41.3
Linn,MO,,0,0,0,08:41.3
Livingston,MO,,1,0,1,08:41.3
Macon,MO,,2,0,2,08:41.3
Madison,MO,,0,0,0,08:41.3
Maries,MO,,2,0,2,08:41.3
Marion,MO,,0,0,0,08:41.3
McDonald,MO,,2,0,2,08:41.3
Mercer,MO,,0,0,0,08:41.3
Miller,MO,,0,0,0,08:41.3
Mississippi,MO,,0,0,0,08:41.3
Moniteau,MO,,2,0,2,08:41.3
Monroe,MO,,0,0,0,08:41.3
Montgomery,MO,,2,0,2,08:41.3
Morgan,MO,,1,0,1,08:41.3
New Madrid,MO,,0,0,0,08:41.3
Newton,MO,,5,3,2,08:41.3
Nodaway,MO,,0,0,0,08:41.3
Oregon,MO,,0,0,0,08:41.3
Osage,MO,,2,0,2,08:41.3
Ozark,MO,,0,0,0,08:41.3
Pemiscot,MO,,2,0,2,08:41.3
Perry,MO,,18,11,7,08:41.3
Pettis,MO,,1,0,1,08:41.3
Phelps,MO,,0,0,0,08:41.3
Pike,MO,,1,1,0,08:41.3
Platte,MO,,12,0,12,08:41.3
Polk,MO,,0,0,0,08:41.3
Pulaski,MO,,8,1,7,08:41.3
Putnam,MO,,0,0,0,08:41.3
Ralls,MO,,1,1,0,08:41.3
Randolph,MO,,2,0,2,08:41.3
Ray,MO,,1,0,1,08:41.3
Reynolds,MO,,2,1,1,08:41.3
Ripley,MO,,2,0,2,08:41.3
Saline,MO,,0,0,0,08:41.3
Schuyler,MO,,0,0,0,08:41.3
Scotland,MO,,0,0,0,08:41.3
Scott,MO,,6,1,5,08:41.3
Shannon,MO,,0,0,0,08:41.3
Shelby,MO,,1,1,0,08:41.3
St. Charles,MO,,93,12,81,08:41.3
St. Clair,MO,,0,0,0,08:41.3
St. Francois,MO,,6,1,5,08:41.3
Ste. Genevieve,MO,,3,1,2,08:41.3
Stoddard,MO,,3,0,3,08:41.3
Stone,MO,,2,1,1,08:41.3
Sullivan,MO,,0,0,0,08:41.3
Taney,MO,,2,0,2,08:41.3
Texas,MO,,0,0,0,08:41.3
Vernon,MO,,0,0,0,08:41.3
Warren,MO,,6,0,6,08:41.3
Washington,MO,,0,0,0,08:41.3
Wayne,MO,,0,0,0,08:41.3
Webster,MO,,2,0,2,08:41.3
Worth,MO,,0,0,0,08:41.3
Wright,MO,,4,1,3,08:41.3
TBD,MO,,2,0,2,08:41.3
Boone,MO,1,69,2,67,26:38.3
Camden,MO,1,19,2,17,26:38.3
Cass,MO,1,21,3,18,26:38.3
Greene,MO,6,54,19,35,26:38.3
Henry,MO,1,1,1,0,26:38.3
Jackson,MO,1,103,5,98,26:38.3
Lafayette,MO,1,20,0,20,26:38.3
St. Charles County,MO,3,,,,26:38.3
St. Louis City,MO,1,216,13,203,26:38.3
St. Louis County,MO,3,712,35,677,26:38.3
Adair,MO,,6,0,6,26:38.3
Andrew,MO,,0,0,0,26:38.3
Atchison,MO,,1,1,0,26:38.3
Audrain,MO,,0,0,0,26:38.3
Barry,MO,,1,0,1,26:38.3
Barton,MO,,0,0,0,26:38.3
Bates,MO,,2,0,2,26:38.3
Benton,MO,,3,0,3,26:38.3
Bollinger,MO,,1,0,1,26:38.3
Buchanan,MO,,5,1,4,26:38.3
Butler,MO,,1,0,1,26:38.3
Caldwell,MO,,1,0,1,26:38.3
Callaway,MO,,18,1,17,26:38.3
Cape Girardeau,MO,,15,0,15,26:38.3
Carroll,MO,,0,0,0,26:38.3
Carter,MO,,3,1,2,26:38.3
Cedar,MO,,3,0,3,26:38.3
Chariton,MO,,4,0,4,26:38.3
Christian,MO,,12,4,8,26:38.3
Clark,MO,,0,0,0,26:38.3
Clay,MO,,23,0,23,26:38.3
Clinton,MO,,6,0,6,26:38.3
Cole,MO,,25,3,22,26:38.3
Cooper,MO,,2,0,2,26:38.3
Crawford,MO,,1,0,1,26:38.3
Dade,MO,,0,0,0,26:38.3
Dallas,MO,,0,0,0,26:38.3
Daviess,MO,,0,0,0,26:38.3
DeKalb,MO,,1,0,1,26:38.3
Dent,MO,,0,0,0,26:38.3
Douglas,MO,,0,0,0,26:38.3
Dunklin,MO,,6,0,6,26:38.3
Franklin,MO,,19,0,19,26:38.3
Gasconade,MO,,1,0,1,26:38.3
Gentry,MO,,0,0,0,26:38.3
Grundy,MO,,0,0,0,26:38.3
Harrison,MO,,2,0,2,26:38.3
Hickory,MO,,0,0,0,26:38.3
Holt,MO,,0,0,0,26:38.3
Howard,MO,,0,0,0,26:38.3
Howell,MO,,1,0,1,26:38.3
Iron,MO,,0,0,0,26:38.3
Jasper,MO,,5,1,4,26:38.3
Jefferson,MO,,47,5,42,26:38.3
Johnson,MO,,26,1,25,26:38.3
Joplin,MO,,1,0,1,26:38.3
Kansas City,MO,,139,2,137,26:38.3
Knox,MO,,0,0,0,26:38.3
Laclede,MO,,0,0,0,26:38.3
Lawrence,MO,,0,0,0,26:38.3
Lewis,MO,,0,0,0,26:38.3
Lincoln,MO,,12,2,10,26:38.3
Linn,MO,,0,0,0,26:38.3
Livingston,MO,,1,0,1,26:38.3
Macon,MO,,2,0,2,26:38.3
Madison,MO,,0,0,0,26:38.3
Maries,MO,,2,0,2,26:38.3
Marion,MO,,0,0,0,26:38.3
McDonald,MO,,2,0,2,26:38.3
Mercer,MO,,0,0,0,26:38.3
Miller,MO,,0,0,0,26:38.3
Mississippi,MO,,0,0,0,26:38.3
Moniteau,MO,,2,0,2,26:38.3
Monroe,MO,,0,0,0,26:38.3
Montgomery,MO,,2,0,2,26:38.3
Morgan,MO,,1,0,1,26:38.3
New Madrid,MO,,1,0,1,26:38.3
Newton,MO,,6,3,3,26:38.3
Nodaway,MO,,0,0,0,26:38.3
Oregon,MO,,0,0,0,26:38.3
Osage,MO,,2,0,2,26:38.3
Ozark,MO,,0,0,0,26:38.3
Pemiscot,MO,,3,0,3,26:38.3
Perry,MO,,19,11,8,26:38.3
Pettis,MO,,1,0,1,26:38.3
Phelps,MO,,0,0,0,26:38.3
Pike,MO,,1,1,0,26:38.3
Platte,MO,,13,0,13,26:38.3
Polk,MO,,0,0,0,26:38.3
Pulaski,MO,,8,1,7,26:38.3
Putnam,MO,,0,0,0,26:38.3
Ralls,MO,,1,1,0,26:38.3
Randolph,MO,,2,0,2,26:38.3
Ray,MO,,1,0,1,26:38.3
Reynolds,MO,,2,1,1,26:38.3
Ripley,MO,,2,0,2,26:38.3
Saline,MO,,0,0,0,26:38.3
Schuyler,MO,,0,0,0,26:38.3
Scotland,MO,,0,0,0,26:38.3
Scott,MO,,6,1,5,26:38.3
Shannon,MO,,0,0,0,26:38.3
Shelby,MO,,1,1,0,26:38.3
St. Charles,MO,,105,12,93,26:38.3
St. Clair,MO,,0,0,0,26:38.3
St. Francois,MO,,9,1,8,26:38.3
Ste. Genevieve,MO,,3,1,2,26:38.3
Stoddard,MO,,6,1,5,26:38.3
Stone,MO,,2,1,1,26:38.3
Sullivan,MO,,0,0,0,26:38.3
Taney,MO,,2,0,2,26:38.3
Texas,MO,,0,0,0,26:38.3
Vernon,MO,,0,0,0,26:38.3
Warren,MO,,7,0,7,26:38.3
Washington,MO,,0,0,0,26:38.3
Wayne,MO,,0,0,0,26:38.3
Webster,MO,,2,0,2,26:38.3
Worth,MO,,0,0,0,26:38.3
Wright,MO,,6,1,5,26:38.3
TBD,MO,,3,1,2,26:38.3
Boone,MO,1,74,3,71,24:52.3
Camden,MO,1,21,2,19,24:52.3
Cass,MO,1,21,3,18,24:52.3
Greene,MO,6,60,20,40,24:52.3
Henry,MO,1,1,1,0,24:52.3
Jackson,MO,1,120,8,112,24:52.3
Lafayette,MO,1,20,0,20,24:52.3
St. Charles County,MO,3,,,,24:52.3
St. Louis City,MO,1,275,13,262,24:52.3
St. Louis County,MO,3,794,39,755,24:52.3
Adair,MO,,8,0,8,24:52.3
Andrew,MO,,0,0,0,24:52.3
Atchison,MO,,1,1,0,24:52.3
Audrain,MO,,0,0,0,24:52.3
Barry,MO,,1,0,1,24:52.3
Barton,MO,,0,0,0,24:52.3
Bates,MO,,3,0,3,24:52.3
Benton,MO,,3,0,3,24:52.3
Bollinger,MO,,1,0,1,24:52.3
Buchanan,MO,,8,4,4,24:52.3
Butler,MO,,1,0,1,24:52.3
Caldwell,MO,,1,0,1,24:52.3
Callaway,MO,,18,1,17,24:52.3
Cape Girardeau,MO,,15,0,15,24:52.3
Carroll,MO,,0,0,0,24:52.3
Carter,MO,,3,1,2,24:52.3
Cedar,MO,,4,0,4,24:52.3
Chariton,MO,,4,0,4,24:52.3
Christian,MO,,13,4,9,24:52.3
Clark,MO,,1,1,0,24:52.3
Clay,MO,,26,0,26,24:52.3
Clinton,MO,,8,0,8,24:52.3
Cole,MO,,26,3,23,24:52.3
Cooper,MO,,2,0,2,24:52.3
Crawford,MO,,1,0,1,24:52.3
Dade,MO,,0,0,0,24:52.3
Dallas,MO,,0,0,0,24:52.3
Daviess,MO,,0,0,0,24:52.3
DeKalb,MO,,1,0,1,24:52.3
Dent,MO,,0,0,0,24:52.3
Douglas,MO,,0,0,0,24:52.3
Dunklin,MO,,7,0,7,24:52.3
Franklin,MO,,23,0,23,24:52.3
Gasconade,MO,,1,0,1,24:52.3
Gentry,MO,,0,0,0,24:52.3
Grundy,MO,,0,0,0,24:52.3
Harrison,MO,,2,0,2,24:52.3
Hickory,MO,,0,0,0,24:52.3
Holt,MO,,0,0,0,24:52.3
Howard,MO,,0,0,0,24:52.3
Howell,MO,,1,0,1,24:52.3
Iron,MO,,0,0,0,24:52.3
Jasper,MO,,8,1,7,24:52.3
Jefferson,MO,,62,8,54,24:52.3
Johnson,MO,,28,1,27,24:52.3
Joplin,MO,,1,0,1,24:52.3
Kansas City,MO,,153,2,151,24:52.3
Knox,MO,,0,0,0,24:52.3
Laclede,MO,,0,0,0,24:52.3
Lawrence,MO,,0,0,0,24:52.3
Lewis,MO,,0,0,0,24:52.3
Lincoln,MO,,16,2,14,24:52.3
Linn,MO,,0,0,0,24:52.3
Livingston,MO,,1,0,1,24:52.3
Macon,MO,,2,0,2,24:52.3
Madison,MO,,0,0,0,24:52.3
Maries,MO,,2,0,2,24:52.3
Marion,MO,,0,0,0,24:52.3
McDonald,MO,,2,0,2,24:52.3
Mercer,MO,,0,0,0,24:52.3
Miller,MO,,0,0,0,24:52.3
Mississippi,MO,,0,0,0,24:52.3
Moniteau,MO,,2,0,2,24:52.3
Monroe,MO,,0,0,0,24:52.3
Montgomery,MO,,3,0,3,24:52.3
Morgan,MO,,1,0,1,24:52.3
New Madrid,MO,,1,0,1,24:52.3
Newton,MO,,6,3,3,24:52.3
Nodaway,MO,,0,0,0,24:52.3
Oregon,MO,,0,0,0,24:52.3
Osage,MO,,2,0,2,24:52.3
Ozark,MO,,0,0,0,24:52.3
Pemiscot,MO,,3,0,3,24:52.3
Perry,MO,,21,11,10,24:52.3
Pettis,MO,,2,0,2,24:52.3
Phelps,MO,,0,0,0,24:52.3
Pike,MO,,2,1,1,24:52.3
Platte,MO,,12,0,12,24:52.3
Polk,MO,,0,0,0,24:52.3
Pulaski,MO,,10,1,9,24:52.3
Putnam,MO,,0,0,0,24:52.3
Ralls,MO,,1,1,0,24:52.3
Randolph,MO,,4,0,4,24:52.3
Ray,MO,,2,1,1,24:52.3
Reynolds,MO,,2,1,1,24:52.3
Ripley,MO,,2,0,2,24:52.3
Saline,MO,,2,0,2,24:52.3
Schuyler,MO,,0,0,0,24:52.3
Scotland,MO,,0,0,0,24:52.3
Scott,MO,,7,2,5,24:52.3
Shannon,MO,,0,0,0,24:52.3
Shelby,MO,,1,1,0,24:52.3
St. Charles,MO,,132,14,118,24:52.3
St. Clair,MO,,0,0,0,24:52.3
St. Francois,MO,,12,1,11,24:52.3
Ste. Genevieve,MO,,6,1,5,24:52.3
Stoddard,MO,,7,2,5,24:52.3
Stone,MO,,2,1,1,24:52.3
Sullivan,MO,,0,0,0,24:52.3
Taney,MO,,5,0,5,24:52.3
Texas,MO,,0,0,0,24:52.3
Vernon,MO,,0,0,0,24:52.3
Warren,MO,,7,0,7,24:52.3
Washington,MO,,0,0,0,24:52.3
Wayne,MO,,0,0,0,24:52.3
Webster,MO,,2,0,2,24:52.3
Worth,MO,,0,0,0,24:52.3
Wright,MO,,6,1,5,24:52.3
TBD,MO,,3,0,3,24:52.3
Boone,MO,1,75,3,72,10:30.4
Camden,MO,1,20,3,17,10:30.4
Cass,MO,1,22,3,19,10:30.4
Greene,MO,6,62,20,42,10:30.4
Henry,MO,1,1,1,0,10:30.4
Jackson,MO,1,135,9,126,10:30.4
Lafayette,MO,1,26,0,26,10:30.4
St. Charles County,MO,3,,,,10:30.4
St. Louis City,MO,3,287,13,274,10:30.4
St. Louis County,MO,5,864,41,823,10:30.4
TBD,MO,1,8,0,8,10:30.4
Adair,MO,,10,0,10,10:30.4
Andrew,MO,,0,0,0,10:30.4
Atchison,MO,,1,1,0,10:30.4
Audrain,MO,,0,0,0,10:30.4
Barry,MO,,1,0,1,10:30.4
Barton,MO,,0,0,0,10:30.4
Bates,MO,,3,0,3,10:30.4
Benton,MO,,3,0,3,10:30.4
Bollinger,MO,,1,0,1,10:30.4
Buchanan,MO,,8,4,4,10:30.4
Butler,MO,,2,0,2,10:30.4
Caldwell,MO,,1,0,1,10:30.4
Callaway,MO,,18,1,17,10:30.4
Cape Girardeau,MO,,16,1,15,10:30.4
Carroll,MO,,0,0,0,10:30.4
Carter,MO,,3,1,2,10:30.4
Cedar,MO,,4,0,4,10:30.4
Chariton,MO,,4,0,4,10:30.4
Christian,MO,,16,4,12,10:30.4
Clark,MO,,1,1,0,10:30.4
Clay,MO,,32,0,32,10:30.4
Clinton,MO,,7,0,7,10:30.4
Cole,MO,,28,3,25,10:30.4
Cooper,MO,,2,0,2,10:30.4
Crawford,MO,,2,0,2,10:30.4
Dade,MO,,0,0,0,10:30.4
Dallas,MO,,0,0,0,10:30.4
Daviess,MO,,0,0,0,10:30.4
DeKalb,MO,,1,0,1,10:30.4
Dent,MO,,0,0,0,10:30.4
Douglas,MO,,0,0,0,10:30.4
Dunklin,MO,,7,0,7,10:30.4
Franklin,MO,,24,0,24,10:30.4
Gasconade,MO,,2,0,2,10:30.4
Gentry,MO,,0,0,0,10:30.4
Grundy,MO,,0,0,0,10:30.4
Harrison,MO,,2,0,2,10:30.4
Hickory,MO,,0,0,0,10:30.4
Holt,MO,,0,0,0,10:30.4
Howard,MO,,0,0,0,10:30.4
Howell,MO,,1,0,1,10:30.4
Iron,MO,,0,0,0,10:30.4
Jasper,MO,,8,1,7,10:30.4
Jefferson,MO,,69,8,61,10:30.4
Johnson,MO,,29,1,28,10:30.4
Joplin,MO,,1,0,1,10:30.4
Kansas City,MO,,172,2,170,10:30.4
Knox,MO,,0,0,0,10:30.4
Laclede,MO,,0,0,0,10:30.4
Lawrence,MO,,0,0,0,10:30.4
Lewis,MO,,0,0,0,10:30.4
Lincoln,MO,,16,1,15,10:30.4
Linn,MO,,1,0,1,10:30.4
Livingston,MO,,1,0,1,10:30.4
Macon,MO,,2,0,2,10:30.4
Madison,MO,,0,0,0,10:30.4
Maries,MO,,2,0,2,10:30.4
Marion,MO,,0,0,0,10:30.4
McDonald,MO,,2,0,2,10:30.4
Mercer,MO,,0,0,0,10:30.4
Miller,MO,,0,0,0,10:30.4
Mississippi,MO,,0,0,0,10:30.4
Moniteau,MO,,2,0,2,10:30.4
Monroe,MO,,0,0,0,10:30.4
Montgomery,MO,,4,0,4,10:30.4
Morgan,MO,,1,0,1,10:30.4
New Madrid,MO,,1,0,1,10:30.4
Newton,MO,,6,3,3,10:30.4
Nodaway,MO,,1,0,1,10:30.4
Oregon,MO,,0,0,0,10:30.4
Osage,MO,,2,0,2,10:30.4
Ozark,MO,,0,0,0,10:30.4
Pemiscot,MO,,3,0,3,10:30.4
Perry,MO,,22,11,11,10:30.4
Pettis,MO,,2,0,2,10:30.4
Phelps,MO,,0,0,0,10:30.4
Pike,MO,,2,1,1,10:30.4
Platte,MO,,14,0,14,10:30.4
Polk,MO,,0,0,0,10:30.4
Pulaski,MO,,10,1,9,10:30.4
Putnam,MO,,0,0,0,10:30.4
Ralls,MO,,1,1,0,10:30.4
Randolph,MO,,7,0,7,10:30.4
Ray,MO,,3,1,2,10:30.4
Reynolds,MO,,2,1,1,10:30.4
Ripley,MO,,2,0,2,10:30.4
Saline,MO,,2,0,2,10:30.4
Schuyler,MO,,0,0,0,10:30.4
Scotland,MO,,0,0,0,10:30.4
Scott,MO,,7,2,5,10:30.4
Shannon,MO,,0,0,0,10:30.4
Shelby,MO,,1,1,0,10:30.4
St. Charles,MO,,143,14,129,10:30.4
St. Clair,MO,,0,0,0,10:30.4
St. Francois,MO,,14,1,13,10:30.4
Ste. Genevieve,MO,,6,1,5,10:30.4
Stoddard,MO,,7,2,5,10:30.4
Stone,MO,,2,1,1,10:30.4
Sullivan,MO,,0,0,0,10:30.4
