,Age,Number_of_Cases,date
15,34,58,15-Apr
16,35,64,15-Apr
17,36,74,15-Apr
18,37,57,15-Apr
19,38,53,15-Apr
20,39,56,15-Apr
21,40,84,15-Apr
22,41,54,15-Apr
23,42,71,15-Apr
24,43,76,15-Apr
25,44,78,15-Apr
26,45,72,15-Apr
27,46,77,15-Apr
28,47,87,15-Apr
29,48,87,15-Apr
30,49,108,15-Apr
31,50,100,15-Apr
32,51,97,15-Apr
33,52,87,15-Apr
34,53,99,15-Apr
35,54,97,15-Apr
36,55,93,15-Apr
37,56,91,15-Apr
38,57,96,15-Apr
39,58,135,15-Apr
40,59,95,15-Apr
41,60,106,15-Apr
42,61,114,15-Apr
43,62,93,15-Apr
44,63,85,15-Apr
45,64,91,15-Apr
46,65,84,15-Apr
47,66,89,15-Apr
48,67,81,15-Apr
49,68,81,15-Apr
50,69,50,15-Apr
51,70,60,15-Apr
52,71,67,15-Apr
53,72,58,15-Apr
54,73,47,15-Apr
55,74,42,15-Apr
56,75,51,15-Apr
57,76,42,15-Apr
58,77,47,15-Apr
59,78,38,15-Apr
60,79,37,15-Apr
61,80+,370,15-Apr
62,Unknown,5,15-Apr
,Age,Number_of_Cases,date
0,Under 20,122,16-Apr
1,20,63,16-Apr
2,21,65,16-Apr
3,22,61,16-Apr
4,23,66,16-Apr
5,24,69,16-Apr
6,25,59,16-Apr
7,26,70,16-Apr
8,27,68,16-Apr
9,28,67,16-Apr
10,29,83,16-Apr
11,30,73,16-Apr
12,31,68,16-Apr
13,32,63,16-Apr
14,33,60,16-Apr
15,34,61,16-Apr
16,35,65,16-Apr
17,36,76,16-Apr
18,37,60,16-Apr
19,38,57,16-Apr
20,39,61,16-Apr
21,40,87,16-Apr
22,41,57,16-Apr
23,42,76,16-Apr
24,43,77,16-Apr
25,44,79,16-Apr
26,45,73,16-Apr
27,46,78,16-Apr
28,47,93,16-Apr
29,48,90,16-Apr
30,49,110,16-Apr
31,50,101,16-Apr
32,51,105,16-Apr
33,52,91,16-Apr
34,53,103,16-Apr
35,54,99,16-Apr
36,55,95,16-Apr
37,56,96,16-Apr
38,57,101,16-Apr
39,58,139,16-Apr
40,59,100,16-Apr
41,60,110,16-Apr
42,61,118,16-Apr
43,62,95,16-Apr
44,63,90,16-Apr
45,64,91,16-Apr
46,65,87,16-Apr
47,66,88,16-Apr
48,67,84,16-Apr
49,68,82,16-Apr
50,69,56,16-Apr
51,70,64,16-Apr
52,71,70,16-Apr
53,72,59,16-Apr
54,73,48,16-Apr
55,74,47,16-Apr
56,75,53,16-Apr
57,76,42,16-Apr
58,77,51,16-Apr
59,78,37,16-Apr
60,79,37,16-Apr
61,80+,411,16-Apr
62,Unknown,4,16-Apr
0,Under 20,122,16-Apr
1,20,63,16-Apr
2,21,65,16-Apr
3,22,61,16-Apr
4,23,66,16-Apr
5,24,69,16-Apr
6,25,59,16-Apr
7,26,70,16-Apr
8,27,68,16-Apr
9,28,67,16-Apr
10,29,83,16-Apr
11,30,73,16-Apr
12,31,68,16-Apr
13,32,63,16-Apr
14,33,60,16-Apr
15,34,61,16-Apr
16,35,65,16-Apr
17,36,76,16-Apr
18,37,60,16-Apr
19,38,57,16-Apr
20,39,61,16-Apr
21,40,87,16-Apr
22,41,57,16-Apr
23,42,76,16-Apr
24,43,77,16-Apr
25,44,79,16-Apr
26,45,73,16-Apr
27,46,78,16-Apr
28,47,93,16-Apr
29,48,90,16-Apr
30,49,110,16-Apr
31,50,101,16-Apr
32,51,105,16-Apr
33,52,91,16-Apr
34,53,103,16-Apr
35,54,99,16-Apr
36,55,95,16-Apr
37,56,96,16-Apr
38,57,101,16-Apr
39,58,139,16-Apr
40,59,100,16-Apr
41,60,110,16-Apr
42,61,118,16-Apr
43,62,95,16-Apr
44,63,90,16-Apr
45,64,91,16-Apr
46,65,87,16-Apr
47,66,88,16-Apr
48,67,84,16-Apr
49,68,82,16-Apr
50,69,56,16-Apr
51,70,64,16-Apr
52,71,70,16-Apr
53,72,59,16-Apr
54,73,48,16-Apr
55,74,47,16-Apr
56,75,53,16-Apr
57,76,42,16-Apr
58,77,51,16-Apr
59,78,37,16-Apr
60,79,37,16-Apr
61,80+,411,16-Apr
62,Unknown,4,16-Apr
