Report Date,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/22/2020,50-59,65,12,4,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,10-19,4,0,0,Henrico,2020-04-22 20:26:02.510946
4/22/2020,0-9,3,1,0,Thomas Jefferson,2020-04-22 20:26:02.510946
4/22/2020,50-59,46,9,1,Chesapeake,2020-04-22 20:26:02.510946
4/22/2020,50-59,37,7,1,Thomas Jefferson,2020-04-22 20:26:02.510946
4/22/2020,80+,60,7,4,Central Shenandoah,2020-04-22 20:26:02.510946
4/22/2020,40-49,9,0,0,Mount Rogers,2020-04-22 20:26:02.510946
4/22/2020,10-19,1,0,0,Richmond,2020-04-22 20:26:02.510946
4/22/2020,60-69,19,10,1,Norfolk,2020-04-22 20:26:02.510946
4/22/2020,20-29,48,1,0,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,50-59,30,3,0,Western Tidewater,2020-04-22 20:26:02.510946
4/22/2020,60-69,29,9,2,Chesapeake,2020-04-22 20:26:02.510946
4/22/2020,10-19,2,0,0,Piedmont,2020-04-22 20:26:02.510946
4/22/2020,80+,198,60,40,Fairfax,2020-04-22 20:26:02.510946
4/22/2020,70-79,55,14,4,Prince William,2020-04-22 20:26:02.510946
4/22/2020,70-79,65,19,6,Arlington,2020-04-22 20:26:02.510946
4/22/2020,10-19,1,0,0,Alleghany,2020-04-22 20:26:02.510946
4/22/2020,70-79,34,16,6,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,30-39,16,3,0,Portsmouth,2020-04-22 20:26:02.510946
4/22/2020,20-29,9,2,0,Portsmouth,2020-04-22 20:26:02.510946
4/22/2020,0-9,2,0,0,Western Tidewater,2020-04-22 20:26:02.510946
4/22/2020,40-49,34,1,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,70-79,15,7,4,Crater,2020-04-22 20:26:02.510946
4/22/2020,80+,4,2,1,Central Virginia,2020-04-22 20:26:02.510946
4/22/2020,80+,6,3,2,Norfolk,2020-04-22 20:26:02.510946
4/22/2020,60-69,2,1,0,Roanoke,2020-04-22 20:26:02.510946
4/22/2020,30-39,29,4,0,Peninsula,2020-04-22 20:26:02.510946
4/22/2020,10-19,3,0,0,Chesapeake,2020-04-22 20:26:02.510946
4/22/2020,50-59,50,3,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,20-29,13,0,0,Three Rivers,2020-04-22 20:26:02.510946
4/22/2020,10-19,45,1,0,Fairfax,2020-04-22 20:26:02.510946
4/22/2020,20-29,18,0,0,Norfolk,2020-04-22 20:26:02.510946
4/22/2020,80+,3,2,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,0-9,1,0,0,Chickahominy,2020-04-22 20:26:02.510946
4/22/2020,70-79,5,2,1,Alleghany,2020-04-22 20:26:02.510946
4/22/2020,50-59,11,3,0,Lenowisco,2020-04-22 20:26:02.510946
4/22/2020,60-69,13,5,0,Southside,2020-04-22 20:26:02.510946
4/22/2020,40-49,15,3,0,Eastern Shore,2020-04-22 20:26:02.510946
4/22/2020,40-49,448,61,0,Fairfax,2020-04-22 20:26:02.510946
4/22/2020,70-79,8,6,1,Mount Rogers,2020-04-22 20:26:02.510946
4/22/2020,40-49,88,9,0,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,70-79,39,17,4,Virginia Beach,2020-04-22 20:26:02.510946
4/22/2020,60-69,6,3,1,Pittsylvania-Danville,2020-04-22 20:26:02.510946
4/22/2020,20-29,15,0,0,New River,2020-04-22 20:26:02.510946
