Report Date,Race,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
Southside,5/4/2020,White,37,9,5,2020-05-04 19:46:59.762938
Southside,5/5/2020,Not Reported,61,9,2,2020-05-05 20:20:37.017953
Chesapeake,5/5/2020,White,106,23,1,2020-05-05 20:20:37.017953
New River,5/5/2020,Other,0,0,0,2020-05-05 20:20:37.017953
Norfolk,5/5/2020,Black or African American,150,29,2,2020-05-05 20:20:37.017953
Central Shenandoah,5/5/2020,Other,119,6,1,2020-05-05 20:20:37.017953
Southside,5/5/2020,Other,15,0,1,2020-05-05 20:20:37.017953
Pittsylvania-Danville,5/5/2020,Other,0,0,0,2020-05-05 20:20:37.017953
Cumberland Plateau,5/5/2020,White,16,2,0,2020-05-05 20:20:37.017953
Rappahannock Rapidan,5/5/2020,Black or African American,13,3,0,2020-05-05 20:20:37.017953
Fairfax,5/5/2020,Not Reported,1311,87,66,2020-05-05 20:20:37.017953
Chesapeake,5/5/2020,Not Reported,53,3,1,2020-05-05 20:20:37.017953
Thomas Jefferson,5/5/2020,White,187,23,8,2020-05-05 20:20:37.017953
Richmond,5/5/2020,Other,58,12,0,2020-05-05 20:20:37.017953
Peninsula,5/5/2020,Black or African American,93,29,7,2020-05-05 20:20:37.017953
Henrico,5/5/2020,Other,61,6,3,2020-05-05 20:20:37.017953
Cumberland Plateau,5/5/2020,Black or African American,11,0,0,2020-05-05 20:20:37.017953
Loudoun,5/5/2020,Other,187,29,3,2020-05-05 20:20:37.017953
Crater,5/5/2020,Other,2,1,1,2020-05-05 20:20:37.017953
Arlington,5/5/2020,Black or African American,77,20,9,2020-05-05 20:20:37.017953
Alexandria,5/5/2020,Black or African American,149,36,4,2020-05-05 20:20:37.017953
Richmond,5/5/2020,Black or African American,228,50,15,2020-05-05 20:20:37.017953
Lord Fairfax,5/5/2020,Not Reported,59,1,0,2020-05-05 20:20:37.017953
Fairfax,5/5/2020,Black or African American,348,91,10,2020-05-05 20:20:37.017953
Thomas Jefferson,5/5/2020,Black or African American,98,35,5,2020-05-05 20:20:37.017953
West Piedmont,5/5/2020,White,33,4,0,2020-05-05 20:20:37.017953
Rappahannock,5/5/2020,Not Reported,244,24,1,2020-05-05 20:20:37.017953
Central Shenandoah,5/5/2020,Not Reported,172,1,1,2020-05-05 20:20:37.017953
Peninsula,5/5/2020,White,208,65,18,2020-05-05 20:20:37.017953
Rappahannock Rapidan,5/5/2020,White,147,16,5,2020-05-05 20:20:37.017953
Prince William,5/5/2020,White,537,128,19,2020-05-05 20:20:37.017953
New River,5/5/2020,Not Reported,28,1,0,2020-05-05 20:20:37.017953
Chesterfield,5/5/2020,Not Reported,302,3,7,2020-05-05 20:20:37.017953
Alleghany,5/5/2020,Other,1,0,0,2020-05-05 20:20:37.017953
Lenowisco,5/5/2020,White,31,13,1,2020-05-05 20:20:37.017953
Western Tidewater,5/5/2020,White,132,19,10,2020-05-05 20:20:37.017953
Hampton,5/5/2020,Other,4,1,0,2020-05-05 20:20:37.017953
Alleghany,5/5/2020,White,82,14,3,2020-05-05 20:20:37.017953
Prince William,5/5/2020,Other,525,75,4,2020-05-05 20:20:37.017953
Arlington,5/5/2020,Not Reported,620,63,8,2020-05-05 20:20:37.017953
West Piedmont,5/5/2020,Black or African American,5,1,0,2020-05-05 20:20:37.017953
Peninsula,5/5/2020,Other,20,6,1,2020-05-05 20:20:37.017953
Norfolk,5/5/2020,Other,11,2,0,2020-05-05 20:20:37.017953
Lord Fairfax,5/5/2020,Black or African American,23,2,0,2020-05-05 20:20:37.017953
Mount Rogers,5/5/2020,Not Reported,7,1,0,2020-05-05 20:20:37.017953
Central Virginia,5/5/2020,Black or African American,12,0,0,2020-05-05 20:20:37.017953
West Piedmont,5/5/2020,Other,2,1,1,2020-05-05 20:20:37.017953
Portsmouth,5/5/2020,White,40,7,1,2020-05-05 20:20:37.017953
Thomas Jefferson,5/5/2020,Not Reported,11,0,0,2020-05-05 20:20:37.017953
Three Rivers,5/5/2020,Not Reported,71,4,1,2020-05-05 20:20:37.017953
Virginia Beach,5/5/2020,Black or African American,101,17,2,2020-05-05 20:20:37.017953
Prince William,5/5/2020,Black or African American,234,50,13,2020-05-05 20:20:37.017953
Loudoun,5/5/2020,Not Reported,346,4,3,2020-05-05 20:20:37.017953
Loudoun,5/5/2020,White,410,61,18,2020-05-05 20:20:37.017953
Peninsula,5/5/2020,Not Reported,60,2,0,2020-05-05 20:20:37.017953
Pittsylvania-Danville,5/5/2020,Black or African American,21,6,0,2020-05-05 20:20:37.017953
Henrico,5/5/2020,White,365,60,56,2020-05-05 20:20:37.017953
Richmond,5/5/2020,White,83,13,1,2020-05-05 20:20:37.017953
Southside,5/5/2020,Black or African American,24,7,2,2020-05-05 20:20:37.017953
Chickahominy,5/5/2020,White,121,33,12,2020-05-05 20:20:37.017953
Thomas Jefferson,5/5/2020,Other,26,3,0,2020-05-05 20:20:37.017953
Virginia Beach,5/5/2020,Other,43,16,2,2020-05-05 20:20:37.017953
Central Shenandoah,5/5/2020,Black or African American,47,2,1,2020-05-05 20:20:37.017953
Chesterfield,5/5/2020,White,201,25,17,2020-05-05 20:20:37.017953
Central Virginia,5/5/2020,White,39,5,1,2020-05-05 20:20:37.017953
Rappahannock,5/5/2020,White,207,45,8,2020-05-05 20:20:37.017953
New River,5/5/2020,White,46,10,1,2020-05-05 20:20:37.017953
Mount Rogers,5/5/2020,Other,6,1,0,2020-05-05 20:20:37.017953
Crater,5/5/2020,White,44,12,5,2020-05-05 20:20:37.017953
Alleghany,5/5/2020,Not Reported,39,1,0,2020-05-05 20:20:37.017953
Arlington,5/5/2020,Other,189,55,12,2020-05-05 20:20:37.017953
Piedmont,5/5/2020,White,94,3,2,2020-05-05 20:20:37.017953
Cumberland Plateau,5/5/2020,Other,0,0,0,2020-05-05 20:20:37.017953
Pittsylvania-Danville,5/5/2020,White,25,12,2,2020-05-05 20:20:37.017953
Three Rivers,5/5/2020,White,94,14,2,2020-05-05 20:20:37.017953
Central Virginia,5/5/2020,Not Reported,98,3,0,2020-05-05 20:20:37.017953
Eastern Shore,5/5/2020,Other,12,1,1,2020-05-05 20:20:37.017953
Crater,5/5/2020,Black or African American,146,43,7,2020-05-05 20:20:37.017953
Mount Rogers,5/5/2020,Black or African American,0,0,0,2020-05-05 20:20:37.017953
Central Shenandoah,5/5/2020,White,566,41,18,2020-05-05 20:20:37.017953
Southside,5/5/2020,White,39,9,5,2020-05-05 20:20:37.017953
Roanoke,5/5/2020,Black or African American,13,3,0,2020-05-05 20:20:37.017953
Alleghany,5/5/2020,Black or African American,5,1,0,2020-05-05 20:20:37.017953
Richmond,5/5/2020,Not Reported,69,1,0,2020-05-05 20:20:37.017953
Central Virginia,5/5/2020,Other,1,0,0,2020-05-05 20:20:37.017953
Rappahannock,5/5/2020,Other,96,13,0,2020-05-05 20:20:37.017953
Roanoke,5/5/2020,Other,1,0,0,2020-05-05 20:20:37.017953
Piedmont,5/5/2020,Black or African American,110,18,1,2020-05-05 20:20:37.017953
Chesterfield,5/5/2020,Other,42,0,0,2020-05-05 20:20:37.017953
Portsmouth,5/5/2020,Black or African American,91,24,6,2020-05-05 20:20:37.017953
Portsmouth,5/5/2020,Not Reported,46,3,1,2020-05-05 20:20:37.017953
Norfolk,5/5/2020,Not Reported,27,0,0,2020-05-05 20:20:37.017953
Eastern Shore,5/5/2020,White,160,6,3,2020-05-05 20:20:37.017953
Eastern Shore,5/5/2020,Not Reported,31,0,0,2020-05-05 20:20:37.017953
Roanoke,5/5/2020,White,49,2,0,2020-05-05 20:20:37.017953
Three Rivers,5/5/2020,Other,9,1,0,2020-05-05 20:20:37.017953
Fairfax,5/5/2020,Other,1807,360,34,2020-05-05 20:20:37.017953
Henrico,5/5/2020,Not Reported,155,0,1,2020-05-05 20:20:37.017953
Lord Fairfax,5/5/2020,Other,61,5,0,2020-05-05 20:20:37.017953
Piedmont,5/5/2020,Other,2,0,0,2020-05-05 20:20:37.017953
Lenowisco,5/5/2020,Black or African American,0,0,0,2020-05-05 20:20:37.017953
Arlington,5/5/2020,White,283,58,20,2020-05-05 20:20:37.017953
Hampton,5/5/2020,Black or African American,79,22,3,2020-05-05 20:20:37.017953
Alexandria,5/5/2020,White,329,49,17,2020-05-05 20:20:37.017953
Hampton,5/5/2020,Not Reported,21,1,0,2020-05-05 20:20:37.017953
Mount Rogers,5/5/2020,White,103,14,4,2020-05-05 20:20:37.017953
Alexandria,5/5/2020,Not Reported,345,11,4,2020-05-05 20:20:37.017953
Chickahominy,5/5/2020,Black or African American,44,19,6,2020-05-05 20:20:37.017953
Chesapeake,5/5/2020,Black or African American,106,34,4,2020-05-05 20:20:37.017953
Western Tidewater,5/5/2020,Not Reported,108,1,1,2020-05-05 20:20:37.017953
Cumberland Plateau,5/5/2020,Not Reported,0,0,0,2020-05-05 20:20:37.017953
Western Tidewater,5/5/2020,Other,18,1,1,2020-05-05 20:20:37.017953
Loudoun,5/5/2020,Black or African American,55,6,0,2020-05-05 20:20:37.017953
Virginia Beach,5/5/2020,White,230,48,11,2020-05-05 20:20:37.017953
Chickahominy,5/5/2020,Other,4,2,0,2020-05-05 20:20:37.017953
New River,5/5/2020,Black or African American,6,1,0,2020-05-05 20:20:37.017953
Virginia Beach,5/5/2020,Not Reported,71,2,0,2020-05-05 20:20:37.017953
Rappahannock Rapidan,5/5/2020,Other,23,9,0,2020-05-05 20:20:37.017953
Piedmont,5/5/2020,Not Reported,82,3,0,2020-05-05 20:20:37.017953
Portsmouth,5/5/2020,Other,10,2,0,2020-05-05 20:20:37.017953
Pittsylvania-Danville,5/5/2020,Not Reported,7,2,0,2020-05-05 20:20:37.017953
West Piedmont,5/5/2020,Not Reported,6,0,0,2020-05-05 20:20:37.017953
Norfolk,5/5/2020,White,63,15,2,2020-05-05 20:20:37.017953
Hampton,5/5/2020,White,24,4,0,2020-05-05 20:20:37.017953
Western Tidewater,5/5/2020,Black or African American,198,31,8,2020-05-05 20:20:37.017953
Prince William,5/5/2020,Not Reported,1312,16,0,2020-05-05 20:20:37.017953
Fairfax,5/5/2020,White,1437,262,97,2020-05-05 20:20:37.017953
Lenowisco,5/5/2020,Other,1,0,0,2020-05-05 20:20:37.017953
Rappahannock Rapidan,5/5/2020,Not Reported,229,6,2,2020-05-05 20:20:37.017953
Three Rivers,5/5/2020,Black or African American,80,5,0,2020-05-05 20:20:37.017953
Henrico,5/5/2020,Black or African American,404,73,46,2020-05-05 20:20:37.017953
Lenowisco,5/5/2020,Not Reported,9,1,1,2020-05-05 20:20:37.017953
Chesapeake,5/5/2020,Other,28,5,3,2020-05-05 20:20:37.017953
Crater,5/5/2020,Not Reported,67,3,1,2020-05-05 20:20:37.017953
Chickahominy,5/5/2020,Not Reported,99,4,2,2020-05-05 20:20:37.017953
Eastern Shore,5/5/2020,Black or African American,366,19,4,2020-05-05 20:20:37.017953
Alexandria,5/5/2020,Other,160,24,1,2020-05-05 20:20:37.017953
Chesterfield,5/5/2020,Black or African American,174,30,7,2020-05-05 20:20:37.017953
Roanoke,5/5/2020,Not Reported,19,0,0,2020-05-05 20:20:37.017953
Rappahannock,5/5/2020,Black or African American,82,17,2,2020-05-05 20:20:37.017953
Lord Fairfax,5/5/2020,White,403,36,9,2020-05-05 20:20:37.017953
Southside,5/5/2020,Not Reported,61,9,2,2020-05-06 20:17:38.905640
Chesapeake,5/5/2020,White,106,23,1,2020-05-06 20:17:38.905640
New River,5/5/2020,Other,0,0,0,2020-05-06 20:17:38.905640
Norfolk,5/5/2020,Black or African American,150,29,2,2020-05-06 20:17:38.905640
Central Shenandoah,5/5/2020,Other,119,6,1,2020-05-06 20:17:38.905640
Southside,5/5/2020,Other,15,0,1,2020-05-06 20:17:38.905640
Pittsylvania-Danville,5/5/2020,Other,0,0,0,2020-05-06 20:17:38.905640
Cumberland Plateau,5/5/2020,White,16,2,0,2020-05-06 20:17:38.905640
Rappahannock Rapidan,5/5/2020,Black or African American,13,3,0,2020-05-06 20:17:38.905640
Fairfax,5/5/2020,Not Reported,1311,87,66,2020-05-06 20:17:38.905640
Chesapeake,5/5/2020,Not Reported,53,3,1,2020-05-06 20:17:38.905640
Thomas Jefferson,5/5/2020,White,187,23,8,2020-05-06 20:17:38.905640
Richmond,5/5/2020,Other,58,12,0,2020-05-06 20:17:38.905640
Peninsula,5/5/2020,Black or African American,93,29,7,2020-05-06 20:17:38.905640
Henrico,5/5/2020,Other,61,6,3,2020-05-06 20:17:38.905640
Cumberland Plateau,5/5/2020,Black or African American,11,0,0,2020-05-06 20:17:38.905640
Loudoun,5/5/2020,Other,187,29,3,2020-05-06 20:17:38.905640
Crater,5/5/2020,Other,2,1,1,2020-05-06 20:17:38.905640
Arlington,5/5/2020,Black or African American,77,20,9,2020-05-06 20:17:38.905640
Alexandria,5/5/2020,Black or African American,149,36,4,2020-05-06 20:17:38.905640
Richmond,5/5/2020,Black or African American,228,50,15,2020-05-06 20:17:38.905640
Lord Fairfax,5/5/2020,Not Reported,59,1,0,2020-05-06 20:17:38.905640
Fairfax,5/5/2020,Black or African American,348,91,10,2020-05-06 20:17:38.905640
Thomas Jefferson,5/5/2020,Black or African American,98,35,5,2020-05-06 20:17:38.905640
West Piedmont,5/5/2020,White,33,4,0,2020-05-06 20:17:38.905640
Rappahannock,5/5/2020,Not Reported,244,24,1,2020-05-06 20:17:38.905640
Central Shenandoah,5/5/2020,Not Reported,172,1,1,2020-05-06 20:17:38.905640
Peninsula,5/5/2020,White,208,65,18,2020-05-06 20:17:38.905640
Rappahannock Rapidan,5/5/2020,White,147,16,5,2020-05-06 20:17:38.905640
Prince William,5/5/2020,White,537,128,19,2020-05-06 20:17:38.905640
New River,5/5/2020,Not Reported,28,1,0,2020-05-06 20:17:38.905640
Chesterfield,5/5/2020,Not Reported,302,3,7,2020-05-06 20:17:38.905640
Alleghany,5/5/2020,Other,1,0,0,2020-05-06 20:17:38.905640
Lenowisco,5/5/2020,White,31,13,1,2020-05-06 20:17:38.905640
Western Tidewater,5/5/2020,White,132,19,10,2020-05-06 20:17:38.905640
Hampton,5/5/2020,Other,4,1,0,2020-05-06 20:17:38.905640
Alleghany,5/5/2020,White,82,14,3,2020-05-06 20:17:38.905640
Prince William,5/5/2020,Other,525,75,4,2020-05-06 20:17:38.905640
Arlington,5/5/2020,Not Reported,620,63,8,2020-05-06 20:17:38.905640
West Piedmont,5/5/2020,Black or African American,5,1,0,2020-05-06 20:17:38.905640
Peninsula,5/5/2020,Other,20,6,1,2020-05-06 20:17:38.905640
Norfolk,5/5/2020,Other,11,2,0,2020-05-06 20:17:38.905640
Lord Fairfax,5/5/2020,Black or African American,23,2,0,2020-05-06 20:17:38.905640
Mount Rogers,5/5/2020,Not Reported,7,1,0,2020-05-06 20:17:38.905640
Central Virginia,5/5/2020,Black or African American,12,0,0,2020-05-06 20:17:38.905640
West Piedmont,5/5/2020,Other,2,1,1,2020-05-06 20:17:38.905640
Portsmouth,5/5/2020,White,40,7,1,2020-05-06 20:17:38.905640
Thomas Jefferson,5/5/2020,Not Reported,11,0,0,2020-05-06 20:17:38.905640
Three Rivers,5/5/2020,Not Reported,71,4,1,2020-05-06 20:17:38.905640
Virginia Beach,5/5/2020,Black or African American,101,17,2,2020-05-06 20:17:38.905640
Prince William,5/5/2020,Black or African American,234,50,13,2020-05-06 20:17:38.905640
Loudoun,5/5/2020,Not Reported,346,4,3,2020-05-06 20:17:38.905640
Loudoun,5/5/2020,White,410,61,18,2020-05-06 20:17:38.905640
Peninsula,5/5/2020,Not Reported,60,2,0,2020-05-06 20:17:38.905640
Pittsylvania-Danville,5/5/2020,Black or African American,21,6,0,2020-05-06 20:17:38.905640
Henrico,5/5/2020,White,365,60,56,2020-05-06 20:17:38.905640
Richmond,5/5/2020,White,83,13,1,2020-05-06 20:17:38.905640
Southside,5/5/2020,Black or African American,24,7,2,2020-05-06 20:17:38.905640
Chickahominy,5/5/2020,White,121,33,12,2020-05-06 20:17:38.905640
Thomas Jefferson,5/5/2020,Other,26,3,0,2020-05-06 20:17:38.905640
Virginia Beach,5/5/2020,Other,43,16,2,2020-05-06 20:17:38.905640
Central Shenandoah,5/5/2020,Black or African American,47,2,1,2020-05-06 20:17:38.905640
Chesterfield,5/5/2020,White,201,25,17,2020-05-06 20:17:38.905640
Central Virginia,5/5/2020,White,39,5,1,2020-05-06 20:17:38.905640
Rappahannock,5/5/2020,White,207,45,8,2020-05-06 20:17:38.905640
New River,5/5/2020,White,46,10,1,2020-05-06 20:17:38.905640
Mount Rogers,5/5/2020,Other,6,1,0,2020-05-06 20:17:38.905640
Crater,5/5/2020,White,44,12,5,2020-05-06 20:17:38.905640
Alleghany,5/5/2020,Not Reported,39,1,0,2020-05-06 20:17:38.905640
Arlington,5/5/2020,Other,189,55,12,2020-05-06 20:17:38.905640
Piedmont,5/5/2020,White,94,3,2,2020-05-06 20:17:38.905640
Cumberland Plateau,5/5/2020,Other,0,0,0,2020-05-06 20:17:38.905640
Pittsylvania-Danville,5/5/2020,White,25,12,2,2020-05-06 20:17:38.905640
Three Rivers,5/5/2020,White,94,14,2,2020-05-06 20:17:38.905640
Central Virginia,5/5/2020,Not Reported,98,3,0,2020-05-06 20:17:38.905640
Eastern Shore,5/5/2020,Other,12,1,1,2020-05-06 20:17:38.905640
Crater,5/5/2020,Black or African American,146,43,7,2020-05-06 20:17:38.905640
Mount Rogers,5/5/2020,Black or African American,0,0,0,2020-05-06 20:17:38.905640
Central Shenandoah,5/5/2020,White,566,41,18,2020-05-06 20:17:38.905640
Southside,5/5/2020,White,39,9,5,2020-05-06 20:17:38.905640
Roanoke,5/5/2020,Black or African American,13,3,0,2020-05-06 20:17:38.905640
Alleghany,5/5/2020,Black or African American,5,1,0,2020-05-06 20:17:38.905640
Richmond,5/5/2020,Not Reported,69,1,0,2020-05-06 20:17:38.905640
Central Virginia,5/5/2020,Other,1,0,0,2020-05-06 20:17:38.905640
Rappahannock,5/5/2020,Other,96,13,0,2020-05-06 20:17:38.905640
Roanoke,5/5/2020,Other,1,0,0,2020-05-06 20:17:38.905640
Piedmont,5/5/2020,Black or African American,110,18,1,2020-05-06 20:17:38.905640
Chesterfield,5/5/2020,Other,42,0,0,2020-05-06 20:17:38.905640
Portsmouth,5/5/2020,Black or African American,91,24,6,2020-05-06 20:17:38.905640
Portsmouth,5/5/2020,Not Reported,46,3,1,2020-05-06 20:17:38.905640
Norfolk,5/5/2020,Not Reported,27,0,0,2020-05-06 20:17:38.905640
Eastern Shore,5/5/2020,White,160,6,3,2020-05-06 20:17:38.905640
Eastern Shore,5/5/2020,Not Reported,31,0,0,2020-05-06 20:17:38.905640
Roanoke,5/5/2020,White,49,2,0,2020-05-06 20:17:38.905640
Three Rivers,5/5/2020,Other,9,1,0,2020-05-06 20:17:38.905640
Fairfax,5/5/2020,Other,1807,360,34,2020-05-06 20:17:38.905640
Henrico,5/5/2020,Not Reported,155,0,1,2020-05-06 20:17:38.905640
Lord Fairfax,5/5/2020,Other,61,5,0,2020-05-06 20:17:38.905640
Piedmont,5/5/2020,Other,2,0,0,2020-05-06 20:17:38.905640
Lenowisco,5/5/2020,Black or African American,0,0,0,2020-05-06 20:17:38.905640
Arlington,5/5/2020,White,283,58,20,2020-05-06 20:17:38.905640
Hampton,5/5/2020,Black or African American,79,22,3,2020-05-06 20:17:38.905640
Alexandria,5/5/2020,White,329,49,17,2020-05-06 20:17:38.905640
Hampton,5/5/2020,Not Reported,21,1,0,2020-05-06 20:17:38.905640
Mount Rogers,5/5/2020,White,103,14,4,2020-05-06 20:17:38.905640
Alexandria,5/5/2020,Not Reported,345,11,4,2020-05-06 20:17:38.905640
Chickahominy,5/5/2020,Black or African American,44,19,6,2020-05-06 20:17:38.905640
Chesapeake,5/5/2020,Black or African American,106,34,4,2020-05-06 20:17:38.905640
Western Tidewater,5/5/2020,Not Reported,108,1,1,2020-05-06 20:17:38.905640
Cumberland Plateau,5/5/2020,Not Reported,0,0,0,2020-05-06 20:17:38.905640
Western Tidewater,5/5/2020,Other,18,1,1,2020-05-06 20:17:38.905640
Loudoun,5/5/2020,Black or African American,55,6,0,2020-05-06 20:17:38.905640
Virginia Beach,5/5/2020,White,230,48,11,2020-05-06 20:17:38.905640
Chickahominy,5/5/2020,Other,4,2,0,2020-05-06 20:17:38.905640
New River,5/5/2020,Black or African American,6,1,0,2020-05-06 20:17:38.905640
Virginia Beach,5/5/2020,Not Reported,71,2,0,2020-05-06 20:17:38.905640
Rappahannock Rapidan,5/5/2020,Other,23,9,0,2020-05-06 20:17:38.905640
Piedmont,5/5/2020,Not Reported,82,3,0,2020-05-06 20:17:38.905640
Portsmouth,5/5/2020,Other,10,2,0,2020-05-06 20:17:38.905640
Pittsylvania-Danville,5/5/2020,Not Reported,7,2,0,2020-05-06 20:17:38.905640
West Piedmont,5/5/2020,Not Reported,6,0,0,2020-05-06 20:17:38.905640
Norfolk,5/5/2020,White,63,15,2,2020-05-06 20:17:38.905640
Hampton,5/5/2020,White,24,4,0,2020-05-06 20:17:38.905640
Western Tidewater,5/5/2020,Black or African American,198,31,8,2020-05-06 20:17:38.905640
Prince William,5/5/2020,Not Reported,1312,16,0,2020-05-06 20:17:38.905640
Fairfax,5/5/2020,White,1437,262,97,2020-05-06 20:17:38.905640
Lenowisco,5/5/2020,Other,1,0,0,2020-05-06 20:17:38.905640
Rappahannock Rapidan,5/5/2020,Not Reported,229,6,2,2020-05-06 20:17:38.905640
Three Rivers,5/5/2020,Black or African American,80,5,0,2020-05-06 20:17:38.905640
Henrico,5/5/2020,Black or African American,404,73,46,2020-05-06 20:17:38.905640
Lenowisco,5/5/2020,Not Reported,9,1,1,2020-05-06 20:17:38.905640
Chesapeake,5/5/2020,Other,28,5,3,2020-05-06 20:17:38.905640
Crater,5/5/2020,Not Reported,67,3,1,2020-05-06 20:17:38.905640
Chickahominy,5/5/2020,Not Reported,99,4,2,2020-05-06 20:17:38.905640
Eastern Shore,5/5/2020,Black or African American,366,19,4,2020-05-06 20:17:38.905640
Alexandria,5/5/2020,Other,160,24,1,2020-05-06 20:17:38.905640
Chesterfield,5/5/2020,Black or African American,174,30,7,2020-05-06 20:17:38.905640
Roanoke,5/5/2020,Not Reported,19,0,0,2020-05-06 20:17:38.905640
Rappahannock,5/5/2020,Black or African American,82,17,2,2020-05-06 20:17:38.905640
Lord Fairfax,5/5/2020,White,403,36,9,2020-05-06 20:17:38.905640
Southside,5/7/2020,Not Reported,64,8,2,2020-05-07 20:58:15.766223
Chesapeake,5/7/2020,White,116,25,1,2020-05-07 20:58:15.766223
New River,5/7/2020,Other,0,0,0,2020-05-07 20:58:15.766223
Norfolk,5/7/2020,Black or African American,158,31,3,2020-05-07 20:58:15.766223
Central Shenandoah,5/7/2020,Other,127,8,2,2020-05-07 20:58:15.766223
Southside,5/7/2020,Other,15,0,1,2020-05-07 20:58:15.766223
Pittsylvania-Danville,5/7/2020,Other,0,0,0,2020-05-07 20:58:15.766223
Cumberland Plateau,5/7/2020,White,17,2,0,2020-05-07 20:58:15.766223
Rappahannock Rapidan,5/7/2020,Black or African American,18,4,1,2020-05-07 20:58:15.766223
Fairfax,5/7/2020,Not Reported,1340,90,69,2020-05-07 20:58:15.766223
Chesapeake,5/7/2020,Not Reported,57,3,1,2020-05-07 20:58:15.766223
Thomas Jefferson,5/7/2020,White,192,23,8,2020-05-07 20:58:15.766223
Richmond,5/7/2020,Other,63,12,0,2020-05-07 20:58:15.766223
Peninsula,5/7/2020,Black or African American,95,30,8,2020-05-07 20:58:15.766223
Henrico,5/7/2020,Other,65,8,3,2020-05-07 20:58:15.766223
Cumberland Plateau,5/7/2020,Black or African American,11,0,0,2020-05-07 20:58:15.766223
Loudoun,5/7/2020,Other,207,31,3,2020-05-07 20:58:15.766223
Crater,5/7/2020,Other,2,1,1,2020-05-07 20:58:15.766223
Arlington,5/7/2020,Black or African American,87,26,10,2020-05-07 20:58:15.766223
Alexandria,5/7/2020,Black or African American,159,37,5,2020-05-07 20:58:15.766223
Richmond,5/7/2020,Black or African American,244,53,16,2020-05-07 20:58:15.766223
Lord Fairfax,5/7/2020,Not Reported,94,2,2,2020-05-07 20:58:15.766223
Fairfax,5/7/2020,Black or African American,364,98,11,2020-05-07 20:58:15.766223
Thomas Jefferson,5/7/2020,Black or African American,99,35,5,2020-05-07 20:58:15.766223
West Piedmont,5/7/2020,White,35,4,0,2020-05-07 20:58:15.766223
Rappahannock,5/7/2020,Not Reported,239,19,0,2020-05-07 20:58:15.766223
Central Shenandoah,5/7/2020,Not Reported,173,2,1,2020-05-07 20:58:15.766223
Peninsula,5/7/2020,White,210,67,19,2020-05-07 20:58:15.766223
Rappahannock Rapidan,5/7/2020,White,161,16,6,2020-05-07 20:58:15.766223
Prince William,5/7/2020,White,576,139,24,2020-05-07 20:58:15.766223
New River,5/7/2020,Not Reported,28,1,0,2020-05-07 20:58:15.766223
Chesterfield,5/7/2020,Not Reported,322,3,8,2020-05-07 20:58:15.766223
Alleghany,5/7/2020,Other,1,0,0,2020-05-07 20:58:15.766223
Lenowisco,5/7/2020,White,31,13,1,2020-05-07 20:58:15.766223
Western Tidewater,5/7/2020,White,134,20,13,2020-05-07 20:58:15.766223
Hampton,5/7/2020,Other,4,1,0,2020-05-07 20:58:15.766223
Alleghany,5/7/2020,White,88,14,3,2020-05-07 20:58:15.766223
Prince William,5/7/2020,Other,600,86,5,2020-05-07 20:58:15.766223
Arlington,5/7/2020,Not Reported,629,64,8,2020-05-07 20:58:15.766223
West Piedmont,5/7/2020,Black or African American,6,2,0,2020-05-07 20:58:15.766223
Peninsula,5/7/2020,Other,22,6,1,2020-05-07 20:58:15.766223
Norfolk,5/7/2020,Other,11,2,0,2020-05-07 20:58:15.766223
Lord Fairfax,5/7/2020,Black or African American,26,3,1,2020-05-07 20:58:15.766223
Mount Rogers,5/7/2020,Not Reported,9,1,0,2020-05-07 20:58:15.766223
Central Virginia,5/7/2020,Black or African American,14,0,0,2020-05-07 20:58:15.766223
West Piedmont,5/7/2020,Other,2,1,1,2020-05-07 20:58:15.766223
Portsmouth,5/7/2020,White,42,7,1,2020-05-07 20:58:15.766223
Thomas Jefferson,5/7/2020,Not Reported,12,0,0,2020-05-07 20:58:15.766223
Three Rivers,5/7/2020,Not Reported,79,4,3,2020-05-07 20:58:15.766223
Virginia Beach,5/7/2020,Black or African American,102,17,2,2020-05-07 20:58:15.766223
Prince William,5/7/2020,Black or African American,251,52,13,2020-05-07 20:58:15.766223
Loudoun,5/7/2020,Not Reported,343,3,3,2020-05-07 20:58:15.766223
Loudoun,5/7/2020,White,433,64,20,2020-05-07 20:58:15.766223
Peninsula,5/7/2020,Not Reported,64,2,0,2020-05-07 20:58:15.766223
Pittsylvania-Danville,5/7/2020,Black or African American,22,6,0,2020-05-07 20:58:15.766223
Henrico,5/7/2020,White,377,62,56,2020-05-07 20:58:15.766223
Richmond,5/7/2020,White,94,15,1,2020-05-07 20:58:15.766223
Southside,5/7/2020,Black or African American,26,9,2,2020-05-07 20:58:15.766223
Chickahominy,5/7/2020,White,132,35,15,2020-05-07 20:58:15.766223
Thomas Jefferson,5/7/2020,Other,25,2,0,2020-05-07 20:58:15.766223
Virginia Beach,5/7/2020,Other,46,16,2,2020-05-07 20:58:15.766223
Central Shenandoah,5/7/2020,Black or African American,49,3,1,2020-05-07 20:58:15.766223
Chesterfield,5/7/2020,White,224,26,17,2020-05-07 20:58:15.766223
Central Virginia,5/7/2020,White,48,8,2,2020-05-07 20:58:15.766223
Rappahannock,5/7/2020,White,226,46,9,2020-05-07 20:58:15.766223
New River,5/7/2020,White,46,10,1,2020-05-07 20:58:15.766223
