Report Date,Race,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/22/2020,Not Reported,27,1,0,New River,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,39,2,1,Three Rivers,2020-04-22 20:25:52.245144
4/22/2020,White,37,11,2,Norfolk,2020-04-22 20:25:52.245144
4/22/2020,Other,1,0,0,Piedmont,2020-04-22 20:25:52.245144
4/22/2020,Black,43,13,1,Eastern Shore,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,62,1,0,Western Tidewater,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,9,2,0,Pittsylvania-Danville,2020-04-22 20:25:52.245144
4/22/2020,Black,10,4,0,Pittsylvania-Danville,2020-04-22 20:25:52.245144
4/22/2020,Other,2,0,0,Eastern Shore,2020-04-22 20:25:52.245144
4/22/2020,Black,58,20,2,Chesapeake,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,15,2,0,Alleghany,2020-04-22 20:25:52.245144
4/22/2020,Black,46,14,3,Rappahannock,2020-04-22 20:25:52.245144
4/22/2020,White,22,4,1,Central Virginia,2020-04-22 20:25:52.245144
4/22/2020,White,87,21,6,Arlington,2020-04-22 20:25:52.245144
4/22/2020,White,20,1,2,Piedmont,2020-04-22 20:25:52.245144
4/22/2020,White,22,9,1,Lenowisco,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,41,1,0,Chesapeake,2020-04-22 20:25:52.245144
4/22/2020,Black,25,12,4,Chickahominy,2020-04-22 20:25:52.245144
4/22/2020,White,685,142,41,Fairfax,2020-04-22 20:25:52.245144
4/22/2020,White,183,61,15,Peninsula,2020-04-22 20:25:52.245144
4/22/2020,Other,11,0,0,Southside,2020-04-22 20:25:52.245144
4/22/2020,Other,708,162,10,Fairfax,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,11,2,1,Portsmouth,2020-04-22 20:25:52.245144
4/22/2020,Black,295,55,37,Henrico,2020-04-22 20:25:52.245144
4/22/2020,White,57,5,0,Richmond,2020-04-22 20:25:52.245144
4/22/2020,Black,3,0,0,Central Virginia,2020-04-22 20:25:52.245144
4/22/2020,Other,1,0,0,Alleghany,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,24,2,0,Piedmont,2020-04-22 20:25:52.245144
4/22/2020,Black,141,29,8,Prince William,2020-04-22 20:25:52.245144
4/22/2020,White,21,3,0,Eastern Shore,2020-04-22 20:25:52.245144
4/22/2020,White,15,2,0,Roanoke,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,56,4,2,Crater,2020-04-22 20:25:52.245144
4/22/2020,Other,14,2,2,Chesapeake,2020-04-22 20:25:52.245144
4/22/2020,Black,8,0,0,Cumberland Plateau,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,29,2,0,Richmond,2020-04-22 20:25:52.245144
4/22/2020,Other,14,9,0,Rappahannock,2020-04-22 20:25:52.245144
4/22/2020,White,263,36,42,Henrico,2020-04-22 20:25:52.245144
4/22/2020,Black,45,13,1,Piedmont,2020-04-22 20:25:52.245144
4/22/2020,White,250,50,7,Prince William,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,203,0,1,Chesterfield,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,67,3,1,Central Virginia,2020-04-22 20:26:02.510946
4/22/2020,White,228,37,8,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,Black,77,30,3,Thomas Jefferson,2020-04-22 20:26:02.510946
4/22/2020,Black,1,0,0,West Piedmont,2020-04-22 20:26:02.510946
4/22/2020,Black,53,22,3,Portsmouth,2020-04-22 20:26:02.510946
4/22/2020,Other,1,0,0,Roanoke,2020-04-22 20:26:02.510946
4/22/2020,White,67,16,1,Chesapeake,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,158,25,2,Rappahannock,2020-04-22 20:26:02.510946
4/22/2020,Other,19,1,0,Thomas Jefferson,2020-04-22 20:26:02.510946
4/22/2020,Black,110,16,4,Chesterfield,2020-04-22 20:26:02.510946
4/22/2020,White,24,4,0,Portsmouth,2020-04-22 20:26:02.510946
4/22/2020,Black,3,0,0,Rappahannock Rapidan,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,168,10,3,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,10,1,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,Other,1,0,0,Lenowisco,2020-04-22 20:26:02.510946
4/22/2020,Black,78,25,3,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,3,1,0,Mount Rogers,2020-04-22 20:26:02.510946
4/22/2020,Other,7,3,0,Rappahannock Rapidan,2020-04-22 20:26:02.510946
4/22/2020,Black,71,17,1,Norfolk,2020-04-22 20:26:02.510946
4/22/2020,White,25,4,0,Three Rivers,2020-04-22 20:26:02.510946
4/22/2020,Black,20,6,0,Southside,2020-04-22 20:26:02.510946
4/22/2020,White,53,13,4,Mount Rogers,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,131,5,0,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,White,76,14,4,Chesterfield,2020-04-22 20:26:02.510946
4/22/2020,Other,33,13,2,Virginia Beach,2020-04-22 20:26:02.510946
4/22/2020,White,180,17,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,White,164,25,6,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,Other,64,5,0,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,45,8,0,Southside,2020-04-22 20:26:02.510946
4/22/2020,Other,87,4,0,Central Shenandoah,2020-04-22 20:26:02.510946
4/22/2020,Other,1,0,0,Central Virginia,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,753,57,14,Fairfax,2020-04-22 20:26:02.510946
4/22/2020,White,53,11,3,Alleghany,2020-04-22 20:26:02.510946
4/22/2020,Black,5,3,0,Roanoke,2020-04-22 20:26:02.510946
4/22/2020,White,79,14,2,Western Tidewater,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,15,0,0,Thomas Jefferson,2020-04-22 20:26:02.510946
4/22/2020,Black,3,1,0,New River,2020-04-22 20:26:02.510946
4/22/2020,White,18,7,1,Southside,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,105,7,0,Rappahannock Rapidan,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,6,0,0,Roanoke,2020-04-22 20:26:02.510946
4/22/2020,Other,11,6,1,Peninsula,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,1,0,0,West Piedmont,2020-04-22 20:26:02.510946
4/22/2020,Other,5,2,0,Portsmouth,2020-04-22 20:26:02.510946
4/22/2020,Black,160,48,3,Fairfax,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,95,6,1,Chickahominy,2020-04-22 20:26:02.510946
4/22/2020,Other,176,37,3,Prince William,2020-04-22 20:26:02.510946
4/22/2020,White,19,11,2,Pittsylvania-Danville,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,39,2,0,Virginia Beach,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,50,4,1,Peninsula,2020-04-22 20:26:02.510946
4/22/2020,Other,2,1,0,Mount Rogers,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,95,3,1,Henrico,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,9,1,1,Lenowisco,2020-04-22 20:26:02.510946
4/22/2020,Black,34,4,0,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,Black,100,23,4,Western Tidewater,2020-04-22 20:26:02.510946
4/22/2020,Other,3,1,0,Hampton,2020-04-22 20:26:02.510946
4/22/2020,White,49,8,2,Rappahannock Rapidan,2020-04-22 20:26:02.510946
4/22/2020,Other,20,3,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,White,24,3,0,West Piedmont,2020-04-22 20:26:02.510946
4/22/2020,White,269,28,8,Central Shenandoah,2020-04-22 20:26:02.510946
4/22/2020,White,20,4,0,Hampton,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,11,0,0,Norfolk,2020-04-22 20:26:02.510946
4/22/2020,Black,62,15,3,Crater,2020-04-22 20:26:02.510946
4/22/2020,Other,82,15,1,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,Other,14,3,0,Richmond,2020-04-22 20:26:02.510946
4/22/2020,Other,4,1,0,Chickahominy,2020-04-22 20:26:02.510946
4/22/2020,Black,29,2,1,Central Shenandoah,2020-04-22 20:26:02.510946
4/22/2020,Black,150,31,10,Richmond,2020-04-22 20:26:02.510946
4/22/2020,White,92,27,4,Rappahannock,2020-04-22 20:26:02.510946
4/22/2020,Black,62,20,1,Hampton,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,140,2,0,Central Shenandoah,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,1,0,0,Eastern Shore,2020-04-22 20:26:02.510946
4/22/2020,Black,4,0,0,Alleghany,2020-04-22 20:26:02.510946
4/22/2020,Other,66,34,6,Arlington,2020-04-22 20:26:02.510946
4/22/2020,Other,8,1,0,Western Tidewater,2020-04-22 20:26:02.510946
4/22/2020,Black,37,3,0,Three Rivers,2020-04-22 20:26:02.510946
4/22/2020,White,21,7,4,Crater,2020-04-22 20:26:02.510946
4/22/2020,Black,60,11,1,Virginia Beach,2020-04-22 20:26:02.510946
4/22/2020,Other,7,1,0,Norfolk,2020-04-22 20:26:02.510946
4/22/2020,Black,33,12,7,Arlington,2020-04-22 20:26:02.510946
4/22/2020,White,123,15,7,Thomas Jefferson,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,477,49,5,Arlington,2020-04-22 20:26:02.510946
4/22/2020,Other,31,2,2,Henrico,2020-04-22 20:26:02.510946
4/22/2020,Other,3,1,0,Three Rivers,2020-04-22 20:26:02.510946
