Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
West Piedmont,5/14/2020,Male,29,7,2,2020-05-14 21:05:07.324149
Hampton,5/14/2020,Not Reported,2,0,0,2020-05-14 21:05:07.324149
Alexandria,5/14/2020,Not Reported,2,0,0,2020-05-14 21:05:07.324149
Western Tidewater,5/14/2020,Not Reported,3,0,0,2020-05-14 21:05:07.324149
Cumberland Plateau,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
Virginia Beach,5/14/2020,Male,228,48,12,2020-05-14 21:05:07.324149
Alleghany,5/14/2020,Female,91,8,2,2020-05-14 21:05:07.324149
Lenowisco,5/14/2020,Female,20,7,1,2020-05-14 21:05:07.324149
Virginia Beach,5/14/2020,Not Reported,2,0,0,2020-05-14 21:05:07.324149
Western Tidewater,5/14/2020,Female,233,17,10,2020-05-14 21:05:07.324149
Mount Rogers,5/14/2020,Male,102,11,4,2020-05-14 21:05:07.324149
Lord Fairfax,5/14/2020,Female,432,40,18,2020-05-14 21:05:07.324149
Piedmont,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
Alexandria,5/14/2020,Male,654,83,15,2020-05-14 21:05:07.324149
Pittsylvania-Danville,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
West Piedmont,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
Loudoun,5/14/2020,Female,687,58,25,2020-05-14 21:05:07.324149
Hampton,5/14/2020,Female,88,11,1,2020-05-14 21:05:07.324149
Henrico,5/14/2020,Female,688,81,57,2020-05-14 21:05:07.324149
Prince William,5/14/2020,Not Reported,33,0,0,2020-05-14 21:05:07.324149
Chickahominy,5/14/2020,Male,124,34,13,2020-05-14 21:05:07.324149
Rappahannock Rapidan,5/14/2020,Not Reported,10,0,0,2020-05-14 21:05:07.324149
Peninsula,5/14/2020,Female,236,50,19,2020-05-14 21:05:07.324149
Lenowisco,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
Crater,5/14/2020,Not Reported,3,2,0,2020-05-14 21:05:07.324149
Chickahominy,5/14/2020,Not Reported,3,0,0,2020-05-14 21:05:07.324149
Portsmouth,5/14/2020,Male,117,18,5,2020-05-14 21:05:07.324149
New River,5/14/2020,Female,47,4,0,2020-05-14 21:05:07.324149
Rappahannock,5/14/2020,Female,450,50,4,2020-05-14 21:05:07.324149
Central Virginia,5/14/2020,Female,72,6,0,2020-05-14 21:05:07.324149
Roanoke,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
West Piedmont,5/14/2020,Female,38,3,0,2020-05-14 21:05:07.324149
Mount Rogers,5/14/2020,Female,102,6,0,2020-05-14 21:05:07.324149
Piedmont,5/14/2020,Male,386,25,4,2020-05-14 21:05:07.324149
Chesterfield,5/14/2020,Female,531,31,17,2020-05-14 21:05:07.324149
Fairfax,5/14/2020,Male,3519,586,139,2020-05-14 21:05:07.324149
Crater,5/14/2020,Male,155,30,4,2020-05-14 21:05:07.324149
Central Virginia,5/14/2020,Not Reported,0,0,0,2020-05-14 21:05:07.324149
Prince William,5/14/2020,Female,1949,186,41,2020-05-14 21:05:07.324149
Virginia Beach,5/14/2020,Female,298,38,7,2020-05-14 21:05:07.324149
Norfolk,5/14/2020,Female,161,28,1,2020-05-14 21:05:07.324149
Three Rivers,5/14/2020,Female,108,16,5,2020-05-14 21:05:07.324149
Arlington,5/14/2020,Male,760,168,38,2020-05-14 21:05:07.324149
Central Shenandoah,5/14/2020,Female,608,41,10,2020-05-14 21:05:07.324149
Southside,5/14/2020,Female,123,14,7,2020-05-14 21:05:07.324149
Southside,5/15/2020,Not Reported,3,0,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,Female,218,40,4,2020-05-15 20:24:35.630097
Richmond,5/15/2020,Female,315,44,4,2020-05-15 20:24:35.630097
Roanoke,5/15/2020,Male,49,4,1,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,Not Reported,53,4,1,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,Female,207,36,5,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,Male,13,1,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,Female,439,17,8,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,Not Reported,7,0,0,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,Not Reported,2,0,0,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,Not Reported,10,0,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,Male,227,60,12,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,Male,179,28,4,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,Female,716,71,17,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,Male,22,8,3,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,Female,37,13,1,2020-05-15 20:24:35.630097
New River,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,Not Reported,12,0,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,Male,672,74,21,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,Female,286,19,4,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,Female,100,11,1,2020-05-15 20:24:35.630097
Richmond,5/15/2020,Male,342,60,12,2020-05-15 20:24:35.630097
Crater,5/15/2020,Female,191,44,10,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,Female,100,21,4,2020-05-15 20:24:35.630097
Arlington,5/15/2020,Not Reported,8,0,0,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Hampton,5/15/2020,Male,67,18,2,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,Male,65,15,2,2020-05-15 20:24:35.630097
Roanoke,5/15/2020,Female,71,3,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,Not Reported,3,0,0,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,Female,3567,454,138,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,Male,271,40,18,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,Not Reported,3,0,0,2020-05-15 20:24:35.630097
New River,5/15/2020,Male,40,8,1,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,Male,532,39,14,2020-05-15 20:24:35.630097
Southside,5/15/2020,Male,68,16,7,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,Male,480,40,19,2020-05-15 20:24:35.630097
Arlington,5/15/2020,Female,751,138,33,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,Male,435,73,10,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,Male,98,10,3,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,Male,496,88,54,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,Male,162,29,8,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,Male,364,35,14,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,Male,250,13,1,2020-05-15 20:24:35.630097
Richmond,5/15/2020,Not Reported,8,1,2,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,Male,24,9,1,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,Not Reported,1,0,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,Male,161,36,6,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,Female,211,37,13,2020-05-15 20:24:35.630097
Prince William,5/15/2020,Male,2104,206,34,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,Not Reported,4,0,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,Male,398,24,8,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,Male,337,34,7,2020-05-15 20:24:35.630097
Henrico,5/15/2020,Not Reported,2,0,1,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,Female,15,1,0,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,Male,30,7,2,2020-05-15 20:24:35.630097
Hampton,5/15/2020,Not Reported,2,0,0,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,Not Reported,3,0,0,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,Not Reported,3,0,0,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,Male,235,48,12,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,Female,91,8,2,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,Female,20,7,1,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,Not Reported,2,0,0,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,Female,258,17,10,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,Male,102,11,4,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,Female,444,40,18,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,Male,677,88,15,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,Female,699,60,27,2020-05-15 20:24:35.630097
Hampton,5/15/2020,Female,89,11,1,2020-05-15 20:24:35.630097
Henrico,5/15/2020,Female,700,81,58,2020-05-15 20:24:35.630097
Prince William,5/15/2020,Not Reported,36,0,0,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,Male,128,34,13,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,Not Reported,10,0,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,Female,244,51,19,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
Crater,5/15/2020,Not Reported,3,2,0,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,Not Reported,3,0,0,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,Male,118,18,6,2020-05-15 20:24:35.630097
New River,5/15/2020,Female,47,4,0,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,Female,465,50,4,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,Female,73,6,0,2020-05-15 20:24:35.630097
Roanoke,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,Female,39,3,0,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,Female,106,6,0,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,Male,407,26,4,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,Female,551,32,17,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,Male,3625,592,141,2020-05-15 20:24:35.630097
Crater,5/15/2020,Male,171,30,4,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,Not Reported,0,0,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,Female,1990,192,41,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,Female,298,38,7,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,Female,169,28,1,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,Female,108,17,5,2020-05-15 20:24:35.630097
Arlington,5/15/2020,Male,775,168,38,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,Female,621,43,10,2020-05-15 20:24:35.630097
Southside,5/15/2020,Female,128,17,9,2020-05-15 20:24:35.630097
Southside,5/16/2020,Not Reported,3,0,0,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,Female,219,40,4,2020-05-16 19:58:57.538119
Richmond,5/16/2020,Female,350,45,4,2020-05-16 19:58:57.538119
Roanoke,5/16/2020,Male,49,4,2,2020-05-16 19:58:57.538119
Fairfax,5/16/2020,Not Reported,52,4,1,2020-05-16 19:58:57.538119
Thomas Jefferson,5/16/2020,Female,209,36,5,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
Cumberland Plateau,5/16/2020,Male,14,1,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,Female,452,18,9,2020-05-16 19:58:57.538119
Lord Fairfax,5/16/2020,Not Reported,8,0,0,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,Not Reported,3,0,0,2020-05-16 19:58:57.538119
Central Shenandoah,5/16/2020,Not Reported,10,0,0,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,Male,228,60,12,2020-05-16 19:58:57.538119
Norfolk,5/16/2020,Male,180,28,4,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,Female,748,71,18,2020-05-16 19:58:57.538119
Lenowisco,5/16/2020,Male,22,8,3,2020-05-16 19:58:57.538119
Pittsylvania-Danville,5/16/2020,Female,40,14,1,2020-05-16 19:58:57.538119
New River,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Chesterfield,5/16/2020,Not Reported,16,0,0,2020-05-16 19:58:57.538119
Loudoun,5/16/2020,Male,706,77,21,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,Female,297,19,4,2020-05-16 19:58:57.538119
Piedmont,5/16/2020,Female,104,12,1,2020-05-16 19:58:57.538119
Richmond,5/16/2020,Male,381,63,12,2020-05-16 19:58:57.538119
Crater,5/16/2020,Female,194,45,10,2020-05-16 19:58:57.538119
Portsmouth,5/16/2020,Female,102,21,4,2020-05-16 19:58:57.538119
Arlington,5/16/2020,Not Reported,8,0,0,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Thomas Jefferson,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Three Rivers,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Hampton,5/16/2020,Male,67,19,2,2020-05-16 19:58:57.538119
Alleghany,5/16/2020,Male,65,15,3,2020-05-16 19:58:57.538119
Roanoke,5/16/2020,Female,71,3,6,2020-05-16 19:58:57.538119
Loudoun,5/16/2020,Not Reported,3,0,0,2020-05-16 19:58:57.538119
Fairfax,5/16/2020,Female,3678,461,138,2020-05-16 19:58:57.538119
Western Tidewater,5/16/2020,Male,271,40,18,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,Not Reported,3,0,0,2020-05-16 19:58:57.538119
New River,5/16/2020,Male,40,8,1,2020-05-16 19:58:57.538119
Central Shenandoah,5/16/2020,Male,540,41,14,2020-05-16 19:58:57.538119
Southside,5/16/2020,Male,72,17,8,2020-05-16 19:58:57.538119
Chesterfield,5/16/2020,Male,495,40,19,2020-05-16 19:58:57.538119
Arlington,5/16/2020,Female,758,144,34,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,Male,453,73,10,2020-05-16 19:58:57.538119
Central Virginia,5/16/2020,Male,99,10,3,2020-05-16 19:58:57.538119
Alleghany,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Henrico,5/16/2020,Male,509,88,55,2020-05-16 19:58:57.538119
Thomas Jefferson,5/16/2020,Male,168,29,8,2020-05-16 19:58:57.538119
Lord Fairfax,5/16/2020,Male,387,35,15,2020-05-16 19:58:57.538119
Three Rivers,5/16/2020,Male,252,13,1,2020-05-16 19:58:57.538119
Richmond,5/16/2020,Not Reported,10,1,2,2020-05-16 19:58:57.538119
Pittsylvania-Danville,5/16/2020,Male,27,9,1,2020-05-16 19:58:57.538119
Portsmouth,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Norfolk,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,Male,161,36,6,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,Female,214,38,13,2020-05-16 19:58:57.538119
Prince William,5/16/2020,Male,2188,211,35,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,Not Reported,4,0,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,Male,408,25,8,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,Male,358,34,7,2020-05-16 19:58:57.538119
Henrico,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Cumberland Plateau,5/16/2020,Female,16,1,0,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,Male,32,7,2,2020-05-16 19:58:57.538119
Hampton,5/16/2020,Not Reported,2,0,0,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,Not Reported,4,0,0,2020-05-16 19:58:57.538119
Western Tidewater,5/16/2020,Not Reported,3,0,0,2020-05-16 19:58:57.538119
Cumberland Plateau,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
Virginia Beach,5/16/2020,Male,238,48,12,2020-05-16 19:58:57.538119
Alleghany,5/16/2020,Female,92,8,3,2020-05-16 19:58:57.538119
Lenowisco,5/16/2020,Female,20,7,1,2020-05-16 19:58:57.538119
Virginia Beach,5/16/2020,Not Reported,2,0,0,2020-05-16 19:58:57.538119
Western Tidewater,5/16/2020,Female,263,17,10,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,Male,109,11,4,2020-05-16 19:58:57.538119
Lord Fairfax,5/16/2020,Female,464,40,18,2020-05-16 19:58:57.538119
Piedmont,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,Male,708,87,16,2020-05-16 19:58:57.538119
Pittsylvania-Danville,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,Not Reported,1,0,0,2020-05-16 19:58:57.538119
Loudoun,5/16/2020,Female,721,60,27,2020-05-16 19:58:57.538119
Hampton,5/16/2020,Female,89,11,1,2020-05-16 19:58:57.538119
Henrico,5/16/2020,Female,716,82,58,2020-05-16 19:58:57.538119
Prince William,5/16/2020,Not Reported,35,0,0,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,Male,133,35,13,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,Not Reported,10,0,0,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,Female,247,52,19,2020-05-16 19:58:57.538119
Lenowisco,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
Crater,5/16/2020,Not Reported,3,2,0,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,Not Reported,3,0,0,2020-05-16 19:58:57.538119
Portsmouth,5/16/2020,Male,119,18,6,2020-05-16 19:58:57.538119
New River,5/16/2020,Female,47,4,0,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,Female,484,50,4,2020-05-16 19:58:57.538119
Central Virginia,5/16/2020,Female,74,6,0,2020-05-16 19:58:57.538119
Roanoke,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,Female,41,5,1,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,Female,115,6,0,2020-05-16 19:58:57.538119
Piedmont,5/16/2020,Male,455,26,4,2020-05-16 19:58:57.538119
Chesterfield,5/16/2020,Female,567,32,17,2020-05-16 19:58:57.538119
Fairfax,5/16/2020,Male,3745,611,146,2020-05-16 19:58:57.538119
Crater,5/16/2020,Male,181,30,4,2020-05-16 19:58:57.538119
Central Virginia,5/16/2020,Not Reported,0,0,0,2020-05-16 19:58:57.538119
Prince William,5/16/2020,Female,2097,194,42,2020-05-16 19:58:57.538119
Virginia Beach,5/16/2020,Female,299,38,7,2020-05-16 19:58:57.538119
Norfolk,5/16/2020,Female,169,28,1,2020-05-16 19:58:57.538119
Three Rivers,5/16/2020,Female,114,17,5,2020-05-16 19:58:57.538119
Arlington,5/16/2020,Male,794,173,40,2020-05-16 19:58:57.538119
Central Shenandoah,5/16/2020,Female,631,45,10,2020-05-16 19:58:57.538119
Southside,5/16/2020,Female,136,17,9,2020-05-16 19:58:57.538119
Southside,5/17/2020,Not Reported,3,0,0,2020-05-17 19:56:32.395010
Chesapeake,5/17/2020,Female,221,41,4,2020-05-17 19:56:32.395010
Richmond,5/17/2020,Female,358,45,4,2020-05-17 19:56:32.395010
Roanoke,5/17/2020,Male,49,4,2,2020-05-17 19:56:32.395010
Fairfax,5/17/2020,Not Reported,52,4,1,2020-05-17 19:56:32.395010
Thomas Jefferson,5/17/2020,Female,210,36,5,2020-05-17 19:56:32.395010
Chesapeake,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
Cumberland Plateau,5/17/2020,Male,14,1,0,2020-05-17 19:56:32.395010
Eastern Shore,5/17/2020,Female,460,18,9,2020-05-17 19:56:32.395010
Lord Fairfax,5/17/2020,Not Reported,9,0,0,2020-05-17 19:56:32.395010
Rappahannock,5/17/2020,Not Reported,4,0,0,2020-05-17 19:56:32.395010
Central Shenandoah,5/17/2020,Not Reported,10,0,0,2020-05-17 19:56:32.395010
Peninsula,5/17/2020,Male,230,60,12,2020-05-17 19:56:32.395010
Norfolk,5/17/2020,Male,179,28,4,2020-05-17 19:56:32.395010
Alexandria,5/17/2020,Female,756,71,18,2020-05-17 19:56:32.395010
Lenowisco,5/17/2020,Male,22,8,3,2020-05-17 19:56:32.395010
Pittsylvania-Danville,5/17/2020,Female,41,14,1,2020-05-17 19:56:32.395010
New River,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Chesterfield,5/17/2020,Not Reported,16,0,0,2020-05-17 19:56:32.395010
Loudoun,5/17/2020,Male,713,77,21,2020-05-17 19:56:32.395010
Rappahannock Rapidan,5/17/2020,Female,307,21,4,2020-05-17 19:56:32.395010
Piedmont,5/17/2020,Female,104,12,1,2020-05-17 19:56:32.395010
Richmond,5/17/2020,Male,390,64,12,2020-05-17 19:56:32.395010
Crater,5/17/2020,Female,196,45,10,2020-05-17 19:56:32.395010
Portsmouth,5/17/2020,Female,103,21,4,2020-05-17 19:56:32.395010
Arlington,5/17/2020,Not Reported,8,0,0,2020-05-17 19:56:32.395010
Mount Rogers,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Thomas Jefferson,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Three Rivers,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Hampton,5/17/2020,Male,69,19,2,2020-05-17 19:56:32.395010
Alleghany,5/17/2020,Male,66,15,3,2020-05-17 19:56:32.395010
Roanoke,5/17/2020,Female,71,3,6,2020-05-17 19:56:32.395010
Loudoun,5/17/2020,Not Reported,3,0,0,2020-05-17 19:56:32.395010
Fairfax,5/17/2020,Female,3824,476,139,2020-05-17 19:56:32.395010
Western Tidewater,5/17/2020,Male,275,40,18,2020-05-17 19:56:32.395010
Peninsula,5/17/2020,Not Reported,3,0,0,2020-05-17 19:56:32.395010
New River,5/17/2020,Male,40,8,1,2020-05-17 19:56:32.395010
Central Shenandoah,5/17/2020,Male,544,41,14,2020-05-17 19:56:32.395010
Southside,5/17/2020,Male,72,17,8,2020-05-17 19:56:32.395010
Chesterfield,5/17/2020,Male,503,40,19,2020-05-17 19:56:32.395010
Arlington,5/17/2020,Female,770,145,35,2020-05-17 19:56:32.395010
Rappahannock,5/17/2020,Male,466,73,10,2020-05-17 19:56:32.395010
Central Virginia,5/17/2020,Male,99,10,3,2020-05-17 19:56:32.395010
Alleghany,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Henrico,5/17/2020,Male,521,88,55,2020-05-17 19:56:32.395010
Thomas Jefferson,5/17/2020,Male,169,29,8,2020-05-17 19:56:32.395010
Lord Fairfax,5/17/2020,Male,392,35,15,2020-05-17 19:56:32.395010
Three Rivers,5/17/2020,Male,309,13,1,2020-05-17 19:56:32.395010
Richmond,5/17/2020,Not Reported,10,1,2,2020-05-17 19:56:32.395010
Pittsylvania-Danville,5/17/2020,Male,27,9,1,2020-05-17 19:56:32.395010
Portsmouth,5/17/2020,Not Reported,2,0,0,2020-05-17 19:56:32.395010
Norfolk,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
Chesapeake,5/17/2020,Male,163,36,6,2020-05-17 19:56:32.395010
Chickahominy,5/17/2020,Female,215,38,13,2020-05-17 19:56:32.395010
Prince William,5/17/2020,Male,2262,218,35,2020-05-17 19:56:32.395010
Eastern Shore,5/17/2020,Not Reported,5,0,0,2020-05-17 19:56:32.395010
Eastern Shore,5/17/2020,Male,421,26,9,2020-05-17 19:56:32.395010
Rappahannock Rapidan,5/17/2020,Male,362,35,7,2020-05-17 19:56:32.395010
Henrico,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Cumberland Plateau,5/17/2020,Female,16,1,0,2020-05-17 19:56:32.395010
West Piedmont,5/17/2020,Male,34,8,2,2020-05-17 19:56:32.395010
Hampton,5/17/2020,Not Reported,2,0,0,2020-05-17 19:56:32.395010
Alexandria,5/17/2020,Not Reported,4,0,0,2020-05-17 19:56:32.395010
Western Tidewater,5/17/2020,Not Reported,3,0,0,2020-05-17 19:56:32.395010
Cumberland Plateau,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
Virginia Beach,5/17/2020,Male,241,48,12,2020-05-17 19:56:32.395010
Alleghany,5/17/2020,Female,94,8,3,2020-05-17 19:56:32.395010
Lenowisco,5/17/2020,Female,20,7,1,2020-05-17 19:56:32.395010
Virginia Beach,5/17/2020,Not Reported,2,0,0,2020-05-17 19:56:32.395010
Western Tidewater,5/17/2020,Female,265,17,10,2020-05-17 19:56:32.395010
Mount Rogers,5/17/2020,Male,113,11,4,2020-05-17 19:56:32.395010
Lord Fairfax,5/17/2020,Female,472,40,18,2020-05-17 19:56:32.395010
Piedmont,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
Alexandria,5/17/2020,Male,716,88,16,2020-05-17 19:56:32.395010
Pittsylvania-Danville,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
West Piedmont,5/17/2020,Not Reported,1,0,0,2020-05-17 19:56:32.395010
Loudoun,5/17/2020,Female,730,62,27,2020-05-17 19:56:32.395010
Hampton,5/17/2020,Female,90,11,1,2020-05-17 19:56:32.395010
Henrico,5/17/2020,Female,730,83,58,2020-05-17 19:56:32.395010
Prince William,5/17/2020,Not Reported,30,1,0,2020-05-17 19:56:32.395010
Chickahominy,5/17/2020,Male,137,36,13,2020-05-17 19:56:32.395010
Rappahannock Rapidan,5/17/2020,Not Reported,10,0,0,2020-05-17 19:56:32.395010
Peninsula,5/17/2020,Female,258,52,19,2020-05-17 19:56:32.395010
Lenowisco,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
Crater,5/17/2020,Not Reported,3,2,0,2020-05-17 19:56:32.395010
Chickahominy,5/17/2020,Not Reported,3,0,0,2020-05-17 19:56:32.395010
Portsmouth,5/17/2020,Male,120,18,6,2020-05-17 19:56:32.395010
New River,5/17/2020,Female,47,4,0,2020-05-17 19:56:32.395010
Rappahannock,5/17/2020,Female,492,51,4,2020-05-17 19:56:32.395010
Central Virginia,5/17/2020,Female,75,6,0,2020-05-17 19:56:32.395010
Roanoke,5/17/2020,Not Reported,0,0,0,2020-05-17 19:56:32.395010
West Piedmont,5/17/2020,Female,42,5,1,2020-05-17 19:56:32.395010
Mount Rogers,5/17/2020,Female,118,6,0,2020-05-17 19:56:32.395010
Piedmont,5/17/2020,Male,455,26,4,2020-05-17 19:56:32.395010
