Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Alleghany,4/23/2020,Male,33,8,1,2020-04-23 21:02:38.965008
Western Tidewater,4/23/2020,Not Reported,1,0,0,2020-04-23 21:02:38.965008
Henrico,4/23/2020,Male,294,54,39,2020-04-23 21:02:38.965008
Chesterfield,4/24/2020,Female,263,15,8,2020-04-24 20:41:10.285310
Mount Rogers,4/24/2020,Female,27,5,0,2020-04-24 20:41:10.285310
Virginia Beach,4/24/2020,Male,153,36,6,2020-04-24 20:41:10.285310
Crater,4/24/2020,Female,94,19,6,2020-04-24 20:41:10.285310
New River,4/24/2020,Female,34,3,0,2020-04-24 20:41:10.285310
Central Virginia,4/24/2020,Male,57,4,1,2020-04-24 20:41:10.285310
Lenowisco,4/24/2020,Male,18,7,1,2020-04-24 20:41:10.285310
Richmond,4/24/2020,Female,139,20,1,2020-04-24 20:41:10.285310
Chesapeake,4/24/2020,Female,115,21,2,2020-04-24 20:41:10.285310
Fairfax,4/24/2020,Female,1248,188,44,2020-04-24 20:41:10.285310
Peninsula,4/24/2020,Female,167,43,13,2020-04-24 20:41:10.285310
Loudoun,4/24/2020,Female,268,22,5,2020-04-24 20:41:10.285310
Norfolk,4/24/2020,Male,57,16,3,2020-04-24 20:41:10.285310
Loudoun,4/24/2020,Not Reported,2,0,0,2020-04-24 20:41:10.285310
Rappahannock,4/24/2020,Not Reported,4,0,0,2020-04-24 20:41:10.285310
Virginia Beach,4/24/2020,Female,178,29,4,2020-04-24 20:41:10.285310
Roanoke,4/24/2020,Female,15,2,0,2020-04-24 20:41:10.285310
West Piedmont,4/24/2020,Male,16,4,1,2020-04-24 20:41:10.285310
Thomas Jefferson,4/24/2020,Not Reported,1,0,0,2020-04-24 20:41:10.285310
New River,4/24/2020,Not Reported,2,0,0,2020-04-24 20:41:10.285310
Alexandria,4/24/2020,Not Reported,4,0,0,2020-04-24 20:41:10.285310
Chesterfield,4/24/2020,Male,200,22,12,2020-04-24 20:41:10.285310
Rappahannock,4/24/2020,Female,187,32,2,2020-04-24 20:41:10.285310
Chickahominy,4/24/2020,Female,131,19,4,2020-04-24 20:41:10.285310
Arlington,4/24/2020,Male,353,65,14,2020-04-24 20:41:10.285310
Chesterfield,4/24/2020,Not Reported,10,1,0,2020-04-24 20:41:10.285310
Richmond,4/24/2020,Male,125,30,11,2020-04-24 20:41:10.285310
