Report Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/31/2020,Confirmed,42499,4611,1274,2020-05-31 20:13:49.992147
6/1/2020,Probable,2151,34,110,2020-06-01 20:10:54.472975
6/1/2020,Confirmed,43247,4660,1282,2020-06-01 20:10:54.472975
6/2/2020,Probable,2170,32,107,2020-06-02 20:19:30.321250
6/2/2020,Confirmed,44069,4738,1300,2020-06-02 20:19:30.321250
6/3/2020,Probable,2190,32,106,2020-06-03 19:59:25.226424
6/3/2020,Confirmed,44715,4852,1322,2020-06-03 19:59:25.226424
6/4/2020,Probable,2236,32,107,2020-06-04 20:32:33.479606
6/4/2020,Confirmed,45620,4925,1338,2020-06-04 20:32:33.479606
6/5/2020,Probable,2251,30,103,2020-06-05 20:17:14.539234
6/5/2020,Confirmed,46281,4978,1350,2020-06-05 20:17:14.539234
6/6/2020,Probable,2274,30,103,2020-06-06 20:35:52.742844
6/6/2020,Confirmed,47123,5024,1357,2020-06-06 20:35:52.742844
6/6/2020,Probable,2274,30,103,2020-06-07 20:33:57.122504
6/6/2020,Confirmed,47123,5024,1357,2020-06-07 20:33:57.122504
6/8/2020,Probable,2372,31,104,2020-06-08 20:31:22.637281
6/8/2020,Confirmed,48879,5112,1373,2020-06-08 20:31:22.637281
6/9/2020,Probable,2376,31,105,2020-06-09 20:34:11.169232
6/9/2020,Confirmed,49362,5172,1391,2020-06-09 20:34:11.169232
6/10/2020,Probable,2392,32,106,2020-06-10 20:37:28.068980
6/10/2020,Confirmed,49785,5240,1408,2020-06-10 20:37:28.068980
6/11/2020,Probable,2372,29,107,2020-06-11 20:32:05.113617
6/11/2020,Confirmed,50275,5331,1413,2020-06-11 20:32:05.113617
6/12/2020,Probable,2358,28,108,2020-06-12 20:27:50.005218
6/12/2020,Confirmed,50853,5417,1426,2020-06-12 20:27:50.005218
6/13/2020,Probable,2370,29,106,2020-06-13 20:44:52.913687
6/13/2020,Confirmed,51499,5482,1435,2020-06-13 20:44:52.913687
6/14/2020,Probable,2403,30,108,2020-06-14 20:04:20.888754
6/14/2020,Confirmed,52103,5506,1438,2020-06-14 20:04:20.888754
6/15/2020,Probable,2426,31,108,2020-06-15 22:13:41.671905
6/15/2020,Confirmed,52460,5557,1444,2020-06-15 22:13:41.671905
6/16/2020,Probable,2414,29,105,2020-06-16 20:30:14.941698
6/16/2020,Confirmed,52917,5614,1465,2020-06-16 20:30:14.941698
6/17/2020,Probable,2457,31,105,2020-06-17 21:18:16.620133
6/17/2020,Confirmed,53318,5661,1478,2020-06-17 21:18:16.620133
6/18/2020,Probable,2469,31,104,2020-06-18 21:08:23.582701
6/18/2020,Confirmed,53769,5713,1482,2020-06-18 21:08:23.582701
6/19/2020,Probable,2481,32,103,2020-06-19 19:52:00.330873
6/19/2020,Confirmed,54312,5765,1499,2020-06-19 19:52:00.330873
6/20/2020,Probable,2490,32,103,2020-06-20 21:24:05.255432
6/20/2020,Confirmed,54953,5775,1504,2020-06-20 21:24:05.255432
6/21/2020,Probable,2490,32,103,2020-06-21 20:58:52.731278
6/21/2020,Confirmed,55504,5808,1508,2020-06-21 20:58:52.731278
6/22/2020,Probable,2516,32,103,2020-06-22 20:02:11.993705
6/22/2020,Confirmed,55949,5837,1517,2020-06-22 20:02:11.993705
6/23/2020,Probable,2542,32,103,2020-06-23 19:24:30.416931
6/23/2020,Confirmed,56452,5881,1542,2020-06-23 19:24:30.416931
6/24/2020,Probable,2558,33,102,2020-06-24 21:21:33.642216
6/24/2020,Confirmed,56956,5922,1559,2020-06-24 21:21:33.642216
6/25/2020,Probable,2562,34,103,2020-06-25 20:03:02.672611
6/25/2020,Confirmed,57384,5961,1572,2020-06-25 20:03:02.672611
6/26/2020,Probable,2593,36,104,2020-06-26 19:41:46.959732
6/26/2020,Confirmed,57977,6035,1596,2020-06-26 19:41:46.959732
6/27/2020,Probable,2636,36,104,2020-06-27 21:31:29.500594
6/27/2020,Confirmed,58611,6084,1620,2020-06-27 21:31:29.500594
6/28/2020,Probable,2665,36,104,2020-06-28 20:06:29.415448
6/28/2020,Confirmed,59071,6100,1628,2020-06-28 20:06:29.415448
6/29/2020,Probable,2667,36,105,2020-06-29 22:58:34.316309
6/29/2020,Confirmed,59522,6128,1635,2020-06-29 22:58:34.316309
6/30/2020,Probable,2663,34,105,2020-06-30 20:18:20.265181
6/30/2020,Confirmed,60124,6169,1658,2020-06-30 20:18:20.265181
7/1/2020,Probable,2675,34,105,2020-07-01 20:14:35.499764
7/1/2020,Confirmed,60528,6228,1681,2020-07-01 20:14:35.499764
7/2/2020,Probable,2696,35,104,2020-07-02 22:21:18.755442
7/2/2020,Confirmed,61039,6298,1712,2020-07-02 22:21:18.755442
7/3/2020,Probable,2703,34,104,2020-07-03 22:50:37.763022
7/3/2020,Confirmed,61690,6348,1741,2020-07-03 22:50:37.763022
7/4/2020,Probable,2709,35,104,2020-07-04 20:39:03.668178
7/4/2020,Confirmed,62400,6370,1745,2020-07-04 20:39:03.668178
7/5/2020,Probable,2767,41,107,2020-07-05 20:12:53.505011
7/5/2020,Confirmed,62981,6377,1746,2020-07-05 20:12:53.505011
7/5/2020,Probable,2767,41,107,2020-07-06 20:10:47.520589
7/5/2020,Confirmed,62981,6377,1746,2020-07-06 20:10:47.520589
7/7/2020,Probable,2790,42,106,2020-07-07 20:09:33.808679
7/7/2020,Confirmed,63950,6470,1775,2020-07-07 20:09:33.808679
7/8/2020,Probable,2792,43,106,2020-07-08 20:40:30.675237
7/8/2020,Confirmed,64583,6534,1799,2020-07-08 20:40:30.675237
7/9/2020,Probable,2797,43,105,2020-07-09 20:23:23.994403
7/9/2020,Confirmed,65191,6582,1832,2020-07-09 20:23:23.994403
7/10/2020,Probable,2836,43,105,2020-07-10 20:23:02.966550
7/10/2020,Confirmed,66095,6632,1853,2020-07-10 20:23:02.966550
7/11/2020,Probable,2819,44,105,2020-07-11 20:23:41.165841
7/11/2020,Confirmed,66963,6663,1857,2020-07-11 20:23:41.165841
7/12/2020,Probable,2840,45,107,2020-07-12 20:16:45.990153
7/12/2020,Confirmed,67830,6699,1859,2020-07-12 20:16:45.990153
7/13/2020,Probable,2828,45,107,2020-07-13 20:19:52.196057
7/13/2020,Confirmed,68814,6720,1861,2020-07-13 20:19:52.196057
7/14/2020,Probable,2833,46,107,2020-07-14 20:15:45.877157
7/14/2020,Confirmed,69610,6771,1870,2020-07-14 20:15:45.877157
7/15/2020,Probable,2858,46,110,2020-07-15 20:17:32.634902
7/15/2020,Confirmed,70669,6859,1882,2020-07-15 20:17:32.634902
7/16/2020,Probable,2861,45,104,2020-07-16 20:22:32.477028
7/16/2020,Confirmed,71570,6975,1903,2020-07-16 20:22:32.477028
7/17/2020,Probable,2917,47,104,2020-07-17 20:20:08.204202
7/17/2020,Confirmed,72516,7040,1909,2020-07-17 20:20:08.204202
7/18/2020,Probable,2953,45,104,2020-07-18 20:26:48.468915
7/18/2020,Confirmed,73420,7102,1921,2020-07-18 20:26:48.468915
7/19/2020,Probable,2940,44,104,2020-07-19 20:16:12.102429
7/19/2020,Confirmed,74490,7121,1923,2020-07-19 20:16:12.102429
7/20/2020,Probable,2960,44,104,2020-07-20 20:19:34.462351
7/20/2020,Confirmed,75415,7157,1927,2020-07-20 20:19:34.462351
7/21/2020,Probable,2944,44,103,2020-07-21 22:03:48.867672
7/21/2020,Confirmed,76427,7223,1945,2020-07-21 22:03:48.867672
