Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/14/2020,Alleghany,Not Hispanic or Latino,102,17,3,2020-05-14 21:05:07.324149
5/14/2020,Loudoun,Not Reported,472,6,6,2020-05-14 21:05:07.324149
5/14/2020,Fairfax,Hispanic or Latino,3252,427,25,2020-05-14 21:05:07.324149
5/14/2020,Peninsula,Not Reported,91,3,2,2020-05-14 21:05:07.324149
5/14/2020,Crater,Hispanic or Latino,15,1,0,2020-05-14 21:05:07.324149
5/14/2020,Piedmont,Not Hispanic or Latino,228,25,3,2020-05-14 21:05:07.324149
5/14/2020,Henrico,Hispanic or Latino,72,15,3,2020-05-14 21:05:07.324149
5/14/2020,Alexandria,Not Hispanic or Latino,434,81,25,2020-05-14 21:05:07.324149
5/14/2020,Central Virginia,Hispanic or Latino,15,1,1,2020-05-14 21:05:07.324149
5/14/2020,Alleghany,Not Reported,44,2,1,2020-05-14 21:05:07.324149
5/14/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-14 21:05:07.324149
5/14/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-14 21:05:07.324149
5/14/2020,Chesterfield,Not Hispanic or Latino,269,49,18,2020-05-14 21:05:07.324149
5/14/2020,Pittsylvania-Danville,Not Hispanic or Latino,46,17,2,2020-05-14 21:05:07.324149
5/14/2020,Mount Rogers,Hispanic or Latino,82,0,0,2020-05-14 21:05:07.324149
5/14/2020,Richmond,Not Reported,186,14,1,2020-05-14 21:05:07.324149
5/14/2020,Peninsula,Not Hispanic or Latino,339,98,27,2020-05-14 21:05:07.324149
5/14/2020,Chesapeake,Hispanic or Latino,17,5,1,2020-05-14 21:05:07.324149
5/14/2020,Southside,Hispanic or Latino,2,1,0,2020-05-14 21:05:07.324149
5/14/2020,Thomas Jefferson,Not Hispanic or Latino,302,64,13,2020-05-14 21:05:07.324149
5/14/2020,Norfolk,Not Hispanic or Latino,234,50,5,2020-05-14 21:05:07.324149
5/14/2020,Portsmouth,Not Reported,112,8,2,2020-05-14 21:05:07.324149
5/14/2020,Norfolk,Not Reported,69,1,0,2020-05-14 21:05:07.324149
5/14/2020,Three Rivers,Hispanic or Latino,24,0,0,2020-05-14 21:05:07.324149
5/14/2020,Eastern Shore,Not Reported,70,0,0,2020-05-14 21:05:07.324149
5/14/2020,Alleghany,Hispanic or Latino,11,4,0,2020-05-14 21:05:07.324149
5/14/2020,Henrico,Not Reported,474,29,23,2020-05-14 21:05:07.324149
5/14/2020,Henrico,Not Hispanic or Latino,628,124,86,2020-05-14 21:05:07.324149
5/14/2020,Loudoun,Not Hispanic or Latino,475,83,35,2020-05-14 21:05:07.324149
5/14/2020,Hampton,Not Reported,39,1,0,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock Rapidan,Not Hispanic or Latino,132,18,7,2020-05-14 21:05:07.324149
5/14/2020,Alexandria,Not Reported,294,7,3,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock,Not Hispanic or Latino,294,60,12,2020-05-14 21:05:07.324149
5/14/2020,Western Tidewater,Not Reported,184,2,1,2020-05-14 21:05:07.324149
5/14/2020,Cumberland Plateau,Not Reported,13,0,0,2020-05-14 21:05:07.324149
5/14/2020,Alexandria,Hispanic or Latino,621,64,4,2020-05-14 21:05:07.324149
5/14/2020,Virginia Beach,Not Hispanic or Latino,385,73,17,2020-05-14 21:05:07.324149
5/14/2020,Prince William,Hispanic or Latino,1432,227,17,2020-05-14 21:05:07.324149
5/14/2020,Virginia Beach,Not Reported,112,8,1,2020-05-14 21:05:07.324149
5/14/2020,Central Shenandoah,Hispanic or Latino,476,26,2,2020-05-14 21:05:07.324149
5/14/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0,2020-05-14 21:05:07.324149
5/14/2020,Mount Rogers,Not Hispanic or Latino,105,15,4,2020-05-14 21:05:07.324149
5/14/2020,Piedmont,Not Reported,240,11,2,2020-05-14 21:05:07.324149
5/14/2020,Southside,Not Hispanic or Latino,57,8,5,2020-05-14 21:05:07.324149
5/14/2020,Thomas Jefferson,Hispanic or Latino,28,1,0,2020-05-14 21:05:07.324149
5/14/2020,Pittsylvania-Danville,Not Reported,14,4,0,2020-05-14 21:05:07.324149
5/14/2020,Norfolk,Hispanic or Latino,35,5,0,2020-05-14 21:05:07.324149
5/14/2020,Portsmouth,Not Hispanic or Latino,99,29,7,2020-05-14 21:05:07.324149
5/14/2020,West Piedmont,Not Reported,16,3,0,2020-05-14 21:05:07.324149
5/14/2020,Richmond,Not Hispanic or Latino,300,69,16,2020-05-14 21:05:07.324149
5/14/2020,West Piedmont,Hispanic or Latino,3,0,0,2020-05-14 21:05:07.324149
5/14/2020,Prince William,Not Reported,1901,15,3,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock Rapidan,Not Reported,208,8,1,2020-05-14 21:05:07.324149
5/14/2020,Chickahominy,Hispanic or Latino,12,2,0,2020-05-14 21:05:07.324149
5/14/2020,Lenowisco,Not Reported,19,4,2,2020-05-14 21:05:07.324149
5/14/2020,New River,Hispanic or Latino,3,0,0,2020-05-14 21:05:07.324149
5/14/2020,Crater,Not Reported,159,28,7,2020-05-14 21:05:07.324149
5/14/2020,Chickahominy,Not Reported,164,15,4,2020-05-14 21:05:07.324149
5/14/2020,Loudoun,Hispanic or Latino,392,42,3,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock Rapidan,Hispanic or Latino,272,26,3,2020-05-14 21:05:07.324149
5/14/2020,Roanoke,Not Reported,32,0,0,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock,Hispanic or Latino,277,43,1,2020-05-14 21:05:07.324149
5/14/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-14 21:05:07.324149
5/14/2020,Virginia Beach,Hispanic or Latino,31,5,1,2020-05-14 21:05:07.324149
5/14/2020,Prince William,Not Hispanic or Latino,703,143,54,2020-05-14 21:05:07.324149
5/14/2020,Central Virginia,Not Reported,94,3,0,2020-05-14 21:05:07.324149
5/14/2020,Central Shenandoah,Not Hispanic or Latino,440,48,17,2020-05-14 21:05:07.324149
5/14/2020,Hampton,Hispanic or Latino,9,0,0,2020-05-14 21:05:07.324149
5/14/2020,Roanoke,Hispanic or Latino,18,0,0,2020-05-14 21:05:07.324149
5/15/2020,Southside,Not Reported,139,22,10,2020-05-15 20:24:35.630097
5/15/2020,Lord Fairfax,Hispanic or Latino,193,16,4,2020-05-15 20:24:35.630097
5/15/2020,Eastern Shore,Not Hispanic or Latino,602,37,13,2020-05-15 20:24:35.630097
5/15/2020,Portsmouth,Hispanic or Latino,6,2,0,2020-05-15 20:24:35.630097
5/15/2020,Fairfax,Not Reported,1881,98,88,2020-05-15 20:24:35.630097
5/15/2020,Richmond,Hispanic or Latino,171,22,1,2020-05-15 20:24:35.630097
5/15/2020,Chesapeake,Not Reported,96,6,0,2020-05-15 20:24:35.630097
5/15/2020,Arlington,Hispanic or Latino,394,115,6,2020-05-15 20:24:35.630097
5/15/2020,West Piedmont,Not Hispanic or Latino,50,7,2,2020-05-15 20:24:35.630097
5/15/2020,Fairfax,Not Hispanic or Latino,2002,516,167,2020-05-15 20:24:35.630097
5/15/2020,Piedmont,Hispanic or Latino,15,0,0,2020-05-15 20:24:35.630097
5/15/2020,Crater,Not Hispanic or Latino,185,47,7,2020-05-15 20:24:35.630097
5/15/2020,Chickahominy,Not Hispanic or Latino,159,54,22,2020-05-15 20:24:35.630097
5/15/2020,New River,Not Hispanic or Latino,55,12,1,2020-05-15 20:24:35.630097
5/15/2020,Lord Fairfax,Not Reported,216,11,7,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock,Not Reported,311,20,1,2020-05-15 20:24:35.630097
5/15/2020,Central Shenandoah,Not Reported,213,4,5,2020-05-15 20:24:35.630097
5/15/2020,Central Virginia,Not Hispanic or Latino,62,11,2,2020-05-15 20:24:35.630097
5/15/2020,Lenowisco,Not Hispanic or Latino,23,11,2,2020-05-15 20:24:35.630097
5/15/2020,Cumberland Plateau,Not Hispanic or Latino,15,2,0,2020-05-15 20:24:35.630097
5/15/2020,Western Tidewater,Not Hispanic or Latino,310,55,27,2020-05-15 20:24:35.630097
5/15/2020,New River,Not Reported,30,0,0,2020-05-15 20:24:35.630097
5/15/2020,Chesterfield,Not Reported,641,17,18,2020-05-15 20:24:35.630097
5/15/2020,Chesterfield,Hispanic or Latino,127,4,0,2020-05-15 20:24:35.630097
5/15/2020,Hampton,Not Hispanic or Latino,108,28,3,2020-05-15 20:24:35.630097
5/15/2020,Chesapeake,Not Hispanic or Latino,265,65,9,2020-05-15 20:24:35.630097
5/15/2020,Peninsula,Hispanic or Latino,38,9,1,2020-05-15 20:24:35.630097
5/15/2020,Arlington,Not Reported,755,78,15,2020-05-15 20:24:35.630097
5/15/2020,Roanoke,Not Hispanic or Latino,70,7,1,2020-05-15 20:24:35.630097
5/15/2020,Lord Fairfax,Not Hispanic or Latino,406,48,21,2020-05-15 20:24:35.630097
5/15/2020,Eastern Shore,Hispanic or Latino,129,4,3,2020-05-15 20:24:35.630097
5/15/2020,Mount Rogers,Not Reported,18,2,0,2020-05-15 20:24:35.630097
5/15/2020,Three Rivers,Not Hispanic or Latino,206,20,3,2020-05-15 20:24:35.630097
5/15/2020,Thomas Jefferson,Not Reported,34,0,0,2020-05-15 20:24:35.630097
5/15/2020,Three Rivers,Not Reported,130,10,3,2020-05-15 20:24:35.630097
5/15/2020,Arlington,Not Hispanic or Latino,385,113,50,2020-05-15 20:24:35.630097
5/15/2020,Alleghany,Not Hispanic or Latino,102,17,3,2020-05-15 20:24:35.630097
5/15/2020,Loudoun,Not Reported,486,6,7,2020-05-15 20:24:35.630097
5/15/2020,Fairfax,Hispanic or Latino,3362,436,25,2020-05-15 20:24:35.630097
5/15/2020,Peninsula,Not Reported,86,3,2,2020-05-15 20:24:35.630097
5/15/2020,Crater,Hispanic or Latino,18,1,0,2020-05-15 20:24:35.630097
5/15/2020,Piedmont,Not Hispanic or Latino,237,26,3,2020-05-15 20:24:35.630097
5/15/2020,Henrico,Hispanic or Latino,82,15,3,2020-05-15 20:24:35.630097
5/15/2020,Alexandria,Not Hispanic or Latino,459,82,25,2020-05-15 20:24:35.630097
5/15/2020,Central Virginia,Hispanic or Latino,15,2,1,2020-05-15 20:24:35.630097
5/15/2020,Alleghany,Not Reported,44,2,1,2020-05-15 20:24:35.630097
5/15/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-15 20:24:35.630097
5/15/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-15 20:24:35.630097
5/15/2020,Chesterfield,Not Hispanic or Latino,275,51,18,2020-05-15 20:24:35.630097
5/15/2020,Pittsylvania-Danville,Not Hispanic or Latino,46,17,2,2020-05-15 20:24:35.630097
5/15/2020,Mount Rogers,Hispanic or Latino,84,0,0,2020-05-15 20:24:35.630097
5/15/2020,Richmond,Not Reported,193,13,1,2020-05-15 20:24:35.630097
5/15/2020,Peninsula,Not Hispanic or Latino,350,99,28,2020-05-15 20:24:35.630097
5/15/2020,Chesapeake,Hispanic or Latino,18,5,1,2020-05-15 20:24:35.630097
5/15/2020,Southside,Hispanic or Latino,2,1,0,2020-05-15 20:24:35.630097
5/15/2020,Thomas Jefferson,Not Hispanic or Latino,307,64,13,2020-05-15 20:24:35.630097
5/15/2020,Norfolk,Not Hispanic or Latino,240,50,5,2020-05-15 20:24:35.630097
5/15/2020,Portsmouth,Not Reported,113,8,2,2020-05-15 20:24:35.630097
5/15/2020,Norfolk,Not Reported,72,1,0,2020-05-15 20:24:35.630097
5/15/2020,Three Rivers,Hispanic or Latino,23,0,0,2020-05-15 20:24:35.630097
5/15/2020,Eastern Shore,Not Reported,110,0,0,2020-05-15 20:24:35.630097
5/15/2020,Alleghany,Hispanic or Latino,11,4,0,2020-05-15 20:24:35.630097
5/15/2020,Henrico,Not Reported,467,27,23,2020-05-15 20:24:35.630097
5/15/2020,Henrico,Not Hispanic or Latino,649,127,87,2020-05-15 20:24:35.630097
5/15/2020,Loudoun,Not Hispanic or Latino,480,84,38,2020-05-15 20:24:35.630097
5/15/2020,Hampton,Not Reported,41,1,0,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock Rapidan,Not Hispanic or Latino,135,19,7,2020-05-15 20:24:35.630097
5/15/2020,Alexandria,Not Reported,289,8,3,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock,Not Hispanic or Latino,302,60,12,2020-05-15 20:24:35.630097
5/15/2020,Western Tidewater,Not Reported,219,2,1,2020-05-15 20:24:35.630097
5/15/2020,Cumberland Plateau,Not Reported,13,0,0,2020-05-15 20:24:35.630097
5/15/2020,Alexandria,Hispanic or Latino,648,69,4,2020-05-15 20:24:35.630097
5/15/2020,Virginia Beach,Not Hispanic or Latino,393,74,17,2020-05-15 20:24:35.630097
5/15/2020,Prince William,Hispanic or Latino,1511,236,17,2020-05-15 20:24:35.630097
5/15/2020,Virginia Beach,Not Reported,110,7,1,2020-05-15 20:24:35.630097
5/15/2020,Central Shenandoah,Hispanic or Latino,490,28,2,2020-05-15 20:24:35.630097
5/15/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0,2020-05-15 20:24:35.630097
5/15/2020,Mount Rogers,Not Hispanic or Latino,107,15,4,2020-05-15 20:24:35.630097
5/15/2020,Piedmont,Not Reported,255,11,2,2020-05-15 20:24:35.630097
5/15/2020,Southside,Not Hispanic or Latino,58,10,6,2020-05-15 20:24:35.630097
5/15/2020,Thomas Jefferson,Hispanic or Latino,29,1,0,2020-05-15 20:24:35.630097
5/15/2020,Pittsylvania-Danville,Not Reported,15,5,0,2020-05-15 20:24:35.630097
5/15/2020,Norfolk,Hispanic or Latino,37,5,0,2020-05-15 20:24:35.630097
5/15/2020,Portsmouth,Not Hispanic or Latino,100,29,8,2020-05-15 20:24:35.630097
5/15/2020,West Piedmont,Not Reported,16,3,0,2020-05-15 20:24:35.630097
5/15/2020,Richmond,Not Hispanic or Latino,301,70,16,2020-05-15 20:24:35.630097
5/15/2020,West Piedmont,Hispanic or Latino,3,0,0,2020-05-15 20:24:35.630097
5/15/2020,Prince William,Not Reported,1891,15,4,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock Rapidan,Not Reported,212,8,1,2020-05-15 20:24:35.630097
5/15/2020,Chickahominy,Hispanic or Latino,12,2,0,2020-05-15 20:24:35.630097
5/15/2020,Lenowisco,Not Reported,19,4,2,2020-05-15 20:24:35.630097
5/15/2020,New River,Hispanic or Latino,3,0,0,2020-05-15 20:24:35.630097
5/15/2020,Crater,Not Reported,162,28,7,2020-05-15 20:24:35.630097
5/15/2020,Chickahominy,Not Reported,171,15,4,2020-05-15 20:24:35.630097
5/15/2020,Loudoun,Hispanic or Latino,408,44,3,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock Rapidan,Hispanic or Latino,286,26,3,2020-05-15 20:24:35.630097
5/15/2020,Roanoke,Not Reported,32,0,0,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock,Hispanic or Latino,289,43,1,2020-05-15 20:24:35.630097
5/15/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-15 20:24:35.630097
5/15/2020,Virginia Beach,Hispanic or Latino,32,5,1,2020-05-15 20:24:35.630097
5/15/2020,Prince William,Not Hispanic or Latino,728,147,54,2020-05-15 20:24:35.630097
5/15/2020,Central Virginia,Not Reported,94,3,0,2020-05-15 20:24:35.630097
5/15/2020,Central Shenandoah,Not Hispanic or Latino,460,50,17,2020-05-15 20:24:35.630097
5/15/2020,Hampton,Hispanic or Latino,9,0,0,2020-05-15 20:24:35.630097
5/15/2020,Roanoke,Hispanic or Latino,18,0,0,2020-05-15 20:24:35.630097
5/16/2020,Southside,Not Reported,140,23,11,2020-05-16 19:58:57.538119
5/16/2020,Lord Fairfax,Hispanic or Latino,197,16,4,2020-05-16 19:58:57.538119
5/16/2020,Eastern Shore,Not Hispanic or Latino,622,38,14,2020-05-16 19:58:57.538119
5/16/2020,Portsmouth,Hispanic or Latino,6,2,0,2020-05-16 19:58:57.538119
5/16/2020,Fairfax,Not Reported,1943,98,89,2020-05-16 19:58:57.538119
5/16/2020,Richmond,Hispanic or Latino,223,24,1,2020-05-16 19:58:57.538119
5/16/2020,Chesapeake,Not Reported,96,6,0,2020-05-16 19:58:57.538119
5/16/2020,Arlington,Hispanic or Latino,418,121,7,2020-05-16 19:58:57.538119
5/16/2020,West Piedmont,Not Hispanic or Latino,54,9,3,2020-05-16 19:58:57.538119
5/16/2020,Fairfax,Not Hispanic or Latino,2050,527,169,2020-05-16 19:58:57.538119
5/16/2020,Piedmont,Hispanic or Latino,15,0,0,2020-05-16 19:58:57.538119
5/16/2020,Crater,Not Hispanic or Latino,197,47,7,2020-05-16 19:58:57.538119
5/16/2020,Chickahominy,Not Hispanic or Latino,166,56,22,2020-05-16 19:58:57.538119
5/16/2020,New River,Not Hispanic or Latino,55,12,1,2020-05-16 19:58:57.538119
5/16/2020,Lord Fairfax,Not Reported,240,11,8,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock,Not Reported,334,20,1,2020-05-16 19:58:57.538119
5/16/2020,Central Shenandoah,Not Reported,201,4,5,2020-05-16 19:58:57.538119
5/16/2020,Central Virginia,Not Hispanic or Latino,62,11,2,2020-05-16 19:58:57.538119
5/16/2020,Lenowisco,Not Hispanic or Latino,23,11,2,2020-05-16 19:58:57.538119
5/16/2020,Cumberland Plateau,Not Hispanic or Latino,16,2,0,2020-05-16 19:58:57.538119
5/16/2020,Western Tidewater,Not Hispanic or Latino,314,55,27,2020-05-16 19:58:57.538119
5/16/2020,New River,Not Reported,30,0,0,2020-05-16 19:58:57.538119
5/16/2020,Chesterfield,Not Reported,660,17,18,2020-05-16 19:58:57.538119
5/16/2020,Chesterfield,Hispanic or Latino,137,4,0,2020-05-16 19:58:57.538119
5/16/2020,Hampton,Not Hispanic or Latino,116,29,3,2020-05-16 19:58:57.538119
5/16/2020,Chesapeake,Not Hispanic or Latino,266,65,9,2020-05-16 19:58:57.538119
5/16/2020,Peninsula,Hispanic or Latino,38,9,1,2020-05-16 19:58:57.538119
5/16/2020,Arlington,Not Reported,748,79,16,2020-05-16 19:58:57.538119
5/16/2020,Roanoke,Not Hispanic or Latino,70,7,7,2020-05-16 19:58:57.538119
5/16/2020,Lord Fairfax,Not Hispanic or Latino,422,48,21,2020-05-16 19:58:57.538119
5/16/2020,Eastern Shore,Hispanic or Latino,135,5,3,2020-05-16 19:58:57.538119
5/16/2020,Mount Rogers,Not Reported,20,2,0,2020-05-16 19:58:57.538119
5/16/2020,Three Rivers,Not Hispanic or Latino,208,20,3,2020-05-16 19:58:57.538119
5/16/2020,Thomas Jefferson,Not Reported,37,0,0,2020-05-16 19:58:57.538119
5/16/2020,Three Rivers,Not Reported,136,10,3,2020-05-16 19:58:57.538119
5/16/2020,Arlington,Not Hispanic or Latino,394,117,51,2020-05-16 19:58:57.538119
5/16/2020,Alleghany,Not Hispanic or Latino,103,17,5,2020-05-16 19:58:57.538119
5/16/2020,Loudoun,Not Reported,533,7,7,2020-05-16 19:58:57.538119
5/16/2020,Fairfax,Hispanic or Latino,3482,451,27,2020-05-16 19:58:57.538119
5/16/2020,Peninsula,Not Reported,86,3,2,2020-05-16 19:58:57.538119
5/16/2020,Crater,Hispanic or Latino,18,1,0,2020-05-16 19:58:57.538119
5/16/2020,Piedmont,Not Hispanic or Latino,244,27,3,2020-05-16 19:58:57.538119
5/16/2020,Henrico,Hispanic or Latino,82,14,3,2020-05-16 19:58:57.538119
5/16/2020,Alexandria,Not Hispanic or Latino,472,83,26,2020-05-16 19:58:57.538119
5/16/2020,Central Virginia,Hispanic or Latino,15,2,1,2020-05-16 19:58:57.538119
5/16/2020,Alleghany,Not Reported,44,2,1,2020-05-16 19:58:57.538119
5/16/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-16 19:58:57.538119
5/16/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-16 19:58:57.538119
5/16/2020,Chesterfield,Not Hispanic or Latino,281,51,18,2020-05-16 19:58:57.538119
5/16/2020,Pittsylvania-Danville,Not Hispanic or Latino,47,17,2,2020-05-16 19:58:57.538119
5/16/2020,Mount Rogers,Hispanic or Latino,97,0,0,2020-05-16 19:58:57.538119
5/16/2020,Richmond,Not Reported,211,13,1,2020-05-16 19:58:57.538119
5/16/2020,Peninsula,Not Hispanic or Latino,354,100,28,2020-05-16 19:58:57.538119
5/16/2020,Chesapeake,Hispanic or Latino,18,5,1,2020-05-16 19:58:57.538119
5/16/2020,Southside,Hispanic or Latino,2,1,0,2020-05-16 19:58:57.538119
5/16/2020,Thomas Jefferson,Not Hispanic or Latino,309,64,13,2020-05-16 19:58:57.538119
5/16/2020,Norfolk,Not Hispanic or Latino,242,50,5,2020-05-16 19:58:57.538119
5/16/2020,Portsmouth,Not Reported,113,8,2,2020-05-16 19:58:57.538119
5/16/2020,Norfolk,Not Reported,71,1,0,2020-05-16 19:58:57.538119
5/16/2020,Three Rivers,Hispanic or Latino,23,0,0,2020-05-16 19:58:57.538119
5/16/2020,Eastern Shore,Not Reported,107,0,0,2020-05-16 19:58:57.538119
5/16/2020,Alleghany,Hispanic or Latino,11,4,0,2020-05-16 19:58:57.538119
5/16/2020,Henrico,Not Reported,480,26,23,2020-05-16 19:58:57.538119
5/16/2020,Henrico,Not Hispanic or Latino,664,130,87,2020-05-16 19:58:57.538119
5/16/2020,Loudoun,Not Hispanic or Latino,482,85,38,2020-05-16 19:58:57.538119
5/16/2020,Hampton,Not Reported,32,1,0,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock Rapidan,Not Hispanic or Latino,139,19,7,2020-05-16 19:58:57.538119
5/16/2020,Alexandria,Not Reported,316,6,4,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock,Not Hispanic or Latino,308,60,12,2020-05-16 19:58:57.538119
5/16/2020,Western Tidewater,Not Reported,220,2,1,2020-05-16 19:58:57.538119
5/16/2020,Cumberland Plateau,Not Reported,14,0,0,2020-05-16 19:58:57.538119
5/16/2020,Alexandria,Hispanic or Latino,672,69,4,2020-05-16 19:58:57.538119
5/16/2020,Virginia Beach,Not Hispanic or Latino,395,74,17,2020-05-16 19:58:57.538119
5/16/2020,Prince William,Hispanic or Latino,1563,239,17,2020-05-16 19:58:57.538119
5/16/2020,Virginia Beach,Not Reported,112,7,1,2020-05-16 19:58:57.538119
5/16/2020,Central Shenandoah,Hispanic or Latino,510,31,2,2020-05-16 19:58:57.538119
5/16/2020,Pittsylvania-Danville,Hispanic or Latino,5,1,0,2020-05-16 19:58:57.538119
5/16/2020,Mount Rogers,Not Hispanic or Latino,108,15,4,2020-05-16 19:58:57.538119
5/16/2020,Piedmont,Not Reported,300,11,2,2020-05-16 19:58:57.538119
5/16/2020,Southside,Not Hispanic or Latino,69,10,6,2020-05-16 19:58:57.538119
5/16/2020,Thomas Jefferson,Hispanic or Latino,32,1,0,2020-05-16 19:58:57.538119
5/16/2020,Pittsylvania-Danville,Not Reported,15,5,0,2020-05-16 19:58:57.538119
5/16/2020,Norfolk,Hispanic or Latino,37,5,0,2020-05-16 19:58:57.538119
5/16/2020,Portsmouth,Not Hispanic or Latino,103,29,8,2020-05-16 19:58:57.538119
5/16/2020,West Piedmont,Not Reported,16,3,0,2020-05-16 19:58:57.538119
5/16/2020,Richmond,Not Hispanic or Latino,307,72,16,2020-05-16 19:58:57.538119
5/16/2020,West Piedmont,Hispanic or Latino,4,0,0,2020-05-16 19:58:57.538119
5/16/2020,Prince William,Not Reported,2010,15,4,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock Rapidan,Not Reported,227,8,1,2020-05-16 19:58:57.538119
5/16/2020,Chickahominy,Hispanic or Latino,12,2,0,2020-05-16 19:58:57.538119
5/16/2020,Lenowisco,Not Reported,19,4,2,2020-05-16 19:58:57.538119
5/16/2020,New River,Hispanic or Latino,3,0,0,2020-05-16 19:58:57.538119
5/16/2020,Crater,Not Reported,163,29,7,2020-05-16 19:58:57.538119
5/16/2020,Chickahominy,Not Reported,172,15,4,2020-05-16 19:58:57.538119
5/16/2020,Loudoun,Hispanic or Latino,415,45,3,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock Rapidan,Hispanic or Latino,299,26,3,2020-05-16 19:58:57.538119
5/16/2020,Roanoke,Not Reported,32,0,1,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock,Hispanic or Latino,298,43,1,2020-05-16 19:58:57.538119
5/16/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-16 19:58:57.538119
5/16/2020,Virginia Beach,Hispanic or Latino,32,5,1,2020-05-16 19:58:57.538119
5/16/2020,Prince William,Not Hispanic or Latino,747,151,56,2020-05-16 19:58:57.538119
5/16/2020,Central Virginia,Not Reported,96,3,0,2020-05-16 19:58:57.538119
5/16/2020,Central Shenandoah,Not Hispanic or Latino,470,51,17,2020-05-16 19:58:57.538119
5/16/2020,Hampton,Hispanic or Latino,10,0,0,2020-05-16 19:58:57.538119
5/16/2020,Roanoke,Hispanic or Latino,18,0,0,2020-05-16 19:58:57.538119
5/17/2020,Southside,Not Reported,143,23,11,2020-05-17 19:56:32.395010
5/17/2020,Lord Fairfax,Hispanic or Latino,198,16,4,2020-05-17 19:56:32.395010
5/17/2020,Eastern Shore,Not Hispanic or Latino,639,39,15,2020-05-17 19:56:32.395010
5/17/2020,Portsmouth,Hispanic or Latino,6,2,0,2020-05-17 19:56:32.395010
5/17/2020,Fairfax,Not Reported,1976,98,89,2020-05-17 19:56:32.395010
5/17/2020,Richmond,Hispanic or Latino,224,24,1,2020-05-17 19:56:32.395010
5/17/2020,Chesapeake,Not Reported,98,6,0,2020-05-17 19:56:32.395010
5/17/2020,Arlington,Hispanic or Latino,439,122,7,2020-05-17 19:56:32.395010
5/17/2020,West Piedmont,Not Hispanic or Latino,55,9,3,2020-05-17 19:56:32.395010
5/17/2020,Fairfax,Not Hispanic or Latino,2116,536,171,2020-05-17 19:56:32.395010
5/17/2020,Piedmont,Hispanic or Latino,15,0,0,2020-05-17 19:56:32.395010
5/17/2020,Crater,Not Hispanic or Latino,197,47,7,2020-05-17 19:56:32.395010
5/17/2020,Chickahominy,Not Hispanic or Latino,168,57,22,2020-05-17 19:56:32.395010
5/17/2020,New River,Not Hispanic or Latino,55,12,1,2020-05-17 19:56:32.395010
5/17/2020,Lord Fairfax,Not Reported,251,11,8,2020-05-17 19:56:32.395010
5/17/2020,Rappahannock,Not Reported,344,21,1,2020-05-17 19:56:32.395010
5/17/2020,Central Shenandoah,Not Reported,203,4,5,2020-05-17 19:56:32.395010
5/17/2020,Central Virginia,Not Hispanic or Latino,62,11,2,2020-05-17 19:56:32.395010
5/17/2020,Lenowisco,Not Hispanic or Latino,23,11,2,2020-05-17 19:56:32.395010
5/17/2020,Cumberland Plateau,Not Hispanic or Latino,16,2,0,2020-05-17 19:56:32.395010
5/17/2020,Western Tidewater,Not Hispanic or Latino,317,55,27,2020-05-17 19:56:32.395010
5/17/2020,New River,Not Reported,30,0,0,2020-05-17 19:56:32.395010
5/17/2020,Chesterfield,Not Reported,670,17,18,2020-05-17 19:56:32.395010
5/17/2020,Chesterfield,Hispanic or Latino,137,4,0,2020-05-17 19:56:32.395010
5/17/2020,Hampton,Not Hispanic or Latino,117,29,3,2020-05-17 19:56:32.395010
5/17/2020,Chesapeake,Not Hispanic or Latino,268,66,9,2020-05-17 19:56:32.395010
5/17/2020,Peninsula,Hispanic or Latino,39,9,1,2020-05-17 19:56:32.395010
5/17/2020,Arlington,Not Reported,742,79,16,2020-05-17 19:56:32.395010
5/17/2020,Roanoke,Not Hispanic or Latino,70,7,7,2020-05-17 19:56:32.395010
