Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/2/2020,Eastern Shore,Not Reported,65,0,0,2020-05-02 22:38:05.890661
5/2/2020,Alleghany,Hispanic or Latino,3,0,0,2020-05-02 22:38:05.890661
5/2/2020,Henrico,Not Reported,377,26,26,2020-05-02 22:38:05.890661
5/2/2020,Henrico,Not Hispanic or Latino,505,98,76,2020-05-02 22:38:05.890661
5/2/2020,Loudoun,Not Hispanic or Latino,345,58,12,2020-05-02 22:38:05.890661
5/2/2020,Hampton,Not Reported,29,2,0,2020-05-02 22:38:05.890661
5/2/2020,Rappahannock Rapidan,Not Hispanic or Latino,68,10,3,2020-05-02 22:38:05.890661
5/2/2020,Alexandria,Not Reported,217,7,4,2020-05-02 22:38:05.890661
5/2/2020,Rappahannock,Not Hispanic or Latino,184,42,9,2020-05-02 22:38:05.890661
5/2/2020,Western Tidewater,Not Reported,159,2,1,2020-05-02 22:38:05.890661
5/2/2020,Cumberland Plateau,Not Reported,13,0,0,2020-05-02 22:38:05.890661
5/2/2020,Alexandria,Hispanic or Latino,348,41,4,2020-05-02 22:38:05.890661
5/2/2020,Virginia Beach,Not Hispanic or Latino,303,67,14,2020-05-02 22:38:05.890661
5/2/2020,Prince William,Hispanic or Latino,652,117,4,2020-05-02 22:38:05.890661
5/2/2020,Virginia Beach,Not Reported,90,9,0,2020-05-02 22:38:05.890661
5/2/2020,Central Shenandoah,Hispanic or Latino,299,14,1,2020-05-02 22:38:05.890661
5/2/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0,2020-05-02 22:38:05.890661
5/2/2020,Mount Rogers,Not Hispanic or Latino,72,14,4,2020-05-02 22:38:05.890661
5/2/2020,Piedmont,Not Reported,99,6,0,2020-05-02 22:38:05.890661
5/2/2020,Southside,Not Hispanic or Latino,45,6,3,2020-05-02 22:38:05.890661
5/2/2020,Thomas Jefferson,Hispanic or Latino,11,0,0,2020-05-02 22:38:05.890661
5/2/2020,Pittsylvania-Danville,Not Reported,11,4,0,2020-05-02 22:38:05.890661
5/2/2020,Norfolk,Hispanic or Latino,18,4,0,2020-05-02 22:38:05.890661
5/2/2020,Portsmouth,Not Hispanic or Latino,72,23,7,2020-05-02 22:38:05.890661
5/2/2020,West Piedmont,Not Reported,8,1,0,2020-05-02 22:38:05.890661
5/2/2020,Richmond,Not Hispanic or Latino,240,50,14,2020-05-02 22:38:05.890661
5/2/2020,West Piedmont,Hispanic or Latino,2,0,0,2020-05-02 22:38:05.890661
5/2/2020,Prince William,Not Reported,1130,10,0,2020-05-02 22:38:05.890661
5/2/2020,Rappahannock Rapidan,Not Reported,153,5,1,2020-05-02 22:38:05.890661
5/2/2020,Chickahominy,Hispanic or Latino,2,1,0,2020-05-02 22:38:05.890661
5/2/2020,Lenowisco,Not Reported,20,5,1,2020-05-02 22:38:05.890661
5/2/2020,New River,Hispanic or Latino,0,0,0,2020-05-02 22:38:05.890661
5/2/2020,Crater,Not Reported,115,26,5,2020-05-02 22:38:05.890661
5/2/2020,Chickahominy,Not Reported,174,28,8,2020-05-02 22:38:05.890661
5/2/2020,Loudoun,Hispanic or Latino,235,30,2,2020-05-02 22:38:05.890661
5/2/2020,Rappahannock Rapidan,Hispanic or Latino,142,13,1,2020-05-02 22:38:05.890661
5/2/2020,Roanoke,Not Reported,27,0,0,2020-05-02 22:38:05.890661
5/2/2020,Rappahannock,Hispanic or Latino,138,24,0,2020-05-02 22:38:05.890661
5/2/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-02 22:38:05.890661
5/2/2020,Virginia Beach,Hispanic or Latino,20,5,1,2020-05-02 22:38:05.890661
5/2/2020,Prince William,Not Hispanic or Latino,452,92,28,2020-05-02 22:38:05.890661
5/2/2020,Central Virginia,Not Reported,100,3,0,2020-05-02 22:38:05.890661
5/2/2020,Central Shenandoah,Not Hispanic or Latino,329,30,12,2020-05-02 22:38:05.890661
5/2/2020,Hampton,Hispanic or Latino,5,0,0,2020-05-02 22:38:05.890661
5/2/2020,Roanoke,Hispanic or Latino,4,0,0,2020-05-02 22:38:05.890661
5/3/2020,Southside,Not Reported,94,19,7,2020-05-03 20:34:10.546837
5/3/2020,Lord Fairfax,Hispanic or Latino,107,12,1,2020-05-03 20:34:10.546837
5/3/2020,Eastern Shore,Not Hispanic or Latino,333,23,5,2020-05-03 20:34:10.546837
5/3/2020,Portsmouth,Hispanic or Latino,4,2,0,2020-05-03 20:34:10.546837
5/3/2020,Fairfax,Not Reported,1268,84,62,2020-05-03 20:34:10.546837
5/3/2020,Richmond,Hispanic or Latino,50,6,1,2020-05-03 20:34:10.546837
5/3/2020,Chesapeake,Not Reported,95,8,2,2020-05-03 20:34:10.546837
5/3/2020,Arlington,Hispanic or Latino,185,53,3,2020-05-03 20:34:10.546837
5/3/2020,West Piedmont,Not Hispanic or Latino,35,5,1,2020-05-03 20:34:10.546837
5/3/2020,Fairfax,Not Hispanic or Latino,1379,391,111,2020-05-03 20:34:10.546837
5/3/2020,Piedmont,Hispanic or Latino,11,0,0,2020-05-03 20:34:10.546837
5/3/2020,Crater,Not Hispanic or Latino,95,30,7,2020-05-03 20:34:10.546837
5/3/2020,Chickahominy,Not Hispanic or Latino,83,24,11,2020-05-03 20:34:10.546837
5/3/2020,New River,Not Hispanic or Latino,44,9,1,2020-05-03 20:34:10.546837
5/3/2020,Lord Fairfax,Not Reported,101,2,0,2020-05-03 20:34:10.546837
5/3/2020,Rappahannock,Not Reported,229,29,2,2020-05-03 20:34:10.546837
5/3/2020,Central Shenandoah,Not Reported,197,2,4,2020-05-03 20:34:10.546837
5/3/2020,Central Virginia,Not Hispanic or Latino,38,4,1,2020-05-03 20:34:10.546837
5/3/2020,Lenowisco,Not Hispanic or Latino,21,9,1,2020-05-03 20:34:10.546837
5/3/2020,Cumberland Plateau,Not Hispanic or Latino,14,2,0,2020-05-03 20:34:10.546837
5/3/2020,Western Tidewater,Not Hispanic or Latino,274,48,17,2020-05-03 20:34:10.546837
5/3/2020,New River,Not Reported,31,1,0,2020-05-03 20:34:10.546837
5/3/2020,Chesterfield,Not Reported,443,19,16,2020-05-03 20:34:10.546837
5/3/2020,Chesterfield,Hispanic or Latino,44,1,0,2020-05-03 20:34:10.546837
5/3/2020,Hampton,Not Hispanic or Latino,89,26,1,2020-05-03 20:34:10.546837
5/3/2020,Chesapeake,Not Hispanic or Latino,171,50,6,2020-05-03 20:34:10.546837
5/3/2020,Peninsula,Hispanic or Latino,20,7,1,2020-05-03 20:34:10.546837
5/3/2020,Arlington,Not Reported,666,75,12,2020-05-03 20:34:10.546837
5/3/2020,Roanoke,Not Hispanic or Latino,49,5,0,2020-05-03 20:34:10.546837
5/3/2020,Lord Fairfax,Not Hispanic or Latino,287,28,4,2020-05-03 20:34:10.546837
5/3/2020,Eastern Shore,Hispanic or Latino,70,2,2,2020-05-03 20:34:10.546837
5/3/2020,Mount Rogers,Not Reported,6,2,0,2020-05-03 20:34:10.546837
5/3/2020,Three Rivers,Not Hispanic or Latino,138,15,1,2020-05-03 20:34:10.546837
5/3/2020,Thomas Jefferson,Not Reported,28,1,0,2020-05-03 20:34:10.546837
5/3/2020,Three Rivers,Not Reported,88,7,1,2020-05-03 20:34:10.546837
5/3/2020,Arlington,Not Hispanic or Latino,255,66,31,2020-05-03 20:34:10.546837
5/3/2020,Alleghany,Not Hispanic or Latino,78,15,3,2020-05-03 20:34:10.546837
5/3/2020,Loudoun,Not Reported,326,7,2,2020-05-03 20:34:10.546837
5/3/2020,Fairfax,Hispanic or Latino,1760,275,16,2020-05-03 20:34:10.546837
5/3/2020,Peninsula,Not Reported,73,3,3,2020-05-03 20:34:10.546837
5/3/2020,Crater,Hispanic or Latino,3,0,0,2020-05-03 20:34:10.546837
5/3/2020,Piedmont,Not Hispanic or Latino,136,17,3,2020-05-03 20:34:10.546837
5/3/2020,Henrico,Hispanic or Latino,47,11,2,2020-05-03 20:34:10.546837
5/3/2020,Alexandria,Not Hispanic or Latino,305,61,18,2020-05-03 20:34:10.546837
5/3/2020,Central Virginia,Hispanic or Latino,4,1,0,2020-05-03 20:34:10.546837
