age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Missing,Western Tidewater,22,0,0,2020-08-29 00:00:00
0-9,West Piedmont,45,0,1,2020-08-29 00:00:00
10-19,West Piedmont,127,0,0,2020-08-29 00:00:00
20-29,West Piedmont,239,0,4,2020-08-29 00:00:00
30-39,West Piedmont,211,0,6,2020-08-29 00:00:00
40-49,West Piedmont,249,3,17,2020-08-29 00:00:00
50-59,West Piedmont,283,3,44,2020-08-29 00:00:00
60-69,West Piedmont,196,3,35,2020-08-29 00:00:00
70-79,West Piedmont,123,11,44,2020-08-29 00:00:00
80+,West Piedmont,119,14,45,2020-08-29 00:00:00
Missing,West Piedmont,0,0,0,2020-08-29 00:00:00
0-9,Alexandria,203,0,2,2020-08-30 00:00:00
10-19,Alexandria,239,0,5,2020-08-30 00:00:00
20-29,Alexandria,603,1,12,2020-08-30 00:00:00
30-39,Alexandria,778,1,37,2020-08-30 00:00:00
40-49,Alexandria,606,0,46,2020-08-30 00:00:00
50-59,Alexandria,434,12,61,2020-08-30 00:00:00
60-69,Alexandria,263,3,57,2020-08-30 00:00:00
70-79,Alexandria,120,18,44,2020-08-30 00:00:00
80+,Alexandria,112,27,34,2020-08-30 00:00:00
Missing,Alexandria,11,0,0,2020-08-30 00:00:00
0-9,Alleghany,37,0,0,2020-08-30 00:00:00
10-19,Alleghany,134,0,1,2020-08-30 00:00:00
20-29,Alleghany,235,0,1,2020-08-30 00:00:00
30-39,Alleghany,157,0,5,2020-08-30 00:00:00
40-49,Alleghany,162,0,5,2020-08-30 00:00:00
50-59,Alleghany,174,1,10,2020-08-30 00:00:00
60-69,Alleghany,107,1,11,2020-08-30 00:00:00
70-79,Alleghany,97,11,13,2020-08-30 00:00:00
80+,Alleghany,51,6,12,2020-08-30 00:00:00
Missing,Alleghany,2,0,0,2020-08-30 00:00:00
0-9,Arlington,88,0,2,2020-08-30 00:00:00
10-19,Arlington,188,0,5,2020-08-30 00:00:00
20-29,Arlington,774,0,23,2020-08-30 00:00:00
30-39,Arlington,668,0,45,2020-08-30 00:00:00
40-49,Arlington,573,8,60,2020-08-30 00:00:00
50-59,Arlington,481,6,77,2020-08-30 00:00:00
60-69,Arlington,336,19,86,2020-08-30 00:00:00
70-79,Arlington,200,34,77,2020-08-30 00:00:00
80+,Arlington,216,70,90,2020-08-30 00:00:00
Missing,Arlington,16,0,1,2020-08-30 00:00:00
0-9,Central Shenandoah,103,0,0,2020-08-30 00:00:00
10-19,Central Shenandoah,236,0,1,2020-08-30 00:00:00
20-29,Central Shenandoah,738,0,11,2020-08-30 00:00:00
30-39,Central Shenandoah,463,0,8,2020-08-30 00:00:00
40-49,Central Shenandoah,505,0,17,2020-08-30 00:00:00
50-59,Central Shenandoah,522,5,44,2020-08-30 00:00:00
60-69,Central Shenandoah,370,15,53,2020-08-30 00:00:00
70-79,Central Shenandoah,189,18,57,2020-08-30 00:00:00
80+,Central Shenandoah,166,23,43,2020-08-30 00:00:00
Missing,Central Shenandoah,2,0,0,2020-08-30 00:00:00
0-9,Central Virginia,69,0,0,2020-08-30 00:00:00
10-19,Central Virginia,248,0,2,2020-08-30 00:00:00
20-29,Central Virginia,552,0,3,2020-08-30 00:00:00
30-39,Central Virginia,302,0,11,2020-08-30 00:00:00
40-49,Central Virginia,304,0,3,2020-08-30 00:00:00
50-59,Central Virginia,342,4,9,2020-08-30 00:00:00
60-69,Central Virginia,234,2,20,2020-08-30 00:00:00
70-79,Central Virginia,137,5,17,2020-08-30 00:00:00
80+,Central Virginia,96,7,13,2020-08-30 00:00:00
Missing,Central Virginia,2,0,0,2020-08-30 00:00:00
0-9,Chesapeake,125,0,1,2020-08-30 00:00:00
10-19,Chesapeake,294,0,4,2020-08-30 00:00:00
20-29,Chesapeake,711,0,6,2020-08-30 00:00:00
30-39,Chesapeake,699,0,23,2020-08-30 00:00:00
40-49,Chesapeake,566,1,42,2020-08-30 00:00:00
50-59,Chesapeake,549,2,54,2020-08-30 00:00:00
60-69,Chesapeake,418,13,78,2020-08-30 00:00:00
70-79,Chesapeake,207,6,61,2020-08-30 00:00:00
80+,Chesapeake,165,25,49,2020-08-30 00:00:00
Missing,Chesapeake,44,0,1,2020-08-30 00:00:00
0-9,Chesterfield,213,0,2,2020-08-30 00:00:00
10-19,Chesterfield,535,0,2,2020-08-30 00:00:00
20-29,Chesterfield,1005,0,13,2020-08-30 00:00:00
30-39,Chesterfield,1063,1,22,2020-08-30 00:00:00
40-49,Chesterfield,912,3,42,2020-08-30 00:00:00
50-59,Chesterfield,746,7,64,2020-08-30 00:00:00
60-69,Chesterfield,460,18,74,2020-08-30 00:00:00
70-79,Chesterfield,197,28,41,2020-08-30 00:00:00
80+,Chesterfield,178,51,43,2020-08-30 00:00:00
Missing,Chesterfield,124,0,1,2020-08-30 00:00:00
0-9,Chickahominy,31,0,0,2020-08-30 00:00:00
10-19,Chickahominy,126,0,0,2020-08-30 00:00:00
20-29,Chickahominy,194,0,3,2020-08-30 00:00:00
30-39,Chickahominy,158,0,3,2020-08-30 00:00:00
40-49,Chickahominy,152,1,14,2020-08-30 00:00:00
50-59,Chickahominy,223,1,25,2020-08-30 00:00:00
60-69,Chickahominy,129,9,27,2020-08-30 00:00:00
70-79,Chickahominy,96,7,28,2020-08-30 00:00:00
80+,Chickahominy,99,30,40,2020-08-30 00:00:00
Missing,Chickahominy,18,0,0,2020-08-30 00:00:00
0-9,Crater,62,0,2,2020-08-30 00:00:00
10-19,Crater,153,0,2,2020-08-30 00:00:00
20-29,Crater,516,0,9,2020-08-30 00:00:00
30-39,Crater,558,0,9,2020-08-30 00:00:00
40-49,Crater,448,1,25,2020-08-30 00:00:00
50-59,Crater,540,4,51,2020-08-30 00:00:00
60-69,Crater,409,21,64,2020-08-30 00:00:00
70-79,Crater,230,23,51,2020-08-30 00:00:00
80+,Crater,183,24,36,2020-08-30 00:00:00
Missing,Crater,30,0,0,2020-08-30 00:00:00
0-9,Cumberland Plateau,18,0,0,2020-08-30 00:00:00
10-19,Cumberland Plateau,83,0,1,2020-08-30 00:00:00
20-29,Cumberland Plateau,71,0,0,2020-08-30 00:00:00
30-39,Cumberland Plateau,65,0,2,2020-08-30 00:00:00
40-49,Cumberland Plateau,83,0,4,2020-08-30 00:00:00
50-59,Cumberland Plateau,84,0,11,2020-08-30 00:00:00
60-69,Cumberland Plateau,60,2,12,2020-08-30 00:00:00
70-79,Cumberland Plateau,38,0,5,2020-08-30 00:00:00
80+,Cumberland Plateau,28,5,10,2020-08-30 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-08-30 00:00:00
0-9,Eastern Shore,28,0,3,2020-08-30 00:00:00
10-19,Eastern Shore,72,0,1,2020-08-30 00:00:00
20-29,Eastern Shore,214,0,6,2020-08-30 00:00:00
30-39,Eastern Shore,252,0,11,2020-08-30 00:00:00
40-49,Eastern Shore,264,2,13,2020-08-30 00:00:00
50-59,Eastern Shore,291,6,24,2020-08-30 00:00:00
60-69,Eastern Shore,203,8,31,2020-08-30 00:00:00
70-79,Eastern Shore,62,12,23,2020-08-30 00:00:00
80+,Eastern Shore,55,20,25,2020-08-30 00:00:00
Missing,Eastern Shore,6,0,0,2020-08-30 00:00:00
0-9,Fairfax,714,0,26,2020-08-30 00:00:00
10-19,Fairfax,1356,0,35,2020-08-30 00:00:00
20-29,Fairfax,3224,3,104,2020-08-30 00:00:00
30-39,Fairfax,3537,8,226,2020-08-30 00:00:00
40-49,Fairfax,3283,14,324,2020-08-30 00:00:00
50-59,Fairfax,2804,40,376,2020-08-30 00:00:00
60-69,Fairfax,1734,73,381,2020-08-30 00:00:00
70-79,Fairfax,774,121,270,2020-08-30 00:00:00
80+,Fairfax,886,310,330,2020-08-30 00:00:00
Missing,Fairfax,184,0,6,2020-08-30 00:00:00
0-9,Hampton,41,0,0,2020-08-30 00:00:00
10-19,Hampton,97,0,0,2020-08-30 00:00:00
20-29,Hampton,404,0,3,2020-08-30 00:00:00
30-39,Hampton,286,0,3,2020-08-30 00:00:00
40-49,Hampton,224,0,8,2020-08-30 00:00:00
50-59,Hampton,206,4,12,2020-08-30 00:00:00
60-69,Hampton,143,6,11,2020-08-30 00:00:00
70-79,Hampton,75,4,13,2020-08-30 00:00:00
80+,Hampton,34,2,4,2020-08-30 00:00:00
Missing,Hampton,32,0,0,2020-08-30 00:00:00
0-9,Henrico,176,0,5,2020-08-30 00:00:00
10-19,Henrico,382,0,5,2020-08-30 00:00:00
20-29,Henrico,792,1,21,2020-08-30 00:00:00
30-39,Henrico,827,0,22,2020-08-30 00:00:00
40-49,Henrico,683,2,42,2020-08-30 00:00:00
50-59,Henrico,582,12,66,2020-08-30 00:00:00
60-69,Henrico,405,37,65,2020-08-30 00:00:00
70-79,Henrico,290,47,63,2020-08-30 00:00:00
80+,Henrico,392,92,89,2020-08-30 00:00:00
Missing,Henrico,50,1,1,2020-08-30 00:00:00
0-9,Lenowisco,28,0,0,2020-08-30 00:00:00
10-19,Lenowisco,63,0,0,2020-08-30 00:00:00
20-29,Lenowisco,90,0,0,2020-08-30 00:00:00
30-39,Lenowisco,113,1,3,2020-08-30 00:00:00
40-49,Lenowisco,105,0,5,2020-08-30 00:00:00
50-59,Lenowisco,108,1,11,2020-08-30 00:00:00
60-69,Lenowisco,98,2,12,2020-08-30 00:00:00
70-79,Lenowisco,71,7,24,2020-08-30 00:00:00
80+,Lenowisco,23,1,5,2020-08-30 00:00:00
Missing,Lenowisco,0,0,0,2020-08-30 00:00:00
0-9,Lord Fairfax,91,0,2,2020-08-30 00:00:00
10-19,Lord Fairfax,232,0,4,2020-08-30 00:00:00
20-29,Lord Fairfax,462,0,8,2020-08-30 00:00:00
30-39,Lord Fairfax,458,1,14,2020-08-30 00:00:00
40-49,Lord Fairfax,422,1,20,2020-08-30 00:00:00
50-59,Lord Fairfax,446,4,35,2020-08-30 00:00:00
60-69,Lord Fairfax,282,14,56,2020-08-30 00:00:00
70-79,Lord Fairfax,189,20,53,2020-08-30 00:00:00
80+,Lord Fairfax,214,53,48,2020-08-30 00:00:00
Missing,Lord Fairfax,2,0,0,2020-08-30 00:00:00
0-9,Loudoun,234,0,4,2020-08-30 00:00:00
10-19,Loudoun,831,0,2,2020-08-30 00:00:00
20-29,Loudoun,1047,0,13,2020-08-30 00:00:00
30-39,Loudoun,1011,0,36,2020-08-30 00:00:00
40-49,Loudoun,1117,1,67,2020-08-30 00:00:00
50-59,Loudoun,880,4,72,2020-08-30 00:00:00
60-69,Loudoun,349,9,68,2020-08-30 00:00:00
70-79,Loudoun,182,19,58,2020-08-30 00:00:00
80+,Loudoun,228,84,63,2020-08-30 00:00:00
Missing,Loudoun,66,1,0,2020-08-30 00:00:00
0-9,Mount Rogers,72,0,1,2020-08-30 00:00:00
10-19,Mount Rogers,156,0,1,2020-08-30 00:00:00
20-29,Mount Rogers,306,0,0,2020-08-30 00:00:00
30-39,Mount Rogers,264,0,13,2020-08-30 00:00:00
40-49,Mount Rogers,272,2,7,2020-08-30 00:00:00
50-59,Mount Rogers,277,3,22,2020-08-30 00:00:00
60-69,Mount Rogers,239,3,27,2020-08-30 00:00:00
70-79,Mount Rogers,199,21,58,2020-08-30 00:00:00
80+,Mount Rogers,153,41,48,2020-08-30 00:00:00
Missing,Mount Rogers,0,0,0,2020-08-30 00:00:00
0-9,New River,19,0,0,2020-08-30 00:00:00
10-19,New River,242,0,0,2020-08-30 00:00:00
20-29,New River,475,0,0,2020-08-30 00:00:00
30-39,New River,119,0,4,2020-08-30 00:00:00
40-49,New River,99,0,2,2020-08-30 00:00:00
50-59,New River,89,0,6,2020-08-30 00:00:00
60-69,New River,58,2,8,2020-08-30 00:00:00
70-79,New River,49,4,12,2020-08-30 00:00:00
80+,New River,30,3,5,2020-08-30 00:00:00
Missing,New River,7,0,0,2020-08-30 00:00:00
0-9,Norfolk,155,0,3,2020-08-30 00:00:00
10-19,Norfolk,274,0,2,2020-08-30 00:00:00
20-29,Norfolk,1427,0,16,2020-08-30 00:00:00
30-39,Norfolk,777,1,34,2020-08-30 00:00:00
40-49,Norfolk,511,2,31,2020-08-30 00:00:00
50-59,Norfolk,495,5,50,2020-08-30 00:00:00
60-69,Norfolk,401,12,67,2020-08-30 00:00:00
70-79,Norfolk,175,17,55,2020-08-30 00:00:00
80+,Norfolk,104,15,26,2020-08-30 00:00:00
Missing,Norfolk,42,0,1,2020-08-30 00:00:00
0-9,Peninsula,137,0,1,2020-08-30 00:00:00
10-19,Peninsula,237,0,1,2020-08-30 00:00:00
20-29,Peninsula,955,0,1,2020-08-30 00:00:00
30-39,Peninsula,689,3,16,2020-08-30 00:00:00
40-49,Peninsula,537,1,17,2020-08-30 00:00:00
50-59,Peninsula,476,3,25,2020-08-30 00:00:00
60-69,Peninsula,319,5,36,2020-08-30 00:00:00
70-79,Peninsula,201,16,50,2020-08-30 00:00:00
80+,Peninsula,115,25,34,2020-08-30 00:00:00
Missing,Peninsula,44,0,0,2020-08-30 00:00:00
0-9,Piedmont,38,0,0,2020-08-30 00:00:00
10-19,Piedmont,69,0,0,2020-08-30 00:00:00
20-29,Piedmont,306,0,3,2020-08-30 00:00:00
30-39,Piedmont,339,0,6,2020-08-30 00:00:00
40-49,Piedmont,302,0,13,2020-08-30 00:00:00
50-59,Piedmont,264,4,27,2020-08-30 00:00:00
60-69,Piedmont,199,5,26,2020-08-30 00:00:00
70-79,Piedmont,102,8,28,2020-08-30 00:00:00
80+,Piedmont,66,21,24,2020-08-30 00:00:00
Missing,Piedmont,2,0,0,2020-08-30 00:00:00
0-9,Pittsylvania-Danville,52,0,0,2020-08-30 00:00:00
10-19,Pittsylvania-Danville,92,0,0,2020-08-30 00:00:00
20-29,Pittsylvania-Danville,189,0,0,2020-08-30 00:00:00
30-39,Pittsylvania-Danville,218,0,2,2020-08-30 00:00:00
40-49,Pittsylvania-Danville,231,1,11,2020-08-30 00:00:00
50-59,Pittsylvania-Danville,264,1,24,2020-08-30 00:00:00
60-69,Pittsylvania-Danville,179,4,24,2020-08-30 00:00:00
70-79,Pittsylvania-Danville,69,2,19,2020-08-30 00:00:00
80+,Pittsylvania-Danville,77,10,15,2020-08-30 00:00:00
Missing,Pittsylvania-Danville,1,0,0,2020-08-30 00:00:00
0-9,Portsmouth,73,0,4,2020-08-30 00:00:00
10-19,Portsmouth,187,0,0,2020-08-30 00:00:00
20-29,Portsmouth,469,0,16,2020-08-30 00:00:00
30-39,Portsmouth,387,1,18,2020-08-30 00:00:00
40-49,Portsmouth,331,2,19,2020-08-30 00:00:00
50-59,Portsmouth,313,4,39,2020-08-30 00:00:00
60-69,Portsmouth,259,10,35,2020-08-30 00:00:00
70-79,Portsmouth,118,10,30,2020-08-30 00:00:00
80+,Portsmouth,54,7,13,2020-08-30 00:00:00
Missing,Portsmouth,22,0,1,2020-08-30 00:00:00
0-9,Prince William,563,0,12,2020-08-30 00:00:00
10-19,Prince William,1187,0,10,2020-08-30 00:00:00
20-29,Prince William,2481,0,63,2020-08-30 00:00:00
30-39,Prince William,2425,2,111,2020-08-30 00:00:00
40-49,Prince William,2610,8,189,2020-08-30 00:00:00
50-59,Prince William,1932,19,229,2020-08-30 00:00:00
60-69,Prince William,1042,50,197,2020-08-30 00:00:00
70-79,Prince William,410,54,123,2020-08-30 00:00:00
80+,Prince William,281,81,96,2020-08-30 00:00:00
Missing,Prince William,193,0,3,2020-08-30 00:00:00
0-9,Rappahannock,192,0,2,2020-08-30 00:00:00
10-19,Rappahannock,453,0,4,2020-08-30 00:00:00
20-29,Rappahannock,892,0,18,2020-08-30 00:00:00
30-39,Rappahannock,789,0,28,2020-08-30 00:00:00
40-49,Rappahannock,732,2,52,2020-08-30 00:00:00
50-59,Rappahannock,650,5,64,2020-08-30 00:00:00
60-69,Rappahannock,343,9,66,2020-08-30 00:00:00
70-79,Rappahannock,175,19,47,2020-08-30 00:00:00
80+,Rappahannock,170,27,66,2020-08-30 00:00:00
Missing,Rappahannock,29,0,1,2020-08-30 00:00:00
0-9,Rappahannock Rapidan,110,0,1,2020-08-30 00:00:00
10-19,Rappahannock Rapidan,206,0,4,2020-08-30 00:00:00
20-29,Rappahannock Rapidan,420,0,6,2020-08-30 00:00:00
30-39,Rappahannock Rapidan,437,1,20,2020-08-30 00:00:00
40-49,Rappahannock Rapidan,401,3,24,2020-08-30 00:00:00
50-59,Rappahannock Rapidan,341,2,35,2020-08-30 00:00:00
60-69,Rappahannock Rapidan,195,5,25,2020-08-30 00:00:00
70-79,Rappahannock Rapidan,78,9,15,2020-08-30 00:00:00
80+,Rappahannock Rapidan,74,10,20,2020-08-30 00:00:00
Missing,Rappahannock Rapidan,13,0,0,2020-08-30 00:00:00
0-9,Richmond,141,0,6,2020-08-30 00:00:00
10-19,Richmond,353,0,5,2020-08-30 00:00:00
20-29,Richmond,999,0,21,2020-08-30 00:00:00
30-39,Richmond,799,1,44,2020-08-30 00:00:00
40-49,Richmond,573,5,44,2020-08-30 00:00:00
50-59,Richmond,432,3,76,2020-08-30 00:00:00
60-69,Richmond,319,8,79,2020-08-30 00:00:00
70-79,Richmond,151,19,65,2020-08-30 00:00:00
80+,Richmond,84,11,32,2020-08-30 00:00:00
Missing,Richmond,28,0,1,2020-08-30 00:00:00
0-9,Roanoke,49,0,0,2020-08-30 00:00:00
10-19,Roanoke,135,0,1,2020-08-30 00:00:00
20-29,Roanoke,267,0,5,2020-08-30 00:00:00
30-39,Roanoke,252,0,5,2020-08-30 00:00:00
40-49,Roanoke,170,0,6,2020-08-30 00:00:00
50-59,Roanoke,134,0,6,2020-08-30 00:00:00
60-69,Roanoke,81,1,8,2020-08-30 00:00:00
70-79,Roanoke,36,2,7,2020-08-30 00:00:00
80+,Roanoke,62,12,6,2020-08-30 00:00:00
Missing,Roanoke,3,0,0,2020-08-30 00:00:00
0-9,Southside,16,0,0,2020-08-30 00:00:00
10-19,Southside,34,0,0,2020-08-30 00:00:00
20-29,Southside,139,0,2,2020-08-30 00:00:00
30-39,Southside,183,0,4,2020-08-30 00:00:00
40-49,Southside,156,0,6,2020-08-30 00:00:00
50-59,Southside,151,1,13,2020-08-30 00:00:00
60-69,Southside,126,6,17,2020-08-30 00:00:00
70-79,Southside,96,17,15,2020-08-30 00:00:00
80+,Southside,94,13,12,2020-08-30 00:00:00
Missing,Southside,1,0,0,2020-08-30 00:00:00
0-9,Thomas Jefferson,109,0,1,2020-08-30 00:00:00
10-19,Thomas Jefferson,279,0,2,2020-08-30 00:00:00
20-29,Thomas Jefferson,449,0,3,2020-08-30 00:00:00
30-39,Thomas Jefferson,425,0,13,2020-08-30 00:00:00
40-49,Thomas Jefferson,357,0,20,2020-08-30 00:00:00
50-59,Thomas Jefferson,283,2,22,2020-08-30 00:00:00
60-69,Thomas Jefferson,216,4,40,2020-08-30 00:00:00
70-79,Thomas Jefferson,156,13,28,2020-08-30 00:00:00
80+,Thomas Jefferson,181,31,38,2020-08-30 00:00:00
Missing,Thomas Jefferson,3,0,0,2020-08-30 00:00:00
0-9,Three Rivers,30,0,1,2020-08-30 00:00:00
10-19,Three Rivers,73,0,1,2020-08-30 00:00:00
20-29,Three Rivers,235,0,4,2020-08-30 00:00:00
30-39,Three Rivers,243,0,8,2020-08-30 00:00:00
40-49,Three Rivers,228,2,15,2020-08-30 00:00:00
50-59,Three Rivers,191,0,14,2020-08-30 00:00:00
60-69,Three Rivers,141,3,20,2020-08-30 00:00:00
70-79,Three Rivers,69,8,15,2020-08-30 00:00:00
80+,Three Rivers,56,7,14,2020-08-30 00:00:00
Missing,Three Rivers,10,0,1,2020-08-30 00:00:00
0-9,Virginia Beach,199,0,1,2020-08-30 00:00:00
10-19,Virginia Beach,463,0,1,2020-08-30 00:00:00
20-29,Virginia Beach,1535,0,12,2020-08-30 00:00:00
30-39,Virginia Beach,1154,1,24,2020-08-30 00:00:00
40-49,Virginia Beach,799,2,31,2020-08-30 00:00:00
50-59,Virginia Beach,701,3,42,2020-08-30 00:00:00
60-69,Virginia Beach,530,7,70,2020-08-30 00:00:00
70-79,Virginia Beach,268,21,74,2020-08-30 00:00:00
80+,Virginia Beach,210,34,66,2020-08-30 00:00:00
Missing,Virginia Beach,126,0,0,2020-08-30 00:00:00
0-9,Western Tidewater,80,0,1,2020-08-30 00:00:00
10-19,Western Tidewater,200,0,0,2020-08-30 00:00:00
20-29,Western Tidewater,408,0,6,2020-08-30 00:00:00
30-39,Western Tidewater,435,2,18,2020-08-30 00:00:00
40-49,Western Tidewater,391,3,10,2020-08-30 00:00:00
50-59,Western Tidewater,498,4,25,2020-08-30 00:00:00
60-69,Western Tidewater,364,11,32,2020-08-30 00:00:00
70-79,Western Tidewater,216,20,33,2020-08-30 00:00:00
80+,Western Tidewater,205,50,36,2020-08-30 00:00:00
Missing,Western Tidewater,22,0,0,2020-08-30 00:00:00
0-9,West Piedmont,46,0,2,2020-08-30 00:00:00
10-19,West Piedmont,128,0,0,2020-08-30 00:00:00
20-29,West Piedmont,241,0,4,2020-08-30 00:00:00
30-39,West Piedmont,213,0,6,2020-08-30 00:00:00
40-49,West Piedmont,253,3,17,2020-08-30 00:00:00
50-59,West Piedmont,284,3,44,2020-08-30 00:00:00
60-69,West Piedmont,198,3,35,2020-08-30 00:00:00
70-79,West Piedmont,124,11,44,2020-08-30 00:00:00
80+,West Piedmont,119,14,45,2020-08-30 00:00:00
Missing,West Piedmont,0,0,0,2020-08-30 00:00:00
0-9,Alexandria,204,0,2,2020-08-31 00:00:00
10-19,Alexandria,241,0,5,2020-08-31 00:00:00
20-29,Alexandria,607,1,12,2020-08-31 00:00:00
30-39,Alexandria,778,1,37,2020-08-31 00:00:00
40-49,Alexandria,606,0,46,2020-08-31 00:00:00
50-59,Alexandria,436,12,61,2020-08-31 00:00:00
60-69,Alexandria,263,3,57,2020-08-31 00:00:00
70-79,Alexandria,120,18,44,2020-08-31 00:00:00
80+,Alexandria,112,27,34,2020-08-31 00:00:00
Missing,Alexandria,11,0,0,2020-08-31 00:00:00
0-9,Alleghany,37,0,0,2020-08-31 00:00:00
10-19,Alleghany,140,0,1,2020-08-31 00:00:00
20-29,Alleghany,239,0,1,2020-08-31 00:00:00
30-39,Alleghany,163,0,5,2020-08-31 00:00:00
40-49,Alleghany,164,0,5,2020-08-31 00:00:00
50-59,Alleghany,177,1,10,2020-08-31 00:00:00
60-69,Alleghany,108,1,11,2020-08-31 00:00:00
70-79,Alleghany,97,11,13,2020-08-31 00:00:00
80+,Alleghany,51,6,12,2020-08-31 00:00:00
Missing,Alleghany,2,0,0,2020-08-31 00:00:00
0-9,Arlington,88,0,2,2020-08-31 00:00:00
10-19,Arlington,189,0,5,2020-08-31 00:00:00
20-29,Arlington,777,0,23,2020-08-31 00:00:00
30-39,Arlington,672,0,45,2020-08-31 00:00:00
40-49,Arlington,576,9,61,2020-08-31 00:00:00
50-59,Arlington,482,6,77,2020-08-31 00:00:00
60-69,Arlington,337,19,86,2020-08-31 00:00:00
70-79,Arlington,202,34,77,2020-08-31 00:00:00
80+,Arlington,216,70,90,2020-08-31 00:00:00
Missing,Arlington,16,0,1,2020-08-31 00:00:00
0-9,Central Shenandoah,104,0,0,2020-08-31 00:00:00
10-19,Central Shenandoah,260,0,1,2020-08-31 00:00:00
20-29,Central Shenandoah,777,0,11,2020-08-31 00:00:00
30-39,Central Shenandoah,464,0,8,2020-08-31 00:00:00
40-49,Central Shenandoah,508,0,17,2020-08-31 00:00:00
50-59,Central Shenandoah,526,6,44,2020-08-31 00:00:00
60-69,Central Shenandoah,370,15,53,2020-08-31 00:00:00
70-79,Central Shenandoah,189,18,57,2020-08-31 00:00:00
80+,Central Shenandoah,166,23,43,2020-08-31 00:00:00
Missing,Central Shenandoah,2,0,0,2020-08-31 00:00:00
0-9,Central Virginia,71,0,0,2020-08-31 00:00:00
10-19,Central Virginia,252,0,2,2020-08-31 00:00:00
20-29,Central Virginia,558,0,3,2020-08-31 00:00:00
30-39,Central Virginia,305,0,11,2020-08-31 00:00:00
40-49,Central Virginia,308,0,3,2020-08-31 00:00:00
50-59,Central Virginia,344,4,9,2020-08-31 00:00:00
60-69,Central Virginia,239,2,20,2020-08-31 00:00:00
70-79,Central Virginia,139,5,17,2020-08-31 00:00:00
80+,Central Virginia,97,7,13,2020-08-31 00:00:00
Missing,Central Virginia,2,0,0,2020-08-31 00:00:00
0-9,Chesapeake,126,0,1,2020-08-31 00:00:00
10-19,Chesapeake,297,0,4,2020-08-31 00:00:00
20-29,Chesapeake,713,0,6,2020-08-31 00:00:00
30-39,Chesapeake,704,0,24,2020-08-31 00:00:00
40-49,Chesapeake,570,1,42,2020-08-31 00:00:00
50-59,Chesapeake,556,2,54,2020-08-31 00:00:00
60-69,Chesapeake,419,13,80,2020-08-31 00:00:00
70-79,Chesapeake,208,6,61,2020-08-31 00:00:00
80+,Chesapeake,165,25,49,2020-08-31 00:00:00
Missing,Chesapeake,43,0,1,2020-08-31 00:00:00
0-9,Chesterfield,213,0,2,2020-08-31 00:00:00
10-19,Chesterfield,536,0,2,2020-08-31 00:00:00
20-29,Chesterfield,1013,0,13,2020-08-31 00:00:00
30-39,Chesterfield,1068,1,22,2020-08-31 00:00:00
40-49,Chesterfield,913,3,42,2020-08-31 00:00:00
50-59,Chesterfield,750,7,64,2020-08-31 00:00:00
60-69,Chesterfield,462,18,74,2020-08-31 00:00:00
70-79,Chesterfield,198,28,41,2020-08-31 00:00:00
80+,Chesterfield,178,51,43,2020-08-31 00:00:00
Missing,Chesterfield,124,0,1,2020-08-31 00:00:00
0-9,Chickahominy,32,0,0,2020-08-31 00:00:00
10-19,Chickahominy,129,0,0,2020-08-31 00:00:00
20-29,Chickahominy,194,0,3,2020-08-31 00:00:00
30-39,Chickahominy,160,0,3,2020-08-31 00:00:00
40-49,Chickahominy,152,1,14,2020-08-31 00:00:00
50-59,Chickahominy,225,1,25,2020-08-31 00:00:00
60-69,Chickahominy,129,9,27,2020-08-31 00:00:00
70-79,Chickahominy,97,7,28,2020-08-31 00:00:00
80+,Chickahominy,99,30,40,2020-08-31 00:00:00
Missing,Chickahominy,18,0,0,2020-08-31 00:00:00
0-9,Crater,62,0,2,2020-08-31 00:00:00
10-19,Crater,156,0,2,2020-08-31 00:00:00
20-29,Crater,519,0,9,2020-08-31 00:00:00
30-39,Crater,571,0,9,2020-08-31 00:00:00
40-49,Crater,463,1,25,2020-08-31 00:00:00
50-59,Crater,546,4,52,2020-08-31 00:00:00
60-69,Crater,411,21,64,2020-08-31 00:00:00
70-79,Crater,232,23,51,2020-08-31 00:00:00
80+,Crater,184,24,36,2020-08-31 00:00:00
Missing,Crater,30,0,0,2020-08-31 00:00:00
0-9,Cumberland Plateau,19,0,0,2020-08-31 00:00:00
10-19,Cumberland Plateau,84,0,1,2020-08-31 00:00:00
20-29,Cumberland Plateau,73,0,0,2020-08-31 00:00:00
30-39,Cumberland Plateau,66,0,2,2020-08-31 00:00:00
40-49,Cumberland Plateau,89,0,5,2020-08-31 00:00:00
50-59,Cumberland Plateau,88,0,12,2020-08-31 00:00:00
60-69,Cumberland Plateau,62,2,13,2020-08-31 00:00:00
70-79,Cumberland Plateau,38,0,5,2020-08-31 00:00:00
80+,Cumberland Plateau,29,5,10,2020-08-31 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-08-31 00:00:00
0-9,Eastern Shore,28,0,3,2020-08-31 00:00:00
10-19,Eastern Shore,72,0,1,2020-08-31 00:00:00
20-29,Eastern Shore,214,0,6,2020-08-31 00:00:00
30-39,Eastern Shore,252,0,11,2020-08-31 00:00:00
40-49,Eastern Shore,264,2,13,2020-08-31 00:00:00
50-59,Eastern Shore,291,6,24,2020-08-31 00:00:00
