age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
30-39,Cumberland Plateau,25,0,1,2020-07-23 00:00:00
40-49,Cumberland Plateau,27,0,1,2020-07-23 00:00:00
50-59,Cumberland Plateau,27,0,2,2020-07-23 00:00:00
60-69,Cumberland Plateau,16,0,2,2020-07-23 00:00:00
70-79,Cumberland Plateau,10,0,1,2020-07-23 00:00:00
80+,Cumberland Plateau,5,0,3,2020-07-23 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-07-23 00:00:00
0-9,Eastern Shore,21,0,2,2020-07-23 00:00:00
10-19,Eastern Shore,61,0,1,2020-07-23 00:00:00
20-29,Eastern Shore,201,0,6,2020-07-23 00:00:00
30-39,Eastern Shore,245,0,10,2020-07-23 00:00:00
40-49,Eastern Shore,254,2,12,2020-07-23 00:00:00
50-59,Eastern Shore,279,5,20,2020-07-23 00:00:00
60-69,Eastern Shore,181,8,29,2020-07-23 00:00:00
70-79,Eastern Shore,50,9,18,2020-07-23 00:00:00
80+,Eastern Shore,50,19,22,2020-07-23 00:00:00
Missing,Eastern Shore,6,0,0,2020-07-23 00:00:00
0-9,Fairfax,530,0,20,2020-07-23 00:00:00
10-19,Fairfax,976,0,29,2020-07-23 00:00:00
20-29,Fairfax,2465,3,87,2020-07-23 00:00:00
30-39,Fairfax,2923,6,199,2020-07-23 00:00:00
40-49,Fairfax,2808,10,275,2020-07-23 00:00:00
50-59,Fairfax,2374,32,316,2020-07-23 00:00:00
60-69,Fairfax,1499,64,333,2020-07-23 00:00:00
70-79,Fairfax,698,115,248,2020-07-23 00:00:00
80+,Fairfax,821,294,304,2020-07-23 00:00:00
Missing,Fairfax,161,0,5,2020-07-23 00:00:00
0-9,Hampton,21,0,0,2020-07-23 00:00:00
10-19,Hampton,52,0,0,2020-07-23 00:00:00
20-29,Hampton,206,0,3,2020-07-23 00:00:00
30-39,Hampton,145,0,3,2020-07-23 00:00:00
40-49,Hampton,116,0,6,2020-07-23 00:00:00
50-59,Hampton,97,1,11,2020-07-23 00:00:00
60-69,Hampton,72,2,11,2020-07-23 00:00:00
70-79,Hampton,39,0,10,2020-07-23 00:00:00
80+,Hampton,18,1,2,2020-07-23 00:00:00
Missing,Hampton,20,0,0,2020-07-23 00:00:00
0-9,Henrico,118,0,2,2020-07-23 00:00:00
10-19,Henrico,237,0,4,2020-07-23 00:00:00
20-29,Henrico,482,0,16,2020-07-23 00:00:00
30-39,Henrico,537,0,20,2020-07-23 00:00:00
40-49,Henrico,456,2,31,2020-07-23 00:00:00
50-59,Henrico,396,9,48,2020-07-23 00:00:00
60-69,Henrico,315,34,57,2020-07-23 00:00:00
