Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/10/2020,Arlington,1368,260,61,2020-05-10 20:07:00.268488
5/10/2020,Rappahannock Rapidan,511,41,10,2020-05-10 20:07:00.268488
5/10/2020,Rappahannock,762,116,12,2020-05-10 20:07:00.268488
5/10/2020,Pittsylvania-Danville,55,21,2,2020-05-10 20:07:00.268488
5/10/2020,Prince William,3241,318,52,2020-05-10 20:07:00.268488
5/10/2020,Cumberland Plateau,29,2,0,2020-05-10 20:07:00.268488
5/10/2020,Portsmouth,202,38,8,2020-05-10 20:07:00.268488
5/10/2020,Virginia Beach,491,85,17,2020-05-10 20:07:00.268488
5/10/2020,West Piedmont,55,8,1,2020-05-10 20:07:00.268488
5/10/2020,Three Rivers,324,28,6,2020-05-10 20:07:00.268488
5/10/2020,Alleghany,133,19,3,2020-05-10 20:07:00.268488
5/10/2020,Lenowisco,41,14,3,2020-05-10 20:07:00.268488
5/10/2020,Norfolk,304,50,5,2020-05-10 20:07:00.268488
5/10/2020,Western Tidewater,482,55,24,2020-05-10 20:07:00.268488
5/10/2020,Henrico,1067,152,109,2020-05-10 20:07:00.268488
5/10/2020,Central Shenandoah,1046,60,24,2020-05-10 20:07:00.268488
5/10/2020,Loudoun,1159,115,30,2020-05-10 20:07:00.268488
5/10/2020,Chesterfield,871,66,32,2020-05-10 20:07:00.268488
5/10/2020,Peninsula,434,106,29,2020-05-10 20:07:00.268488
5/11/2020,Southside,175,29,10,2020-05-11 20:51:22.534899
5/11/2020,Chesapeake,340,70,9,2020-05-11 20:51:22.534899
5/11/2020,Thomas Jefferson,351,62,13,2020-05-11 20:51:22.534899
5/11/2020,Roanoke,106,7,1,2020-05-11 20:51:22.534899
5/11/2020,Eastern Shore,694,32,12,2020-05-11 20:51:22.534899
5/11/2020,Mount Rogers,182,17,4,2020-05-11 20:51:22.534899
5/11/2020,Chickahominy,299,65,23,2020-05-11 20:51:22.534899
5/11/2020,New River,89,12,1,2020-05-11 20:51:22.534899
5/11/2020,Central Virginia,158,13,2,2020-05-11 20:51:22.534899
5/11/2020,Piedmont,373,29,4,2020-05-11 20:51:22.534899
5/11/2020,Lord Fairfax,713,62,21,2020-05-11 20:51:22.534899
5/11/2020,Crater,295,69,14,2020-05-11 20:51:22.534899
5/11/2020,Hampton,146,29,3,2020-05-11 20:51:22.534899
5/11/2020,Alexandria,1224,139,30,2020-05-11 20:51:22.534899
5/11/2020,Fairfax,6276,961,250,2020-05-11 20:51:22.534899
5/11/2020,Richmond,546,92,18,2020-05-11 20:51:22.534899
5/11/2020,Arlington,1399,286,60,2020-05-11 20:51:22.534899
5/11/2020,Rappahannock Rapidan,534,43,10,2020-05-11 20:51:22.534899
5/11/2020,Rappahannock,782,118,12,2020-05-11 20:51:22.534899
5/11/2020,Pittsylvania-Danville,56,21,2,2020-05-11 20:51:22.534899
5/11/2020,Prince William,3554,339,58,2020-05-11 20:51:22.534899
5/11/2020,Cumberland Plateau,29,2,0,2020-05-11 20:51:22.534899
5/11/2020,Portsmouth,208,38,8,2020-05-11 20:51:22.534899
5/11/2020,Virginia Beach,505,85,17,2020-05-11 20:51:22.534899
5/11/2020,West Piedmont,59,8,1,2020-05-11 20:51:22.534899
5/11/2020,Three Rivers,327,28,6,2020-05-11 20:51:22.534899
5/11/2020,Alleghany,152,22,3,2020-05-11 20:51:22.534899
5/11/2020,Lenowisco,41,14,3,2020-05-11 20:51:22.534899
5/11/2020,Norfolk,308,50,5,2020-05-11 20:51:22.534899
5/11/2020,Western Tidewater,485,55,24,2020-05-11 20:51:22.534899
5/11/2020,Henrico,1083,152,110,2020-05-11 20:51:22.534899
5/11/2020,Central Shenandoah,1070,61,24,2020-05-11 20:51:22.534899
5/11/2020,Loudoun,1195,116,30,2020-05-11 20:51:22.534899
5/11/2020,Chesterfield,873,66,32,2020-05-11 20:51:22.534899
5/11/2020,Peninsula,443,108,30,2020-05-11 20:51:22.534899
5/12/2020,Southside,182,29,10,2020-05-12 20:16:59.610029
5/12/2020,Chesapeake,343,70,9,2020-05-12 20:16:59.610029
5/12/2020,Thomas Jefferson,354,63,13,2020-05-12 20:16:59.610029
5/12/2020,Roanoke,108,7,1,2020-05-12 20:16:59.610029
5/12/2020,Eastern Shore,701,32,12,2020-05-12 20:16:59.610029
5/12/2020,Mount Rogers,184,17,4,2020-05-12 20:16:59.610029
5/12/2020,Chickahominy,303,67,24,2020-05-12 20:16:59.610029
5/12/2020,New River,89,12,1,2020-05-12 20:16:59.610029
5/12/2020,Central Virginia,160,14,2,2020-05-12 20:16:59.610029
5/12/2020,Piedmont,433,35,5,2020-05-12 20:16:59.610029
5/12/2020,Lord Fairfax,736,64,23,2020-05-12 20:16:59.610029
5/12/2020,Crater,313,72,14,2020-05-12 20:16:59.610029
5/12/2020,Hampton,147,29,3,2020-05-12 20:16:59.610029
5/12/2020,Alexandria,1240,145,30,2020-05-12 20:16:59.610029
5/12/2020,Fairfax,6547,987,260,2020-05-12 20:16:59.610029
5/12/2020,Richmond,565,96,18,2020-05-12 20:16:59.610029
5/12/2020,Arlington,1416,288,66,2020-05-12 20:16:59.610029
5/12/2020,Rappahannock Rapidan,550,46,11,2020-05-12 20:16:59.610029
5/12/2020,Rappahannock,805,119,14,2020-05-12 20:16:59.610029
5/12/2020,Pittsylvania-Danville,58,21,2,2020-05-12 20:16:59.610029
5/12/2020,Prince William,3647,357,64,2020-05-12 20:16:59.610029
5/12/2020,Cumberland Plateau,29,2,0,2020-05-12 20:16:59.610029
5/12/2020,Portsmouth,210,38,9,2020-05-12 20:16:59.610029
5/12/2020,Virginia Beach,509,85,18,2020-05-12 20:16:59.610029
5/12/2020,West Piedmont,62,9,1,2020-05-12 20:16:59.610029
5/12/2020,Three Rivers,344,28,5,2020-05-12 20:16:59.610029
5/12/2020,Alleghany,152,22,3,2020-05-12 20:16:59.610029
5/12/2020,Lenowisco,41,14,3,2020-05-12 20:16:59.610029
5/12/2020,Norfolk,319,52,5,2020-05-12 20:16:59.610029
5/12/2020,Western Tidewater,489,55,26,2020-05-12 20:16:59.610029
5/12/2020,Henrico,1106,157,112,2020-05-12 20:16:59.610029
5/12/2020,Central Shenandoah,1075,67,24,2020-05-12 20:16:59.610029
5/12/2020,Loudoun,1210,119,35,2020-05-12 20:16:59.610029
5/12/2020,Chesterfield,925,69,34,2020-05-12 20:16:59.610029
5/12/2020,Peninsula,448,108,30,2020-05-12 20:16:59.610029
5/13/2020,Southside,183,29,13,2020-05-13 20:08:32.175238
5/13/2020,Chesapeake,354,75,9,2020-05-13 20:08:32.175238
5/13/2020,Thomas Jefferson,360,65,13,2020-05-13 20:08:32.175238
5/13/2020,Roanoke,116,7,1,2020-05-13 20:08:32.175238
5/13/2020,Eastern Shore,719,34,12,2020-05-13 20:08:32.175238
5/13/2020,Mount Rogers,203,17,4,2020-05-13 20:08:32.175238
5/13/2020,Chickahominy,314,69,24,2020-05-13 20:08:32.175238
5/13/2020,New River,87,12,1,2020-05-13 20:08:32.175238
5/13/2020,Central Virginia,167,15,2,2020-05-13 20:08:32.175238
5/13/2020,Piedmont,482,36,5,2020-05-13 20:08:32.175238
5/13/2020,Lord Fairfax,770,72,28,2020-05-13 20:08:32.175238
5/13/2020,Crater,317,72,14,2020-05-13 20:08:32.175238
5/13/2020,Hampton,148,29,3,2020-05-13 20:08:32.175238
5/13/2020,Alexandria,1305,148,31,2020-05-13 20:08:32.175238
5/13/2020,Fairfax,6748,1014,269,2020-05-13 20:08:32.175238
5/13/2020,Richmond,592,102,18,2020-05-13 20:08:32.175238
5/13/2020,Arlington,1460,300,69,2020-05-13 20:08:32.175238
5/13/2020,Rappahannock Rapidan,592,48,11,2020-05-13 20:08:32.175238
5/13/2020,Rappahannock,838,122,14,2020-05-13 20:08:32.175238
5/13/2020,Pittsylvania-Danville,58,21,2,2020-05-13 20:08:32.175238
5/13/2020,Prince William,3792,376,72,2020-05-13 20:08:32.175238
5/13/2020,Cumberland Plateau,28,2,0,2020-05-13 20:08:32.175238
5/13/2020,Portsmouth,213,39,9,2020-05-13 20:08:32.175238
5/13/2020,Virginia Beach,519,85,18,2020-05-13 20:08:32.175238
5/13/2020,West Piedmont,66,10,1,2020-05-13 20:08:32.175238
5/13/2020,Three Rivers,350,28,5,2020-05-13 20:08:32.175238
5/13/2020,Alleghany,153,23,3,2020-05-13 20:08:32.175238
5/13/2020,Lenowisco,42,15,4,2020-05-13 20:08:32.175238
5/13/2020,Norfolk,327,52,5,2020-05-13 20:08:32.175238
5/13/2020,Western Tidewater,491,56,27,2020-05-13 20:08:32.175238
5/13/2020,Henrico,1146,166,112,2020-05-13 20:08:32.175238
5/13/2020,Central Shenandoah,1114,74,24,2020-05-13 20:08:32.175238
5/13/2020,Loudoun,1283,129,38,2020-05-13 20:08:32.175238
5/13/2020,Chesterfield,955,70,36,2020-05-13 20:08:32.175238
5/13/2020,Peninsula,454,108,30,2020-05-13 20:08:32.175238
5/14/2020,Southside,193,30,13,2020-05-14 21:05:07.324149
5/14/2020,Chesapeake,362,76,9,2020-05-14 21:05:07.324149
5/14/2020,Thomas Jefferson,364,65,13,2020-05-14 21:05:07.324149
5/14/2020,Roanoke,120,7,1,2020-05-14 21:05:07.324149
5/14/2020,Eastern Shore,777,38,14,2020-05-14 21:05:07.324149
5/14/2020,Mount Rogers,205,17,4,2020-05-14 21:05:07.324149
5/14/2020,Chickahominy,333,71,26,2020-05-14 21:05:07.324149
5/14/2020,New River,88,12,1,2020-05-14 21:05:07.324149
5/14/2020,Central Virginia,169,15,3,2020-05-14 21:05:07.324149
5/14/2020,Piedmont,486,36,5,2020-05-14 21:05:07.324149
5/14/2020,Lord Fairfax,793,74,31,2020-05-14 21:05:07.324149
5/14/2020,Crater,344,76,14,2020-05-14 21:05:07.324149
5/14/2020,Hampton,156,29,3,2020-05-14 21:05:07.324149
5/14/2020,Alexandria,1349,152,32,2020-05-14 21:05:07.324149
5/14/2020,Fairfax,7035,1034,274,2020-05-14 21:05:07.324149
5/14/2020,Richmond,611,102,18,2020-05-14 21:05:07.324149
5/14/2020,Arlington,1499,305,70,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock Rapidan,612,52,11,2020-05-14 21:05:07.324149
5/14/2020,Rappahannock,873,123,14,2020-05-14 21:05:07.324149
5/14/2020,Pittsylvania-Danville,60,21,2,2020-05-14 21:05:07.324149
5/14/2020,Prince William,4036,385,74,2020-05-14 21:05:07.324149
5/14/2020,Cumberland Plateau,28,2,0,2020-05-14 21:05:07.324149
5/14/2020,Portsmouth,217,39,9,2020-05-14 21:05:07.324149
5/14/2020,Virginia Beach,528,86,19,2020-05-14 21:05:07.324149
5/14/2020,West Piedmont,67,10,2,2020-05-14 21:05:07.324149
5/14/2020,Three Rivers,359,29,6,2020-05-14 21:05:07.324149
5/14/2020,Alleghany,157,23,4,2020-05-14 21:05:07.324149
5/14/2020,Lenowisco,42,15,4,2020-05-14 21:05:07.324149
5/14/2020,Norfolk,338,56,5,2020-05-14 21:05:07.324149
5/14/2020,Western Tidewater,495,57,28,2020-05-14 21:05:07.324149
5/14/2020,Henrico,1174,168,112,2020-05-14 21:05:07.324149
5/14/2020,Central Shenandoah,1136,78,24,2020-05-14 21:05:07.324149
5/14/2020,Loudoun,1339,131,44,2020-05-14 21:05:07.324149
5/14/2020,Chesterfield,1005,70,36,2020-05-14 21:05:07.324149
5/14/2020,Peninsula,463,108,30,2020-05-14 21:05:07.324149
5/15/2020,Southside,199,33,16,2020-05-15 20:24:35.630097
5/15/2020,Chesapeake,379,76,10,2020-05-15 20:24:35.630097
5/15/2020,Thomas Jefferson,370,65,13,2020-05-15 20:24:35.630097
5/15/2020,Roanoke,120,7,1,2020-05-15 20:24:35.630097
5/15/2020,Eastern Shore,841,41,16,2020-05-15 20:24:35.630097
5/15/2020,Mount Rogers,209,17,4,2020-05-15 20:24:35.630097
5/15/2020,Chickahominy,342,71,26,2020-05-15 20:24:35.630097
5/15/2020,New River,88,12,1,2020-05-15 20:24:35.630097
5/15/2020,Central Virginia,171,16,3,2020-05-15 20:24:35.630097
5/15/2020,Piedmont,507,37,5,2020-05-15 20:24:35.630097
5/15/2020,Lord Fairfax,815,75,32,2020-05-15 20:24:35.630097
5/15/2020,Crater,365,76,14,2020-05-15 20:24:35.630097
5/15/2020,Hampton,158,29,3,2020-05-15 20:24:35.630097
5/15/2020,Alexandria,1396,159,32,2020-05-15 20:24:35.630097
5/15/2020,Fairfax,7245,1050,280,2020-05-15 20:24:35.630097
5/15/2020,Richmond,665,105,18,2020-05-15 20:24:35.630097
5/15/2020,Arlington,1534,306,71,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock Rapidan,633,53,11,2020-05-15 20:24:35.630097
5/15/2020,Rappahannock,902,123,14,2020-05-15 20:24:35.630097
5/15/2020,Pittsylvania-Danville,61,22,2,2020-05-15 20:24:35.630097
5/15/2020,Prince William,4130,398,75,2020-05-15 20:24:35.630097
5/15/2020,Cumberland Plateau,28,2,0,2020-05-15 20:24:35.630097
5/15/2020,Portsmouth,219,39,10,2020-05-15 20:24:35.630097
5/15/2020,Virginia Beach,535,86,19,2020-05-15 20:24:35.630097
5/15/2020,West Piedmont,69,10,2,2020-05-15 20:24:35.630097
5/15/2020,Three Rivers,359,30,6,2020-05-15 20:24:35.630097
5/15/2020,Alleghany,157,23,4,2020-05-15 20:24:35.630097
5/15/2020,Lenowisco,42,15,4,2020-05-15 20:24:35.630097
5/15/2020,Norfolk,349,56,5,2020-05-15 20:24:35.630097
5/15/2020,Western Tidewater,532,57,28,2020-05-15 20:24:35.630097
5/15/2020,Henrico,1198,169,113,2020-05-15 20:24:35.630097
5/15/2020,Central Shenandoah,1163,82,24,2020-05-15 20:24:35.630097
5/15/2020,Loudoun,1374,134,48,2020-05-15 20:24:35.630097
5/15/2020,Chesterfield,1043,72,36,2020-05-15 20:24:35.630097
5/15/2020,Peninsula,474,111,31,2020-05-15 20:24:35.630097
5/16/2020,Southside,211,34,17,2020-05-16 19:58:57.538119
5/16/2020,Chesapeake,380,76,10,2020-05-16 19:58:57.538119
5/16/2020,Thomas Jefferson,378,65,13,2020-05-16 19:58:57.538119
5/16/2020,Roanoke,120,7,8,2020-05-16 19:58:57.538119
5/16/2020,Eastern Shore,864,43,17,2020-05-16 19:58:57.538119
5/16/2020,Mount Rogers,225,17,4,2020-05-16 19:58:57.538119
5/16/2020,Chickahominy,350,73,26,2020-05-16 19:58:57.538119
5/16/2020,New River,88,12,1,2020-05-16 19:58:57.538119
5/16/2020,Central Virginia,173,16,3,2020-05-16 19:58:57.538119
5/16/2020,Piedmont,559,38,5,2020-05-16 19:58:57.538119
5/16/2020,Lord Fairfax,859,75,33,2020-05-16 19:58:57.538119
5/16/2020,Crater,378,77,14,2020-05-16 19:58:57.538119
5/16/2020,Hampton,158,30,3,2020-05-16 19:58:57.538119
5/16/2020,Alexandria,1460,158,34,2020-05-16 19:58:57.538119
5/16/2020,Fairfax,7475,1076,285,2020-05-16 19:58:57.538119
5/16/2020,Richmond,741,109,18,2020-05-16 19:58:57.538119
5/16/2020,Arlington,1560,317,74,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock Rapidan,665,53,11,2020-05-16 19:58:57.538119
5/16/2020,Rappahannock,940,123,14,2020-05-16 19:58:57.538119
5/16/2020,Pittsylvania-Danville,67,23,2,2020-05-16 19:58:57.538119
5/16/2020,Prince William,4320,405,77,2020-05-16 19:58:57.538119
5/16/2020,Cumberland Plateau,30,2,0,2020-05-16 19:58:57.538119
5/16/2020,Portsmouth,222,39,10,2020-05-16 19:58:57.538119
5/16/2020,Virginia Beach,539,86,19,2020-05-16 19:58:57.538119
5/16/2020,West Piedmont,74,12,3,2020-05-16 19:58:57.538119
5/16/2020,Three Rivers,367,30,6,2020-05-16 19:58:57.538119
5/16/2020,Alleghany,158,23,6,2020-05-16 19:58:57.538119
5/16/2020,Lenowisco,42,15,4,2020-05-16 19:58:57.538119
5/16/2020,Norfolk,350,56,5,2020-05-16 19:58:57.538119
5/16/2020,Western Tidewater,537,57,28,2020-05-16 19:58:57.538119
5/16/2020,Henrico,1226,170,113,2020-05-16 19:58:57.538119
5/16/2020,Central Shenandoah,1181,86,24,2020-05-16 19:58:57.538119
5/16/2020,Loudoun,1430,137,48,2020-05-16 19:58:57.538119
5/16/2020,Chesterfield,1078,72,36,2020-05-16 19:58:57.538119
5/16/2020,Peninsula,478,112,31,2020-05-16 19:58:57.538119
5/17/2020,Southside,214,34,17,2020-05-17 19:56:32.395010
5/17/2020,Chesapeake,384,77,10,2020-05-17 19:56:32.395010
5/17/2020,Thomas Jefferson,380,65,13,2020-05-17 19:56:32.395010
5/17/2020,Roanoke,120,7,8,2020-05-17 19:56:32.395010
5/17/2020,Eastern Shore,886,44,18,2020-05-17 19:56:32.395010
5/17/2020,Mount Rogers,232,17,4,2020-05-17 19:56:32.395010
5/17/2020,Chickahominy,355,74,26,2020-05-17 19:56:32.395010
5/17/2020,New River,88,12,1,2020-05-17 19:56:32.395010
5/17/2020,Central Virginia,174,16,3,2020-05-17 19:56:32.395010
5/17/2020,Piedmont,559,38,5,2020-05-17 19:56:32.395010
5/17/2020,Lord Fairfax,873,75,33,2020-05-17 19:56:32.395010
5/17/2020,Crater,382,77,14,2020-05-17 19:56:32.395010
5/17/2020,Hampton,161,30,3,2020-05-17 19:56:32.395010
5/17/2020,Alexandria,1476,159,34,2020-05-17 19:56:32.395010
5/17/2020,Fairfax,7734,1099,289,2020-05-17 19:56:32.395010
5/17/2020,Richmond,758,110,18,2020-05-17 19:56:32.395010
5/17/2020,Arlington,1590,318,75,2020-05-17 19:56:32.395010
5/17/2020,Rappahannock Rapidan,679,56,11,2020-05-17 19:56:32.395010
5/17/2020,Rappahannock,962,124,14,2020-05-17 19:56:32.395010
5/17/2020,Pittsylvania-Danville,68,23,2,2020-05-17 19:56:32.395010
5/17/2020,Prince William,4447,417,78,2020-05-17 19:56:32.395010
5/17/2020,Cumberland Plateau,30,2,0,2020-05-17 19:56:32.395010
5/17/2020,Portsmouth,225,39,10,2020-05-17 19:56:32.395010
5/17/2020,Virginia Beach,548,86,19,2020-05-17 19:56:32.395010
5/17/2020,West Piedmont,77,13,3,2020-05-17 19:56:32.395010
5/17/2020,Three Rivers,425,30,6,2020-05-17 19:56:32.395010
5/17/2020,Alleghany,161,23,6,2020-05-17 19:56:32.395010
5/17/2020,Lenowisco,42,15,4,2020-05-17 19:56:32.395010
5/17/2020,Norfolk,350,56,5,2020-05-17 19:56:32.395010
5/17/2020,Western Tidewater,543,57,28,2020-05-17 19:56:32.395010
5/17/2020,Henrico,1252,171,113,2020-05-17 19:56:32.395010
5/17/2020,Central Shenandoah,1188,88,24,2020-05-17 19:56:32.395010
5/17/2020,Loudoun,1446,139,48,2020-05-17 19:56:32.395010
5/17/2020,Chesterfield,1088,72,36,2020-05-17 19:56:32.395010
5/17/2020,Peninsula,491,112,31,2020-05-17 19:56:32.395010
5/18/2020,Southside,216,34,17,2020-05-18 20:20:09.175888
5/18/2020,Chesapeake,387,78,10,2020-05-18 20:20:09.175888
5/18/2020,Thomas Jefferson,384,66,13,2020-05-18 20:20:09.175888
5/18/2020,Roanoke,128,7,8,2020-05-18 20:20:09.175888
5/18/2020,Eastern Shore,888,44,18,2020-05-18 20:20:09.175888
5/18/2020,Mount Rogers,235,17,4,2020-05-18 20:20:09.175888
5/18/2020,Chickahominy,362,74,26,2020-05-18 20:20:09.175888
5/18/2020,New River,88,12,1,2020-05-18 20:20:09.175888
5/18/2020,Central Virginia,178,16,3,2020-05-18 20:20:09.175888
5/18/2020,Piedmont,576,38,5,2020-05-18 20:20:09.175888
5/18/2020,Lord Fairfax,898,80,34,2020-05-18 20:20:09.175888
5/18/2020,Crater,405,77,14,2020-05-18 20:20:09.175888
5/18/2020,Hampton,163,30,3,2020-05-18 20:20:09.175888
5/18/2020,Alexandria,1510,162,34,2020-05-18 20:20:09.175888
5/18/2020,Fairfax,7934,1115,291,2020-05-18 20:20:09.175888
5/18/2020,Richmond,779,115,18,2020-05-18 20:20:09.175888
5/18/2020,Arlington,1638,323,77,2020-05-18 20:20:09.175888
5/18/2020,Rappahannock Rapidan,707,56,11,2020-05-18 20:20:09.175888
5/18/2020,Rappahannock,989,124,14,2020-05-18 20:20:09.175888
5/18/2020,Pittsylvania-Danville,68,23,2,2020-05-18 20:20:09.175888
5/18/2020,Prince William,4585,427,78,2020-05-18 20:20:09.175888
5/18/2020,Cumberland Plateau,30,2,0,2020-05-18 20:20:09.175888
5/18/2020,Portsmouth,228,39,10,2020-05-18 20:20:09.175888
5/18/2020,Virginia Beach,557,86,19,2020-05-18 20:20:09.175888
5/18/2020,West Piedmont,89,13,3,2020-05-18 20:20:09.175888
5/18/2020,Three Rivers,428,30,6,2020-05-18 20:20:09.175888
5/18/2020,Alleghany,164,23,6,2020-05-18 20:20:09.175888
5/18/2020,Lenowisco,42,15,4,2020-05-18 20:20:09.175888
5/18/2020,Norfolk,361,56,5,2020-05-18 20:20:09.175888
5/18/2020,Western Tidewater,557,57,28,2020-05-18 20:20:09.175888
5/18/2020,Henrico,1272,171,113,2020-05-18 20:20:09.175888
5/18/2020,Central Shenandoah,1200,89,24,2020-05-18 20:20:09.175888
5/18/2020,Loudoun,1486,139,48,2020-05-18 20:20:09.175888
5/18/2020,Chesterfield,1102,72,36,2020-05-18 20:20:09.175888
5/18/2020,Peninsula,506,112,31,2020-05-18 20:20:09.175888
5/19/2020,Southside,228,34,18,2020-05-19 20:00:52.828849
5/19/2020,Chesapeake,396,78,10,2020-05-19 20:00:52.828849
5/19/2020,Thomas Jefferson,387,66,13,2020-05-19 20:00:52.828849
5/19/2020,Roanoke,135,7,8,2020-05-19 20:00:52.828849
5/19/2020,Eastern Shore,905,51,20,2020-05-19 20:00:52.828849
5/19/2020,Mount Rogers,237,18,5,2020-05-19 20:00:52.828849
5/19/2020,Chickahominy,371,74,26,2020-05-19 20:00:52.828849
5/19/2020,New River,88,12,1,2020-05-19 20:00:52.828849
5/19/2020,Central Virginia,178,16,3,2020-05-19 20:00:52.828849
5/19/2020,Piedmont,586,39,5,2020-05-19 20:00:52.828849
5/19/2020,Lord Fairfax,935,88,35,2020-05-19 20:00:52.828849
5/19/2020,Crater,450,80,14,2020-05-19 20:00:52.828849
5/19/2020,Hampton,164,30,3,2020-05-19 20:00:52.828849
5/19/2020,Alexandria,1544,168,34,2020-05-19 20:00:52.828849
5/19/2020,Fairfax,8111,1128,299,2020-05-19 20:00:52.828849
5/19/2020,Richmond,811,118,19,2020-05-19 20:00:52.828849
5/19/2020,Arlington,1688,331,79,2020-05-19 20:00:52.828849
5/19/2020,Rappahannock Rapidan,801,59,11,2020-05-19 20:00:52.828849
5/19/2020,Rappahannock,1033,124,14,2020-05-19 20:00:52.828849
5/19/2020,Pittsylvania-Danville,70,23,2,2020-05-19 20:00:52.828849
5/19/2020,Prince William,4816,448,81,2020-05-19 20:00:52.828849
5/19/2020,Cumberland Plateau,32,2,0,2020-05-19 20:00:52.828849
5/19/2020,Portsmouth,237,39,10,2020-05-19 20:00:52.828849
5/19/2020,Virginia Beach,559,87,19,2020-05-19 20:00:52.828849
5/19/2020,West Piedmont,101,13,3,2020-05-19 20:00:52.828849
5/19/2020,Three Rivers,437,30,6,2020-05-19 20:00:52.828849
5/19/2020,Alleghany,167,23,6,2020-05-19 20:00:52.828849
5/19/2020,Lenowisco,42,15,4,2020-05-19 20:00:52.828849
5/19/2020,Norfolk,370,57,6,2020-05-19 20:00:52.828849
5/19/2020,Western Tidewater,557,57,31,2020-05-19 20:00:52.828849
5/19/2020,Henrico,1299,171,114,2020-05-19 20:00:52.828849
5/19/2020,Central Shenandoah,1227,94,27,2020-05-19 20:00:52.828849
5/19/2020,Loudoun,1527,140,48,2020-05-19 20:00:52.828849
5/19/2020,Chesterfield,1145,72,36,2020-05-19 20:00:52.828849
5/19/2020,Peninsula,511,112,31,2020-05-19 20:00:52.828849
5/20/2020,Southside,228,34,20,2020-05-20 20:06:34.135096
5/20/2020,Chesapeake,401,79,12,2020-05-20 20:06:34.135096
5/20/2020,Thomas Jefferson,390,67,13,2020-05-20 20:06:34.135096
5/20/2020,Roanoke,135,7,8,2020-05-20 20:06:34.135096
5/20/2020,Eastern Shore,914,56,26,2020-05-20 20:06:34.135096
5/20/2020,Mount Rogers,252,18,6,2020-05-20 20:06:34.135096
5/20/2020,Chickahominy,377,76,26,2020-05-20 20:06:34.135096
5/20/2020,New River,89,12,1,2020-05-20 20:06:34.135096
5/20/2020,Central Virginia,178,16,3,2020-05-20 20:06:34.135096
5/20/2020,Piedmont,591,40,5,2020-05-20 20:06:34.135096
5/20/2020,Lord Fairfax,973,91,35,2020-05-20 20:06:34.135096
5/20/2020,Crater,462,81,14,2020-05-20 20:06:34.135096
5/20/2020,Hampton,165,30,3,2020-05-20 20:06:34.135096
5/20/2020,Alexandria,1577,169,34,2020-05-20 20:06:34.135096
5/20/2020,Fairfax,8254,1148,310,2020-05-20 20:06:34.135096
5/20/2020,Richmond,835,123,19,2020-05-20 20:06:34.135096
5/20/2020,Arlington,1728,334,81,2020-05-20 20:06:34.135096
5/20/2020,Rappahannock Rapidan,853,63,11,2020-05-20 20:06:34.135096
5/20/2020,Rappahannock,1059,126,14,2020-05-20 20:06:34.135096
5/20/2020,Pittsylvania-Danville,71,23,2,2020-05-20 20:06:34.135096
5/20/2020,Prince William,4960,462,88,2020-05-20 20:06:34.135096
5/20/2020,Cumberland Plateau,32,2,0,2020-05-20 20:06:34.135096
5/20/2020,Portsmouth,241,39,11,2020-05-20 20:06:34.135096
5/20/2020,Virginia Beach,564,87,19,2020-05-20 20:06:34.135096
5/20/2020,West Piedmont,110,13,3,2020-05-20 20:06:34.135096
5/20/2020,Three Rivers,436,31,6,2020-05-20 20:06:34.135096
5/20/2020,Alleghany,169,23,6,2020-05-20 20:06:34.135096
5/20/2020,Lenowisco,42,15,4,2020-05-20 20:06:34.135096
5/20/2020,Norfolk,370,58,6,2020-05-20 20:06:34.135096
5/20/2020,Western Tidewater,563,57,31,2020-05-20 20:06:34.135096
5/20/2020,Henrico,1321,173,114,2020-05-20 20:06:34.135096
5/20/2020,Central Shenandoah,1271,96,27,2020-05-20 20:06:34.135096
5/20/2020,Loudoun,1579,146,49,2020-05-20 20:06:34.135096
5/20/2020,Chesterfield,1205,72,36,2020-05-20 20:06:34.135096
5/20/2020,Peninsula,513,112,31,2020-05-20 20:06:34.135096
5/21/2020,Southside,235,34,21,2020-05-21 20:59:55.779002
5/21/2020,Chesapeake,412,81,13,2020-05-21 20:59:55.779002
5/21/2020,Thomas Jefferson,394,68,13,2020-05-21 20:59:55.779002
5/21/2020,Roanoke,135,7,8,2020-05-21 20:59:55.779002
5/21/2020,Eastern Shore,915,58,27,2020-05-21 20:59:55.779002
5/21/2020,Mount Rogers,254,19,6,2020-05-21 20:59:55.779002
5/21/2020,Chickahominy,384,77,26,2020-05-21 20:59:55.779002
5/21/2020,New River,90,12,1,2020-05-21 20:59:55.779002
5/21/2020,Central Virginia,179,15,3,2020-05-21 20:59:55.779002
5/21/2020,Piedmont,626,41,5,2020-05-21 20:59:55.779002
5/21/2020,Lord Fairfax,1005,93,37,2020-05-21 20:59:55.779002
5/21/2020,Crater,468,81,14,2020-05-21 20:59:55.779002
5/21/2020,Hampton,167,30,3,2020-05-21 20:59:55.779002
5/21/2020,Alexandria,1627,171,37,2020-05-21 20:59:55.779002
5/21/2020,Fairfax,8677,1181,317,2020-05-21 20:59:55.779002
5/21/2020,Richmond,888,123,20,2020-05-21 20:59:55.779002
5/21/2020,Arlington,1763,346,89,2020-05-21 20:59:55.779002
