Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
4/22/2020,Hampton,97,26,1,2020-04-22 20:26:02.510946
4/22/2020,Southside,94,21,1,2020-04-22 20:26:02.510946
4/22/2020,Henrico,684,96,82,2020-04-22 20:26:02.510946
4/22/2020,Alexandria,474,65,12,2020-04-22 20:26:02.510946
4/22/2020,Chickahominy,191,35,11,2020-04-22 20:26:02.510946
4/22/2020,New River,66,8,0,2020-04-22 20:26:02.510946
4/22/2020,Fairfax,2306,409,68,2020-04-22 20:26:02.510946
4/22/2020,Lord Fairfax,217,21,0,2020-04-22 20:26:02.510946
4/22/2020,Rappahannock Rapidan,164,18,2,2020-04-22 20:26:02.510946
4/22/2020,Pittsylvania-Danville,38,17,2,2020-04-22 20:26:02.510946
4/22/2020,Crater,139,26,9,2020-04-22 20:26:02.510946
4/22/2020,Virginia Beach,313,60,8,2020-04-22 20:26:02.510946
4/22/2020,Richmond,250,41,10,2020-04-22 20:26:02.510946
4/22/2020,Norfolk,126,29,3,2020-04-22 20:26:02.510946
4/22/2020,Thomas Jefferson,234,46,10,2020-04-22 20:26:02.510946
4/22/2020,Eastern Shore,67,16,1,2020-04-22 20:26:02.510946
4/22/2020,West Piedmont,28,4,1,2020-04-22 20:26:02.510946
4/22/2020,Piedmont,90,16,3,2020-04-22 20:26:02.510946
4/22/2020,Peninsula,311,96,20,2020-04-22 20:26:02.510946
4/22/2020,Alleghany,73,13,3,2020-04-22 20:26:02.510946
4/22/2020,Chesapeake,180,39,5,2020-04-22 20:26:02.510946
4/22/2020,Rappahannock,310,75,9,2020-04-22 20:26:02.510946
4/22/2020,Three Rivers,104,10,1,2020-04-22 20:26:02.510946
4/22/2020,Central Shenandoah,525,36,9,2020-04-22 20:26:02.510946
4/22/2020,Mount Rogers,58,15,4,2020-04-22 20:26:02.510946
4/22/2020,Loudoun,475,61,9,2020-04-22 20:26:02.510946
4/22/2020,Central Virginia,93,7,2,2020-04-22 20:26:02.510946
4/22/2020,Roanoke,27,5,0,2020-04-22 20:26:02.510946
4/22/2020,Arlington,663,116,24,2020-04-22 20:26:02.510946
4/23/2020,Pittsylvania-Danville,42,17,2,2020-04-23 20:59:18.295337
4/23/2020,Peninsula,317,96,20,2020-04-23 20:59:18.295337
4/23/2020,Eastern Shore,88,18,2,2020-04-23 20:59:18.295337
4/23/2020,Lenowisco,34,12,2,2020-04-23 20:59:18.295337
4/23/2020,Cumberland Plateau,18,1,0,2020-04-23 20:59:18.295337
4/23/2020,Piedmont,104,17,3,2020-04-23 20:59:18.295337
4/23/2020,Southside,97,22,1,2020-04-23 20:59:18.295337
4/23/2020,Alexandria,512,74,14,2020-04-23 20:59:18.295337
4/23/2020,Henrico,718,99,83,2020-04-23 20:59:18.295337
4/23/2020,Hampton,99,26,1,2020-04-23 20:59:18.295337
4/23/2020,Alleghany,76,13,3,2020-04-23 20:59:18.295337
4/23/2020,Richmond,259,45,13,2020-04-23 20:59:18.295337
4/23/2020,Chesapeake,186,40,5,2020-04-23 20:59:18.295337
4/23/2020,Crater,164,32,9,2020-04-23 20:59:18.295337
4/23/2020,Roanoke,28,5,0,2020-04-23 20:59:18.295337
4/23/2020,Portsmouth,98,30,4,2020-04-23 20:59:18.295337
4/23/2020,Central Shenandoah,575,37,10,2020-04-23 20:59:18.295337
4/23/2020,New River,66,8,0,2020-04-23 20:59:18.295337
4/23/2020,Loudoun,498,64,10,2020-04-23 20:59:18.295337
4/23/2020,Central Virginia,99,7,1,2020-04-23 20:59:18.295337
4/23/2020,Chickahominy,194,38,12,2020-04-23 20:59:18.295337
4/23/2020,Rappahannock Rapidan,185,19,2,2020-04-23 20:59:18.295337
4/23/2020,Norfolk,136,31,3,2020-04-23 20:59:18.295337
4/23/2020,Arlington,686,118,24,2020-04-23 20:59:18.295337
4/23/2020,Prince William,1192,132,20,2020-04-23 20:59:18.295337
4/23/2020,Thomas Jefferson,242,48,10,2020-04-23 20:59:18.295337
4/23/2020,Rappahannock,336,75,9,2020-04-23 20:59:18.295337
4/23/2020,Three Rivers,122,11,1,2020-04-23 20:59:18.295337
4/23/2020,Chesterfield,452,34,9,2020-04-23 20:59:18.295337
4/23/2020,Lord Fairfax,234,28,0,2020-04-23 20:59:18.295337
4/23/2020,Fairfax,2413,436,80,2020-04-23 20:59:18.295337
4/23/2020,Virginia Beach,328,61,8,2020-04-23 20:59:18.295337
4/23/2020,Mount Rogers,59,15,4,2020-04-23 20:59:18.295337
4/23/2020,West Piedmont,28,4,1,2020-04-23 20:59:18.295337
4/23/2020,Western Tidewater,313,40,6,2020-04-23 20:59:18.295337
4/23/2020,Pittsylvania-Danville,42,17,2,2020-04-23 21:01:13.540429
4/23/2020,Peninsula,317,96,20,2020-04-23 21:01:13.540429
4/23/2020,Eastern Shore,88,18,2,2020-04-23 21:01:13.540429
4/23/2020,Lenowisco,34,12,2,2020-04-23 21:01:13.540429
4/23/2020,Cumberland Plateau,18,1,0,2020-04-23 21:01:13.540429
4/23/2020,Piedmont,104,17,3,2020-04-23 21:01:13.540429
4/23/2020,Southside,97,22,1,2020-04-23 21:01:13.540429
4/23/2020,Alexandria,512,74,14,2020-04-23 21:01:13.540429
4/23/2020,Henrico,718,99,83,2020-04-23 21:01:13.540429
4/23/2020,Hampton,99,26,1,2020-04-23 21:01:13.540429
4/23/2020,Alleghany,76,13,3,2020-04-23 21:01:13.540429
4/23/2020,Richmond,259,45,13,2020-04-23 21:01:13.540429
4/23/2020,Chesapeake,186,40,5,2020-04-23 21:01:13.540429
4/23/2020,Crater,164,32,9,2020-04-23 21:01:13.540429
4/23/2020,Roanoke,28,5,0,2020-04-23 21:01:13.540429
4/23/2020,Portsmouth,98,30,4,2020-04-23 21:01:13.540429
4/23/2020,Central Shenandoah,575,37,10,2020-04-23 21:01:13.540429
4/23/2020,New River,66,8,0,2020-04-23 21:01:13.540429
4/23/2020,Loudoun,498,64,10,2020-04-23 21:01:13.540429
4/23/2020,Central Virginia,99,7,1,2020-04-23 21:01:13.540429
4/23/2020,Chickahominy,194,38,12,2020-04-23 21:01:13.540429
4/23/2020,Rappahannock Rapidan,185,19,2,2020-04-23 21:01:13.540429
4/23/2020,Norfolk,136,31,3,2020-04-23 21:01:13.540429
4/23/2020,Arlington,686,118,24,2020-04-23 21:01:13.540429
4/23/2020,Prince William,1192,132,20,2020-04-23 21:01:13.540429
4/23/2020,Thomas Jefferson,242,48,10,2020-04-23 21:01:13.540429
4/23/2020,Rappahannock,336,75,9,2020-04-23 21:01:13.540429
4/23/2020,Three Rivers,122,11,1,2020-04-23 21:01:13.540429
4/23/2020,Chesterfield,452,34,9,2020-04-23 21:01:13.540429
4/23/2020,Lord Fairfax,234,28,0,2020-04-23 21:01:13.540429
4/23/2020,Fairfax,2413,436,80,2020-04-23 21:01:13.540429
4/23/2020,Virginia Beach,328,61,8,2020-04-23 21:01:13.540429
4/23/2020,Mount Rogers,59,15,4,2020-04-23 21:01:13.540429
4/23/2020,West Piedmont,28,4,1,2020-04-23 21:01:13.540429
4/23/2020,Western Tidewater,313,40,6,2020-04-23 21:01:13.540429
4/23/2020,Pittsylvania-Danville,42,17,2,2020-04-23 21:02:03.288577
4/23/2020,Peninsula,317,96,20,2020-04-23 21:02:03.288577
4/23/2020,Eastern Shore,88,18,2,2020-04-23 21:02:03.288577
4/23/2020,Lenowisco,34,12,2,2020-04-23 21:02:03.288577
4/23/2020,Cumberland Plateau,18,1,0,2020-04-23 21:02:03.288577
4/23/2020,Piedmont,104,17,3,2020-04-23 21:02:03.288577
4/23/2020,Southside,97,22,1,2020-04-23 21:02:03.288577
4/23/2020,Alexandria,512,74,14,2020-04-23 21:02:03.288577
4/23/2020,Henrico,718,99,83,2020-04-23 21:02:03.288577
4/23/2020,Hampton,99,26,1,2020-04-23 21:02:03.288577
4/23/2020,Alleghany,76,13,3,2020-04-23 21:02:03.288577
4/23/2020,Richmond,259,45,13,2020-04-23 21:02:03.288577
4/23/2020,Chesapeake,186,40,5,2020-04-23 21:02:03.288577
4/23/2020,Crater,164,32,9,2020-04-23 21:02:03.288577
4/23/2020,Roanoke,28,5,0,2020-04-23 21:02:03.288577
4/23/2020,Portsmouth,98,30,4,2020-04-23 21:02:03.288577
4/23/2020,Central Shenandoah,575,37,10,2020-04-23 21:02:03.288577
4/23/2020,New River,66,8,0,2020-04-23 21:02:03.288577
4/23/2020,Loudoun,498,64,10,2020-04-23 21:02:03.288577
4/23/2020,Central Virginia,99,7,1,2020-04-23 21:02:03.288577
4/23/2020,Chickahominy,194,38,12,2020-04-23 21:02:03.288577
4/23/2020,Rappahannock Rapidan,185,19,2,2020-04-23 21:02:03.288577
4/23/2020,Norfolk,136,31,3,2020-04-23 21:02:03.288577
4/23/2020,Arlington,686,118,24,2020-04-23 21:02:03.288577
4/23/2020,Prince William,1192,132,20,2020-04-23 21:02:03.288577
4/23/2020,Thomas Jefferson,242,48,10,2020-04-23 21:02:03.288577
4/23/2020,Rappahannock,336,75,9,2020-04-23 21:02:03.288577
4/23/2020,Three Rivers,122,11,1,2020-04-23 21:02:03.288577
4/23/2020,Chesterfield,452,34,9,2020-04-23 21:02:03.288577
4/23/2020,Lord Fairfax,234,28,0,2020-04-23 21:02:03.288577
4/23/2020,Fairfax,2413,436,80,2020-04-23 21:02:03.288577
4/23/2020,Virginia Beach,328,61,8,2020-04-23 21:02:03.288577
4/23/2020,Mount Rogers,59,15,4,2020-04-23 21:02:03.288577
4/23/2020,West Piedmont,28,4,1,2020-04-23 21:02:03.288577
4/23/2020,Western Tidewater,313,40,6,2020-04-23 21:02:03.288577
4/23/2020,Pittsylvania-Danville,42,17,2,2020-04-23 21:02:38.965008
4/23/2020,Peninsula,317,96,20,2020-04-23 21:02:38.965008
4/23/2020,Eastern Shore,88,18,2,2020-04-23 21:02:38.965008
4/23/2020,Lenowisco,34,12,2,2020-04-23 21:02:38.965008
4/23/2020,Cumberland Plateau,18,1,0,2020-04-23 21:02:38.965008
4/23/2020,Piedmont,104,17,3,2020-04-23 21:02:38.965008
4/23/2020,Southside,97,22,1,2020-04-23 21:02:38.965008
4/23/2020,Alexandria,512,74,14,2020-04-23 21:02:38.965008
4/23/2020,Henrico,718,99,83,2020-04-23 21:02:38.965008
4/23/2020,Hampton,99,26,1,2020-04-23 21:02:38.965008
4/23/2020,Alleghany,76,13,3,2020-04-23 21:02:38.965008
4/23/2020,Richmond,259,45,13,2020-04-23 21:02:38.965008
4/23/2020,Chesapeake,186,40,5,2020-04-23 21:02:38.965008
4/23/2020,Crater,164,32,9,2020-04-23 21:02:38.965008
4/23/2020,Roanoke,28,5,0,2020-04-23 21:02:38.965008
4/23/2020,Portsmouth,98,30,4,2020-04-23 21:02:38.965008
4/23/2020,Central Shenandoah,575,37,10,2020-04-23 21:02:38.965008
4/23/2020,New River,66,8,0,2020-04-23 21:02:38.965008
4/23/2020,Loudoun,498,64,10,2020-04-23 21:02:38.965008
4/23/2020,Central Virginia,99,7,1,2020-04-23 21:02:38.965008
4/23/2020,Chickahominy,194,38,12,2020-04-23 21:02:38.965008
4/23/2020,Rappahannock Rapidan,185,19,2,2020-04-23 21:02:38.965008
4/23/2020,Norfolk,136,31,3,2020-04-23 21:02:38.965008
4/23/2020,Arlington,686,118,24,2020-04-23 21:02:38.965008
4/23/2020,Prince William,1192,132,20,2020-04-23 21:02:38.965008
4/23/2020,Thomas Jefferson,242,48,10,2020-04-23 21:02:38.965008
4/23/2020,Rappahannock,336,75,9,2020-04-23 21:02:38.965008
4/23/2020,Three Rivers,122,11,1,2020-04-23 21:02:38.965008
4/23/2020,Chesterfield,452,34,9,2020-04-23 21:02:38.965008
4/23/2020,Lord Fairfax,234,28,0,2020-04-23 21:02:38.965008
4/23/2020,Fairfax,2413,436,80,2020-04-23 21:02:38.965008
4/23/2020,Virginia Beach,328,61,8,2020-04-23 21:02:38.965008
4/23/2020,Mount Rogers,59,15,4,2020-04-23 21:02:38.965008
4/23/2020,West Piedmont,28,4,1,2020-04-23 21:02:38.965008
4/23/2020,Western Tidewater,313,40,6,2020-04-23 21:02:38.965008
4/24/2020,Pittsylvania-Danville,42,17,2,2020-04-24 20:41:10.285310
4/24/2020,Peninsula,320,96,20,2020-04-24 20:41:10.285310
4/24/2020,Eastern Shore,115,18,3,2020-04-24 20:41:10.285310
4/24/2020,Lenowisco,35,12,2,2020-04-24 20:41:10.285310
4/24/2020,Cumberland Plateau,18,1,0,2020-04-24 20:41:10.285310
4/24/2020,Piedmont,111,17,3,2020-04-24 20:41:10.285310
4/24/2020,Southside,104,23,7,2020-04-24 20:41:10.285310
4/24/2020,Alexandria,547,81,15,2020-04-24 20:41:10.285310
4/24/2020,Henrico,729,107,86,2020-04-24 20:41:10.285310
4/24/2020,Hampton,99,26,1,2020-04-24 20:41:10.285310
4/24/2020,Alleghany,82,14,3,2020-04-24 20:41:10.285310
4/24/2020,Richmond,267,51,14,2020-04-24 20:41:10.285310
4/24/2020,Chesapeake,197,43,5,2020-04-24 20:41:10.285310
4/24/2020,Crater,167,35,9,2020-04-24 20:41:10.285310
4/24/2020,Roanoke,33,5,0,2020-04-24 20:41:10.285310
4/24/2020,Portsmouth,100,30,4,2020-04-24 20:41:10.285310
4/24/2020,Central Shenandoah,599,39,11,2020-04-24 20:41:10.285310
4/24/2020,New River,67,8,0,2020-04-24 20:41:10.285310
4/24/2020,Loudoun,529,67,10,2020-04-24 20:41:10.285310
4/24/2020,Central Virginia,102,7,1,2020-04-24 20:41:10.285310
4/24/2020,Chickahominy,201,40,12,2020-04-24 20:41:10.285310
4/24/2020,Rappahannock Rapidan,200,21,3,2020-04-24 20:41:10.285310
4/24/2020,Norfolk,141,31,3,2020-04-24 20:41:10.285310
4/24/2020,Arlington,722,120,24,2020-04-24 20:41:10.285310
4/24/2020,Prince William,1291,138,20,2020-04-24 20:41:10.285310
4/24/2020,Thomas Jefferson,244,49,11,2020-04-24 20:41:10.285310
4/24/2020,Rappahannock,355,75,9,2020-04-24 20:41:10.285310
4/24/2020,Three Rivers,122,11,1,2020-04-24 20:41:10.285310
4/24/2020,Chesterfield,473,38,20,2020-04-24 20:41:10.285310
4/24/2020,Lord Fairfax,256,31,0,2020-04-24 20:41:10.285310
4/24/2020,Fairfax,2584,460,89,2020-04-24 20:41:10.285310
4/24/2020,Virginia Beach,331,65,10,2020-04-24 20:41:10.285310
4/24/2020,Mount Rogers,59,15,4,2020-04-24 20:41:10.285310
4/24/2020,West Piedmont,33,5,1,2020-04-24 20:41:10.285310
4/24/2020,Western Tidewater,319,41,7,2020-04-24 20:41:10.285310
4/25/2020,Pittsylvania-Danville,43,17,2,2020-04-25 20:31:07.033242
4/25/2020,Peninsula,325,97,20,2020-04-25 20:31:07.033242
4/25/2020,Eastern Shore,166,18,3,2020-04-25 20:31:07.033242
4/25/2020,Lenowisco,35,12,2,2020-04-25 20:31:07.033242
4/25/2020,Cumberland Plateau,20,1,0,2020-04-25 20:31:07.033242
4/25/2020,Piedmont,118,17,3,2020-04-25 20:31:07.033242
4/25/2020,Southside,115,23,9,2020-04-25 20:31:07.033242
4/25/2020,Alexandria,575,80,18,2020-04-25 20:31:07.033242
4/25/2020,Henrico,764,115,89,2020-04-25 20:31:07.033242
4/25/2020,Hampton,101,26,1,2020-04-25 20:31:07.033242
4/25/2020,Alleghany,82,14,3,2020-04-25 20:31:07.033242
4/25/2020,Richmond,287,55,14,2020-04-25 20:31:07.033242
4/25/2020,Chesapeake,200,45,6,2020-04-25 20:31:07.033242
4/25/2020,Crater,170,41,9,2020-04-25 20:31:07.033242
4/25/2020,Roanoke,33,5,0,2020-04-25 20:31:07.033242
