Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/22/2020,Female,120,16,4,Chickahominy,2020-04-22 20:26:02.510946
4/22/2020,Female,206,13,2,Chesterfield,2020-04-22 20:26:02.510946
4/22/2020,Male,30,11,2,Piedmont,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,3,0,0,Rappahannock,2020-04-22 20:26:02.510946
4/22/2020,Male,34,13,1,Southside,2020-04-22 20:26:02.510946
4/22/2020,Female,132,16,1,Richmond,2020-04-22 20:26:02.510946
4/22/2020,Male,13,3,1,West Piedmont,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,2,0,0,Alexandria,2020-04-22 20:26:02.510946
4/22/2020,Female,102,18,2,Chesapeake,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,1,0,0,Mount Rogers,2020-04-22 20:26:02.510946
4/22/2020,Female,164,32,2,Rappahannock,2020-04-22 20:26:02.510946
4/22/2020,Male,39,17,2,Portsmouth,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,2,0,0,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,Female,15,1,0,West Piedmont,2020-04-22 20:26:02.510946
4/22/2020,Male,31,5,0,New River,2020-04-22 20:26:02.510946
4/22/2020,Male,6,0,0,Cumberland Plateau,2020-04-22 20:26:02.510946
4/22/2020,Female,79,8,1,Rappahannock Rapidan,2020-04-22 20:26:02.510946
4/22/2020,Male,16,8,1,Pittsylvania-Danville,2020-04-22 20:26:02.510946
4/22/2020,Female,242,20,5,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,13,1,0,Fairfax,2020-04-22 20:26:02.510946
4/22/2020,Female,391,43,42,Henrico,2020-04-22 20:26:02.510946
4/22/2020,Female,112,9,0,Lord Fairfax,2020-04-22 20:26:02.510946
4/22/2020,Male,231,41,4,Loudoun,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,2,0,0,Rappahannock Rapidan,2020-04-22 20:26:02.510946
4/22/2020,Male,327,65,14,Arlington,2020-04-22 20:26:02.510946
4/22/2020,Female,60,5,1,Piedmont,2020-04-22 20:26:02.510946
4/22/2020,Not Reported,5,1,0,Chickahominy,2020-04-22 20:26:02.510946
4/22/2020,Female,135,15,4,Western Tidewater,2020-04-22 20:26:02.510946
4/22/2020,Female,79,14,6,Crater,2020-04-22 20:26:02.510946
4/22/2020,Male,114,23,8,Richmond,2020-04-22 20:26:02.510946
