health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Loudoun,2450,40,186,2020-07-29 00:00:00,Male
Loudoun,27,0,0,2020-07-29 00:00:00,Not Reported
Mount Rogers,613,17,37,2020-07-29 00:00:00,Female
Mount Rogers,541,24,70,2020-07-29 00:00:00,Male
Mount Rogers,3,0,0,2020-07-29 00:00:00,Not Reported
New River,186,2,8,2020-07-29 00:00:00,Female
New River,220,5,21,2020-07-29 00:00:00,Male
New River,5,0,0,2020-07-29 00:00:00,Not Reported
Norfolk,1560,10,82,2020-07-29 00:00:00,Female
Norfolk,1375,12,82,2020-07-29 00:00:00,Male
Norfolk,2,0,0,2020-07-29 00:00:00,Not Reported
Peninsula,1314,24,77,2020-07-29 00:00:00,Female
Peninsula,1149,16,81,2020-07-29 00:00:00,Male
Peninsula,10,0,0,2020-07-29 00:00:00,Not Reported
Piedmont,403,6,49,2020-07-29 00:00:00,Female
Piedmont,876,16,67,2020-07-29 00:00:00,Male
Piedmont,5,0,0,2020-07-29 00:00:00,Not Reported
Pittsylvania-Danville,338,5,35,2020-07-29 00:00:00,Female
Pittsylvania-Danville,231,1,23,2020-07-29 00:00:00,Male
Pittsylvania-Danville,5,0,0,2020-07-29 00:00:00,Not Reported
Portsmouth,739,12,65,2020-07-29 00:00:00,Female
Portsmouth,648,9,49,2020-07-29 00:00:00,Male
Portsmouth,3,0,0,2020-07-29 00:00:00,Not Reported
Prince William,5419,85,412,2020-07-29 00:00:00,Female
Prince William,5307,110,524,2020-07-29 00:00:00,Male
Prince William,77,0,1,2020-07-29 00:00:00,Not Reported
Rappahannock,1663,21,132,2020-07-29 00:00:00,Female
Rappahannock,1462,29,149,2020-07-29 00:00:00,Male
Rappahannock,9,0,1,2020-07-29 00:00:00,Not Reported
Rappahannock Rapidan,915,10,52,2020-07-29 00:00:00,Female
Rappahannock Rapidan,890,16,78,2020-07-29 00:00:00,Male
Rappahannock Rapidan,1,0,0,2020-07-29 00:00:00,Not Reported
Richmond,1397,11,125,2020-07-29 00:00:00,Female
Richmond,1392,26,143,2020-07-29 00:00:00,Male
Richmond,42,2,2,2020-07-29 00:00:00,Not Reported
Roanoke,406,7,7,2020-07-29 00:00:00,Female
Roanoke,360,3,10,2020-07-29 00:00:00,Male
Roanoke,14,0,0,2020-07-29 00:00:00,Not Reported
Southside,328,19,31,2020-07-29 00:00:00,Female
Southside,287,14,31,2020-07-29 00:00:00,Male
Southside,4,0,0,2020-07-29 00:00:00,Not Reported
Thomas Jefferson,889,15,70,2020-07-29 00:00:00,Female
Thomas Jefferson,779,15,65,2020-07-29 00:00:00,Male
Thomas Jefferson,1,0,0,2020-07-29 00:00:00,Not Reported
Three Rivers,320,9,37,2020-07-29 00:00:00,Female
Three Rivers,615,6,29,2020-07-29 00:00:00,Male
Three Rivers,21,0,0,2020-07-29 00:00:00,Not Reported
Virginia Beach,2107,20,94,2020-07-29 00:00:00,Female
Virginia Beach,1788,23,98,2020-07-29 00:00:00,Male
Virginia Beach,13,0,0,2020-07-29 00:00:00,Not Reported
Western Tidewater,899,34,60,2020-07-29 00:00:00,Female
Western Tidewater,751,41,70,2020-07-29 00:00:00,Male
Western Tidewater,1,0,0,2020-07-29 00:00:00,Not Reported
West Piedmont,485,4,56,2020-07-29 00:00:00,Female
West Piedmont,382,8,42,2020-07-29 00:00:00,Male
West Piedmont,4,0,0,2020-07-29 00:00:00,Not Reported
Alexandria,1432,30,124,2020-07-30 00:00:00,Female
Alexandria,1339,27,142,2020-07-30 00:00:00,Male
Alexandria,8,0,0,2020-07-30 00:00:00,Not Reported
Alleghany,434,11,13,2020-07-30 00:00:00,Female
Alleghany,377,7,24,2020-07-30 00:00:00,Male
Alleghany,8,0,0,2020-07-30 00:00:00,Not Reported
Arlington,1415,66,193,2020-07-30 00:00:00,Female
Arlington,1455,69,240,2020-07-30 00:00:00,Male
Arlington,4,0,0,2020-07-30 00:00:00,Not Reported
Central Shenandoah,1403,25,103,2020-07-30 00:00:00,Female
Central Shenandoah,1212,27,100,2020-07-30 00:00:00,Male
Central Shenandoah,3,0,0,2020-07-30 00:00:00,Not Reported
Central Virginia,500,3,10,2020-07-30 00:00:00,Female
Central Virginia,454,6,15,2020-07-30 00:00:00,Male
Central Virginia,3,0,0,2020-07-30 00:00:00,Not Reported
Chesapeake,1345,13,107,2020-07-30 00:00:00,Female
Chesapeake,1044,14,92,2020-07-30 00:00:00,Male
Chesapeake,2,0,0,2020-07-30 00:00:00,Not Reported
Chesterfield,2057,45,117,2020-07-30 00:00:00,Female
Chesterfield,2021,50,124,2020-07-30 00:00:00,Male
Chesterfield,96,1,0,2020-07-30 00:00:00,Not Reported
Chickahominy,486,20,63,2020-07-30 00:00:00,Female
Chickahominy,402,21,61,2020-07-30 00:00:00,Male
Chickahominy,4,0,0,2020-07-30 00:00:00,Not Reported
Crater,958,32,106,2020-07-30 00:00:00,Female
Crater,1111,23,96,2020-07-30 00:00:00,Male
Crater,23,0,1,2020-07-30 00:00:00,Not Reported
Cumberland Plateau,119,0,4,2020-07-30 00:00:00,Female
Cumberland Plateau,112,1,12,2020-07-30 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-30 00:00:00,Not Reported
Eastern Shore,684,23,64,2020-07-30 00:00:00,Female
Eastern Shore,673,20,58,2020-07-30 00:00:00,Male
Eastern Shore,9,0,0,2020-07-30 00:00:00,Not Reported
Fairfax,8021,260,803,2020-07-30 00:00:00,Female
Fairfax,7640,271,1088,2020-07-30 00:00:00,Male
Fairfax,87,1,1,2020-07-30 00:00:00,Not Reported
Hampton,549,2,17,2020-07-30 00:00:00,Female
Hampton,421,3,32,2020-07-30 00:00:00,Male
Hampton,3,0,0,2020-07-30 00:00:00,Not Reported
Henrico,1833,95,145,2020-07-30 00:00:00,Female
Henrico,1662,83,163,2020-07-30 00:00:00,Male
Henrico,14,0,0,2020-07-30 00:00:00,Not Reported
Lenowisco,117,1,13,2020-07-30 00:00:00,Female
Lenowisco,101,5,16,2020-07-30 00:00:00,Male
Lenowisco,0,0,0,2020-07-30 00:00:00,Not Reported
Lord Fairfax,1287,46,100,2020-07-30 00:00:00,Female
Lord Fairfax,1152,36,113,2020-07-30 00:00:00,Male
Lord Fairfax,7,0,0,2020-07-30 00:00:00,Not Reported
Loudoun,2495,69,145,2020-07-30 00:00:00,Female
Loudoun,2462,40,186,2020-07-30 00:00:00,Male
Loudoun,28,0,0,2020-07-30 00:00:00,Not Reported
Mount Rogers,622,17,37,2020-07-30 00:00:00,Female
Mount Rogers,554,25,75,2020-07-30 00:00:00,Male
Mount Rogers,3,0,0,2020-07-30 00:00:00,Not Reported
New River,188,2,8,2020-07-30 00:00:00,Female
New River,223,5,21,2020-07-30 00:00:00,Male
New River,4,0,0,2020-07-30 00:00:00,Not Reported
Norfolk,1640,10,83,2020-07-30 00:00:00,Female
Norfolk,1439,12,82,2020-07-30 00:00:00,Male
Norfolk,1,0,0,2020-07-30 00:00:00,Not Reported
Peninsula,1331,25,77,2020-07-30 00:00:00,Female
Peninsula,1168,16,81,2020-07-30 00:00:00,Male
Peninsula,10,0,0,2020-07-30 00:00:00,Not Reported
Piedmont,406,7,49,2020-07-30 00:00:00,Female
Piedmont,889,18,67,2020-07-30 00:00:00,Male
Piedmont,5,0,0,2020-07-30 00:00:00,Not Reported
Pittsylvania-Danville,352,5,37,2020-07-30 00:00:00,Female
Pittsylvania-Danville,243,2,23,2020-07-30 00:00:00,Male
Pittsylvania-Danville,5,0,0,2020-07-30 00:00:00,Not Reported
Portsmouth,752,12,69,2020-07-30 00:00:00,Female
Portsmouth,662,10,53,2020-07-30 00:00:00,Male
Portsmouth,3,0,0,2020-07-30 00:00:00,Not Reported
Prince William,5456,85,413,2020-07-30 00:00:00,Female
Prince William,5338,111,524,2020-07-30 00:00:00,Male
Prince William,81,0,1,2020-07-30 00:00:00,Not Reported
Rappahannock,1678,21,132,2020-07-30 00:00:00,Female
Rappahannock,1485,29,150,2020-07-30 00:00:00,Male
Rappahannock,10,0,1,2020-07-30 00:00:00,Not Reported
Rappahannock Rapidan,915,10,53,2020-07-30 00:00:00,Female
Rappahannock Rapidan,895,16,78,2020-07-30 00:00:00,Male
Rappahannock Rapidan,2,0,0,2020-07-30 00:00:00,Not Reported
Richmond,1415,11,129,2020-07-30 00:00:00,Female
Richmond,1400,25,142,2020-07-30 00:00:00,Male
Richmond,42,2,2,2020-07-30 00:00:00,Not Reported
Roanoke,419,7,8,2020-07-30 00:00:00,Female
Roanoke,372,3,10,2020-07-30 00:00:00,Male
Roanoke,14,0,0,2020-07-30 00:00:00,Not Reported
Southside,332,19,31,2020-07-30 00:00:00,Female
Southside,294,14,32,2020-07-30 00:00:00,Male
Southside,4,0,0,2020-07-30 00:00:00,Not Reported
Thomas Jefferson,902,16,70,2020-07-30 00:00:00,Female
Thomas Jefferson,782,15,65,2020-07-30 00:00:00,Male
Thomas Jefferson,1,0,0,2020-07-30 00:00:00,Not Reported
Three Rivers,327,9,37,2020-07-30 00:00:00,Female
Three Rivers,616,6,29,2020-07-30 00:00:00,Male
Three Rivers,21,0,0,2020-07-30 00:00:00,Not Reported
Virginia Beach,2149,20,94,2020-07-30 00:00:00,Female
Virginia Beach,1817,23,99,2020-07-30 00:00:00,Male
Virginia Beach,13,0,0,2020-07-30 00:00:00,Not Reported
Western Tidewater,906,34,60,2020-07-30 00:00:00,Female
Western Tidewater,763,41,70,2020-07-30 00:00:00,Male
Western Tidewater,1,0,0,2020-07-30 00:00:00,Not Reported
West Piedmont,496,4,59,2020-07-30 00:00:00,Female
West Piedmont,382,8,44,2020-07-30 00:00:00,Male
West Piedmont,4,0,0,2020-07-30 00:00:00,Not Reported
Alexandria,1443,31,126,2020-07-31 00:00:00,Female
Alexandria,1347,27,143,2020-07-31 00:00:00,Male
Alexandria,8,0,0,2020-07-31 00:00:00,Not Reported
Alleghany,440,11,13,2020-07-31 00:00:00,Female
Alleghany,381,7,24,2020-07-31 00:00:00,Male
Alleghany,8,0,0,2020-07-31 00:00:00,Not Reported
Arlington,1427,67,194,2020-07-31 00:00:00,Female
Arlington,1466,69,240,2020-07-31 00:00:00,Male
Arlington,4,0,0,2020-07-31 00:00:00,Not Reported
Central Shenandoah,1413,25,103,2020-07-31 00:00:00,Female
Central Shenandoah,1218,27,101,2020-07-31 00:00:00,Male
Central Shenandoah,1,0,0,2020-07-31 00:00:00,Not Reported
Central Virginia,542,3,10,2020-07-31 00:00:00,Female
Central Virginia,486,7,17,2020-07-31 00:00:00,Male
Central Virginia,4,0,0,2020-07-31 00:00:00,Not Reported
Chesapeake,1373,13,108,2020-07-31 00:00:00,Female
Chesapeake,1074,15,93,2020-07-31 00:00:00,Male
Chesapeake,3,0,0,2020-07-31 00:00:00,Not Reported
Chesterfield,2091,45,117,2020-07-31 00:00:00,Female
Chesterfield,2049,50,124,2020-07-31 00:00:00,Male
Chesterfield,97,2,0,2020-07-31 00:00:00,Not Reported
Chickahominy,491,20,64,2020-07-31 00:00:00,Female
Chickahominy,403,22,65,2020-07-31 00:00:00,Male
Chickahominy,4,0,0,2020-07-31 00:00:00,Not Reported
Crater,970,33,107,2020-07-31 00:00:00,Female
Crater,1120,24,96,2020-07-31 00:00:00,Male
Crater,23,0,1,2020-07-31 00:00:00,Not Reported
Cumberland Plateau,125,0,4,2020-07-31 00:00:00,Female
Cumberland Plateau,115,1,12,2020-07-31 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-31 00:00:00,Not Reported
Eastern Shore,684,23,64,2020-07-31 00:00:00,Female
Eastern Shore,673,20,58,2020-07-31 00:00:00,Male
Eastern Shore,9,0,0,2020-07-31 00:00:00,Not Reported
Fairfax,8024,260,814,2020-07-31 00:00:00,Female
Fairfax,7644,272,1105,2020-07-31 00:00:00,Male
Fairfax,87,1,1,2020-07-31 00:00:00,Not Reported
Hampton,566,2,17,2020-07-31 00:00:00,Female
Hampton,438,3,32,2020-07-31 00:00:00,Male
Hampton,3,0,0,2020-07-31 00:00:00,Not Reported
Henrico,1854,96,147,2020-07-31 00:00:00,Female
Henrico,1671,84,163,2020-07-31 00:00:00,Male
Henrico,16,0,0,2020-07-31 00:00:00,Not Reported
Lenowisco,121,1,13,2020-07-31 00:00:00,Female
Lenowisco,111,6,16,2020-07-31 00:00:00,Male
Lenowisco,0,0,0,2020-07-31 00:00:00,Not Reported
Lord Fairfax,1292,47,101,2020-07-31 00:00:00,Female
Lord Fairfax,1156,37,113,2020-07-31 00:00:00,Male
Lord Fairfax,8,0,0,2020-07-31 00:00:00,Not Reported
Loudoun,2500,69,147,2020-07-31 00:00:00,Female
Loudoun,2468,41,188,2020-07-31 00:00:00,Male
Loudoun,27,0,0,2020-07-31 00:00:00,Not Reported
Mount Rogers,633,17,38,2020-07-31 00:00:00,Female
Mount Rogers,571,30,78,2020-07-31 00:00:00,Male
Mount Rogers,3,0,0,2020-07-31 00:00:00,Not Reported
New River,194,2,8,2020-07-31 00:00:00,Female
New River,230,5,21,2020-07-31 00:00:00,Male
New River,5,0,0,2020-07-31 00:00:00,Not Reported
Norfolk,1691,11,84,2020-07-31 00:00:00,Female
Norfolk,1487,13,84,2020-07-31 00:00:00,Male
Norfolk,2,0,0,2020-07-31 00:00:00,Not Reported
Peninsula,1359,25,78,2020-07-31 00:00:00,Female
Peninsula,1185,16,83,2020-07-31 00:00:00,Male
Peninsula,11,0,0,2020-07-31 00:00:00,Not Reported
Piedmont,411,7,49,2020-07-31 00:00:00,Female
Piedmont,914,19,67,2020-07-31 00:00:00,Male
Piedmont,5,0,0,2020-07-31 00:00:00,Not Reported
Pittsylvania-Danville,362,5,37,2020-07-31 00:00:00,Female
Pittsylvania-Danville,249,2,23,2020-07-31 00:00:00,Male
Pittsylvania-Danville,5,0,0,2020-07-31 00:00:00,Not Reported
Portsmouth,780,12,69,2020-07-31 00:00:00,Female
Portsmouth,679,10,53,2020-07-31 00:00:00,Male
Portsmouth,3,0,0,2020-07-31 00:00:00,Not Reported
Prince William,5488,86,416,2020-07-31 00:00:00,Female
Prince William,5372,111,525,2020-07-31 00:00:00,Male
Prince William,79,0,1,2020-07-31 00:00:00,Not Reported
Rappahannock,1696,21,133,2020-07-31 00:00:00,Female
Rappahannock,1496,29,150,2020-07-31 00:00:00,Male
Rappahannock,9,0,1,2020-07-31 00:00:00,Not Reported
Rappahannock Rapidan,920,10,53,2020-07-31 00:00:00,Female
Rappahannock Rapidan,897,16,79,2020-07-31 00:00:00,Male
Rappahannock Rapidan,3,0,0,2020-07-31 00:00:00,Not Reported
Richmond,1434,12,130,2020-07-31 00:00:00,Female
Richmond,1419,25,144,2020-07-31 00:00:00,Male
Richmond,40,2,2,2020-07-31 00:00:00,Not Reported
Roanoke,423,7,8,2020-07-31 00:00:00,Female
Roanoke,377,4,10,2020-07-31 00:00:00,Male
Roanoke,14,0,0,2020-07-31 00:00:00,Not Reported
Southside,332,19,31,2020-07-31 00:00:00,Female
Southside,294,15,33,2020-07-31 00:00:00,Male
Southside,4,0,0,2020-07-31 00:00:00,Not Reported
Thomas Jefferson,916,18,71,2020-07-31 00:00:00,Female
Thomas Jefferson,787,16,65,2020-07-31 00:00:00,Male
Thomas Jefferson,2,0,0,2020-07-31 00:00:00,Not Reported
Three Rivers,327,9,37,2020-07-31 00:00:00,Female
Three Rivers,619,6,29,2020-07-31 00:00:00,Male
Three Rivers,21,0,0,2020-07-31 00:00:00,Not Reported
Virginia Beach,2183,20,97,2020-07-31 00:00:00,Female
Virginia Beach,1859,25,103,2020-07-31 00:00:00,Male
Virginia Beach,13,0,0,2020-07-31 00:00:00,Not Reported
Western Tidewater,931,34,60,2020-07-31 00:00:00,Female
Western Tidewater,780,42,71,2020-07-31 00:00:00,Male
Western Tidewater,1,0,0,2020-07-31 00:00:00,Not Reported
West Piedmont,507,4,59,2020-07-31 00:00:00,Female
West Piedmont,384,8,45,2020-07-31 00:00:00,Male
West Piedmont,4,0,0,2020-07-31 00:00:00,Not Reported
Alexandria,1448,32,126,2020-08-01 00:00:00,Female
Alexandria,1355,27,144,2020-08-01 00:00:00,Male
Alexandria,8,0,0,2020-08-01 00:00:00,Not Reported
Alleghany,446,12,14,2020-08-01 00:00:00,Female
Alleghany,383,8,25,2020-08-01 00:00:00,Male
Alleghany,8,0,0,2020-08-01 00:00:00,Not Reported
Arlington,1434,67,194,2020-08-01 00:00:00,Female
Arlington,1468,69,241,2020-08-01 00:00:00,Male
Arlington,4,0,0,2020-08-01 00:00:00,Not Reported
Central Shenandoah,1426,26,105,2020-08-01 00:00:00,Female
Central Shenandoah,1223,27,101,2020-08-01 00:00:00,Male
Central Shenandoah,1,0,0,2020-08-01 00:00:00,Not Reported
Central Virginia,552,3,10,2020-08-01 00:00:00,Female
Central Virginia,502,7,17,2020-08-01 00:00:00,Male
Central Virginia,4,0,0,2020-08-01 00:00:00,Not Reported
Chesapeake,1378,13,110,2020-08-01 00:00:00,Female
Chesapeake,1081,16,94,2020-08-01 00:00:00,Male
Chesapeake,3,0,0,2020-08-01 00:00:00,Not Reported
Chesterfield,2106,46,119,2020-08-01 00:00:00,Female
Chesterfield,2065,52,124,2020-08-01 00:00:00,Male
Chesterfield,100,2,0,2020-08-01 00:00:00,Not Reported
Chickahominy,495,20,64,2020-08-01 00:00:00,Female
Chickahominy,406,24,65,2020-08-01 00:00:00,Male
Chickahominy,4,0,0,2020-08-01 00:00:00,Not Reported
Crater,985,34,107,2020-08-01 00:00:00,Female
Crater,1128,27,96,2020-08-01 00:00:00,Male
Crater,23,0,1,2020-08-01 00:00:00,Not Reported
Cumberland Plateau,129,0,5,2020-08-01 00:00:00,Female
Cumberland Plateau,117,1,12,2020-08-01 00:00:00,Male
Cumberland Plateau,0,0,0,2020-08-01 00:00:00,Not Reported
Eastern Shore,686,23,64,2020-08-01 00:00:00,Female
Eastern Shore,674,20,59,2020-08-01 00:00:00,Male
Eastern Shore,9,0,0,2020-08-01 00:00:00,Not Reported
Fairfax,8061,262,815,2020-08-01 00:00:00,Female
Fairfax,7680,272,1105,2020-08-01 00:00:00,Male
Fairfax,87,1,1,2020-08-01 00:00:00,Not Reported
Hampton,567,2,17,2020-08-01 00:00:00,Female
Hampton,439,3,32,2020-08-01 00:00:00,Male
Hampton,3,0,0,2020-08-01 00:00:00,Not Reported
Henrico,1885,97,149,2020-08-01 00:00:00,Female
Henrico,1697,85,163,2020-08-01 00:00:00,Male
Henrico,19,0,0,2020-08-01 00:00:00,Not Reported
Lenowisco,125,1,14,2020-08-01 00:00:00,Female
Lenowisco,120,6,17,2020-08-01 00:00:00,Male
Lenowisco,0,0,0,2020-08-01 00:00:00,Not Reported
Lord Fairfax,1305,47,102,2020-08-01 00:00:00,Female
Lord Fairfax,1162,39,114,2020-08-01 00:00:00,Male
Lord Fairfax,8,0,0,2020-08-01 00:00:00,Not Reported
Loudoun,2510,70,148,2020-08-01 00:00:00,Female
Loudoun,2478,42,188,2020-08-01 00:00:00,Male
Loudoun,26,0,0,2020-08-01 00:00:00,Not Reported
Mount Rogers,640,17,38,2020-08-01 00:00:00,Female
Mount Rogers,576,32,78,2020-08-01 00:00:00,Male
Mount Rogers,4,0,0,2020-08-01 00:00:00,Not Reported
New River,197,2,8,2020-08-01 00:00:00,Female
New River,229,5,21,2020-08-01 00:00:00,Male
New River,5,0,0,2020-08-01 00:00:00,Not Reported
Norfolk,1693,12,84,2020-08-01 00:00:00,Female
Norfolk,1490,14,86,2020-08-01 00:00:00,Male
Norfolk,2,0,0,2020-08-01 00:00:00,Not Reported
Peninsula,1376,25,78,2020-08-01 00:00:00,Female
Peninsula,1195,16,83,2020-08-01 00:00:00,Male
Peninsula,12,0,0,2020-08-01 00:00:00,Not Reported
Piedmont,414,7,49,2020-08-01 00:00:00,Female
Piedmont,932,20,67,2020-08-01 00:00:00,Male
Piedmont,5,0,0,2020-08-01 00:00:00,Not Reported
Pittsylvania-Danville,380,7,38,2020-08-01 00:00:00,Female
Pittsylvania-Danville,258,2,23,2020-08-01 00:00:00,Male
Pittsylvania-Danville,5,0,0,2020-08-01 00:00:00,Not Reported
Portsmouth,793,12,69,2020-08-01 00:00:00,Female
Portsmouth,696,12,55,2020-08-01 00:00:00,Male
Portsmouth,3,0,0,2020-08-01 00:00:00,Not Reported
Prince William,5518,86,418,2020-08-01 00:00:00,Female
Prince William,5401,113,528,2020-08-01 00:00:00,Male
Prince William,79,0,1,2020-08-01 00:00:00,Not Reported
Rappahannock,1720,22,133,2020-08-01 00:00:00,Female
Rappahannock,1516,30,152,2020-08-01 00:00:00,Male
Rappahannock,10,0,1,2020-08-01 00:00:00,Not Reported
Rappahannock Rapidan,924,10,53,2020-08-01 00:00:00,Female
Rappahannock Rapidan,901,16,79,2020-08-01 00:00:00,Male
Rappahannock Rapidan,4,0,0,2020-08-01 00:00:00,Not Reported
Richmond,1459,12,131,2020-08-01 00:00:00,Female
Richmond,1436,25,145,2020-08-01 00:00:00,Male
Richmond,41,2,2,2020-08-01 00:00:00,Not Reported
Roanoke,445,7,8,2020-08-01 00:00:00,Female
Roanoke,402,4,10,2020-08-01 00:00:00,Male
Roanoke,14,0,0,2020-08-01 00:00:00,Not Reported
Southside,338,19,31,2020-08-01 00:00:00,Female
Southside,302,15,33,2020-08-01 00:00:00,Male
Southside,4,0,0,2020-08-01 00:00:00,Not Reported
Thomas Jefferson,919,21,71,2020-08-01 00:00:00,Female
Thomas Jefferson,799,16,65,2020-08-01 00:00:00,Male
Thomas Jefferson,2,0,0,2020-08-01 00:00:00,Not Reported
Three Rivers,336,9,38,2020-08-01 00:00:00,Female
Three Rivers,621,6,29,2020-08-01 00:00:00,Male
Three Rivers,21,0,0,2020-08-01 00:00:00,Not Reported
Virginia Beach,2259,21,97,2020-08-01 00:00:00,Female
Virginia Beach,1906,25,104,2020-08-01 00:00:00,Male
Virginia Beach,13,0,0,2020-08-01 00:00:00,Not Reported
Western Tidewater,947,35,60,2020-08-01 00:00:00,Female
Western Tidewater,798,42,72,2020-08-01 00:00:00,Male
Western Tidewater,1,0,0,2020-08-01 00:00:00,Not Reported
West Piedmont,529,5,61,2020-08-01 00:00:00,Female
West Piedmont,404,8,49,2020-08-01 00:00:00,Male
West Piedmont,4,0,0,2020-08-01 00:00:00,Not Reported
Alexandria,1451,32,125,2020-08-02 00:00:00,Female
Alexandria,1361,27,143,2020-08-02 00:00:00,Male
Alexandria,8,0,0,2020-08-02 00:00:00,Not Reported
Alleghany,459,12,14,2020-08-02 00:00:00,Female
Alleghany,390,8,25,2020-08-02 00:00:00,Male
Alleghany,8,0,0,2020-08-02 00:00:00,Not Reported
Arlington,1440,67,194,2020-08-02 00:00:00,Female
Arlington,1480,69,241,2020-08-02 00:00:00,Male
Arlington,5,0,0,2020-08-02 00:00:00,Not Reported
Central Shenandoah,1437,26,105,2020-08-02 00:00:00,Female
Central Shenandoah,1226,27,101,2020-08-02 00:00:00,Male
Central Shenandoah,1,0,0,2020-08-02 00:00:00,Not Reported
Central Virginia,571,3,16,2020-08-02 00:00:00,Female
Central Virginia,518,7,28,2020-08-02 00:00:00,Male
Central Virginia,4,0,0,2020-08-02 00:00:00,Not Reported
Chesapeake,1421,13,110,2020-08-02 00:00:00,Female
Chesapeake,1114,16,96,2020-08-02 00:00:00,Male
Chesapeake,3,0,0,2020-08-02 00:00:00,Not Reported
Chesterfield,2131,46,119,2020-08-02 00:00:00,Female
Chesterfield,2099,52,124,2020-08-02 00:00:00,Male
Chesterfield,101,2,0,2020-08-02 00:00:00,Not Reported
Chickahominy,497,20,64,2020-08-02 00:00:00,Female
Chickahominy,407,24,65,2020-08-02 00:00:00,Male
Chickahominy,4,0,0,2020-08-02 00:00:00,Not Reported
Crater,994,34,109,2020-08-02 00:00:00,Female
Crater,1140,27,96,2020-08-02 00:00:00,Male
Crater,23,0,1,2020-08-02 00:00:00,Not Reported
Cumberland Plateau,135,0,7,2020-08-02 00:00:00,Female
Cumberland Plateau,117,1,12,2020-08-02 00:00:00,Male
Cumberland Plateau,0,0,0,2020-08-02 00:00:00,Not Reported
Eastern Shore,687,23,64,2020-08-02 00:00:00,Female
Eastern Shore,675,20,59,2020-08-02 00:00:00,Male
Eastern Shore,9,0,0,2020-08-02 00:00:00,Not Reported
Fairfax,8103,262,816,2020-08-02 00:00:00,Female
Fairfax,7718,273,1106,2020-08-02 00:00:00,Male
Fairfax,87,1,1,2020-08-02 00:00:00,Not Reported
Hampton,588,2,17,2020-08-02 00:00:00,Female
Hampton,457,3,32,2020-08-02 00:00:00,Male
Hampton,3,0,0,2020-08-02 00:00:00,Not Reported
Henrico,1889,97,149,2020-08-02 00:00:00,Female
Henrico,1701,85,163,2020-08-02 00:00:00,Male
Henrico,19,0,0,2020-08-02 00:00:00,Not Reported
Lenowisco,126,1,15,2020-08-02 00:00:00,Female
Lenowisco,120,6,17,2020-08-02 00:00:00,Male
Lenowisco,0,0,0,2020-08-02 00:00:00,Not Reported
Lord Fairfax,1311,47,102,2020-08-02 00:00:00,Female
Lord Fairfax,1165,39,114,2020-08-02 00:00:00,Male
Lord Fairfax,8,0,0,2020-08-02 00:00:00,Not Reported
Loudoun,2517,70,148,2020-08-02 00:00:00,Female
Loudoun,2490,42,188,2020-08-02 00:00:00,Male
Loudoun,27,0,0,2020-08-02 00:00:00,Not Reported
Mount Rogers,655,17,38,2020-08-02 00:00:00,Female
Mount Rogers,589,33,79,2020-08-02 00:00:00,Male
Mount Rogers,4,0,0,2020-08-02 00:00:00,Not Reported
New River,201,2,9,2020-08-02 00:00:00,Female
New River,234,5,21,2020-08-02 00:00:00,Male
New River,5,0,0,2020-08-02 00:00:00,Not Reported
Norfolk,1703,12,85,2020-08-02 00:00:00,Female
Norfolk,1505,14,87,2020-08-02 00:00:00,Male
Norfolk,2,0,0,2020-08-02 00:00:00,Not Reported
Peninsula,1408,25,78,2020-08-02 00:00:00,Female
Peninsula,1225,16,83,2020-08-02 00:00:00,Male
Peninsula,12,0,0,2020-08-02 00:00:00,Not Reported
Piedmont,421,7,49,2020-08-02 00:00:00,Female
Piedmont,942,20,67,2020-08-02 00:00:00,Male
Piedmont,5,0,0,2020-08-02 00:00:00,Not Reported
Pittsylvania-Danville,399,7,40,2020-08-02 00:00:00,Female
Pittsylvania-Danville,280,2,23,2020-08-02 00:00:00,Male
Pittsylvania-Danville,5,0,0,2020-08-02 00:00:00,Not Reported
Portsmouth,828,12,70,2020-08-02 00:00:00,Female
Portsmouth,708,12,55,2020-08-02 00:00:00,Male
Portsmouth,3,0,0,2020-08-02 00:00:00,Not Reported
Prince William,5524,86,420,2020-08-02 00:00:00,Female
Prince William,5415,113,530,2020-08-02 00:00:00,Male
Prince William,77,0,1,2020-08-02 00:00:00,Not Reported
Rappahannock,1733,22,133,2020-08-02 00:00:00,Female
Rappahannock,1528,30,154,2020-08-02 00:00:00,Male
Rappahannock,10,0,1,2020-08-02 00:00:00,Not Reported
Rappahannock Rapidan,931,10,53,2020-08-02 00:00:00,Female
Rappahannock Rapidan,903,16,79,2020-08-02 00:00:00,Male
Rappahannock Rapidan,4,0,0,2020-08-02 00:00:00,Not Reported
Richmond,1466,12,131,2020-08-02 00:00:00,Female
Richmond,1439,25,145,2020-08-02 00:00:00,Male
Richmond,41,2,2,2020-08-02 00:00:00,Not Reported
Roanoke,470,7,8,2020-08-02 00:00:00,Female
Roanoke,418,4,10,2020-08-02 00:00:00,Male
Roanoke,15,0,0,2020-08-02 00:00:00,Not Reported
Southside,339,19,31,2020-08-02 00:00:00,Female
Southside,307,15,34,2020-08-02 00:00:00,Male
Southside,4,0,0,2020-08-02 00:00:00,Not Reported
Thomas Jefferson,930,21,71,2020-08-02 00:00:00,Female
