health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Thomas Jefferson,707,15,62,2020-07-23 00:00:00,Male
Thomas Jefferson,0,0,0,2020-07-23 00:00:00,Not Reported
Three Rivers,287,9,36,2020-07-23 00:00:00,Female
Three Rivers,593,3,27,2020-07-23 00:00:00,Male
Three Rivers,20,0,0,2020-07-23 00:00:00,Not Reported
Virginia Beach,1626,18,86,2020-07-23 00:00:00,Female
Virginia Beach,1393,21,88,2020-07-23 00:00:00,Male
Virginia Beach,11,0,0,2020-07-23 00:00:00,Not Reported
Western Tidewater,770,31,50,2020-07-23 00:00:00,Female
Western Tidewater,656,38,67,2020-07-23 00:00:00,Male
Western Tidewater,1,0,0,2020-07-23 00:00:00,Not Reported
West Piedmont,418,4,47,2020-07-23 00:00:00,Female
West Piedmont,345,6,38,2020-07-23 00:00:00,Male
West Piedmont,5,0,0,2020-07-23 00:00:00,Not Reported
Alexandria,1348,30,120,2020-07-22 00:00:00,Female
Alexandria,1262,26,136,2020-07-22 00:00:00,Male
Alexandria,8,0,0,2020-07-22 00:00:00,Not Reported
Alleghany,396,10,13,2020-07-22 00:00:00,Female
Alleghany,330,5,24,2020-07-22 00:00:00,Male
Alleghany,7,0,0,2020-07-22 00:00:00,Not Reported
Arlington,1356,66,192,2020-07-22 00:00:00,Female
Arlington,1402,69,239,2020-07-22 00:00:00,Male
Arlington,5,0,0,2020-07-22 00:00:00,Not Reported
Central Shenandoah,1323,25,97,2020-07-22 00:00:00,Female
Central Shenandoah,1145,24,96,2020-07-22 00:00:00,Male
Central Shenandoah,1,0,0,2020-07-22 00:00:00,Not Reported
Central Virginia,357,2,7,2020-07-22 00:00:00,Female
Central Virginia,354,4,11,2020-07-22 00:00:00,Male
Central Virginia,0,0,0,2020-07-22 00:00:00,Not Reported
Chesapeake,1044,12,100,2020-07-22 00:00:00,Female
Chesapeake,803,12,76,2020-07-22 00:00:00,Male
Chesapeake,3,0,0,2020-07-22 00:00:00,Not Reported
Chesterfield,1878,44,112,2020-07-22 00:00:00,Female
Chesterfield,1869,42,106,2020-07-22 00:00:00,Male
Chesterfield,90,2,0,2020-07-22 00:00:00,Not Reported
Chickahominy,445,20,60,2020-07-22 00:00:00,Female
Chickahominy,367,20,57,2020-07-22 00:00:00,Male
Chickahominy,4,0,0,2020-07-22 00:00:00,Not Reported
Crater,837,29,100,2020-07-22 00:00:00,Female
Crater,1035,21,91,2020-07-22 00:00:00,Male
Crater,15,0,1,2020-07-22 00:00:00,Not Reported
Cumberland Plateau,81,0,2,2020-07-22 00:00:00,Female
Cumberland Plateau,79,0,8,2020-07-22 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-22 00:00:00,Not Reported
Eastern Shore,674,23,63,2020-07-22 00:00:00,Female
Eastern Shore,659,20,57,2020-07-22 00:00:00,Male
Eastern Shore,9,0,0,2020-07-22 00:00:00,Not Reported
Fairfax,7740,255,771,2020-07-22 00:00:00,Female
Fairfax,7371,266,1039,2020-07-22 00:00:00,Male
Fairfax,95,2,2,2020-07-22 00:00:00,Not Reported
Hampton,426,1,16,2020-07-22 00:00:00,Female
Hampton,343,3,27,2020-07-22 00:00:00,Male
Hampton,3,0,0,2020-07-22 00:00:00,Not Reported
Henrico,1677,94,137,2020-07-22 00:00:00,Female
Henrico,1420,83,157,2020-07-22 00:00:00,Male
