health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
West Piedmont,795,10,86,2020-07-24 00:00:00
Alexandria,2687,57,264,2020-07-25 00:00:00
Alleghany,756,15,37,2020-07-25 00:00:00
Arlington,2801,135,431,2020-07-25 00:00:00
Central Shenandoah,2534,50,199,2020-07-25 00:00:00
Central Virginia,769,6,19,2020-07-25 00:00:00
Chesapeake,2079,24,181,2020-07-25 00:00:00
Chesterfield,3984,89,233,2020-07-25 00:00:00
Chickahominy,852,40,121,2020-07-25 00:00:00
Crater,1959,50,196,2020-07-25 00:00:00
Cumberland Plateau,178,1,11,2020-07-25 00:00:00
Eastern Shore,1353,43,121,2020-07-25 00:00:00
Fairfax,15394,528,1869,2020-07-25 00:00:00
Hampton,848,4,48,2020-07-25 00:00:00
Henrico,3261,177,301,2020-07-25 00:00:00
Lenowisco,171,6,26,2020-07-25 00:00:00
Lord Fairfax,2408,82,209,2020-07-25 00:00:00
Loudoun,4796,106,325,2020-07-25 00:00:00
Mount Rogers,1083,39,100,2020-07-25 00:00:00
New River,369,6,26,2020-07-25 00:00:00
Norfolk,2661,20,157,2020-07-25 00:00:00
Peninsula,2278,40,158,2020-07-25 00:00:00
Piedmont,1213,19,116,2020-07-25 00:00:00
Pittsylvania-Danville,504,5,57,2020-07-25 00:00:00
Portsmouth,1225,21,109,2020-07-25 00:00:00
Prince William,10460,194,928,2020-07-25 00:00:00
Rappahannock,2989,49,273,2020-07-25 00:00:00
Rappahannock Rapidan,1757,25,130,2020-07-25 00:00:00
Richmond,2695,36,265,2020-07-25 00:00:00
Roanoke,698,10,15,2020-07-25 00:00:00
Southside,583,32,62,2020-07-25 00:00:00
Thomas Jefferson,1575,30,129,2020-07-25 00:00:00
Three Rivers,922,13,66,2020-07-25 00:00:00
Virginia Beach,3448,43,180,2020-07-25 00:00:00
Western Tidewater,1514,69,120,2020-07-25 00:00:00
West Piedmont,805,11,88,2020-07-25 00:00:00
Alexandria,2695,57,265,2020-07-26 00:00:00
Alleghany,775,15,37,2020-07-26 00:00:00
Arlington,2807,135,431,2020-07-26 00:00:00
Central Shenandoah,2549,50,199,2020-07-26 00:00:00
Central Virginia,797,6,19,2020-07-26 00:00:00
Chesapeake,2151,25,183,2020-07-26 00:00:00
Chesterfield,4013,89,234,2020-07-26 00:00:00
Chickahominy,859,40,122,2020-07-26 00:00:00
Crater,1984,50,197,2020-07-26 00:00:00
Cumberland Plateau,190,1,12,2020-07-26 00:00:00
Eastern Shore,1356,43,121,2020-07-26 00:00:00
Fairfax,15433,528,1871,2020-07-26 00:00:00
Hampton,873,4,48,2020-07-26 00:00:00
Henrico,3290,178,301,2020-07-26 00:00:00
Lenowisco,182,6,26,2020-07-26 00:00:00
Lord Fairfax,2417,82,209,2020-07-26 00:00:00
Loudoun,4820,106,325,2020-07-26 00:00:00
Mount Rogers,1110,39,104,2020-07-26 00:00:00
New River,379,6,26,2020-07-26 00:00:00
Norfolk,2771,20,157,2020-07-26 00:00:00
Peninsula,2334,40,158,2020-07-26 00:00:00
Piedmont,1227,19,116,2020-07-26 00:00:00
Pittsylvania-Danville,517,5,57,2020-07-26 00:00:00
Portsmouth,1267,21,109,2020-07-26 00:00:00
