COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
027,DESOTO,2099,37,46,142,273,279,385,446,267,152,68,4,0 to 102,52,809,1132,158,2089,10,0,10,1934,198,6,132,1961,0,6,2083,54,71,7,132,0,8,11,28,21,13,23,17,5,6,0,7 to 92,44,108,5,2,17,69,39,24,33,0,24,0,0,8,132,71,54,132,0,0,2218,10,2361,2228,132,8,134,68,2020-05-28 20:12:49.464099
029,DIXIE,775,20,25,57,85,128,98,134,120,67,40,1,0 to 118,52,456,298,21,775,0,0,10,713,47,0,46,728,1,0,774,21,25,0,46,0,2,8,1,8,8,9,3,4,3,0,6 to 91,51,34,11,0,1,0,44,2,10,0,8,0,0,2,46,25,21,46,0,0,775,0,822,775,46,2,52,6,2020-05-28 20:12:49.464099
031,DUVAL,47504,761,968,4110,7441,6877,7347,8618,6369,3263,1637,111,-35 to 119,50,26262,20451,791,46921,583,0,533,45813,1450,180,1523,45885,19,77,46825,789,677,0,1466,21,34,148,253,240,226,263,183,96,59,0,0 to 101,48,654,546,174,92,207,1122,137,324,15,255,9,2,46,1523,704,817,1466,57,0,49379,526,51480,49905,1523,46,949,833,2020-05-28 20:12:49.464099
033,ESCAMBIA,17562,433,436,1369,2251,2047,2379,3291,2791,1605,924,36,0 to 119,54,10642,6880,40,14843,2719,0,140,17046,614,62,784,16768,9,1,14833,375,264,0,639,5,14,77,91,106,94,129,103,105,60,0,0 to 105,55,301,234,17,87,14,475,150,84,0,64,0,0,29,784,317,467,639,145,0,15634,2574,19011,18208,784,29,140,64,2020-05-28 20:12:49.464099
035,FLAGLER,3820,42,35,183,363,446,537,761,757,480,210,6,0 to 119,59,2236,1530,54,3785,35,0,67,3671,164,37,179,3635,6,0,3779,102,72,0,174,0,1,11,22,22,29,44,33,14,3,0,7 to 94,56,105,22,40,7,22,143,9,31,3,20,2,1,4,179,74,105,174,5,0,4008,30,4228,4038,179,4,58,29,2020-05-28 20:12:49.464099
037,FRANKLIN,460,2,4,24,34,34,48,105,123,71,15,0,0 to 95,63,256,200,4,456,4,0,8,452,5,3,2,458,0,0,456,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,577,3,582,580,2,0,3,2,2020-05-28 20:12:49.464099
039,GADSDEN,2833,48,88,203,475,488,495,443,375,137,79,2,0 to 119,47,1988,831,14,2815,17,1,27,2648,243,14,268,2563,2,0,2814,202,62,0,264,2,4,14,57,63,52,30,26,11,9,0,0 to 98,44,102,115,10,37,19,194,51,47,0,44,0,0,1,268,63,205,263,4,1,3407,13,3698,3420,268,1,331,174,2020-05-28 20:12:49.464099
041,GILCHRIST,650,11,10,68,81,84,97,104,90,69,36,0,0 to 118,52,399,241,10,650,0,0,5,637,22,1,12,637,1,0,649,7,5,0,12,0,0,2,1,1,3,3,1,1,0,0,21 to 79,50,8,1,2,1,2,10,0,1,0,0,0,0,0,12,5,7,12,0,0,681,0,694,681,12,0,18,1,2020-05-28 20:12:49.464099
043,GLADES,162,2,7,15,21,23,18,20,27,22,6,1,1 to 90,51,92,68,2,162,0,0,4,136,22,0,24,138,0,0,162,10,14,0,24,1,2,2,6,3,3,2,3,1,1,0,3 to 89,38,17,5,0,2,11,10,3,9,0,4,0,0,1,24,14,10,24,0,0,152,0,176,152,24,1,54,23,2020-05-28 20:12:49.464099
045,GULF,593,10,8,36,56,61,96,123,119,65,19,0,0 to 94,57,352,238,3,539,54,0,14,578,44,7,1,592,0,0,539,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,675,54,730,729,1,0,5,1,2020-05-28 20:12:49.464099
047,HAMILTON,1913,11,17,138,522,401,311,235,163,69,42,4,0 to 118,41,403,1478,32,1909,4,0,30,1853,211,5,209,1703,1,0,1908,12,196,0,208,0,0,9,66,48,42,35,6,3,0,0,17 to 84,41,98,96,13,1,13,61,134,7,1,2,0,0,0,209,196,13,208,1,0,1794,3,2009,1797,209,0,5,3,2020-05-28 20:12:49.464099
049,HARDEE,772,17,34,90,144,83,102,117,108,55,22,0,0 to 94,46,426,325,21,768,4,0,21,621,90,3,88,684,0,0,768,39,47,0,86,1,6,16,29,7,10,9,9,1,0,0,2 to 83,30,44,32,10,0,38,47,1,17,2,11,2,0,0,88,48,40,86,2,0,743,2,833,745,88,0,105,75,2020-05-28 20:12:49.464099
051,HENDRY,1980,61,53,225,349,300,283,288,177,132,105,7,0 to 119,44,1001,969,10,1978,2,0,58,1703,346,2,354,1625,0,1,1977,130,224,0,354,8,5,39,84,74,47,37,20,23,17,0,0 to 101,40,262,50,12,30,233,107,14,73,0,46,0,0,13,354,224,130,354,0,0,1774,2,2133,1776,354,13,424,165,2020-05-28 20:12:49.464099
053,HERNANDO,3414,65,58,231,448,420,515,647,531,365,130,4,0 to 119,54,2043,1357,14,3397,17,0,61,3266,146,40,113,3301,0,0,3397,54,55,0,109,1,6,7,23,15,15,21,15,9,1,0,1 to 85,48,90,17,2,0,24,84,1,35,2,22,2,1,5,113,56,57,109,4,0,3625,13,3771,3638,113,5,90,62,2020-05-28 20:12:49.464099
055,HIGHLANDS,3648,51,51,161,364,318,419,588,701,621,354,20,0 to 119,62,2215,1394,39,3583,65,0,39,3519,108,17,119,3523,2,4,3577,58,59,0,117,1,4,8,15,14,15,30,15,16,1,0,0 to 85,55,66,26,21,4,38,70,9,45,1,36,1,0,8,119,61,58,117,2,0,3861,63,4049,3924,119,8,128,39,2020-05-28 20:12:49.464099
057,HILLSBOROUGH,51192,1177,1344,4035,7441,7386,7997,8942,7199,3865,1709,97,0 to 119,50,29418,21540,234,50788,404,0,543,49671,1431,299,2019,49107,46,20,50723,1042,918,0,1960,26,44,206,323,322,324,298,222,154,100,0,0 to 104,47,928,418,404,210,555,1093,312,487,11,402,8,3,76,2019,945,1074,1960,59,0,52480,344,54976,52824,2019,76,679,331,2020-05-28 20:12:49.464099
059,HOLMES,757,12,11,57,86,88,124,146,148,63,21,1,0 to 119,54,427,311,19,748,9,0,3,744,16,3,18,739,0,0,748,8,10,0,18,1,0,0,4,5,4,1,2,1,0,0,1 to 79,42,12,3,1,2,0,16,2,4,0,1,0,0,0,18,10,8,18,0,0,760,9,788,769,18,0,12,11,2020-05-28 20:12:49.464099
061,INDIAN RIVER,5047,47,49,279,434,431,599,859,1048,753,533,15,0 to 119,62,3074,1948,25,4976,71,0,119,4716,264,58,120,4866,0,61,4917,56,53,0,109,0,2,7,14,9,15,17,28,17,11,0,5 to 96,62,75,9,16,9,8,80,21,53,6,29,3,0,9,120,60,60,109,11,0,5141,58,5320,5199,120,9,499,144,2020-05-28 20:12:49.464099
063,JACKSON,2899,22,29,221,497,495,509,459,300,221,140,6,0 to 105,48,1288,1510,101,2880,19,0,18,2652,145,20,241,2649,7,2,2871,42,193,1,236,2,5,17,61,53,49,39,12,3,0,0,0 to 82,40,102,89,8,37,16,121,99,23,2,12,0,0,0,241,196,44,236,5,0,3154,14,3424,3168,241,0,242,162,2020-05-28 20:12:49.464099
065,JEFFERSON,554,11,11,20,43,74,78,116,119,64,17,1,0 to 101,58,332,217,5,549,5,0,6,485,67,7,29,525,0,0,549,15,12,0,27,0,0,1,2,1,3,7,7,4,4,0,22 to 95,66,10,12,5,0,3,23,1,4,2,7,0,0,3,29,14,15,27,2,0,577,3,610,580,29,3,46,9,2020-05-28 20:12:49.464099
067,LAFAYETTE,336,5,0,41,40,38,33,34,45,55,44,1,0 to 119,59,218,110,8,336,0,0,11,324,13,1,8,328,0,0,336,3,5,0,8,0,0,2,2,0,1,1,0,0,2,0,19 to 98,40,8,0,0,0,2,6,0,1,0,1,0,0,0,8,5,3,8,0,0,356,0,364,356,8,0,1,1,2020-05-28 20:12:49.464099
069,LAKE,14859,205,226,742,1308,1434,1837,2418,2787,1978,647,1277,0 to 101,59,7784,5956,1119,14726,133,0,117,14415,305,92,280,14557,9,13,14704,136,130,0,266,1,8,18,30,39,54,43,48,36,3,0,1 to 98,52,140,37,73,16,73,174,19,117,11,70,5,1,15,280,138,142,266,14,0,15371,119,15789,15490,280,15,359,106,2020-05-28 20:12:49.464099
071,LEE,24965,273,313,1541,2712,2984,3504,4375,4669,3129,1408,57,0 to 119,57,14465,10270,230,24034,930,1,433,22938,1726,166,1802,23141,3,19,24013,945,793,7,1745,18,20,116,204,258,295,287,235,183,186,0,0 to 101,54,1119,299,43,284,432,1011,302,583,15,409,13,4,100,1802,825,970,1744,57,1,24402,873,27085,25275,1802,100,1783,439,2020-05-28 20:12:49.464099
073,LEON,12590,185,289,1428,2051,1860,1951,2080,1707,668,340,31,0 to 119,47,6509,5942,139,12363,226,1,125,12042,380,78,379,12196,4,11,12349,189,165,0,354,1,10,101,66,50,53,61,26,8,3,0,2 to 87,36,134,194,8,18,21,309,24,75,10,37,9,6,6,379,179,200,353,25,1,13217,201,13803,13418,379,6,556,202,2020-05-28 20:12:49.464099
075,LEVY,1585,24,26,130,186,167,215,320,253,184,79,1,0 to 118,56,965,603,17,1584,1,0,16,1468,190,2,30,1554,1,0,1583,22,8,0,30,0,0,3,5,7,3,7,1,1,3,0,16 to 99,46,17,8,2,3,5,22,3,10,0,3,0,0,0,30,8,22,30,0,0,1800,1,1832,1801,30,0,58,8,2020-05-28 20:12:49.464099
077,LIBERTY,2208,3,4,155,686,560,398,268,93,28,5,8,0 to 92,39,164,2035,9,2208,0,0,1,2007,52,0,209,1999,0,0,2208,5,204,0,209,0,0,11,55,51,53,35,4,0,0,0,20 to 73,41,109,92,5,3,6,129,74,5,0,1,0,0,0,209,204,5,209,0,0,2024,0,2235,2024,209,0,24,5,2020-05-28 20:12:49.464099
079,MADISON,1009,42,33,85,111,119,138,146,176,105,47,7,0 to 99,52,642,360,7,986,23,0,24,886,213,10,69,938,2,0,984,39,26,0,65,2,0,8,4,8,8,16,10,4,9,0,0 to 98,57,21,37,4,3,1,52,12,10,0,4,0,1,4,69,27,42,65,4,0,956,19,1047,975,69,4,116,30,2020-05-28 20:12:49.464099
081,MANATEE,15011,244,294,783,1330,1506,1955,2881,3228,1999,688,103,0 to 119,59,8581,6102,328,14769,242,0,480,14042,941,43,1007,13997,6,1,14762,573,426,1,1000,9,32,54,106,139,147,156,151,135,78,0,0 to 101,56,664,186,75,75,237,643,120,136,2,207,2,2,95,1007,429,577,1000,7,0,15487,235,16743,15722,1007,95,190,92,2020-05-28 20:12:49.464099
083,MARION,11613,139,167,710,1307,1375,1753,2068,2146,1376,545,27,0 to 168,56,7040,4528,45,11582,31,0,2710,8556,1486,130,241,11067,1,304,11277,132,104,0,236,4,3,16,34,47,44,44,28,14,7,0,0 to 97,49,173,39,17,7,43,186,7,44,3,32,0,0,5,241,105,136,236,5,0,11487,26,11758,11513,241,5,285,133,2020-05-28 20:12:49.464099
085,MARTIN,6574,113,117,407,582,698,816,1256,1304,916,344,21,0 to 100,59,3247,2825,502,6484,90,0,145,6125,440,64,557,6007,5,5,6475,259,280,7,546,22,22,78,77,100,95,73,37,38,13,2,0 to 92,41,247,12,170,117,281,156,109,116,2,73,1,1,9,557,288,262,546,11,0,6834,78,7483,6912,557,9,62,51,2020-05-28 20:12:49.464099
087,MONROE,2608,25,37,132,272,338,441,587,454,231,89,2,0 to 101,56,1367,1188,53,2550,58,0,718,1607,513,88,107,2391,0,110,2442,45,51,0,96,0,3,7,12,13,17,20,16,13,6,0,6 to 91,55,74,5,1,16,22,54,20,14,3,10,2,0,4,107,57,50,96,11,0,2442,45,2594,2487,107,4,320,84,2020-05-28 20:12:49.464099
089,NASSAU,3210,44,50,221,325,361,441,619,594,381,170,4,0 to 103,57,1726,1277,207,3102,108,0,32,3129,53,27,74,3136,0,0,3102,36,31,0,67,0,0,9,15,13,8,8,12,6,3,0,15 to 89,45,54,9,2,2,1,64,2,22,0,13,0,0,1,74,34,40,67,7,0,3420,101,3597,3521,74,1,37,31,2020-05-28 20:12:49.464099
091,OKALOOSA,6738,153,119,501,955,952,881,1044,800,726,568,39,0 to 119,52,4118,2575,45,6597,140,1,107,6382,206,66,199,6537,2,0,6596,104,87,0,191,3,4,8,23,28,26,40,31,23,13,0,0 to 96,56,148,32,11,0,33,158,0,57,2,34,1,0,6,199,92,107,190,8,1,6885,132,7222,7017,199,6,501,152,2020-05-28 20:12:49.464099
093,OKEECHOBEE,1501,21,32,204,173,155,186,232,177,174,136,11,0 to 119,53,897,583,21,1494,7,0,48,1406,89,7,68,1433,0,0,1494,33,34,0,67,0,4,21,10,12,7,8,3,2,1,0,6 to 87,34,47,14,1,5,24,37,6,3,0,6,1,0,0,68,35,33,67,1,0,1517,6,1593,1523,68,0,76,48,2020-05-28 20:12:49.464099
095,ORANGE,61165,1078,1376,4478,8495,8992,9809,10096,7296,3472,1329,4744,0 to 120,49,33891,26956,318,60125,1039,1,588,59449,1426,372,1902,59199,50,14,60062,862,958,1,1821,31,46,197,343,348,393,295,138,79,31,1,0 to 101,44,794,292,634,101,834,849,138,590,42,309,35,5,40,1902,1007,894,1820,81,1,64740,958,67667,65698,1902,40,618,409,2020-05-28 20:12:49.464099
097,OSCEOLA,13134,162,339,869,1742,1889,2177,2283,1761,874,319,719,0 to 155,50,7377,5686,71,13062,72,0,371,12085,713,188,674,12402,13,45,13005,321,309,0,630,7,15,47,102,109,129,114,83,52,16,0,0 to 102,49,323,58,246,3,384,216,30,234,6,150,6,2,19,674,342,331,630,44,0,13267,27,13982,13294,674,19,517,83,2020-05-28 20:12:49.464099
099,PALM BEACH,64196,919,1257,4176,7386,7465,8978,11216,10266,7209,3731,1593,0 to 119,56,35420,28490,286,63463,731,2,1458,60355,4320,302,5541,58308,224,123,63121,2654,2791,5,5450,49,108,499,840,836,846,813,638,540,371,1,0 to 104,50,2626,1059,765,1000,1646,2717,1087,1487,28,1114,18,12,327,5541,2842,2694,5448,91,2,62393,637,69008,63030,5541,327,720,456,2020-05-28 20:12:49.464099
101,PASCO,13192,254,301,893,1534,1770,2097,2368,2108,1287,552,28,0 to 119,53,7736,5409,47,13118,74,0,152,12666,472,97,375,12796,5,16,13097,197,168,0,365,7,11,27,44,71,75,53,56,16,15,0,0 to 94,49,239,42,46,38,72,247,46,94,4,76,3,1,13,375,174,201,365,10,0,13962,64,14420,14026,375,13,653,193,2020-05-28 20:12:49.464099
103,PINELLAS,35407,334,400,1967,3937,3958,5069,6971,6526,4000,2165,80,0 to 120,58,20510,14796,101,35083,324,0,1420,33045,2607,363,1218,34096,12,81,34991,651,517,0,1168,6,23,82,160,131,188,201,174,135,118,0,0 to 101,55,853,201,78,36,115,983,70,354,18,379,16,1,80,1218,547,671,1168,50,0,37508,273,39022,37781,1218,80,320,228,2020-05-28 20:12:49.464099
105,POLK,17956,419,440,1237,2198,2259,2598,2976,2898,1839,752,340,0 to 119,53,10428,7335,193,17866,90,0,302,16817,942,125,939,17007,4,6,17856,575,351,2,928,3,13,72,129,127,143,146,112,106,88,0,2 to 103,53,574,201,118,35,236,627,65,360,7,273,2,0,54,939,355,582,928,11,0,18660,79,19712,18739,939,54,666,227,2020-05-28 20:12:49.464099
107,PUTNAM,3353,67,98,305,482,414,532,572,418,294,160,11,0 to 118,50,2119,1188,46,3345,8,0,72,3115,221,19,149,3200,2,2,3341,89,60,0,149,0,12,13,21,22,26,15,18,15,7,0,6 to 98,47,86,54,8,1,6,138,5,33,0,18,0,0,5,149,60,89,149,0,0,3395,8,3560,3403,149,5,109,40,2020-05-28 20:12:49.464099
113,SANTA ROSA,6851,226,260,516,896,960,1020,1146,1040,542,235,10,0 to 119,50,3756,3067,28,6786,65,0,66,6600,205,51,237,6611,2,1,6783,63,171,0,234,3,2,17,42,44,42,38,31,11,7,0,0 to 94,47,164,42,5,23,12,179,43,24,0,24,0,0,9,237,171,66,234,3,0,7179,62,7484,7241,237,9,582,74,2020-05-28 20:12:49.464099
115,SARASOTA,12890,151,166,640,1117,1161,1595,2399,2733,1959,928,41,0 to 119,61,7273,5428,189,12658,232,0,408,12151,851,89,611,12275,3,1,12654,346,248,0,594,3,5,26,54,60,70,89,103,114,87,0,0 to 104,64,482,44,37,31,53,475,66,187,10,164,7,1,77,611,258,353,594,17,0,13569,215,14404,13784,611,77,224,118,2020-05-28 20:12:49.464099
117,SEMINOLE,16321,207,373,1216,2005,2183,2540,2801,2451,1163,498,884,0 to 119,51,9302,6886,133,16287,34,0,234,15736,451,95,474,15830,13,4,16270,255,213,0,468,7,9,50,81,73,84,58,64,28,20,0,0 to 100,46,335,69,58,6,166,294,8,187,5,107,1,0,12,474,215,259,468,6,0,18598,28,19116,18626,474,12,400,157,2020-05-28 20:12:49.464099
109,ST. JOHNS,9603,129,224,666,960,1407,1583,1752,1619,860,387,16,0 to 119,53,5347,4133,123,9574,29,0,218,9115,351,119,247,9324,22,10,9542,117,117,2,236,2,5,19,22,30,53,58,40,14,4,0,2 to 97,52,189,17,17,13,15,198,23,59,3,38,3,0,5,247,124,121,236,11,0,10340,18,10644,10358,247,5,159,122,2020-05-28 20:12:49.464099
111,ST. LUCIE,9374,150,174,581,1075,1138,1424,1689,1596,1032,485,30,0 to 119,55,5391,3759,224,9228,146,0,308,8521,755,70,424,8861,6,83,9139,219,195,0,414,2,6,29,65,63,69,65,60,40,25,0,3 to 97,51,212,104,42,56,71,277,66,134,0,94,1,0,30,424,199,225,414,10,0,9554,136,10125,9690,424,30,73,58,2020-05-28 20:12:49.464099
119,SUMTER,3795,27,25,89,167,178,293,506,1406,886,131,87,0 to 119,69,1848,1732,215,3721,74,0,105,3445,265,53,253,3519,0,23,3698,72,180,0,252,0,0,7,6,31,40,38,87,37,7,0,17 to 92,65,210,34,5,3,14,233,5,58,0,44,0,0,17,253,181,72,252,1,0,3695,73,4042,3768,253,17,50,38,2020-05-28 20:12:49.464099
121,SUWANNEE,2097,54,46,156,268,237,242,339,298,235,212,10,0 to 118,56,1345,667,85,2092,5,0,56,1855,497,11,166,1931,0,0,2092,113,48,0,161,1,6,15,16,21,19,19,20,29,20,0,1 to 102,57,107,42,4,8,14,137,10,29,1,38,0,0,18,166,50,116,161,5,0,2125,0,2298,2125,166,18,8,6,2020-05-28 20:12:49.464099
123,TAYLOR,813,33,17,69,105,99,107,151,137,68,23,4,0 to 118,52,460,321,32,806,7,0,15,740,84,4,16,796,1,0,805,8,8,0,16,0,0,5,3,0,1,5,2,0,0,0,20 to 70,40,16,0,0,0,0,16,0,4,0,2,0,0,0,16,8,8,16,0,0,876,7,902,883,16,0,101,70,2020-05-28 20:12:49.464099
125,UNION,1154,11,16,54,75,107,137,397,274,69,14,0,0 to 118,59,312,835,7,1154,0,0,13,1126,65,4,31,1123,0,0,1154,5,26,0,31,0,0,0,5,1,2,15,7,1,0,0,25 to 76,59,17,11,2,1,0,30,1,4,0,4,0,0,0,31,26,5,31,0,0,1738,0,1770,1738,31,0,10,8,2020-05-28 20:12:49.464099
999,Unknown,1384,0,2,63,148,175,188,175,140,220,271,2,6 to 119,60,951,427,6,126,1258,0,1,1380,3,8,86,1296,1,1,125,1,3,0,4,0,1,5,25,17,21,8,1,7,1,0,6 to 86,41,1,0,1,2,0,0,4,0,1,0,0,0,0,86,53,33,4,82,0,162,1175,1441,1337,86,0,14,12,2020-05-28 20:12:49.464099
127,VOLUSIA,19844,168,281,987,1986,2126,2865,4135,3885,2116,1005,290,0 to 119,58,11063,8045,736,19749,95,0,211,19112,671,133,709,19123,12,0,19737,311,383,1,695,4,17,48,97,84,122,129,121,49,38,0,0 to 102,53,401,149,125,20,102,545,48,191,5,140,4,0,37,709,389,319,695,14,0,20640,81,21454,20721,709,37,706,279,2020-05-28 20:12:49.464099
129,WAKULLA,1227,13,26,82,136,164,208,243,207,107,39,2,0 to 102,54,697,519,11,1223,4,0,11,1184,178,2,32,1195,0,0,1223,21,9,0,30,0,0,4,5,4,9,5,3,1,1,0,19 to 86,46,14,13,3,0,0,30,0,6,0,5,0,0,1,32,9,23,30,2,0,1324,2,1358,1326,32,1,78,16,2020-05-28 20:12:49.464099
131,WALTON,1589,46,32,95,163,197,238,283,242,158,132,3,0 to 101,55,888,664,37,1534,55,0,26,1488,131,36,109,1479,1,0,1533,56,38,0,94,1,2,7,13,14,14,24,15,13,6,0,3 to 101,56,86,7,0,1,5,86,3,18,3,15,2,0,9,109,43,66,94,15,0,1583,40,1736,1623,109,9,68,31,2020-05-28 20:12:49.464099
133,WASHINGTON,848,11,12,48,86,105,136,181,122,94,53,0,0 to 119,56,501,322,25,844,4,0,27,752,82,10,51,790,0,7,837,24,26,1,51,0,0,3,5,3,4,10,11,11,4,0,16 to 99,65,21,2,0,28,0,22,29,3,0,9,0,0,3,51,26,24,51,0,0,860,4,916,864,51,3,73,40,2020-05-28 20:12:49.464099
001,ALACHUA,15196,210,205,1567,2780,2217,2208,2559,1898,912,574,66,0 to 119,47,8822,6220,154,14927,269,0,192,14825,397,55,378,14810,8,0,14919,214,145,0,359,3,5,54,69,41,58,55,56,22,14,1,0 to 118,47,143,134,28,54,33,270,56,111,5,74,4,0,7,378,154,224,359,19,0,17317,250,17953,17567,378,7,78,57,2020-05-29 19:58:58.821981
003,BAKER,882,30,14,95,130,119,143,148,103,66,32,2,0 to 99,48,488,339,55,822,60,0,22,839,61,3,28,854,0,0,822,18,10,0,28,0,0,3,2,3,1,5,6,5,3,0,20 to 97,65,20,6,2,0,0,27,1,8,0,10,0,0,3,28,10,18,28,0,0,881,60,969,941,28,3,3,2,2020-05-29 19:58:58.821981
005,BAY,3121,35,31,191,367,411,520,609,436,280,186,55,0 to 119,54,1750,1316,55,3100,21,0,43,3022,99,35,98,3021,2,0,3098,42,54,0,96,2,1,5,17,15,26,16,11,4,1,0,2 to 93,48,75,11,6,4,25,63,8,28,1,13,1,1,3,98,56,42,96,2,0,3676,19,3795,3695,98,3,35,28,2020-05-29 19:58:58.821981
007,BRADFORD,1465,18,25,116,185,168,221,288,189,146,103,6,0 to 118,54,919,520,26,1463,2,0,27,1396,143,1,51,1413,0,1,1462,41,10,0,51,0,2,3,3,7,4,3,6,12,11,0,8 to 107,72,45,5,1,0,0,51,0,4,0,11,0,0,2,51,10,41,51,0,0,1566,2,1620,1568,51,2,112,80,2020-05-29 19:58:58.821981
009,BREVARD,19192,250,327,1021,1788,2043,2665,4372,3924,2098,552,152,0 to 119,58,10924,8163,105,19175,17,0,141,18860,370,73,409,18780,2,1,19172,213,185,0,398,3,6,39,45,52,64,88,53,36,23,0,0 to 99,54,294,57,19,28,68,301,29,97,2,59,2,0,12,409,188,221,398,11,0,21835,6,22252,21841,409,12,215,157,2020-05-29 19:58:58.821981
011,BROWARD,92146,1037,1328,5861,13212,13993,16320,17727,12394,6629,3453,192,0 to 119,51,50180,40312,1654,90713,1433,0,1698,86032,7148,968,6975,85105,42,24,90650,3443,3362,2,6807,27,81,553,1095,1097,1287,1258,783,496,298,0,0 to 102,50,3454,2540,663,150,2269,4399,139,2330,66,1483,54,21,308,6975,3470,3503,6807,168,0,95032,1262,103327,96294,6975,308,843,487,2020-05-29 19:58:58.821981
013,CALHOUN,509,5,4,38,43,78,70,88,82,66,34,1,0 to 99,56,298,192,19,509,0,0,3,442,43,3,53,455,1,0,508,41,12,0,53,0,0,4,3,4,1,2,6,15,18,0,20 to 99,80,35,9,1,8,0,42,11,12,0,6,0,0,4,53,12,41,53,0,0,530,0,585,530,53,4,67,10,2020-05-29 19:58:58.821981
015,CHARLOTTE,5366,60,48,238,443,516,731,1030,1029,725,540,6,0 to 119,61,3165,2127,74,5348,18,0,123,4927,444,19,446,4916,1,3,5344,279,165,0,444,4,4,12,43,25,46,79,67,75,91,0,0 to 101,67,360,50,9,25,17,395,32,86,1,118,1,0,62,446,166,280,444,2,0,5498,16,5961,5514,446,62,80,59,2020-05-29 19:58:58.821981
017,CITRUS,3789,38,64,167,341,332,440,697,899,612,190,9,0 to 222,62,2083,1491,215,3782,7,0,52,3549,202,25,120,3666,2,1,3780,59,61,0,120,2,4,8,9,7,17,29,20,14,10,0,0 to 97,60,85,1,10,24,14,83,23,30,0,32,0,0,12,120,61,59,120,0,0,4083,6,4212,4089,120,12,493,57,2020-05-29 19:58:58.821981
019,CLAY,8141,118,198,599,934,1124,1333,1465,1294,754,301,21,0 to 101,53,4706,3317,118,8121,20,0,92,7755,415,43,374,7764,3,0,8118,219,151,1,371,0,3,19,34,45,57,67,71,50,28,0,6 to 95,59,222,74,28,47,25,287,59,113,0,89,0,0,28,374,152,221,371,3,0,8925,17,9320,8942,374,28,197,167,2020-05-29 19:58:58.821981
021,COLLIER,14302,270,430,1036,1508,1635,1858,2251,2603,2037,671,3,0 to 105,56,7830,6440,32,13948,354,0,288,12892,1313,147,1454,12839,3,6,13939,696,684,0,1380,33,60,162,207,221,206,216,144,139,66,0,0 to 101,46,909,83,140,248,698,437,245,276,19,191,10,5,49,1454,726,728,1380,74,0,14375,280,16116,14655,1454,49,1301,306,2020-05-29 19:58:58.821981
023,COLUMBIA,3356,84,94,229,396,416,439,660,544,285,199,10,0 to 119,55,1890,1362,104,3342,14,0,172,3066,238,16,140,3212,0,4,3338,64,75,0,139,3,4,14,31,22,27,23,11,4,1,0,0 to 91,44,73,61,4,1,9,127,3,5,0,13,0,0,2,140,76,64,139,1,0,3524,13,3683,3537,140,2,9,7,2020-05-29 19:58:58.821981
025,DADE,155110,1600,2286,11455,24350,24539,28294,26892,18397,10514,6181,602,0 to 225,49,81279,72599,1232,154033,1076,1,3229,142935,12483,919,17641,137217,192,60,153783,8659,8784,7,17450,92,201,1389,2884,2770,3295,2887,1931,1237,937,18,0 to 108,49,9637,2806,821,4186,9330,3787,4333,4749,44,2875,30,11,685,17641,8913,8721,17449,191,1,156412,884,175133,157296,17641,685,2155,1418,2020-05-29 19:58:58.821981
027,DESOTO,2142,37,47,153,287,285,393,449,267,152,68,4,0 to 102,51,813,1143,186,2132,10,0,10,1967,205,6,171,1965,0,6,2126,56,80,35,171,0,9,20,42,27,19,26,17,5,6,0,7 to 92,39,143,5,2,21,103,40,28,33,0,24,0,0,8,171,80,56,171,0,0,2284,10,2466,2294,171,8,134,66,2020-05-29 19:58:58.821981
029,DIXIE,779,20,25,60,85,129,98,134,120,67,40,1,0 to 118,52,457,301,21,779,0,0,10,707,57,0,49,729,1,0,778,22,27,0,49,0,2,10,1,9,8,9,3,4,3,0,6 to 91,49,37,11,0,1,0,47,2,10,0,8,0,0,2,49,27,22,49,0,0,829,0,879,829,49,2,61,11,2020-05-29 19:58:58.821981
