COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
067,LAFAYETTE,11,0,0,1,1,2,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19 to 86,57,NA,0,0,6,5,0,11,0,0,4,7,0,0,0,0,0,0,0,0,11,0,11,0,0,4,0,0,0,0,0,0,0,0,11,0,11,11,0,0,0,0,2020-03-31 20:28:19.969954
069,LAKE,1182,35,18,88,138,133,170,189,192,167,51,1,0,0,4,3,6,10,15,12,15,1,0,0 to 101,53,18 to 85,59,0,701,455,26,1171,11,0,45,1106,31,10,35,21,26,27,13,0,1176,66,1106,4,6,42,34,41,66,32,34,59,7,0,1104,3,1182,1107,66,0,143,116,2020-03-31 20:28:19.969954
071,LEE,2167,35,26,133,291,283,327,373,383,235,80,1,0,1,11,24,22,20,35,45,40,8,0,0 to 98,52,10 to 96,198,0,1288,865,14,2152,14,1,176,1949,42,57,109,40,82,81,43,8,2158,206,1952,0,9,57,84,144,206,105,101,197,8,1,1947,5,2167,1952,206,8,375,302,2020-03-31 20:28:19.969954
073,LEON,620,21,15,87,114,92,85,98,71,28,9,0,0,0,2,8,8,2,4,2,0,0,0,0 to 95,44,19 to 71,24,0,383,234,3,615,4,1,15,579,26,12,2,12,20,2,4,0,617,26,591,0,3,11,18,19,26,14,12,23,2,1,589,2,620,591,26,0,124,86,2020-03-31 20:28:19.969954
075,LEVY,100,3,6,5,14,11,14,10,21,14,2,0,0,0,0,0,0,0,2,0,0,0,0,0 to 87,50,60 to 64,2,0,63,37,0,100,0,0,18,82,0,1,0,1,1,0,1,0,99,2,97,0,1,7,11,2,2,1,1,2,0,0,97,0,100,97,2,0,7,6,2020-03-31 20:28:19.969954
077,LIBERTY,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29 to 76,45,NA,0,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,2020-03-31 20:28:19.969954
079,MADISON,29,0,0,2,5,3,6,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21 to 88,52,NA,0,0,20,9,0,29,0,0,2,27,0,0,0,0,0,0,0,0,29,0,29,0,0,2,0,0,0,0,0,0,0,0,29,0,29,29,0,0,0,0,2020-03-31 20:28:19.969954
081,MANATEE,435,9,10,22,41,48,68,80,87,41,27,2,0,1,0,4,5,9,14,12,7,1,0,0 to 100,54,14 to 86,53,0,245,185,5,431,4,0,47,376,12,4,38,11,18,18,17,2,429,53,376,0,6,32,47,23,53,29,24,53,0,0,372,4,435,376,53,2,152,94,2020-03-31 20:28:19.969954
083,MARION,802,14,15,72,77,108,115,131,150,81,37,2,0,0,3,5,2,6,4,4,0,1,0,0 to 97,52,19 to 88,24,0,477,308,17,799,3,0,36,724,42,20,0,5,23,0,2,0,653,25,628,0,149,122,282,41,25,10,15,24,1,0,627,1,802,628,25,0,84,78,2020-03-31 20:28:19.969954
085,MARTIN,315,3,4,20,26,41,41,47,72,39,22,0,0,0,1,2,2,8,5,4,6,0,0,1 to 99,56,20 to 80,26,0,169,127,19,313,2,0,17,280,18,17,1,10,23,1,4,0,310,28,282,0,5,21,12,10,28,18,10,26,2,0,282,0,315,282,28,0,56,50,2020-03-31 20:28:19.969954
087,MONROE,273,2,1,19,41,40,54,62,31,13,10,0,0,0,4,2,1,10,3,2,5,0,0,0 to 92,50,19 to 80,23,0,158,109,6,255,18,0,39,194,40,7,15,5,19,3,5,0,206,27,179,0,67,63,80,22,27,16,11,23,4,0,170,9,273,179,27,0,93,90,2020-03-31 20:28:19.969954
089,NASSAU,145,1,3,6,15,28,14,34,22,16,6,0,0,0,1,0,3,1,2,3,0,0,0,4 to 92,53,24 to 73,10,0,85,59,1,143,2,0,9,124,12,3,3,4,9,0,1,0,145,10,135,0,0,15,4,6,10,5,5,10,0,0,133,2,145,135,10,0,18,17,2020-03-31 20:28:19.969954
091,OKALOOSA,317,12,13,20,52,53,55,55,34,18,3,2,1,0,2,6,4,6,5,7,7,1,0,0 to 93,45,3 to 87,36,0,185,120,12,312,4,1,60,222,35,21,2,16,32,1,6,1,275,39,236,0,42,45,11,54,39,19,20,35,3,1,235,1,317,236,39,1,141,88,2020-03-31 20:28:19.969954
093,OKEECHOBEE,55,1,3,6,4,8,6,10,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,4 to 91,50,NA,0,0,29,26,0,54,1,0,21,27,7,0,0,0,0,0,0,0,54,0,54,0,1,24,2,1,0,0,0,0,0,0,53,1,55,54,0,0,2,1,2020-03-31 20:28:19.969954
095,ORANGE,3988,178,116,355,654,699,665,583,416,215,107,0,4,2,31,57,73,76,69,26,24,11,0,0 to 99,45,0 to 91,348,0,2267,1708,13,3872,115,1,147,3747,94,78,182,113,142,169,62,4,3975,373,3602,0,13,147,93,74,373,211,161,347,25,1,3512,90,3988,3602,373,4,528,372,2020-03-31 20:28:19.969954
097,OSCEOLA,874,18,27,69,160,174,145,121,95,53,10,2,1,1,6,15,22,22,22,13,7,1,0,0 to 97,45,0 to 91,106,0,508,364,2,866,8,0,165,614,95,48,19,43,59,17,34,1,813,110,703,0,61,160,34,103,110,60,50,106,4,0,701,2,874,703,110,1,148,102,2020-03-31 20:28:19.969954
099,PALM BEACH,3241,47,67,233,473,484,510,511,473,308,121,14,2,2,32,54,66,69,84,105,104,33,0,0 to 104,50,0 to 99,527,0,1809,1383,49,3205,34,2,173,2977,91,58,392,101,123,364,64,14,3182,551,2631,0,59,101,210,130,551,286,256,525,24,2,2621,10,3241,2631,551,14,549,458,2020-03-31 20:28:19.969954
101,PASCO,1074,26,30,64,128,164,193,197,163,83,26,0,0,0,6,5,6,9,5,8,1,0,0,0 to 95,50,17 to 75,39,0,654,417,3,1061,13,0,75,961,38,19,12,9,30,4,6,2,1061,40,1020,1,13,70,42,37,40,17,23,39,1,0,1010,10,1074,1020,40,2,176,105,2020-03-31 20:28:19.969954
103,PINELLAS,2921,51,41,174,404,377,452,521,497,256,143,5,0,0,12,24,18,27,38,32,15,1,0,0 to 104,52,15 to 91,150,0,1692,1209,20,2874,47,0,249,2498,174,66,43,58,89,31,47,5,2855,167,2684,4,66,288,34,78,167,90,77,150,17,0,2656,29,2921,2685,167,5,307,241,2020-03-31 20:28:19.969954
105,POLK,1214,26,27,89,155,173,199,198,189,118,40,0,0,4,5,8,14,12,12,9,7,2,0,0 to 97,50,8 to 88,73,0,720,489,5,1208,6,0,115,1041,58,29,9,35,36,9,28,1,1182,73,1109,0,32,109,37,47,73,33,40,73,0,0,1103,6,1214,1109,73,1,129,94,2020-03-31 20:28:19.969954
107,PUTNAM,284,11,3,24,37,39,42,51,33,32,12,0,0,0,2,0,2,4,0,4,1,0,0,0 to 97,50,22 to 82,13,0,176,106,2,283,1,0,93,179,12,10,1,2,12,0,1,0,279,13,265,1,5,52,19,87,13,6,7,13,0,0,265,1,284,266,13,0,7,7,2020-03-31 20:28:19.969954
113,SANTA ROSA,377,21,15,35,63,61,61,44,51,23,3,0,2,0,7,8,5,6,7,7,2,0,0,0 to 90,44,0 to 81,44,0,226,150,1,377,0,0,31,320,26,14,21,9,36,1,7,2,375,44,331,0,2,39,3,17,44,25,19,44,0,0,331,0,377,331,44,2,371,284,2020-03-31 20:28:19.969954
115,SARASOTA,883,8,8,42,77,79,107,134,157,170,101,0,0,0,2,4,6,9,9,18,22,6,0,0 to 100,60,21 to 90,67,0,488,391,4,854,29,0,345,497,41,22,17,37,37,7,32,3,849,76,772,1,34,263,66,86,76,37,39,67,9,0,757,16,883,773,76,3,204,126,2020-03-31 20:28:19.969954
117,SEMINOLE,1191,19,26,106,199,218,192,177,150,56,48,0,0,0,5,19,14,22,20,22,1,0,0,0 to 104,47,19 to 76,99,0,718,459,14,1184,7,0,80,1054,57,42,11,50,70,8,25,0,1171,103,1067,1,20,87,41,56,103,44,59,99,4,0,1064,3,1191,1067,103,0,235,202,2020-03-31 20:28:19.969954
109,ST. JOHNS,969,17,23,58,132,153,174,175,137,67,30,3,0,3,5,8,7,16,18,17,4,1,0,0 to 96,50,9 to 91,77,0,533,389,47,964,5,0,140,765,64,38,13,28,48,13,18,2,940,79,860,1,29,107,94,71,79,47,31,77,2,0,858,2,969,860,79,2,122,107,2020-03-31 20:28:19.969954
111,ST. LUCIE,550,14,15,38,72,78,83,93,87,53,17,0,0,0,2,4,3,5,9,8,5,2,0,0 to 95,50,18 to 95,36,0,301,211,38,546,4,0,53,476,21,18,1,19,26,1,11,2,536,38,498,0,14,53,9,20,38,17,20,36,2,0,496,2,550,498,38,2,60,56,2020-03-31 20:28:19.969954
119,SUMTER,785,5,8,9,18,20,53,109,367,184,12,0,0,0,1,0,3,4,3,25,13,2,0,0 to 96,66,18 to 92,51,0,447,336,2,785,0,0,41,711,33,25,7,19,31,5,15,0,780,51,724,5,5,77,25,32,51,25,25,51,0,0,728,0,785,728,51,0,28,25,2020-03-31 20:28:19.969954
121,SUWANNEE,75,1,2,6,5,7,9,13,18,12,2,0,0,0,0,0,0,2,1,0,0,0,0,4 to 86,56,47 to 64,3,0,52,20,3,75,0,0,38,34,3,1,0,2,3,0,0,0,69,3,66,0,6,37,13,3,3,1,2,3,0,0,66,0,75,66,3,0,6,4,2020-03-31 20:28:19.969954
123,TAYLOR,35,0,0,2,4,7,7,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 81,50,NA,0,0,18,17,0,35,0,0,5,30,0,0,0,0,0,0,0,0,35,0,35,0,0,5,0,0,0,0,0,0,0,0,35,0,35,35,0,0,1,1,2020-03-31 20:28:19.969954
125,UNION,45,4,1,2,6,8,7,8,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1 to 86,45,60 to 60,1,0,23,21,1,45,0,0,6,36,3,0,1,0,1,0,0,0,43,1,42,0,2,8,5,0,1,0,1,1,0,0,42,0,45,42,1,0,4,3,2020-03-31 20:28:19.969954
999,Unknown,24,0,0,2,4,0,5,4,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0,21 to 95,57,30 to 62,0,0,12,12,0,11,13,0,0,24,0,0,2,0,0,2,0,0,14,2,12,0,10,0,0,0,2,0,2,0,2,0,3,9,24,12,2,0,11,10,2020-03-31 20:28:19.969954
127,VOLUSIA,821,20,22,50,122,126,113,137,144,69,17,1,0,0,7,11,12,10,9,24,6,1,0,0 to 94,49,17 to 89,78,0,494,317,10,816,5,0,57,697,67,42,13,25,48,12,20,1,817,80,737,0,4,39,33,58,80,36,43,78,2,0,734,3,821,737,80,1,221,147,2020-03-31 20:28:19.969954
129,WAKULLA,51,0,2,5,9,8,12,9,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,7 to 93,45,45 to 45,1,0,36,15,0,51,0,0,6,45,0,1,0,0,1,0,0,0,51,1,50,0,0,4,0,2,1,0,1,1,0,0,50,0,51,50,1,0,24,15,2020-03-31 20:28:19.969954
131,WALTON,127,5,3,13,9,21,26,21,20,6,3,0,0,0,3,1,1,4,3,2,3,1,0,1 to 97,48,20 to 90,11,0,69,55,3,118,9,0,34,66,27,10,1,7,12,1,5,0,126,18,108,0,1,17,32,12,18,7,11,11,7,0,106,2,127,108,18,0,19,15,2020-03-31 20:28:19.969954
133,WASHINGTON,48,0,1,2,7,9,7,9,8,4,1,0,0,0,0,0,0,1,0,0,0,0,0,5 to 86,51,53 to 53,1,0,26,15,7,48,0,0,14,28,6,0,1,0,0,0,1,0,41,1,40,0,7,17,1,2,1,1,0,1,0,0,40,0,48,40,1,0,9,9,2020-03-31 20:28:19.969954
001,ALACHUA,1530,60,23,273,328,220,176,183,161,56,31,19,1,0,21,19,9,11,16,11,2,1,41,0 to 118,42,2 to 91,87,0,920,579,31,1506,24,0,166,1330,34,37,34,21,48,30,14,0,1514,92,1419,3,16,69,66,17,92,42,50,87,5,0,1401,19,1530,1420,92,0,62,50,2020-04-01 20:08:29.256720
003,BAKER,87,0,4,7,13,8,19,9,8,11,8,0,0,0,1,0,0,0,2,1,3,2,52,5 to 99,70,24 to 97,9,0,60,21,6,86,1,0,43,41,3,7,1,1,7,0,2,0,85,9,76,0,2,13,17,15,9,4,5,9,0,0,75,1,87,76,9,0,1,0,2020-04-01 20:08:29.256720
005,BAY,154,4,4,11,27,22,30,31,12,11,2,0,0,0,1,3,3,2,2,2,0,0,46,0 to 90,45,21 to 74,12,0,88,63,3,152,2,0,22,108,24,8,3,2,11,1,1,0,151,13,138,0,3,18,19,9,13,10,3,12,1,0,137,1,154,138,13,0,27,25,2020-04-01 20:08:29.256720
007,BRADFORD,79,0,0,5,6,9,13,14,11,13,8,0,0,0,0,0,0,0,0,1,1,1,60,19 to 118,78,69 to 88,3,0,45,32,2,79,0,0,25,54,0,0,3,0,1,0,2,0,79,3,76,0,0,8,16,7,3,1,2,3,0,0,76,0,79,76,3,0,21,21,2020-04-01 20:08:29.256720
009,BREVARD,702,9,16,36,93,99,93,153,107,63,32,1,1,1,4,5,6,5,16,5,2,2,52,0 to 99,50,1 to 94,42,0,415,270,17,697,5,0,73,601,28,23,6,18,30,4,13,0,696,47,649,0,6,54,30,18,47,28,19,42,5,0,649,0,702,649,47,0,194,159,2020-04-01 20:08:29.256720
011,BROWARD,12170,113,158,878,2054,2249,2283,2042,1435,647,298,13,2,5,125,199,243,246,246,172,77,32,48,0 to 106,49,0 to 97,1316,0,5800,4896,1474,12053,117,0,805,10921,444,327,677,344,577,637,134,13,12079,1348,10725,6,91,449,623,655,1348,710,557,1316,32,0,10646,80,12170,10726,1348,13,907,689,2020-04-01 20:08:29.256720
013,CALHOUN,15,0,0,2,0,3,1,3,4,2,0,0,0,0,0,0,0,0,0,1,0,0,55,19 to 84,73,73 to 73,1,0,9,6,0,15,0,0,1,12,2,0,0,1,0,0,1,0,15,1,14,0,0,2,1,0,1,0,1,1,0,0,14,0,15,14,1,0,2,1,2020-04-01 20:08:29.256720
015,CHARLOTTE,343,6,7,18,23,40,41,56,89,41,21,1,0,0,1,1,1,4,4,9,4,2,57,0 to 96,64,24 to 93,26,0,195,139,9,341,2,0,16,322,5,7,16,3,10,13,3,0,338,26,312,0,5,13,1,9,26,11,15,26,0,0,311,1,343,312,26,0,72,61,2020-04-01 20:08:29.256720
017,CITRUS,283,4,4,14,29,29,34,58,58,34,16,3,0,0,2,3,2,2,7,3,2,2,56,0 to 97,56,17 to 88,23,0,168,99,16,282,1,0,81,188,14,2,17,4,13,4,6,2,279,23,256,0,4,27,44,29,23,11,12,23,0,0,255,1,283,256,23,2,105,38,2020-04-01 20:08:29.256720
019,CLAY,594,3,11,34,66,100,135,112,77,40,16,0,0,0,3,6,6,11,12,8,3,4,51,0 to 118,55,18 to 94,53,0,343,221,30,592,2,0,87,486,21,19,13,21,26,8,19,5,590,53,537,0,4,42,26,45,53,26,25,53,0,0,535,2,594,537,53,5,37,25,2020-04-01 20:08:29.256720
021,COLLIER,1451,8,18,90,188,167,199,254,252,200,74,1,0,0,12,26,9,17,37,22,27,8,55,0 to 94,56,16 to 94,134,0,844,597,10,1385,66,0,216,1147,88,56,70,32,93,48,17,1,1417,158,1259,0,34,134,133,69,158,85,73,134,24,0,1218,41,1451,1259,158,1,257,250,2020-04-01 20:08:29.256720
023,COLUMBIA,185,11,16,16,17,26,23,30,30,12,3,1,0,0,0,0,0,2,0,1,0,0,45,1 to 98,54,46 to 70,3,0,102,81,2,183,2,0,62,116,7,0,3,0,3,0,0,0,145,3,141,1,40,73,41,22,3,1,2,3,0,0,141,1,185,142,3,0,7,7,2020-04-01 20:08:29.256720
025,MIAMI-DADE,12211,168,211,859,2079,2133,2178,1863,1515,802,384,19,7,15,155,426,399,439,336,245,130,49,1,0 to 115,48,2 to 101,2166,0,6329,5744,138,12115,95,1,519,11401,291,152,1653,397,421,1633,148,7,12081,2202,9875,4,130,298,412,461,2202,1220,951,2165,36,1,9822,56,12211,9878,2202,7,1829,1596,2020-04-01 20:08:29.256720
027,DESOTO,123,3,1,7,26,16,9,21,18,18,4,0,0,0,0,4,0,0,2,0,0,1,52,2 to 91,47,27 to 91,7,0,75,47,1,123,0,0,49,74,0,4,0,3,4,0,3,1,118,7,111,0,5,8,62,16,7,5,2,7,0,0,111,0,123,111,7,1,3,2,2020-04-01 20:08:29.256720
029,DIXIE,41,2,2,4,3,8,3,7,8,3,1,0,0,0,0,0,0,0,0,0,0,0,49,0 to 118,NA,NA,0,0,20,21,0,41,0,0,7,34,0,0,0,0,0,0,0,0,41,0,41,0,0,6,1,0,0,0,0,0,0,0,41,0,41,41,0,0,0,0,2020-04-01 20:08:29.256720
031,DUVAL,3993,56,70,273,683,657,672,595,434,281,263,9,0,2,15,23,43,49,41,28,23,15,50,0 to 103,53,5 to 97,232,0,2329,1493,171,3977,16,0,152,3803,38,18,194,27,40,168,31,4,3813,239,3572,2,180,203,82,106,239,102,123,232,7,0,3566,8,3993,3574,239,4,260,231,2020-04-01 20:08:29.256720
033,ESCAMBIA,934,41,33,92,188,138,157,141,90,40,14,0,1,1,17,19,18,14,14,9,2,1,43,0 to 100,41,2 to 94,89,0,573,352,9,866,68,0,53,844,37,50,35,11,69,25,2,0,932,96,836,0,2,47,37,17,96,48,46,89,7,0,775,61,934,836,96,0,86,60,2020-04-01 20:08:29.256720
035,FLAGLER,223,1,1,14,24,27,32,45,55,17,7,0,0,0,1,1,2,2,10,7,1,0,54,1 to 93,58,17 to 77,22,0,132,90,1,220,3,0,22,184,17,15,2,7,20,0,4,0,223,24,198,1,0,4,51,14,24,14,10,22,2,0,197,1,223,198,24,0,56,31,2020-04-01 20:08:29.256720
037,FRANKLIN,20,0,1,2,0,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,56,7 to 84,NA,NA,0,0,8,11,1,20,0,0,4,15,1,0,0,0,0,0,0,0,20,0,20,0,0,6,1,0,0,0,0,0,0,0,20,0,20,20,0,0,2,2,2020-04-01 20:08:29.256720
039,GADSDEN,48,3,0,2,7,5,15,6,6,3,1,0,0,0,0,0,0,1,0,0,0,0,48,0 to 90,54,54 to 54,1,0,30,18,0,47,0,1,3,42,3,0,1,0,0,1,0,0,48,1,47,0,0,1,3,2,1,1,0,0,0,1,47,0,48,47,1,0,2,2,2020-04-01 20:08:29.256720
041,GILCHRIST,40,3,1,7,4,9,3,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,43,0 to 89,NA,NA,0,0,23,17,0,40,0,0,5,35,0,0,0,0,0,0,0,0,40,0,40,0,0,1,2,0,0,0,0,0,0,0,40,0,40,40,0,0,1,1,2020-04-01 20:08:29.256720
043,GLADES,7,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1,64,39 to 89,79,67 to 89,3,0,2,5,0,7,0,0,3,4,0,0,1,2,0,0,3,1,7,3,4,0,0,0,1,2,3,2,1,3,0,0,4,0,7,4,3,1,2,1,2020-04-01 20:08:29.256720
045,GULF,41,2,2,2,5,4,6,9,8,3,0,0,0,0,0,0,1,0,0,0,0,0,49,2 to 77,42,42 to 42,1,0,23,18,0,39,2,0,14,19,8,0,0,1,1,0,0,0,41,1,40,0,0,14,10,1,1,0,1,1,0,0,38,2,41,40,1,0,3,2,2020-04-01 20:08:29.256720
047,HAMILTON,26,0,0,5,0,4,3,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,54,19 to 93,NA,NA,0,0,11,15,0,24,2,0,8,17,1,0,0,0,0,0,0,0,23,0,23,0,3,6,1,3,0,0,0,0,0,0,22,1,26,23,0,0,2,0,2020-04-01 20:08:29.256720
049,HARDEE,21,2,1,0,2,2,3,3,7,0,1,0,0,0,0,0,0,0,0,1,0,0,50,0 to 89,73,73 to 73,0,0,14,7,0,19,2,0,1,19,1,0,0,1,0,0,1,0,21,1,20,0,0,1,2,0,1,0,1,0,1,0,19,1,21,20,1,0,0,0,2020-04-01 20:08:29.256720
051,HENDRY,68,0,4,3,10,14,6,14,7,4,6,0,0,0,0,1,1,1,0,1,0,0,50,7 to 90,46,28 to 70,4,0,36,30,2,67,1,0,7,60,1,2,0,2,2,0,2,0,66,4,62,0,2,8,3,0,4,2,2,4,0,0,61,1,68,62,4,0,9,8,2020-04-01 20:08:29.256720
053,HERNANDO,349,7,11,30,46,44,55,60,58,28,10,0,0,0,3,6,2,2,5,7,2,1,50,0 to 93,51,19 to 85,27,0,208,138,3,341,8,0,65,257,27,15,3,10,21,1,6,0,343,28,315,0,6,37,65,25,28,13,15,27,1,0,308,7,349,315,28,0,27,21,2020-04-01 20:08:29.256720
055,HIGHLANDS,127,6,1,5,26,14,13,21,23,14,4,0,1,0,1,6,2,2,2,2,5,0,50,0 to 95,49,0 to 82,21,0,72,46,9,127,0,0,12,105,10,9,3,9,13,3,5,1,118,21,95,2,9,13,6,7,21,12,9,21,0,0,95,0,127,95,21,1,45,40,2020-04-01 20:08:29.256720
057,HILLSBOROUGH,4824,171,123,464,898,859,728,697,500,257,124,3,2,7,50,69,63,69,55,29,12,6,45,0 to 119,44,0 to 93,351,0,2841,1957,26,4768,56,0,209,4480,135,113,151,98,236,66,60,3,4813,362,4451,0,11,231,139,152,362,182,180,351,11,0,4407,44,4824,4451,362,3,629,312,2020-04-01 20:08:29.256720
059,HOLMES,33,3,2,1,4,4,9,5,3,1,0,1,0,0,0,1,0,0,0,0,0,0,43,0 to 79,27,27 to 27,1,0,19,9,5,33,0,0,1,31,1,0,0,1,1,0,0,0,28,1,27,0,5,0,2,0,1,1,0,1,0,0,27,0,33,27,1,0,3,3,2020-04-01 20:08:29.256720
061,INDIAN RIVER,384,7,4,21,27,34,56,74,86,55,19,1,0,1,1,5,1,8,4,10,5,0,57,0 to 105,56,8 to 84,30,0,229,151,4,377,7,0,38,313,33,16,6,13,21,8,6,0,376,35,341,0,8,42,15,16,35,20,15,30,5,0,340,1,384,341,35,0,86,56,2020-04-01 20:08:29.256720
063,JACKSON,91,0,0,11,17,13,14,16,8,8,3,1,0,0,0,3,1,0,0,0,0,0,48,18 to 88,32,28 to 38,3,0,52,30,9,89,2,0,16,61,14,3,0,1,4,0,0,0,78,4,74,0,13,18,5,7,4,1,3,3,1,0,73,1,91,74,4,0,7,4,2020-04-01 20:08:29.256720
065,JEFFERSON,19,2,2,1,1,2,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,1 to 75,NA,NA,0,0,9,10,0,19,0,0,1,18,0,0,0,0,0,0,0,0,19,0,19,0,0,1,0,0,0,0,0,0,0,0,19,0,19,19,0,0,7,1,2020-04-01 20:08:29.256720
067,LAFAYETTE,11,0,0,1,1,2,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,57,19 to 86,NA,NA,0,0,6,5,0,11,0,0,4,7,0,0,0,0,0,0,0,0,11,0,11,0,0,4,0,0,0,0,0,0,0,0,11,0,11,11,0,0,0,0,2020-04-01 20:08:29.256720
069,LAKE,1216,36,18,89,143,137,179,196,196,169,52,1,0,0,4,3,6,13,17,11,16,1,53,0 to 101,59,18 to 85,64,0,722,469,25,1206,10,0,50,1134,32,13,36,22,32,25,14,0,1210,71,1135,4,6,43,36,48,71,35,36,64,7,0,1133,3,1216,1136,71,0,153,124,2020-04-01 20:08:29.256720
071,LEE,2285,37,27,141,307,295,351,386,408,247,84,2,0,1,11,30,25,25,40,51,43,9,52,0 to 98,57,10 to 96,227,0,1356,910,19,2270,14,1,191,2049,45,64,125,46,90,97,48,10,2272,235,2037,0,13,68,75,149,235,119,116,226,8,1,2032,5,2285,2037,235,10,413,338,2020-04-01 20:08:29.256720
073,LEON,684,23,15,96,126,101,99,107,79,29,9,0,0,0,2,9,10,4,4,3,0,0,43,0 to 95,41,19 to 71,29,0,424,257,3,678,5,1,18,637,29,16,3,13,24,3,5,0,682,32,650,0,2,15,19,20,32,16,16,28,3,1,648,2,684,650,32,0,138,96,2020-04-01 20:08:29.256720
075,LEVY,105,3,6,5,15,11,15,13,21,14,2,0,0,0,0,0,0,0,2,0,0,0,50,0 to 87,62,60 to 64,2,0,66,39,0,105,0,0,18,87,0,1,0,1,1,0,1,0,104,2,102,0,1,7,11,2,2,1,1,2,0,0,102,0,105,102,2,0,7,6,2020-04-01 20:08:29.256720
077,LIBERTY,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,29 to 76,NA,NA,0,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,2020-04-01 20:08:29.256720
079,MADISON,33,0,0,4,5,3,6,4,6,3,2,0,0,0,1,0,0,0,0,1,0,0,52,18 to 88,44,23 to 66,1,0,23,10,0,32,1,0,3,28,2,1,0,1,1,0,1,0,32,2,30,0,1,3,1,1,2,0,2,1,1,0,30,0,33,30,2,0,6,6,2020-04-01 20:08:29.256720
081,MANATEE,499,11,13,27,46,59,82,92,94,45,28,2,0,1,1,6,8,13,17,13,10,1,53,0 to 100,57,14 to 86,70,0,281,211,7,495,4,0,51,435,13,4,53,13,23,28,19,3,495,70,425,0,4,37,46,24,70,35,33,70,0,0,421,4,499,425,70,3,164,102,2020-04-01 20:08:29.256720
083,MARION,865,15,15,76,83,119,128,136,162,87,42,2,0,0,3,5,3,7,5,6,0,1,52,0 to 97,48,19 to 88,29,0,511,334,20,862,3,0,42,780,43,24,0,6,27,0,3,0,702,30,672,0,163,141,307,49,30,12,18,29,1,0,671,1,865,672,30,0,84,76,2020-04-01 20:08:29.256720
085,MARTIN,412,6,5,22,38,57,53,65,90,47,29,0,0,0,2,2,2,9,8,4,6,0,56,1 to 99,56,20 to 80,31,0,229,164,19,410,2,0,18,375,19,17,4,12,23,4,6,0,406,33,373,0,6,20,14,12,33,20,13,31,2,0,373,0,412,373,33,0,57,51,2020-04-01 20:08:29.256720
087,MONROE,308,2,1,22,48,46,58,67,39,15,10,0,0,0,4,4,1,10,4,2,5,0,50,0 to 92,50,19 to 80,26,0,174,128,6,290,18,0,43,220,45,9,16,5,22,3,5,0,242,30,212,0,66,70,84,22,30,18,12,26,4,0,201,11,308,212,30,0,95,91,2020-04-01 20:08:29.256720
089,NASSAU,182,2,4,7,25,32,22,42,24,18,6,0,0,0,1,1,3,1,2,3,0,0,51,1 to 92,50,24 to 73,11,0,109,66,7,180,2,0,10,160,12,4,3,4,10,0,1,0,182,11,171,0,0,15,5,6,11,5,6,11,0,0,169,2,182,171,11,0,18,15,2020-04-01 20:08:29.256720
