COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
031,DUVAL,2014,32,32,132,285,303,304,297,235,180,209,5,0,1,5,6,18,23,19,14,15,14,0,0 to 104,53,13 to 97,109,0,1179,774,61,2000,14,0,140,1843,31,12,87,16,16,77,22,3,1792,115,1676,1,222,193,67,70,115,48,56,109,6,0,1670,7,1779,1677,115,3,119,91,2020-03-28 17:22:43.330300
033,ESCAMBIA,478,27,20,46,101,62,73,76,51,17,5,0,0,0,3,4,3,8,7,1,1,1,0,0 to 94,42,22 to 94,27,0,309,167,2,447,31,0,26,437,15,12,12,4,23,4,1,0,477,28,449,0,1,22,17,8,28,13,15,27,1,0,419,30,446,449,28,0,42,20,2020-03-28 17:22:43.330310
035,FLAGLER,143,1,1,10,19,17,21,25,33,13,3,0,0,0,1,1,1,1,5,3,1,0,0,1 to 93,53,17 to 77,12,0,84,59,0,141,2,0,16,116,11,9,2,2,11,1,1,0,143,13,130,0,0,3,38,10,13,7,6,12,1,0,129,1,141,130,13,0,49,28,2020-03-28 17:22:43.330319
037,FRANKLIN,15,0,1,1,0,1,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7 to 84,60,NA,0,0,6,9,0,15,0,0,4,10,1,0,0,0,0,0,0,0,15,0,15,0,0,5,1,0,0,0,0,0,0,0,15,0,15,15,0,0,1,1,2020-03-28 17:22:43.330328
039,GADSDEN,36,2,0,1,7,5,7,4,6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0 to 90,48,54 to 54,1,0,21,15,0,35,0,1,3,30,3,0,1,0,0,1,0,0,36,1,35,0,0,1,3,2,1,1,0,0,0,1,35,0,36,35,1,0,0,0,2020-03-28 17:22:43.330338
041,GILCHRIST,24,3,0,2,3,5,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0 to 89,46,NA,0,0,15,9,0,24,0,0,2,22,0,0,0,0,0,0,0,0,24,0,24,0,0,1,2,0,0,0,0,0,0,0,24,0,24,24,0,0,0,0,2020-03-28 17:22:43.330347
043,GLADES,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46 to 69,57,NA,0,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,1,1,2020-03-28 17:22:43.330356
045,GULF,32,0,2,2,4,3,5,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8 to 77,51,NA,0,0,18,14,0,30,2,0,13,11,8,0,0,0,0,0,0,0,32,0,32,0,0,12,9,1,0,0,0,0,0,0,30,2,30,32,0,0,2,1,2020-03-28 17:22:43.330366
047,HAMILTON,16,0,0,3,0,3,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,23 to 93,57,NA,0,0,6,10,0,15,1,0,5,10,1,0,0,0,0,0,0,0,14,0,14,0,2,3,1,3,0,0,0,0,0,0,14,0,14,14,0,0,2,0,2020-03-28 17:22:43.330375
049,HARDEE,12,0,0,0,1,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 to 71,56,NA,0,0,7,5,0,11,1,0,1,10,1,0,0,0,0,0,0,0,12,0,12,0,0,1,1,0,0,0,0,0,0,0,11,1,11,12,0,0,0,0,2020-03-28 17:22:43.330384
