ConfirmedCases,ConfirmedCases_0_9,ConfirmedCases_10_19,ConfirmedCases_20_29,ConfirmedCases_30_39,ConfirmedCases_40_49,ConfirmedCases_50_59,ConfirmedCases_60_69,ConfirmedCases_70_plus,ConfirmedCases_AIAN,ConfirmedCases_Asian,ConfirmedCases_Black,ConfirmedCases_Female,ConfirmedCases_Hispanic,ConfirmedCases_Male,ConfirmedCases_Other,ConfirmedCases_White,Deaths,Deaths_0_9,Deaths_10_19,Deaths_20_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_AIAN,Deaths_Asian,Deaths_Black,Deaths_Female,Deaths_Hispanic,Deaths_Male,Deaths_Other,Deaths_White,Scrape_Time,Total Tested: Lab_CPL,Total Tested: Lab_LabCorp,Total Tested: Lab_NSPHL,Total Tested: Lab_Other,Total Tested: Lab_Quest,Total Tested: Lab_RRMC,Total Tested: Lab_SNPHL,Total Tested: Lab_UMC,TotalNegative_0_9,TotalNegative_10_19,TotalNegative_20_29,TotalNegative_30_39,TotalNegative_40_49,TotalNegative_50_59,TotalNegative_60_69,TotalNegative_70_plus,TotalNegative_AIAN,TotalNegative_Asian,TotalNegative_Black,TotalNegative_Female,TotalNegative_Hispanic,TotalNegative_Male,TotalNegative_Other,TotalNegative_White,TotalTested_0_9,TotalTested_10_19,TotalTested_20_29,TotalTested_30_39,TotalTested_40_49,TotalTested_50_59,TotalTested_60_69,TotalTested_70_plus,TotalTested_AIAN,TotalTested_Asian,TotalTested_Black,TotalTested_Female,TotalTested_Hispanic,TotalTested_Male,TotalTested_Other,TotalTested_White,TotalTests
"10,030",196,486,"1,521","1,629","1,572","1,612","1,176","1,186",70,713,792,"5,077","2,303","4,736",569,"2,576",444,0,1,3,6,24,38,93,275,3,65,57,180,70,254,12,204,2020-06-09 20:58:04.622238,"17,954","31,370","41,257","19,329","35,205","3,769","15,373","46,900","2,963","5,190","22,425","27,206","27,488","30,511","24,746","21,186",907,"4,653","8,751","88,817","4,573","80,694","14,886","43,316","3,159","5,676","23,946","28,835","29,060","32,123","25,922","22,372",977,"5,366","9,543","93,894","6,876","85,430","15,455","45,892","211,157"
"10,164",205,500,"1,566","1,661","1,598","1,636","1,190","1,197",70,717,794,"5,173","2,337","4,814",592,"2,605",448,0,1,3,6,24,39,93,278,3,65,57,182,71,256,12,206,2020-06-10 21:34:43.054340,"18,156","31,738","43,137","19,348","35,883","3,891","15,918","47,016","3,064","5,370","23,089","27,877","28,014","31,054","25,179","21,567",911,"4,682","8,794","90,315","4,591","82,715","14,961","43,519","3,269","5,870","24,655","29,538","29,612","32,690","26,369","22,764",981,"5,399","9,588","95,488","6,928","87,529","15,553","46,124","215,087"
"10,399",210,509,"1,611","1,692","1,632","1,661","1,206","1,213",70,720,797,"5,259","2,342","4,907",613,"2,620",458,0,1,3,6,24,40,93,281,3,65,57,184,71,256,12,208,2020-06-11 20:47:45.898132,"18,449","32,282","44,685","21,802","36,246","4,014","16,418","47,890","3,140","5,640","23,933","28,943","29,127","32,093","25,924","22,064",913,"4,715","8,847","92,912","4,621","85,704","15,096","43,778","3,350","6,149","25,544","30,635","30,759","33,754","27,130","23,277",983,"5,435","9,644","98,171","6,963","90,611","15,709","46,398","221,786"
"10,678",217,529,"1,679","1,743","1,682","1,695","1,231","1,233",74,726,809,"5,388","2,374","5,047",626,"2,681",462,0,1,3,6,24,42,94,288,3,65,58,187,71,261,12,213,2020-06-12 20:57:40.217958,"18,799","32,744","46,866","23,293","37,339","4,129","16,918","49,185","3,203","5,890","24,983","30,138","30,145","33,145","26,687","22,592",953,"4,830","9,265","95,478","4,887","88,938","15,047","45,571","3,420","6,419","26,662","31,881","31,827","34,840","27,918","23,825","1,027","5,556","10,074","100,866","7,261","93,985","15,673","48,252","229,273"
"10,946",226,554,"1,747","1,797","1,719","1,729","1,256","1,247",74,727,816,"5,521","2,395","5,178",668,"2,702",463,0,1,3,6,24,41,93,292,3,65,58,189,72,264,12,217,2020-06-13 21:34:28.578366,"19,452","33,193","48,105","24,829","37,937","4,242","17,396","50,346","3,294","6,185","25,920","31,101","31,082","34,099","27,263","22,968",959,"4,850","9,356","97,885","4,898","91,608","15,301","45,938","3,520","6,739","27,667","32,898","32,801","35,828","28,519","24,215","1,033","5,577","10,172","103,406","7,293","96,786","15,969","48,640","235,500"
"11,173",231,568,"1,809","1,843","1,754","1,764","1,267","1,248",75,728,824,"5,631","2,399","5,279",706,"2,719",464,0,1,3,6,24,41,93,292,3,65,58,189,72,264,12,217,2020-06-15 03:09:41.864658,"19,468","34,051","48,784","27,210","38,520","4,311","17,981","51,404","3,375","6,512","26,791","31,971","32,121","35,152","28,023","23,440",967,"4,881","9,415","100,510","4,904","94,275","15,544","46,235","3,606","7,080","28,600","33,814","33,875","36,916","29,290","24,688","1,042","5,609","10,239","106,141","7,303","99,554","16,250","48,954","241,729"
"11,279",235,595,"1,868","1,895","1,791","1,797","1,287","1,259",75,730,837,"5,755","2,402","5,396",761,"2,742",465,0,1,3,6,24,41,93,292,3,65,58,189,72,264,12,217,2020-06-15 21:54:45.511385,"19,501","34,500","50,459","29,606","38,824","4,364","17,981","53,263","3,491","6,829","27,696","33,051","33,204","36,176","28,744","23,880",976,"4,917","9,500","102,983","4,915","97,457","15,897","46,602","3,726","7,424","29,564","34,946","34,995","37,973","30,031","25,139","1,051","5,647","10,337","108,738","7,317","102,853","16,658","49,344","248,498"
"11,658",251,629,"1,960","1,942","1,845","1,851","1,314","1,270",58,761,815,"5,940","3,258","5,545",368,"2,509",467,0,2,3,6,24,42,94,293,3,66,58,190,73,267,12,219,2020-06-16 21:46:47.676194,"19,637","34,777","51,153","32,621","40,399","4,457","18,179","53,576","3,548","7,170","28,689","34,206","34,262","37,184","29,394","24,261",977,"4,940","9,549","105,831","4,969","100,131","16,005","46,826","3,799","7,799","30,649","36,148","36,107","39,035","30,708","25,531","1,035","5,701","10,364","111,771","8,227","105,676","16,373","49,335","254,799"
"11,842",257,638,"1,991","1,982","1,871","1,885","1,328","1,289",57,772,803,"6,035","3,342","5,628",336,"2,511",473,0,2,3,6,24,42,94,294,3,66,58,191,73,267,12,220,2020-06-17 21:09:39.091149,"19,883","35,073","52,857","35,236","40,933","4,570","18,334","53,915","3,596","7,411","29,551","35,174","35,140","38,076","29,974","24,629",978,"4,949","9,579","107,834","4,988","102,847","16,053","47,016","3,853","8,049","31,542","37,156","37,011","39,961","31,302","25,918","1,035","5,721","10,382","113,869","8,330","108,475","16,389","49,527","260,801"
"12,076",268,650,"2,041","2,017","1,906","1,904","1,343","1,296",58,779,807,"6,135","3,426","5,712",360,"2,522",475,0,2,3,6,24,43,98,297,3,66,58,192,74,271,12,223,2020-06-18 21:17:38.047718,"19,924","35,542","54,204","35,531","41,409","4,615","18,547","54,796","3,676","7,542","30,041","35,779","35,616","38,529","30,314","24,978",981,"4,975","9,644","108,911","5,003","104,641","16,200","47,256","3,944","8,192","32,082","37,796","37,522","40,433","31,657","26,274","1,039","5,754","10,451","115,046","8,429","110,353","16,560","49,778","264,568"
"12,486",276,665,"2,106","2,078","1,952","1,944","1,361","1,310",58,782,805,"6,269","3,529","5,846",324,"2,521",478,0,2,3,6,24,43,99,297,3,66,58,193,75,272,12,223,2020-06-19 19:47:47.220097,"20,075","36,083","55,905","36,028","42,739","4,643","18,828","54,796","3,760","7,680","30,642","36,506","36,105","38,993","30,624","25,268",979,"4,988","9,653","110,324","5,020","106,297","16,208","47,370","4,035","8,345","32,749","38,584","38,058","40,949","31,988","26,588","1,037","5,770","10,458","116,599","8,549","112,163","16,532","49,891","269,097"
"12,931",291,715,"2,201","2,154","2,012","1,984","1,374","1,321",58,784,812,"6,456","3,662","6,016",333,"2,532",486,0,2,3,6,25,42,101,298,3,67,58,195,76,273,12,223,2020-06-20 21:34:50.877309,"20,211","36,631","57,267","36,745","43,880","4,643","19,238","56,264","3,868","7,941","31,492","37,469","36,771","39,551","31,042","25,606",984,"5,017","9,735","111,963","5,042","108,494","16,492","47,719","4,159","8,656","33,693","39,623","38,783","41,535","32,416","26,927","1,042","5,801","10,547","118,419","8,704","114,510","16,825","50,251","274,879"
