County Name,Scrape Time,Total Cases,Total Deaths,Total Tests
Elko,2020-07-02 22:17:29.121049,129,1,"4,808"
Esmeralda,2020-07-02 22:17:29.121049,0,0,54
Eureka,2020-07-02 22:17:29.121049,1,0,64
Humboldt,2020-07-02 22:17:29.121049,85,4,"1,718"
Lander,2020-07-02 22:17:29.121049,35,0,828
Lincoln,2020-07-02 22:17:29.121049,2,0,251
Lyon,2020-07-02 22:17:29.121049,121,2,"2,530"
Mineral,2020-07-02 22:17:29.121049,5,0,869
Nye,2020-07-02 22:17:29.121049,114,3,"2,630"
Pershing,2020-07-02 22:17:29.121049,6,0,"2,780"
Storey,2020-07-02 22:17:29.121049,2,0,70
Washoe,2020-07-02 22:17:29.121049,"2,804",77,"52,547"
White Pine,2020-07-02 22:17:29.121049,5,0,"1,126"
Carson City,2020-07-03 22:46:49.396052,167,5,"8,828"
Churchill,2020-07-03 22:46:49.396052,14,1,"2,568"
Clark,2020-07-03 22:46:49.396052,"17,028",435,"263,819"
Douglas,2020-07-03 22:46:49.396052,70,0,"2,453"
Elko,2020-07-03 22:46:49.396052,135,1,"4,830"
Esmeralda,2020-07-03 22:46:49.396052,0,0,54
Eureka,2020-07-03 22:46:49.396052,1,0,65
Humboldt,2020-07-03 22:46:49.396052,85,4,"1,747"
Lander,2020-07-03 22:46:49.396052,35,0,837
Lincoln,2020-07-03 22:46:49.396052,2,0,254
Lyon,2020-07-03 22:46:49.396052,123,2,"2,556"
Mineral,2020-07-03 22:46:49.396052,5,0,877
Nye,2020-07-03 22:46:49.396052,116,3,"2,685"
Pershing,2020-07-03 22:46:49.396052,6,0,"2,797"
Storey,2020-07-03 22:46:49.396052,2,0,70
Washoe,2020-07-03 22:46:49.396052,"2,923",77,"54,007"
White Pine,2020-07-03 22:46:49.396052,6,0,"1,364"
Carson City,2020-07-04 20:34:59.790090,172,5,"9,101"
Churchill,2020-07-04 20:34:59.790090,16,1,"2,587"
Clark,2020-07-04 20:34:59.790090,"17,707",435,"271,814"
Douglas,2020-07-04 20:34:59.790090,72,0,"2,507"
Elko,2020-07-04 20:34:59.790090,140,1,"4,961"
Esmeralda,2020-07-04 20:34:59.790090,0,0,54
Eureka,2020-07-04 20:34:59.790090,1,0,65
Humboldt,2020-07-04 20:34:59.790090,84,4,"1,760"
Lander,2020-07-04 20:34:59.790090,38,0,849
Lincoln,2020-07-04 20:34:59.790090,2,0,255
Lyon,2020-07-04 20:34:59.790090,126,2,"2,641"
Mineral,2020-07-04 20:34:59.790090,5,0,890
Nye,2020-07-04 20:34:59.790090,122,3,"2,723"
Pershing,2020-07-04 20:34:59.790090,9,0,"2,802"
Storey,2020-07-04 20:34:59.790090,2,0,71
Washoe,2020-07-04 20:34:59.790090,"3,073",79,"55,464"
White Pine,2020-07-04 20:34:59.790090,6,0,"1,368"
Carson City,2020-07-05 20:08:56.242583,177,5,"9,309"
Churchill,2020-07-05 20:08:56.242583,18,1,"2,625"
Clark,2020-07-05 20:08:56.242583,"18,442",439,"278,617"
Douglas,2020-07-05 20:08:56.242583,73,0,"2,584"
Elko,2020-07-05 20:08:56.242583,144,1,"5,057"
Esmeralda,2020-07-05 20:08:56.242583,0,0,55
Eureka,2020-07-05 20:08:56.242583,1,0,65
Humboldt,2020-07-05 20:08:56.242583,84,4,"1,775"
Lander,2020-07-05 20:08:56.242583,38,0,851
Lincoln,2020-07-05 20:08:56.242583,2,0,255
Lyon,2020-07-05 20:08:56.242583,127,2,"2,731"
Mineral,2020-07-05 20:08:56.242583,5,0,892
Nye,2020-07-05 20:08:56.242583,125,3,"2,764"
Pershing,2020-07-05 20:08:56.242583,9,0,"2,803"
Storey,2020-07-05 20:08:56.242583,2,0,73
Washoe,2020-07-05 20:08:56.242583,"3,165",79,"56,354"
White Pine,2020-07-05 20:08:56.242583,6,0,"1,446"
Carson City,2020-07-06 20:07:11.983365,180,5,"9,359"
Churchill,2020-07-06 20:07:11.983365,18,1,"2,655"
Clark,2020-07-06 20:07:11.983365,"18,818",439,"282,206"
Douglas,2020-07-06 20:07:11.983365,74,0,"2,616"
Elko,2020-07-06 20:07:11.983365,155,1,"5,169"
Esmeralda,2020-07-06 20:07:11.983365,0,0,57
Eureka,2020-07-06 20:07:11.983365,1,0,65
Humboldt,2020-07-06 20:07:11.983365,84,4,"1,815"
Lander,2020-07-06 20:07:11.983365,38,0,857
Lincoln,2020-07-06 20:07:11.983365,2,0,256
Lyon,2020-07-06 20:07:11.983365,129,2,"2,766"
Mineral,2020-07-06 20:07:11.983365,5,0,900
Nye,2020-07-06 20:07:11.983365,130,3,"2,805"
Pershing,2020-07-06 20:07:11.983365,9,0,"2,809"
Storey,2020-07-06 20:07:11.983365,2,0,74
Washoe,2020-07-06 20:07:11.983365,"3,258",82,"57,314"
White Pine,2020-07-06 20:07:11.983365,6,0,"1,464"
Carson City,2020-07-07 20:05:57.975743,182,5,"9,373"
Churchill,2020-07-07 20:05:57.975743,20,1,"2,661"
Clark,2020-07-07 20:05:57.975743,"19,654",450,"288,444"
Douglas,2020-07-07 20:05:57.975743,76,0,"2,638"
Elko,2020-07-07 20:05:57.975743,162,1,"5,219"
Esmeralda,2020-07-07 20:05:57.975743,0,0,59
Eureka,2020-07-07 20:05:57.975743,1,0,66
Humboldt,2020-07-07 20:05:57.975743,86,4,"1,820"
Lander,2020-07-07 20:05:57.975743,38,0,857
Lincoln,2020-07-07 20:05:57.975743,2,0,257
Lyon,2020-07-07 20:05:57.975743,132,2,"2,806"
Mineral,2020-07-07 20:05:57.975743,5,0,902
Nye,2020-07-07 20:05:57.975743,150,3,"2,819"
Pershing,2020-07-07 20:05:57.975743,9,0,"2,810"
Storey,2020-07-07 20:05:57.975743,2,0,74
Washoe,2020-07-07 20:05:57.975743,"3,260",82,"57,851"
White Pine,2020-07-07 20:05:57.975743,6,0,"1,464"
Carson City,2020-07-08 20:42:53.052221,185,6,"9,525"
Churchill,2020-07-08 20:42:53.052221,20,1,"2,744"
Clark,2020-07-08 20:42:53.052221,"20,126",454,"299,307"
Douglas,2020-07-08 20:42:53.052221,79,0,"2,671"
Elko,2020-07-08 20:42:53.052221,162,1,"5,412"
Esmeralda,2020-07-08 20:42:53.052221,0,0,61
Eureka,2020-07-08 20:42:53.052221,1,0,66
Humboldt,2020-07-08 20:42:53.052221,86,4,"1,842"
Lander,2020-07-08 20:42:53.052221,38,0,879
Lincoln,2020-07-08 20:42:53.052221,2,0,262
Lyon,2020-07-08 20:42:53.052221,135,2,"2,871"
Mineral,2020-07-08 20:42:53.052221,5,0,904
Nye,2020-07-08 20:42:53.052221,150,3,"2,858"
Pershing,2020-07-08 20:42:53.052221,9,0,"2,839"
Storey,2020-07-08 20:42:53.052221,2,0,75
Washoe,2020-07-08 20:42:53.052221,"3,295",82,"58,523"
White Pine,2020-07-08 20:42:53.052221,6,0,"1,958"
Carson City,2020-07-09 20:19:35.774907,194,6,"9,673"
Churchill,2020-07-09 20:19:35.774907,26,1,"2,856"
Clark,2020-07-09 20:19:35.774907,"20,622",468,"308,681"
Douglas,2020-07-09 20:19:35.774907,80,0,"2,689"
Elko,2020-07-09 20:19:35.774907,184,1,"5,475"
Esmeralda,2020-07-09 20:19:35.774907,0,0,62
Eureka,2020-07-09 20:19:35.774907,1,0,67
Humboldt,2020-07-09 20:19:35.774907,89,4,"1,846"
Lander,2020-07-09 20:19:35.774907,38,0,879
Lincoln,2020-07-09 20:19:35.774907,2,0,262
Lyon,2020-07-09 20:19:35.774907,136,2,"2,903"
Mineral,2020-07-09 20:19:35.774907,5,0,905
Nye,2020-07-09 20:19:35.774907,181,3,"2,919"
Pershing,2020-07-09 20:19:35.774907,10,0,"2,843"
Storey,2020-07-09 20:19:35.774907,2,0,75
Washoe,2020-07-09 20:19:35.774907,"3,328",86,"59,906"
White Pine,2020-07-09 20:19:35.774907,6,0,"2,702"
