# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: NH American Indian or Alaskan Native,# Cases Race/Ethnicity: NH Asian or Pacific Islander,# Cases Race/Ethnicity: NH Black,# Cases Race/Ethnicity: NH Multiracial,# Cases Race/Ethnicity: NH Other,# Cases Race/Ethnicity: NH White,# Cases Race/Ethnicity: Unknown Race,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: NH American Indian or Alaskan Native,# Deaths Race/Ethnicity: NH Asian or Pacific Islander,# Deaths Race/Ethnicity: NH Black,# Deaths Race/Ethnicity: NH Multiracial,# Deaths Race/Ethnicity: NH Other,# Deaths Race/Ethnicity: NH White,# Deaths Race/Ethnicity: Unknown Race,Reported Date
9258,44,697,6382,145,295,17207,14204,381,2,48,653,33,21,3230,42,2020-07-22 00:00:00
9261,44,697,6376,145,293,17183,14777,381,2,48,653,33,21,3232,43,2020-07-23 00:00:00
9368,46,705,6436,146,297,17384,14601,381,2,48,653,33,21,3238,42,2020-07-26 00:00:00
9390,46,705,6443,147,297,17413,14636,382,2,48,654,33,21,3241,42,2020-07-27 00:00:00
9423,46,708,6469,149,299,17496,14950,382,2,48,654,33,21,3243,42,2020-07-28 00:00:00
9437,46,711,6491,150,299,17534,15002,382,2,48,655,33,21,3248,42,2020-07-29 00:00:00
9449,47,708,6509,151,299,17541,15106,382,2,48,656,33,21,3248,42,2020-07-30 00:00:00
9494,48,713,6550,155,307,17622,15173,383,2,48,656,34,20,3253,41,2020-08-02 00:00:00
9510,48,713,6558,156,307,17640,15178,383,2,48,656,34,20,3253,41,2020-08-03 00:00:00
9473,47,712,6531,158,302,17564,15438,383,2,48,656,34,20,3252,42,2020-08-04 00:00:00
9465,47,712,6522,159,305,17548,15487,384,2,48,656,34,20,3251,42,2020-08-05 00:00:00
9538,48,716,6575,158,311,17712,15262,384,2,48,656,34,20,3256,41,2020-08-06 00:00:00
9558,47,719,6616,166,305,17696,15460,385,2,48,657,34,20,3256,42,2020-08-09 00:00:00
9625,48,721,6654,165,311,17815,15345,385,2,48,657,34,20,3257,41,2020-08-10 00:00:00
9633,49,721,6642,168,307,17757,15429,390,2,48,657,34,20,3258,41,2020-08-11 00:00:00
9688,50,722,6682,167,313,17861,15299,390,2,48,657,34,20,3258,41,2020-08-12 00:00:00
9714,50,724,6710,168,315,17888,15328,390,2,48,658,34,20,3260,41,2020-08-13 00:00:00
9758,50,729,6747,172,319,17954,15538,393,2,48,658,34,20,3260,41,2020-08-16 00:00:00
9770,50,730,6749,172,320,17973,15491,393,2,48,658,34,20,3260,41,2020-08-17 00:00:00
9801,50,730,6770,172,320,18001,15470,391,2,48,658,34,20,3263,41,2020-08-18 00:00:00
9843,50,733,6787,172,321,18044,15482,391,2,48,658,34,20,3264,41,2020-08-19 00:00:00
9868,50,735,6808,174,322,18072,15490,393,2,48,659,34,20,3263,41,2020-08-20 00:00:00
9982,51,743,6865,180,339,18185,15666,393,2,48,659,34,20,3263,41,2020-08-23 00:00:00
9998,51,743,6875,180,339,18194,15660,394,2,48,659,34,20,3265,41,2020-08-24 00:00:00
10032,51,746,6902,180,342,18236,15731,395,2,48,658,34,20,3265,41,2020-08-25 00:00:00
10081,51,750,6931,180,344,18292,15721,396,2,48,659,35,21,3263,41,2020-08-26 00:00:00
10133,51,760,6947,180,346,18342,15736,396,2,48,659,35,21,3263,41,2020-08-27 00:00:00
10236,51,767,7003,182,348,18514,15778,395,2,48,659,35,21,3264,41,2020-08-30 00:00:00
10253,52,771,7023,191,350,18617,15749,395,2,48,659,35,21,3265,41,2020-08-31 00:00:00
10288,52,772,7040,192,348,18651,15765,396,2,48,659,35,21,3265,41,2020-09-01 00:00:00
10316,52,773,7046,192,348,18676,15806,396,2,48,659,35,21,3266,41,2020-09-02 00:00:00
10354,52,776,7081,193,347,18744,15818,396,2,48,659,35,21,3266,41,2020-09-03 00:00:00
10440,53,781,7146,194,351,18959,15858,397,2,48,661,35,21,3269,41,2020-09-07 00:00:00
10450,53,783,7152,195,351,18987,15900,397,2,48,661,35,21,3269,41,2020-09-08 00:00:00
10507,53,788,7166,195,351,19048,15985,398,2,48,661,35,21,3272,41,2020-09-09 00:00:00
