# Cases Age [0-9],# Cases Age [10-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80 and older],# Confirmed Cases Age [0-9],# Confirmed Cases Age [10-19],# Confirmed Cases Age [20-29],# Confirmed Cases Age [30-39],# Confirmed Cases Age [40-49],# Confirmed Cases Age [50-59],# Confirmed Cases Age [60-69],# Confirmed Cases Age [70-79],# Confirmed Cases Age [80 and older],# Confirmed Deaths Age [0-9],# Confirmed Deaths Age [10-19],# Confirmed Deaths Age [20-29],# Confirmed Deaths Age [30-39],# Confirmed Deaths Age [40-49],# Confirmed Deaths Age [50-59],# Confirmed Deaths Age [60-69],# Confirmed Deaths Age [70-79],# Confirmed Deaths Age [80 and older],# Deaths Age [0-9],# Deaths Age [10-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80 and older],# Probable Cases Age [0-9],# Probable Cases Age [10-19],# Probable Cases Age [20-29],# Probable Cases Age [30-39],# Probable Cases Age [40-49],# Probable Cases Age [50-59],# Probable Cases Age [60-69],# Probable Cases Age [70-79],# Probable Cases Age [80 and older],# Probable Deaths Age [0-9],# Probable Deaths Age [10-19],# Probable Deaths Age [20-29],# Probable Deaths Age [30-39],# Probable Deaths Age [40-49],# Probable Deaths Age [50-59],# Probable Deaths Age [60-69],# Probable Deaths Age [70-79],# Probable Deaths Age [80 and older],Reported Date
619,1286,5366,6452,6422,7713,6387,4301,6787,595,1232,5178,6287,6241,7474,6174,4069,6148,1,1,5,20,43,138,443,757,1970,1,1,5,20,55,167,521,920,2535,24,54,188,165,181,239,213,232,639,0,0,0,0,12,29,78,163,565,2020-06-17 00:00:00
620,1282,5351,6440,6407,7699,6379,4291,6782,596,1229,5163,6276,6227,7461,6166,4060,6144,1,1,5,20,43,138,441,756,1968,1,1,5,20,55,167,519,918,2532,24,53,188,164,180,238,213,231,638,0,0,0,0,12,29,78,162,564,2020-06-16 00:00:00
615,1278,5342,6430,6400,7682,6367,4286,6771,591,1227,5155,6266,6222,7447,6157,4055,6130,1,1,5,20,43,138,441,753,1960,1,1,5,20,55,167,519,915,2526,24,51,187,164,178,235,210,231,641,0,0,0,0,12,29,78,162,566,2020-06-15 00:00:00
605,1238,5257,6414,6351,7656,6419,4284,6833,581,1188,5075,6244,6176,7421,6211,4057,6185,1,1,4,20,41,137,440,740,1972,1,1,4,20,52,166,516,902,2541,24,50,182,170,175,235,208,227,648,0,0,0,0,11,29,76,162,569,2020-06-14 00:00:00
602,1231,5239,6402,6338,7642,6411,4280,6825,580,1182,5059,6235,6167,7410,6203,4053,6178,1,1,4,20,41,137,440,740,1971,1,1,4,20,51,166,516,902,2539,22,49,180,167,171,232,208,227,647,0,0,0,0,10,29,76,162,568,2020-06-13 00:00:00
600,1229,5219,6367,6317,7626,6399,4275,6816,578,1180,5039,6200,6144,7394,6192,4047,6171,1,1,4,20,41,137,440,737,1961,1,1,4,20,51,166,515,899,2528,22,49,180,167,173,232,207,228,645,0,0,0,0,10,29,75,162,567,2020-06-12 00:00:00
589,1213,5166,6306,6279,7597,6375,4252,6764,567,1166,4986,6141,6110,7366,6169,4026,6122,1,1,4,20,41,137,438,733,1946,1,1,4,20,51,166,512,893,2510,22,47,180,165,169,231,206,226,642,0,0,0,0,10,29,74,160,564,2020-06-11 00:00:00
579,1207,5119,6238,6244,7565,6362,4246,6754,557,1160,4939,6072,6074,7333,6156,4019,6112,1,1,4,20,41,137,437,731,1936,1,1,4,20,51,166,511,891,2500,22,47,180,166,170,232,206,227,642,0,0,0,0,10,29,74,160,564,2020-06-10 00:00:00
575,1203,5098,6224,6235,7553,6350,4230,6732,553,1156,4923,6061,6066,7322,6141,4004,6087,1,1,4,20,42,136,435,730,1914,1,1,4,20,52,165,510,888,2478,22,47,175,163,169,231,209,226,645,0,0,0,0,10,29,75,158,564,2020-06-09 00:00:00
570,1190,5077,6191,6207,7536,6331,4220,6711,548,1141,4894,6013,6027,7272,6108,3983,6063,1,1,4,20,42,134,433,723,1908,1,1,4,20,52,162,507,882,2467,22,49,183,178,180,264,223,237,648,0,0,0,0,10,28,74,159,559,2020-06-08 00:00:00
