County Name,Reported Date,Total Cases,Total Confirmed Cases,Total Confirmed Deaths,Total Deaths,Total Hospitalized,Total Probable Cases,Total Probable Deaths
Litchfield,2020-05-01 00:00:00,1014,,,86,22,,
Middlesex,2020-05-01 00:00:00,687,,,82,40,,
New Haven,2020-05-01 00:00:00,7900,,,533,533,,
New London,2020-05-01 00:00:00,603,,,42,38,,
Tolland,2020-05-01 00:00:00,446,,,38,6,,
Windham,2020-05-01 00:00:00,200,,,2,3,,
Fairfield,2020-04-30 00:00:00,11294,,,810,565,,
Hartford,2020-04-30 00:00:00,5601,,,698,416,,
Litchfield,2020-04-30 00:00:00,963,,,80,21,,
Middlesex,2020-04-30 00:00:00,657,,,79,42,,
New Haven,2020-04-30 00:00:00,7536,,,512,557,,
New London,2020-04-30 00:00:00,564,,,36,41,,
Tolland,2020-04-30 00:00:00,437,,,36,4,,
Windham,2020-04-30 00:00:00,186,,,2,4,,
Fairfield,2020-04-29 00:00:00,10985,,,774,591,,
Hartford,2020-04-29 00:00:00,5388,,,670,403,,
Litchfield,2020-04-29 00:00:00,919,,,79,21,,
Middlesex,2020-04-29 00:00:00,631,,,76,37,,
New Haven,2020-04-29 00:00:00,7205,,,493,591,,
New London,2020-04-29 00:00:00,540,,,35,39,,
Tolland,2020-04-29 00:00:00,427,,,36,5,,
Windham,2020-04-29 00:00:00,165,,,2,4,,
Fairfield,2020-04-28 00:00:00,10874,,,747,620,,
Hartford,2020-04-28 00:00:00,5224,,,643,418,,
Litchfield,2020-04-28 00:00:00,900,,,76,20,,
Middlesex,2020-04-28 00:00:00,618,,,70,31,,
New Haven,2020-04-28 00:00:00,7089,,,478,598,,
New London,2020-04-28 00:00:00,530,,,34,34,,
Tolland,2020-04-28 00:00:00,422,,,35,6,,
Windham,2020-04-28 00:00:00,164,,,3,5,,
Fairfield,2020-04-27 00:00:00,10763,,,727,627,,
Hartford,2020-04-27 00:00:00,5157,,,612,429,,
Litchfield,2020-04-27 00:00:00,892,,,75,21,,
Middlesex,2020-04-27 00:00:00,609,,,69,37,,
New Haven,2020-04-27 00:00:00,6993,,,456,602,,
New London,2020-04-27 00:00:00,516,,,34,31,,
Tolland,2020-04-27 00:00:00,419,,,35,5,,
Windham,2020-04-27 00:00:00,164,,,3,6,,
Fairfield,2020-04-26 00:00:00,10529,,,707,635,,
Hartford,2020-04-26 00:00:00,4989,,,579,426,,
Litchfield,2020-04-26 00:00:00,864,,,74,22,,
Middlesex,2020-04-26 00:00:00,588,,,66,37,,
New Haven,2020-04-26 00:00:00,6715,,,429,605,,
New London,2020-04-26 00:00:00,498,,,31,31,,
Tolland,2020-04-26 00:00:00,407,,,35,5,,
Windham,2020-04-26 00:00:00,157,,,3,5,,
Fairfield,2020-04-25 00:00:00,10373,,,689,649,,
Hartford,2020-04-25 00:00:00,4761,,,553,443,,
Litchfield,2020-04-25 00:00:00,834,,,73,22,,
Middlesex,2020-04-25 00:00:00,576,,,62,41,,
New Haven,2020-04-25 00:00:00,6509,,,416,610,,
New London,2020-04-25 00:00:00,473,,,28,33,,
Tolland,2020-04-25 00:00:00,384,,,35,6,,
Windham,2020-04-25 00:00:00,151,,,3,6,,
Fairfield,2020-04-24 00:00:00,10227,,,662,694,,
Hartford,2020-04-24 00:00:00,4570,,,511,462,,
Litchfield,2020-04-24 00:00:00,808,,,69,22,,
Middlesex,2020-04-24 00:00:00,561,,,63,39,,
New Haven,2020-04-24 00:00:00,6286,,,396,617,,
New London,2020-04-24 00:00:00,448,,,23,33,,
Tolland,2020-04-24 00:00:00,375,,,34,4,,
Windham,2020-04-24 00:00:00,139,,,3,6,,
Fairfield,2020-04-23 00:00:00,10008,,,615,730,,
Hartford,2020-04-23 00:00:00,4303,,,469,490,,
Litchfield,2020-04-23 00:00:00,751,,,66,22,,
Middlesex,2020-04-23 00:00:00,545,,,57,38,,
New Haven,2020-04-23 00:00:00,6064,,,372,626,,
New London,2020-04-23 00:00:00,419,,,17,31,,
Tolland,2020-04-23 00:00:00,359,,,33,6,,
Windham,2020-04-23 00:00:00,129,,,4,4,,
Fairfield,2020-04-22 00:00:00,9883,,,584,749,,
Hartford,2020-04-22 00:00:00,4128,,,442,495,,
Litchfield,2020-04-22 00:00:00,722,,,63,20,,
Middlesex,2020-04-22 00:00:00,525,,,53,42,,
New Haven,2020-04-22 00:00:00,5811,,,345,620,,
New London,2020-04-22 00:00:00,397,,,14,32,,
Tolland,2020-04-22 00:00:00,331,,,32,11,,
Windham,2020-04-22 00:00:00,122,,,4,3,,
Fairfield,2020-04-21 00:00:00,8472,,,544,735,,
Hartford,2020-04-21 00:00:00,3951,,,402,473,,
Litchfield,2020-04-21 00:00:00,643,,,59,23,,
Middlesex,2020-04-21 00:00:00,512,,,47,40,,
New Haven,2020-04-21 00:00:00,5493,,,322,625,,
New London,2020-04-21 00:00:00,369,,,13,35,,
Tolland,2020-04-21 00:00:00,305,,,30,13,,
Windham,2020-04-21 00:00:00,112,,,2,5,,
Fairfield,2020-04-20 00:00:00,8320,,,512,733,,
Hartford,2020-04-20 00:00:00,3823,,,369,455,,
Litchfield,2020-04-20 00:00:00,639,,,58,23,,
Middlesex,2020-04-20 00:00:00,484,,,45,36,,
New Haven,2020-04-20 00:00:00,5272,,,301,626,,
New London,2020-04-20 00:00:00,356,,,13,29,,
Tolland,2020-04-20 00:00:00,299,,,27,13,,
Windham,2020-04-20 00:00:00,108,,,2,4,,
Fairfield,2020-04-19 00:00:00,7434,,,447,746,,
Hartford,2020-04-19 00:00:00,3351,,,295,420,,
Litchfield,2020-04-19 00:00:00,600,,,48,27,,
Middlesex,2020-04-19 00:00:00,462,,,40,33,,
New Haven,2020-04-19 00:00:00,4871,,,257,633,,
New London,2020-04-19 00:00:00,339,,,10,26,,
Tolland,2020-04-19 00:00:00,276,,,24,12,,
Windham,2020-04-19 00:00:00,100,,,2,4,,
Fairfield,2020-04-18 00:00:00,7363,,,432,776,,
Hartford,2020-04-18 00:00:00,3196,,,289,417,,
Litchfield,2020-04-18 00:00:00,593,,,48,30,,
Middlesex,2020-04-18 00:00:00,448,,,37,36,,
New Haven,2020-04-18 00:00:00,4743,,,241,638,,
New London,2020-04-18 00:00:00,315,,,10,23,,
Tolland,2020-04-18 00:00:00,270,,,24,14,,
Windham,2020-04-18 00:00:00,97,,,2,4,,
Fairfield,2020-04-17 00:00:00,7146,,,425,797,,
Hartford,2020-04-17 00:00:00,3015,,,266,410,,
Litchfield,2020-04-17 00:00:00,569,,,46,28,,
Middlesex,2020-04-17 00:00:00,422,,,32,37,,
New Haven,2020-04-17 00:00:00,4520,,,229,633,,
New London,2020-04-17 00:00:00,292,,,10,22,,
Tolland,2020-04-17 00:00:00,258,,,24,12,,
Windham,2020-04-17 00:00:00,92,,,2,7,,
Fairfield,2020-04-16 00:00:00,6816,,,406,787,,
Hartford,2020-04-16 00:00:00,2859,,,243,420,,
Litchfield,2020-04-16 00:00:00,535,,,44,27,,
Middlesex,2020-04-16 00:00:00,394,,,30,39,,
New Haven,2020-04-16 00:00:00,4163,,,214,613,,
New London,2020-04-16 00:00:00,255,,,9,23,,
Tolland,2020-04-16 00:00:00,241,,,22,11,,
Windham,2020-04-16 00:00:00,87,,,1,6,,
Fairfield,2020-04-15 00:00:00,6480,,,365,784,,
Hartford,2020-04-15 00:00:00,2570,,,213,402,,
Litchfield,2020-04-15 00:00:00,490,,,35,32,,
Middlesex,2020-04-15 00:00:00,379,,,28,40,,
New Haven,2020-04-15 00:00:00,3758,,,195,612,,
New London,2020-04-15 00:00:00,236,,,7,21,,
Tolland,2020-04-15 00:00:00,216,,,22,11,,
Windham,2020-04-15 00:00:00,89,,,1,6,,
Fairfield,2020-04-14 00:00:00,6213,,,287,731,,
Hartford,2020-04-14 00:00:00,2370,,,153,369,,
Litchfield,2020-04-14 00:00:00,460,,,29,35,,
Middlesex,2020-04-14 00:00:00,355,,,21,38,,
New Haven,2020-04-14 00:00:00,3543,,,151,572,,
New London,2020-04-14 00:00:00,227,,,7,17,,
Tolland,2020-04-14 00:00:00,201,,,18,12,,
Windham,2020-04-14 00:00:00,87,,,1,5,,
Fairfield,2020-04-13 00:00:00,6004,,,262,710,,
Hartford,2020-04-13 00:00:00,2243,,,133,361,,
Litchfield,2020-04-13 00:00:00,446,,,24,37,,
Middlesex,2020-04-13 00:00:00,339,,,19,35,,
New Haven,2020-04-13 00:00:00,3358,,,135,580,,
New London,2020-04-13 00:00:00,222,,,7,20,,
Tolland,2020-04-13 00:00:00,195,,,17,13,,
Windham,2020-04-13 00:00:00,83,,,1,4,,
Fairfield,2020-04-12 00:00:00,5534,,,248,688,,
Hartford,2020-04-12 00:00:00,1914,,,116,333,,
Litchfield,2020-04-12 00:00:00,403,,,24,39,,
Middlesex,2020-04-12 00:00:00,299,,,18,32,,
New Haven,2020-04-12 00:00:00,2946,,,119,535,,
New London,2020-04-12 00:00:00,190,,,7,16,,
Tolland,2020-04-12 00:00:00,182,,,17,7,,
Windham,2020-04-12 00:00:00,66,,,1,4,,
Fairfield,2020-04-11 00:00:00,5407,,,220,676,,
Hartford,2020-04-11 00:00:00,1832,,,101,311,,
Litchfield,2020-04-11 00:00:00,388,,,20,38,,
Middlesex,2020-04-11 00:00:00,290,,,18,27,,
New Haven,2020-04-11 00:00:00,2715,,,107,514,,
New London,2020-04-11 00:00:00,185,,,7,16,,
Tolland,2020-04-11 00:00:00,171,,,15,7,,
Windham,2020-04-11 00:00:00,66,,,1,4,,
Fairfield,2020-04-10 00:00:00,5180,,,203,685,,
Hartford,2020-04-10 00:00:00,1615,,,88,296,,
Litchfield,2020-04-10 00:00:00,346,,,16,32,,
Middlesex,2020-04-10 00:00:00,240,,,17,28,,
New Haven,2020-04-10 00:00:00,2383,,,98,493,,
New London,2020-04-10 00:00:00,156,,,7,17,,
Tolland,2020-04-10 00:00:00,152,,,14,6,,
Windham,2020-04-10 00:00:00,59,,,1,5,,
Fairfield,2020-04-09 00:00:00,4882,,,178,664,,
Hartford,2020-04-09 00:00:00,1471,,,75,276,,
Litchfield,2020-04-09 00:00:00,315,,,13,25,,
Middlesex,2020-04-09 00:00:00,205,,,14,26,,
New Haven,2020-04-09 00:00:00,2183,,,78,447,,
New London,2020-04-09 00:00:00,139,,,6,15,,
Tolland,2020-04-09 00:00:00,145,,,13,7,,
Windham,2020-04-09 00:00:00,52,,,1,4,,
Fairfield,2020-04-08 00:00:00,4417,,,155,665,,
Hartford,2020-04-08 00:00:00,1290,,,68,251,,
Litchfield,2020-04-08 00:00:00,292,,,12,20,,
Middlesex,2020-04-08 00:00:00,174,,,9,28,,
New Haven,2020-04-08 00:00:00,1945,,,70,428,,
New London,2020-04-08 00:00:00,120,,,5,16,,
Tolland,2020-04-08 00:00:00,128,,,13,7,,
Windham,2020-04-08 00:00:00,49,,,1,3,,
Fairfield,2020-04-07 00:00:00,4136,,,132,613,,
Hartford,2020-04-07 00:00:00,1045,,,48,243,,
Litchfield,2020-04-07 00:00:00,255,,,9,17,,
Middlesex,2020-04-07 00:00:00,150,,,7,26,,
New Haven,2020-04-07 00:00:00,1664,,,60,390,,
New London,2020-04-07 00:00:00,85,,,4,12,,
Tolland,2020-04-07 00:00:00,111,,,13,4,,
Windham,2020-04-07 00:00:00,43,,,1,3,,
Fairfield,2020-04-06 00:00:00,3719,,,101,572,,
Hartford,2020-04-06 00:00:00,882,,,31,213,,
Litchfield,2020-04-06 00:00:00,230,,,8,15,,
Middlesex,2020-04-06 00:00:00,135,,,7,22,,
New Haven,2020-04-06 00:00:00,1468,,,41,384,,
New London,2020-04-06 00:00:00,65,,,4,10,,
Tolland,2020-04-06 00:00:00,103,,,13,3,,
Windham,2020-04-06 00:00:00,40,,,1,2,,
Fairfield,2020-04-05 00:00:00,3050,,,96,531,,
Hartford,2020-04-05 00:00:00,751,,,29,189,,
Litchfield,2020-04-05 00:00:00,197,,,6,15,,
Middlesex,2020-04-05 00:00:00,110,,,5,19,,
New Haven,2020-04-05 00:00:00,1162,,,36,372,,
New London,2020-04-05 00:00:00,57,,,4,10,,
Tolland,2020-04-05 00:00:00,94,,,11,3,,
Windham,2020-04-05 00:00:00,32,,,1,3,,
Fairfield,2020-04-04 00:00:00,2824,,,86,475,,
Hartford,2020-04-04 00:00:00,726,,,26,184,,
Litchfield,2020-04-04 00:00:00,182,,,5,15,,
Middlesex,2020-04-04 00:00:00,100,,,4,19,,
New Haven,2020-04-04 00:00:00,1024,,,29,324,,
New London,2020-04-04 00:00:00,57,,,3,10,,
Tolland,2020-04-04 00:00:00,91,,,10,3,,
Windham,2020-04-04 00:00:00,31,,,1,3,,
Fairfield,2020-04-03 00:00:00,2716,,,75,409,,
Hartford,2020-04-03 00:00:00,679,,,18,166,,
Litchfield,2020-04-03 00:00:00,173,,,4,14,,
Middlesex,2020-04-03 00:00:00,91,,,2,12,,
New Haven,2020-04-03 00:00:00,891,,,18,293,,
New London,2020-04-03 00:00:00,40,,,3,9,,
Tolland,2020-04-03 00:00:00,79,,,10,3,,
Windham,2020-04-03 00:00:00,27,,,0,3,,
Fairfield,2020-04-02 00:00:00,2132,,,65,381,,
Hartford,2020-04-02 00:00:00,539,,,13,136,,
Litchfield,2020-04-02 00:00:00,141,,,2,11,,
Middlesex,2020-04-02 00:00:00,74,,,3,11,,
New Haven,2020-04-02 00:00:00,647,,,17,274,,
New London,2020-04-02 00:00:00,29,,,1,9,,
Tolland,2020-04-02 00:00:00,67,,,10,2,,
Windham,2020-04-02 00:00:00,21,,,0,3,,
Fairfield,2020-04-01 00:00:00,1986,,,46,359,,
Hartford,2020-04-01 00:00:00,469,,,11,126,,
Litchfield,2020-04-01 00:00:00,131,,,1,11,,
Middlesex,2020-04-01 00:00:00,66,,,2,8,,
New Haven,2020-04-01 00:00:00,611,,,15,251,,
New London,2020-04-01 00:00:00,29,,,1,10,,
Tolland,2020-04-01 00:00:00,61,,,7,1,,
Windham,2020-04-01 00:00:00,19,,,0,0,,
Fairfield,2020-03-31 00:00:00,1870,,,38,275,,
Hartford,2020-03-31 00:00:00,393,,,7,110,,
Litchfield,2020-03-31 00:00:00,121,,,1,7,,
Middlesex,2020-03-31 00:00:00,56,,,1,5,,
New Haven,2020-03-31 00:00:00,517,,,12,202,,
New London,2020-03-31 00:00:00,27,,,1,8,,
Tolland,2020-03-31 00:00:00,56,,,7,1,,
Windham,2020-03-31 00:00:00,11,,,0,0,,
Fairfield,2020-03-30 00:00:00,1445,,,21,101,,
Hartford,2020-03-30 00:00:00,330,,,3,59,,
Litchfield,2020-03-30 00:00:00,113,,,1,18,,
Middlesex,2020-03-30 00:00:00,50,,,1,6,,
New Haven,2020-03-30 00:00:00,373,,,6,55,,
New London,2020-03-30 00:00:00,24,,,0,4,,
Tolland,2020-03-30 00:00:00,50,,,4,7,,
Windham,2020-03-30 00:00:00,10,,,0,0,,
Fairfield,2020-03-29 00:00:00,1245,,,21,189,,
Hartford,2020-03-29 00:00:00,276,,,2,67,,
Litchfield,2020-03-29 00:00:00,87,,,0,5,,
Middlesex,2020-03-29 00:00:00,38,,,1,1,,
New Haven,2020-03-29 00:00:00,280,,,6,137,,
New London,2020-03-29 00:00:00,20,,,0,4,,
Tolland,2020-03-29 00:00:00,40,,,4,0,,
Windham,2020-03-29 00:00:00,7,,,0,1,,
Fairfield,2020-03-28 00:00:00,908,,,20,88,,
Hartford,2020-03-28 00:00:00,228,,,2,41,,
Litchfield,2020-03-28 00:00:00,65,,,0,12,,
Middlesex,2020-03-28 00:00:00,28,,,1,5,,
New Haven,2020-03-28 00:00:00,236,,,6,50,,
New London,2020-03-28 00:00:00,19,,,0,2,,
Tolland,2020-03-28 00:00:00,37,,,4,7,,
Windham,2020-03-28 00:00:00,3,,,0,0,,
Fairfield,2020-03-27 00:00:00,752,,,15,68,,
Hartford,2020-03-27 00:00:00,189,,,2,36,,
Litchfield,2020-03-27 00:00:00,52,,,0,9,,
Middlesex,2020-03-27 00:00:00,25,,,1,5,,
New Haven,2020-03-27 00:00:00,222,,,6,46,,
New London,2020-03-27 00:00:00,15,,,0,2,,
Tolland,2020-03-27 00:00:00,33,,,3,7,,
Windham,2020-03-27 00:00:00,3,,,0,0,,
Fairfield,2020-03-26 00:00:00,607,,,13,49,,
Hartford,2020-03-26 00:00:00,138,,,2,27,,
Litchfield,2020-03-26 00:00:00,44,,,0,3,,
Middlesex,2020-03-26 00:00:00,18,,,1,5,,
New Haven,2020-03-26 00:00:00,156,,,2,34,,
New London,2020-03-26 00:00:00,13,,,0,2,,
Tolland,2020-03-26 00:00:00,33,,,3,5,,
Windham,2020-03-26 00:00:00,3,,,0,0,,
Fairfield,2020-03-25 00:00:00,546,,,12,47,,
Hartford,2020-03-25 00:00:00,116,,,2,24,,
Litchfield,2020-03-25 00:00:00,33,,,0,3,,
Middlesex,2020-03-25 00:00:00,15,,,0,4,,
New Haven,2020-03-25 00:00:00,127,,,2,28,,
New London,2020-03-25 00:00:00,9,,,0,2,,
Tolland,2020-03-25 00:00:00,27,,,3,5,,
Windham,2020-03-25 00:00:00,2,,,0,0,,
Fairfield,2020-03-24 00:00:00,384,,,7,23,,
Hartford,2020-03-24 00:00:00,88,,,2,17,,
Litchfield,2020-03-24 00:00:00,22,,,0,3,,
Middlesex,2020-03-24 00:00:00,8,,,0,4,,
New Haven,2020-03-24 00:00:00,89,,,0,19,,
New London,2020-03-24 00:00:00,6,,,0,1,,
Tolland,2020-03-24 00:00:00,19,,,3,4,,
Windham,2020-03-24 00:00:00,2,,,0,0,,
Fairfield,2020-07-13 00:00:00,16960,16317,1077,1385,22,643,308
Hartford,2020-07-13 00:00:00,11950,11269,1077,1394,18,681,317
Litchfield,2020-07-13 00:00:00,1512,1448,117,138,1,64,21
Middlesex,2020-07-13 00:00:00,1341,1282,149,187,2,59,38
New Haven,2020-07-13 00:00:00,12617,12226,937,1087,20,391,150
New London,2020-07-13 00:00:00,1334,1275,76,102,3,59,26
Tolland,2020-07-13 00:00:00,935,867,51,65,0,68,14
Windham,2020-07-13 00:00:00,638,631,13,14,0,7,1
Fairfield,2020-07-14 00:00:00,16993,16350,1079,1387,18,643,308
Hartford,2020-07-14 00:00:00,11980,11299,1081,1398,20,681,317
Litchfield,2020-07-14 00:00:00,1517,1453,117,138,0,64,21
Middlesex,2020-07-14 00:00:00,1346,1287,150,188,4,59,38
New Haven,2020-07-14 00:00:00,12643,12252,938,1088,22,391,150
New London,2020-07-14 00:00:00,1339,1280,76,102,3,59,26
Tolland,2020-07-14 00:00:00,937,869,51,65,0,68,14
Windham,2020-07-14 00:00:00,639,632,13,14,0,7,1
Fairfield,2020-07-15 00:00:00,17027,16385,1083,1391,20,642,308
Hartford,2020-07-15 00:00:00,12016,11337,1086,1402,20,679,316
Litchfield,2020-07-15 00:00:00,1520,1456,117,138,0,64,21
Middlesex,2020-07-15 00:00:00,1351,1292,151,189,3,59,38
New Haven,2020-07-15 00:00:00,12686,12296,938,1088,19,390,150
New London,2020-07-15 00:00:00,1345,1286,76,102,4,59,26
Tolland,2020-07-15 00:00:00,937,869,51,65,0,68,14
Windham,2020-07-15 00:00:00,642,635,13,14,0,7,1
Fairfield,2020-07-16 00:00:00,17069,16426,1086,1395,21,643,309
Hartford,2020-07-16 00:00:00,12046,11366,1087,1403,19,680,316
Litchfield,2020-07-16 00:00:00,1523,1459,117,138,0,64,21
Middlesex,2020-07-16 00:00:00,1357,1298,151,189,3,59,38
New Haven,2020-07-16 00:00:00,12733,12340,938,1090,20,393,152
New London,2020-07-16 00:00:00,1347,1288,76,102,3,59,26
Tolland,2020-07-16 00:00:00,939,871,51,65,0,68,14
Windham,2020-07-16 00:00:00,651,644,13,14,0,7,1
Fairfield,2020-07-19 00:00:00,17112,16466,1087,1399,22,646,312
Hartford,2020-07-19 00:00:00,12082,11403,1089,1406,14,679,317
Litchfield,2020-07-19 00:00:00,1524,1460,117,138,0,64,21
Middlesex,2020-07-19 00:00:00,1359,1300,151,189,3,59,38
New Haven,2020-07-19 00:00:00,12788,12396,940,1092,14,392,152
New London,2020-07-19 00:00:00,1356,1297,76,102,1,59,26
Tolland,2020-07-19 00:00:00,948,880,51,65,0,68,14
Windham,2020-07-19 00:00:00,652,645,14,15,0,7,1
Fairfield,2020-07-20 00:00:00,17123,16477,1087,1399,20,646,312
Hartford,2020-07-20 00:00:00,12101,11424,1089,1406,18,677,317
Litchfield,2020-07-20 00:00:00,1525,1461,117,138,1,64,21
Middlesex,2020-07-20 00:00:00,1361,1302,151,189,4,59,38
New Haven,2020-07-20 00:00:00,12794,12404,942,1092,18,390,150
New London,2020-07-20 00:00:00,1357,1298,76,102,1,59,26
Tolland,2020-07-20 00:00:00,946,878,51,65,0,68,14
Windham,2020-07-20 00:00:00,653,646,14,15,0,7,1
Fairfield,2020-07-21 00:00:00,17164,16508,1087,1399,22,656,312
Hartford,2020-07-21 00:00:00,12147,11458,1090,1407,17,689,317
Litchfield,2020-07-21 00:00:00,1530,1462,117,138,2,68,21
Middlesex,2020-07-21 00:00:00,1362,1302,150,188,2,60,38
New Haven,2020-07-21 00:00:00,12825,12422,942,1092,18,403,150
New London,2020-07-21 00:00:00,1364,1302,76,102,1,62,26
Tolland,2020-07-21 00:00:00,946,880,51,65,0,66,14
Windham,2020-07-21 00:00:00,655,648,14,15,1,7,1
Fairfield,2020-07-22 00:00:00,17184,16529,1089,1401,26,655,312
Hartford,2020-07-22 00:00:00,12145,11455,1090,1408,17,690,318
Litchfield,2020-07-22 00:00:00,1530,1462,117,138,2,68,21
Middlesex,2020-07-22 00:00:00,1360,1300,150,188,2,60,38
New Haven,2020-07-22 00:00:00,12835,12433,943,1093,23,402,150
New London,2020-07-22 00:00:00,1352,1290,76,102,1,62,26
Tolland,2020-07-22 00:00:00,937,871,51,65,0,66,14
Windham,2020-07-22 00:00:00,655,648,14,15,1,7,1
Fairfield,2020-07-23 00:00:00,17421,16777,1089,1402,23,644,313
Hartford,2020-07-23 00:00:00,12340,11685,1090,1408,19,655,318
Litchfield,2020-07-23 00:00:00,1560,1495,117,138,0,65,21
Middlesex,2020-07-23 00:00:00,1365,1305,150,188,3,60,38
New Haven,2020-07-23 00:00:00,12884,12480,944,1095,25,404,151
New London,2020-07-23 00:00:00,1362,1300,76,102,0,62,26
Tolland,2020-07-23 00:00:00,964,900,51,65,0,64,14
Windham,2020-07-23 00:00:00,658,651,14,15,1,7,1
Fairfield,2020-07-26 00:00:00,17459,16805,1090,1402,19,654,312
Hartford,2020-07-26 00:00:00,12390,11731,1091,1410,14,659,319
Litchfield,2020-07-26 00:00:00,1568,1504,117,138,0,64,21
Middlesex,2020-07-26 00:00:00,1373,1312,151,189,6,61,38
New Haven,2020-07-26 00:00:00,12941,12535,946,1097,19,406,151
New London,2020-07-26 00:00:00,1373,1310,76,102,0,63,26
Tolland,2020-07-26 00:00:00,969,906,51,65,0,63,14
Windham,2020-07-26 00:00:00,668,660,14,15,1,8,1
Fairfield,2020-07-27 00:00:00,17494,16840,1091,1403,18,654,312
Hartford,2020-07-27 00:00:00,12401,11741,1091,1411,12,660,320
Litchfield,2020-07-27 00:00:00,1570,1506,117,138,1,64,21
Middlesex,2020-07-27 00:00:00,1374,1313,151,189,3,61,38
New Haven,2020-07-27 00:00:00,12965,12561,949,1099,18,404,150
New London,2020-07-27 00:00:00,1382,1319,77,103,0,63,26
Tolland,2020-07-27 00:00:00,972,909,51,65,0,63,14
Windham,2020-07-27 00:00:00,674,666,14,15,2,8,1
Fairfield,2020-07-28 00:00:00,17733,17087,1092,1404,19,646,312
Hartford,2020-07-28 00:00:00,12542,11905,1092,1411,14,637,319
Litchfield,2020-07-28 00:00:00,1593,1529,117,138,2,64,21
Middlesex,2020-07-28 00:00:00,1375,1314,151,189,4,61,38
New Haven,2020-07-28 00:00:00,12983,12578,950,1100,12,405,150
New London,2020-07-28 00:00:00,1387,1323,77,103,1,64,26
Tolland,2020-07-28 00:00:00,1001,938,51,65,0,63,14
Windham,2020-07-28 00:00:00,676,668,14,15,1,8,1
Fairfield,2020-07-29 00:00:00,17786,17142,1094,1406,27,644,312
Hartford,2020-07-29 00:00:00,12561,11927,1092,1411,15,634,319
Litchfield,2020-07-29 00:00:00,1599,1535,117,138,1,64,21
Middlesex,2020-07-29 00:00:00,1377,1316,153,191,4,61,38
New Haven,2020-07-29 00:00:00,13013,12608,951,1101,18,405,150
New London,2020-07-29 00:00:00,1396,1333,77,103,1,63,26
Tolland,2020-07-29 00:00:00,1011,948,52,66,0,63,14
Windham,2020-07-29 00:00:00,685,677,14,15,0,8,1
Fairfield,2020-07-30 00:00:00,17793,17147,1094,1406,28,646,312
Hartford,2020-07-30 00:00:00,12645,12008,1093,1412,12,637,319
Litchfield,2020-07-30 00:00:00,1597,1534,117,138,3,63,21
Middlesex,2020-07-30 00:00:00,1377,1316,153,191,5,61,38
New Haven,2020-07-30 00:00:00,13041,12636,951,1101,19,405,150
New London,2020-07-30 00:00:00,1402,1339,77,103,2,63,26
Tolland,2020-07-30 00:00:00,1019,957,52,66,0,62,14
Windham,2020-07-30 00:00:00,693,685,14,15,0,8,1
Fairfield,2020-08-02 00:00:00,17870,17217,1096,1408,13,653,312
Hartford,2020-08-02 00:00:00,12701,12061,1092,1412,13,640,320
Litchfield,2020-08-02 00:00:00,1598,1535,117,138,1,63,21
Middlesex,2020-08-02 00:00:00,1388,1327,153,191,3,61,38
New Haven,2020-08-02 00:00:00,13086,12677,954,1104,23,409,150
New London,2020-08-02 00:00:00,1414,1351,77,103,2,63,26
Tolland,2020-08-02 00:00:00,1050,989,52,66,0,61,14
Windham,2020-08-02 00:00:00,712,703,14,15,1,9,1
Fairfield,2020-08-03 00:00:00,17876,17223,1096,1408,15,653,312
Hartford,2020-08-03 00:00:00,12711,12071,1092,1412,14,640,320
Litchfield,2020-08-03 00:00:00,1600,1537,117,138,1,63,21
Middlesex,2020-08-03 00:00:00,1391,1330,153,191,4,61,38
New Haven,2020-08-03 00:00:00,13100,12692,954,1104,23,408,150
New London,2020-08-03 00:00:00,1421,1358,77,103,2,63,26
Tolland,2020-08-03 00:00:00,1053,992,52,66,0,61,14
Windham,2020-08-03 00:00:00,716,707,14,15,1,9,1
Fairfield,2020-08-04 00:00:00,17912,17257,1096,1408,9,655,312
Hartford,2020-08-04 00:00:00,12733,12094,1092,1412,18,639,320
Litchfield,2020-08-04 00:00:00,1606,1543,117,138,1,63,21
Middlesex,2020-08-04 00:00:00,1396,1335,153,191,4,61,38
New Haven,2020-08-04 00:00:00,13118,12711,954,1104,21,407,150
New London,2020-08-04 00:00:00,1428,1366,77,103,5,62,26
Tolland,2020-08-04 00:00:00,1056,995,52,66,0,61,14
Windham,2020-08-04 00:00:00,722,713,14,15,1,9,1
Fairfield,2020-08-05 00:00:00,17926,17270,1094,1406,14,656,312
Hartford,2020-08-05 00:00:00,12745,12104,1094,1414,20,641,320
Litchfield,2020-08-05 00:00:00,1607,1544,117,138,1,63,21
Middlesex,2020-08-05 00:00:00,1395,1334,153,191,7,61,38
New Haven,2020-08-05 00:00:00,13128,12719,954,1104,20,409,150
New London,2020-08-05 00:00:00,1431,1369,77,103,4,62,26
Tolland,2020-08-05 00:00:00,1055,994,52,66,0,61,14
Windham,2020-08-05 00:00:00,724,715,14,15,0,9,1
Fairfield,2020-08-06 00:00:00,17956,17301,1096,1408,12,655,312
Hartford,2020-08-06 00:00:00,12761,12119,1094,1415,18,642,321
Litchfield,2020-08-06 00:00:00,1610,1547,117,138,1,63,21
Middlesex,2020-08-06 00:00:00,1396,1335,154,192,6,61,38
New Haven,2020-08-06 00:00:00,13145,12733,954,1104,22,412,150
New London,2020-08-06 00:00:00,1433,1371,77,103,6,62,26
