Reported Date,Total Cases: Female,Total Cases: Male,Total Confirmed Cases: Female,Total Confirmed Cases: Male,Total Confirmed Deaths: Female,Total Confirmed Deaths: Male,Total Deaths: Female,Total Deaths: Male,Total Probable Cases: Female,Total Probable Cases: Male,Total Probable Deaths: Female,Total Probable Deaths: Male
2020-08-06 00:00:00,27478,22705,26391,21827,1837,1720,2329,2111,1087,878,492,391
2020-08-09 00:00:00,27585,22847,26491,21962,1837,1722,2330,2113,1094,885,493,391
2020-08-10 00:00:00,27642,22904,26545,22018,1838,1722,2330,2113,1097,886,492,391
2020-08-11 00:00:00,27649,22921,26547,22032,1841,1724,2333,2116,1102,889,492,392
2020-08-12 00:00:00,27698,22955,26591,22064,1841,1724,2333,2116,1107,891,492,392
2020-08-13 00:00:00,27781,22984,26672,22093,1843,1725,2335,2117,1109,891,492,392
2020-08-16 00:00:00,27931,23197,26821,22301,1843,1728,2335,2120,1110,896,492,392
2020-08-17 00:00:00,27929,23187,26817,22290,1842,1728,2335,2120,1112,897,493,392
2020-08-18 00:00:00,27960,23214,26843,22315,1843,1728,2336,2120,1117,899,493,392
2020-08-19 00:00:00,28028,23264,26908,22363,1843,1728,2337,2120,1120,901,494,392
2020-08-20 00:00:00,28072,23306,26946,22400,1845,1728,2339,2120,1126,906,494,392
2020-08-23 00:00:00,28300,23571,27162,22650,1845,1728,2339,2120,1138,921,494,392
2020-08-24 00:00:00,28320,23583,27184,22662,1849,1730,2340,2122,1136,921,491,392
2020-08-25 00:00:00,28418,23676,27270,22749,1848,1730,2340,2122,1148,927,492,392
2020-08-26 00:00:00,28479,23749,27328,22815,1848,1730,2341,2123,1151,934,493,393
2020-08-27 00:00:00,28553,23821,27398,22878,1848,1730,2341,2123,1155,943,493,393
2020-08-30 00:00:00,28762,23996,27597,23045,1848,1731,2341,2123,1165,951,493,392
2020-08-31 00:00:00,28817,24069,27653,23120,1848,1732,2341,2124,1164,949,493,392
2020-09-01 00:00:00,28873,24113,27705,23161,1849,1732,2342,2124,1168,952,493,392
2020-09-02 00:00:00,28929,24158,27761,23204,1850,1732,2343,2124,1168,954,493,392
2020-09-03 00:00:00,29022,24220,27847,23262,1850,1732,2343,2124,1175,958,493,392
2020-09-07 00:00:00,29239,24408,28041,23434,1853,1735,2346,2127,1198,974,493,392
2020-09-08 00:00:00,29290,24446,28082,23465,1853,1735,2346,2127,1208,981,493,392
2020-09-09 00:00:00,29414,24544,28200,23557,1854,1738,2347,2130,1214,987,493,392
2020-09-10 00:00:00,29536,24654,28309,23662,1855,1739,2348,2131,1227,992,493,392
2020-09-13 00:00:00,29845,24902,28597,23892,1854,1735,2351,2133,1248,1010,497,398
2020-09-14 00:00:00,29910,24978,28669,23967,1854,1735,2351,2133,1241,1011,497,398
2020-09-15 00:00:00,29982,25040,28732,24017,1855,1736,2352,2134,1250,1023,497,398
2020-09-16 00:00:00,30104,25139,28849,24108,1855,1737,2352,2135,1255,1031,497,398
2020-09-17 00:00:00,30174,25208,28914,24173,1858,1738,2355,2136,1260,1035,497,398
2020-09-20 00:00:00,30419,25432,29139,24395,1858,1741,2355,2139,1280,1037,497,398
2020-09-21 00:00:00,30486,25496,29198,24454,1858,1742,2355,2140,1288,1042,497,398
2020-09-22 00:00:00,30559,25577,29272,24534,1858,1742,2355,2141,1287,1043,497,399
2020-09-23 00:00:00,30630,25660,29336,24612,1859,1743,2356,2142,1294,1048,497,399
2020-09-24 00:00:00,30676,25721,29379,24664,1859,1744,2356,2144,1297,1057,497,400
2020-09-27 00:00:00,30962,25984,29648,24916,1860,1745,2357,2145,1314,1068,497,400
2020-09-28 00:00:00,31054,26074,29738,25002,1861,1746,2358,2146,1316,1072,497,400
2020-09-29 00:00:00,31169,26178,29847,25100,1863,1746,2361,2146,1322,1078,498,400
2020-09-30 00:00:00,31262,26273,29934,25188,1865,1747,2363,2147,1328,1085,498,400
2020-10-01 00:00:00,31521,26542,30193,25456,1865,1748,2364,2148,1328,1086,499,400
2020-10-04 00:00:00,31971,26913,30648,25845,1869,1749,2367,2149,1323,1068,498,400
2020-10-05 00:00:00,32030,26975,30706,25909,1870,1752,2368,2152,1324,1066,498,400
2020-10-06 00:00:00,32093,27037,30773,25971,1871,1752,2369,2152,1320,1066,498,400
2020-10-07 00:00:00,32290,27213,30957,26149,1873,1755,2371,2155,1333,1064,498,400
2020-10-08 00:00:00,32427,27362,31087,26281,1875,1755,2373,2156,1340,1081,498,401
2020-10-11 00:00:00,33076,28009,31732,26918,1875,1757,2373,2158,1344,1091,498,401
2020-10-12 00:00:00,33239,28166,31884,27080,1876,1757,2374,2158,1355,1086,498,401
2020-10-13 00:00:00,33329,28219,31965,27125,1876,1760,2374,2162,1364,1094,498,402
2020-10-14 00:00:00,33427,28301,32050,27193,1877,1762,2375,2164,1377,1108,498,402
2020-10-15 00:00:00,33844,28684,32467,27561,1877,1763,2375,2166,1377,1123,498,403
2020-10-18 00:00:00,34436,29274,33027,28125,1881,1770,2380,2173,1409,1149,499,403
2020-10-19 00:00:00,34667,29473,33250,28321,1887,1770,2385,2173,1417,1152,498,403
2020-10-20 00:00:00,34881,29673,33454,28513,1891,1774,2389,2177,1427,1160,498,403
2020-10-21 00:00:00,35179,29899,33749,28717,1891,1775,2389,2179,1430,1182,498,404
2020-10-22 00:00:00,35514,30223,34058,29023,1896,1777,2395,2181,1456,1200,499,404
2020-10-25 00:00:00,36600,31178,35136,29981,1900,1782,2401,2187,1464,1197,501,405
2020-10-26 00:00:00,36876,31435,35376,30218,1902,1784,2404,2190,1500,1217,502,406
2020-10-27 00:00:00,37115,31681,35605,30442,1907,1789,2408,2195,1510,1239,501,406
2020-10-28 00:00:00,37771,32279,35891,30685,1909,1792,2410,2198,1880,1594,501,406
2020-10-29 00:00:00,38154,32648,36213,30980,1913,1794,2415,2200,1941,1668,502,406
2020-11-01 00:00:00,39501,33853,37415,32052,1918,1799,2419,2207,2086,1801,501,408
2020-11-02 00:00:00,39962,34371,37848,32531,1922,1803,2423,2211,2114,1840,501,408
2020-11-03 00:00:00,40232,34625,38096,32770,1925,1810,2426,2218,2136,1855,501,408
2020-11-04 00:00:00,41105,35401,38614,33257,1933,1810,2437,2218,2491,2144,504,408
2020-11-05 00:00:00,41623,35938,39064,33744,1941,1815,2447,2223,2559,2194,506,408
2020-11-08 00:00:00,43389,37486,40685,35151,1956,1822,2465,2232,2704,2335,509,410
2020-11-09 00:00:00,44180,38199,41442,35830,1956,1828,2467,2239,2738,2369,511,411
2020-11-10 00:00:00,45028,39082,42225,36662,1961,1829,2474,2241,2803,2420,513,412
2020-11-11 00:00:00,45594,39647,42659,37102,1964,1833,2478,2247,2935,2545,514,414
2020-11-12 00:00:00,46995,40955,43993,38374,1969,1837,2484,2252,3002,2581,515,415
2020-11-15 00:00:00,49432,43099,46291,40393,1977,1849,2492,2266,3141,2706,515,417
2020-11-16 00:00:00,50306,43898,47014,41027,1983,1855,2498,2272,3292,2871,515,417
2020-11-17 00:00:00,51352,44881,48015,41967,1989,1859,2506,2277,3337,2914,517,418
2020-11-18 00:00:00,52570,45990,49102,42962,1999,1862,2519,2285,3468,3028,520,423
2020-11-19 00:00:00,53642,46963,50008,43832,2003,1874,2525,2302,3634,3131,522,428
2020-11-22 00:00:00,56348,49465,52520,46154,2018,1896,2544,2326,3828,3311,526,430
2020-11-23 00:00:00,56646,49705,52794,46387,2021,1900,2550,2330,3852,3318,529,430
2020-11-24 00:00:00,57568,50631,53642,47246,2038,1918,2572,2353,3926,3385,534,435
2020-11-26 00:00:00,59335,52219,55310,48758,2049,1931,2589,2371,4025,3461,540,440
2020-11-29 00:00:00,61818,54394,57801,50908,2071,1953,2614,2404,4017,3486,543,451
2020-11-30 00:00:00,62614,55056,58640,51601,2080,1964,2625,2413,3974,3455,545,449
2020-12-01 00:00:00,64016,56309,59917,52748,2096,1991,2648,2441,4099,3561,552,450
2020-12-02 00:00:00,66451,58601,62312,55045,2105,2006,2657,2452,4139,3556,552,446
2020-12-03 00:00:00,67291,59297,63072,55677,2118,2024,2671,2473,4219,3620,553,449
2020-12-06 00:00:00,71573,63058,67194,59300,2150,2061,2706,2516,4379,3758,556,455
2020-12-07 00:00:00,72878,64159,68402,60305,2159,2068,2715,2525,4476,3854,556,457
