state,stateAbbrev,date,Tested,Cases,Deaths,Sex_Cases [Male],Sex_Cases [Female],Sex_Cases [Unknown/Left Blank],Sex_Deaths [Male],Sex_Deaths [Female],Sex_Deaths [Unknown/Left Blank],Age_Cases [Unknown],Age_Cases [0-20],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80+],Age_Deaths [Unknown],Age_Deaths [0-20],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80+],Race_Cases [White],Race_Cases [Black],Race_Cases [Left Blank],Race_Cases [Other],Race_Cases [Asian],Race_Cases [Hispanic],Race_Cases [NH/PI*],Race_Cases [AI/AN**],Race_Deaths [White],Race_Deaths [Black],Race_Deaths [Left Blank],Race_Deaths [Other],Race_Deaths [Asian],Race_Deaths [Hispanic],Race_Deaths [NH/PI*],Race_Deaths [AI/AN**],pullTime,probable_deaths
Illinois,IL,2020-11-18,9359227,606771,11014,284305,312778,9688,5915,5099,0,188,85006,117760,98034,94089,89875,62626,33245,25948,0,8,39,150,343,821,1814,2669,5170,204935,61474,180539,20901,12042,125490,671,719,5826,2455,238,65,419,1986,10,15,2020-11-18 19:59:53.403364,454.0
Illinois,IL,2020-11-19,9472674,621383,11178,291224,320280,9879,6008,5170,0,194,87272,120272,100324,96386,92155,64168,34123,26489,0,8,39,151,345,829,1838,2708,5260,210033,62380,185826,21469,12358,127906,673,738,5952,2465,247,63,427,1999,10,15,2020-11-19 20:30:07.121094,470.0
Illinois,IL,2020-11-20,9588698,634395,11304,297257,327114,10024,6074,5230,0,202,89349,122522,102373,98455,94184,65587,34830,26893,0,8,40,152,349,841,1855,2735,5324,214406,63189,191288,21890,12597,129588,684,753,6041,2483,247,63,428,2016,11,15,2020-11-20 21:16:27.902152,491.0
Illinois,IL,2020-11-22,9801419,656298,11506,307369,338527,10402,6194,5312,0,207,92646,126377,105807,101991,97493,67944,36116,27717,0,8,40,153,356,855,1891,2781,5422,221179,64638,201184,22541,12947,132353,689,767,6171,2504,257,64,432,2052,10,16,2020-11-22 19:50:35.200243,545.0
Illinois,IL,2020-11-23,9892981,664620,11552,311261,342895,10464,6221,5331,0,206,93884,127821,107073,103310,98734,68892,36614,28086,0,8,40,153,356,859,1899,2796,5441,223843,65143,204788,22851,13109,133416,697,773,6199,2515,256,65,433,2058,10,16,2020-11-23 20:07:52.436515,560.0
Illinois,IL,2020-11-24,9990304,674089,11677,315604,347910,10575,6285,5392,0,210,95252,129361,108624,104724,100170,69968,37214,28566,0,8,40,157,359,861,1911,2829,5512,227089,65836,208896,23122,13264,134390,704,788,6282,2527,271,65,436,2070,10,16,2020-11-24 23:52:52.480483,585.0
Illinois,IL,2020-11-25,10104537,685467,11832,321050,353703,10714,6366,5466,0,218,96959,131333,110459,106474,101961,71226,37865,28972,0,8,40,160,363,866,1925,2867,5603,231372,66519,212934,23561,13503,136076,708,794,6402,2537,281,63,438,2084,11,16,2020-11-25 19:32:40.029606,608.0
Illinois,IL,2020-11-26,10212093,697489,11963,326775,359848,10866,6430,5533,0,226,98756,133430,112400,108343,103797,72504,38584,29449,0,8,40,161,367,873,1938,2901,5675,235216,67400,217841,23992,13726,137781,718,815,6488,2548,304,64,439,2093,11,16,2020-11-26 20:02:06.286244,633.0
Illinois,IL,2020-11-27,10289223,705063,12029,330338,363740,10985,6461,5568,0,226,99940,134673,113606,109549,104919,73370,39007,29773,0,8,40,162,368,877,1945,2918,5711,236927,67835,222280,24169,13801,138509,720,822,6547,2557,289,65,444,2100,11,16,2020-11-27 20:04:41.284645,657.0
Illinois,IL,2020-11-28,10368278,712936,12137,334004,367856,11076,6516,5621,0,225,101121,135837,114902,110765,106128,74220,39522,30216,0,8,40,163,374,881,1967,2946,5758,239414,68365,225929,24429,13931,139312,724,832,6601,2576,298,67,448,2120,11,16,2020-11-28 20:03:48.462263,701.0
Illinois,IL,2020-11-29,10431018,720114,12193,337409,371567,11138,6553,5640,0,228,102207,137083,116004,111839,107218,75038,39934,30563,0,8,40,163,375,889,1972,2959,5787,241602,68789,229188,24674,14056,140237,729,839,6633,2584,301,67,450,2131,11,16,2020-11-29 21:32:10.847384,689.0
