# Cases Age [0-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80+],# Cases Race/Ethnicity: American Indian or Alaska Native,# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black or African American,# Cases Race/Ethnicity: Hispanic or Latino,# Cases Race/Ethnicity: Native Hawaiian or Other Pacific Islander,# Cases Race/Ethnicity: Not Hispanic or Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Two or more,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,% Cases Age [0-19],% Cases Age [20-29],% Cases Age [30-39],% Cases Age [40-49],% Cases Age [50-59],% Cases Age [60-69],% Cases Age [70-79],% Cases Age [80+],Scrape_Time,Total Cases: Female,Total Cases: Male,Total Confirmed Cases: Female,Total Confirmed Cases: Male,Total Deaths: Female,Total Deaths: Male,Total Hospitalized: Female,Total Hospitalized: Male,Total Probable Cases: Female,Total Probable Cases: Male,Total Recovered: Female,Total Recovered: Male
790.0,1000.0,929.0,850.0,989.0,694.0,434.0,409.0,15,126,995,222,3,4955,161,36,918,517,4242,13.0,16.4,15.2,13.9,16.2,11.4,7.1,6.7,2020-10-23 20:23:49.202906,3132,2963,2/73,2669,76,70,205,268,359,294,2730,2577
797,1009,937,855,994,697,439,409,15,126,995,224,3,4990,163,34,923,522,4279,13.0,16.4,15.3,13.9,16.2,11.4,7.2,6.7,2020-10-24 20:21:00.560648,3158,2979,2796,2679,76,70,205,268,362,300,2734,2583
804,1025,948,858,1007,704,445,410,15,128,995,224,3,5045,165,36,932,529,4330,13.0,16.5,15.3,13.8,16.2,11.4,7.2,6.6,2020-10-25 20:38:57.047247,3194,3007,2823,2698,76,70,206,269,371,309,2744,2590
814,1033,956,864,1019,703,451,414,16,130,995,225,4,5088,165,37,941,532,4375,13.0,16.5,15.3,13.8,16.3,11.2,7.2,6.6,2020-10-26 20:43:04.290790,3221,3033,2835,2/16,76,70,208,269,386,317,2762,2601
819,1049,967,872,1024,708,454,418,16,131,995,227,4,5135,166,38,949,538,4423,13.0,16.6,15.3,13.8,16.2,11.2,7.2,6.6,2020-10-27 20:33:46.966601,3258,3053,2860,2/33,76,70,209,270,398,320,2779,2620
845,1084,987,889,1047,724,466,425,16,133,1000,231,4,5271,171,37,965,546,4560,13.1,16.8,15.3,13.7,16.2,11.2,7.2,6.6,2020-10-29 20:31:11.900211,3340,3127,2946,2803,76,70,209,274,394,324,2819,2643
851,1116,1010,895,1062,735,472,429,16,134,1002,231,4,5344,174,39,995,561,4640,13.0,17.0,15.4,13.6,16.2,11.2,7.2,6.5,2020-10-30 19:52:40.795277,3385,3185,2989,2840,76,70,211,275,396,345,2839,2656
864,1134,1024,908,1084,744,481,429,16,135,1002,232,4,5426,176,44,1008,571,4718,13.0,17.0,15.4,13.6,16.3,11.2,7.2,6.4,2020-10-31 20:42:14.041782,3434,3233,3027,2880,77,70,212,274,407,353,2850,2667
870,1142,1029,911,1094,750,487,432,16,135,1003,232,4,5468,178,46,1015,575,4758,13.0,17.0,15.3,13.6,16.3,11.2,7.3,6.4,2020-11-01 20:34:40.122425,3454,3261,3045,2899,77,70,214,274,409,362,2873,2681
875,1154,1046,918,1109,763,495,439,16,136,1004,232,4,5544,180,38,1023,579,4842,12.9,17.0,15.4,13.5,16.3,11.2,7.3,6.5,2020-11-02 20:14:37.489943,3498,3301,3092,2947,78,70,218,277,406,354,2894,2694
887,1184,1069,937,1118,776,506,449,16,136,1006,232,4,5629,182,39,1065,605,4938,12.8,17.1,15.4,13.5,16.1,11.2,7.3,6.5,2020-11-03 20:37:43.332096,3562,3364,3149,2989,78,70,221,281,413,375,2917,2/14
