# Cases Age [0-17],# Cases Age [18-49],# Cases Age [50-64],# Cases Age [65+],# Cases Age [Unknown],# Deaths Age [0-17],# Deaths Age [18-49],# Deaths Age [50-64],# Deaths Age [65+],# Deaths Age [Unknown],% Cases Age [0-17],% Cases Age [18-49],% Cases Age [50-64],% Cases Age [65+],% Cases Age [Unknown],% Deaths Age [0-17],% Deaths Age [18-49],% Deaths Age [50-64],% Deaths Age [65+],% Deaths Age [Unknown],Report Date
91935,521159,164194,92643,860,2.0,1212.0,3243.0,12436.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.2,19.2,73.6,0.0,2020-10-18
92375,523072,164817,92952,861,2.0,1216.0,3244.0,12445.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.2,19.2,73.6,0.0,2020-10-19
92864,525174,165568,93333,845,2.0,1218.0,3255.0,12511.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.2,19.2,73.7,0.0,2020-10-20
93249,526820,166162,93662,831,2.0,1229.0,3274.0,12617.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-21
94030,530359,167321,94321,834,2.0,1229.0,3283.0,12670.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-22
94896,533822,168370,94882,840,2.0,1229.0,3290.0,12709.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.1,19.1,73.8,0.0,2020-10-23
95603,536903,169336,95336,851,2.0,1234.0,3305.0,12744.0,1.0,10.6,59.8,18.9,10.6,0.1,0.0,7.1,19.1,73.7,0.0,2020-10-24
95990,538674,169913,95584,849,2.0,1236.0,3305.0,12754.0,1.0,10.7,59.8,18.9,10.6,0.1,0.0,7.1,19.1,73.7,0.0,2020-10-25
96360,540531,170563,95901,843,2.0,1236.0,3307.0,12767.0,1.0,10.7,59.8,18.9,10.6,0.1,0.0,7.1,19.1,73.7,0.0,2020-10-26
96978,543262,171333,96305,835,2.0,1252.0,3332.0,12842.0,1.0,10.7,59.8,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-27
97497,545660,172094,96800,853,2.0,1257.0,3342.0,12900.0,1.0,10.7,59.8,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-28
97994,547963,172862,97247,852,2.0,1258.0,3349.0,12936.0,2.0,10.7,59.8,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-29
98615,550862,173917,97764,847,2.0,1270.0,3359.0,12972.0,2.0,10.7,59.7,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-30
99123,553578,174737,98240,856,2.0,1273.0,3365.0,13020.0,2.0,10.7,59.7,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-10-31
99679,555933,175508,98643,865,2.0,1274.0,3368.0,13037.0,2.0,10.7,59.7,18.9,10.6,0.1,0.0,7.2,19.0,73.7,0.0,2020-11-01
100239,558194,176308,99065,866,2.0,1275.0,3369.0,13044.0,2.0,10.7,59.7,18.9,10.6,0.1,0.0,7.2,19.0,73.7,0.0,2020-11-02
100856,561326,177367,99592,869,2.0,1282.0,3382.0,13104.0,1.0,10.7,59.7,18.9,10.6,0.1,0.0,7.2,19.0,73.7,0.0,2020-11-03
101430,564094,178172,100004,876,2.0,1292.0,3391.0,13147.0,1.0,10.7,59.7,18.9,10.6,0.1,0.0,7.2,19.0,73.7,0.0,2020-11-04
102277,567927,179365,100643,882,2.0,1298.0,3409.0,13188.0,1.0,10.8,59.7,18.9,10.6,0.1,0.0,7.3,19.0,73.7,0.0,2020-11-05
102996,571373,180424,101279,885,2.0,1300.0,3421.0,13220.0,1.0,10.8,59.7,18.9,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-06
103975,576051,181808,101922,883,2.0,1303.0,3439.0,13272.0,1.0,10.8,59.7,18.8,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-07
105005,580281,183085,102592,888,2.0,1303.0,3438.0,13275.0,1.0,10.8,59.7,18.8,10.6,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-08
105792,583469,184005,103063,889,2.0,1303.0,3440.0,13281.0,1.0,10.8,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-09
106693,588029,185315,103745,900,2.0,1308.0,3453.0,13330.0,1.0,10.8,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-10
107582,592114,186603,104403,907,2.0,1312.0,3463.0,13359.0,1.0,10.8,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-11
108445,596237,187873,105031,916,2.0,1315.0,3470.0,13375.0,1.0,10.9,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-12
109636,602180,189615,106013,933,2.0,1321.0,3487.0,13426.0,1.0,10.9,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-13
111029,608738,191565,107074,939,2.0,1325.0,3498.0,13476.0,1.0,10.9,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-14
112297,614649,193375,107973,941,2.0,1328.0,3502.0,13490.0,1.0,10.9,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-15
113638,619702,194932,108766,940,2.0,1329.0,3502.0,13509.0,1.0,10.9,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-16
114812,625550,196717,109763,947,2.0,1332.0,3514.0,13546.0,1.0,11.0,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-17
116320,632227,198904,110871,945,2.0,1340.0,3535.0,13624.0,1.0,11.0,59.7,18.8,10.5,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-18
117930,640116,201254,112026,946,2.0,1346.0,3555.0,13689.0,1.0,11.0,59.7,18.8,10.4,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-19
119794,649210,204214,113542,954,2.0,1351.0,3573.0,13754.0,1.0,11.0,59.7,18.8,10.4,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-20
121574,657635,206897,114971,956,2.0,1356.0,3578.0,13817.0,1.0,11.0,59.7,18.8,10.4,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-21
122672,662497,208339,115905,957,2.0,1358.0,3591.0,13844.0,1.0,11.0,59.7,18.8,10.4,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-22
124712,671494,211185,117343,965,2.0,1358.0,3598.0,13858.0,1.0,11.1,59.7,18.8,10.4,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-23
126874,682308,214756,119130,981,2.0,1366.0,3620.0,13941.0,1.0,11.1,59.6,18.8,10.4,0.1,0.0,7.2,19.1,73.6,0.0,2020-11-24
128707,690862,217589,120544,987,2.0,1370.0,3639.0,14019.0,1.0,11.1,59.6,18.8,10.4,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-25
130355,698204,219932,121832,1001,2.0,1370.0,3660.0,14076.0,1.0,11.1,59.6,18.8,10.4,0.1,0.0,7.2,19.2,73.7,0.0,2020-11-26
131829,705285,222191,123005,1010,2.0,1372.0,3668.0,14111.0,1.0,11.1,59.6,18.8,10.4,0.1,0.0,7.2,19.2,73.7,0.0,2020-11-27
133586,714382,225207,124744,1015,2.0,1374.0,3675.0,14136.0,2.0,11.1,59.6,18.8,10.4,0.1,0.0,7.2,19.2,73.7,0.0,2020-11-28
135365,722382,227953,126255,1013,2.0,1377.0,3678.0,14162.0,1.0,11.2,59.6,18.8,10.4,0.1,0.0,7.2,19.1,73.7,0.0,2020-11-29
136904,729630,230204,127432,1019,2.0,1376.0,3687.0,14183.0,1.0,11.2,59.6,18.8,10.4,0.1,0.0,7.1,19.2,73.7,0.0,2020-11-30
139427,741663,234277,129548,1033,2.0,1386.0,3703.0,14276.0,1.0,11.2,59.5,18.8,10.4,0.1,0.0,7.2,19.1,73.7,0.0,2020-12-01
141712,752442,237843,131495,1047,2.0,1391.0,3721.0,14366.0,1.0,11.2,59.5,18.8,10.4,0.1,0.0,7.1,19.1,73.7,0.0,2020-12-02
144555,765403,241906,133635,1058,2.0,1403.0,3758.0,14518.0,1.0,11.2,59.5,18.8,10.4,0.1,0.0,7.1,19.1,73.8,0.0,2020-12-03
147807,780365,246393,135981,1079,2.0,1411.0,3782.0,14612.0,1.0,11.3,59.5,18.8,10.4,0.1,0.0,7.1,19.1,73.8,0.0,2020-12-04
151540,798102,251923,139047,1088,2.0,1420.0,3808.0,14699.0,1.0,11.3,59.5,18.8,10.4,0.1,0.0,7.1,19.1,73.8,0.0,2020-12-05
155054,812529,256392,141371,1089,2.0,1434.0,3822.0,14769.0,1.0,11.3,59.5,18.8,10.3,0.1,0.0,7.2,19.1,73.7,0.0,2020-12-06
158338,826081,260565,143631,1092,2.0,1437.0,3829.0,14818.0,1.0,11.4,59.4,18.7,10.3,0.1,0.0,7.2,19.1,73.8,0.0,2020-12-07
162504,844391,266080,146465,1118,2.0,1450.0,3852.0,14949.0,2.0,11.4,59.4,18.7,10.3,0.1,0.0,7.2,19.0,73.8,0.0,2020-12-08
166453,861727,271628,149303,1124,2.0,1461.0,3891.0,15103.0,1.0,11.5,59.4,18.7,10.3,0.1,0.0,7.1,19.0,73.8,0.0,2020-12-09
171218,882580,278211,152545,1149,3.0,1467.0,3913.0,15259.0,1.0,11.5,59.4,18.7,10.3,0.1,0.0,7.1,19.0,73.9,0.0,2020-12-10
