County Name,Scrape Time,Total Cases,Total Deaths,Total Hospitalized
King,2020-07-17 20:20:11.555760,12766,631,1905
Kitsap,2020-07-17 20:20:11.555760,353,2,36
Kittitas,2020-07-17 20:20:11.555760,272,0,10
Klickitat,2020-07-17 20:20:11.555760,80,3,8
Lewis,2020-07-17 20:20:11.555760,115,3,18
Lincoln,2020-07-17 20:20:11.555760,5,0,0
Mason,2020-07-17 20:20:11.555760,74,1,7
Okanogan,2020-07-17 20:20:11.555760,293,2,7
Pacific,2020-07-17 20:20:11.555760,18,1,3
Pend Oreille,2020-07-17 20:20:11.555760,18,0,2
Pierce,2020-07-17 20:20:11.555760,3560,110,472
San Juan,2020-07-17 20:20:11.555760,24,0,1
Skagit,2020-07-17 20:20:11.555760,657,16,65
Skamania,2020-07-17 20:20:11.555760,37,0,2
Snohomish,2020-07-17 20:20:11.555760,4238,181,643
Spokane,2020-07-17 20:20:11.555760,2451,44,181
Stevens,2020-07-17 20:20:11.555760,37,1,6
Thurston,2020-07-17 20:20:11.555760,423,5,46
Wahkiakum,2020-07-17 20:20:11.555760,5,0,0
Walla Walla,2020-07-17 20:20:11.555760,263,3,18
Whatcom,2020-07-17 20:20:11.555760,760,37,67
Whitman,2020-07-17 20:20:11.555760,51,0,1
Yakima,2020-07-17 20:20:11.555760,8939,191,628
Adams,2020-07-18 20:26:51.795316,277,0,10
Asotin,2020-07-18 20:26:51.795316,21,2,1
Benton,2020-07-18 20:26:51.795316,2725,98,269
Chelan,2020-07-18 20:26:51.795316,665,6,28
Clallam,2020-07-18 20:26:51.795316,67,0,3
Clark,2020-07-18 20:26:51.795316,1152,30,130
Columbia,2020-07-18 20:26:51.795316,9,0,2
Cowlitz,2020-07-18 20:26:51.795316,324,1,29
Douglas,2020-07-18 20:26:51.795316,430,4,20
Ferry,2020-07-18 20:26:51.795316,6,0,0
Franklin,2020-07-18 20:26:51.795316,2645,41,206
Garfield,2020-07-18 20:26:51.795316,2,0,0
Grant,2020-07-18 20:26:51.795316,895,8,63
Grays Harbor,2020-07-18 20:26:51.795316,63,1,10
Island,2020-07-18 20:26:51.795316,212,11,33
Jefferson,2020-07-18 20:26:51.795316,50,0,10
King,2020-07-18 20:26:51.795316,12766,631,1905
Kitsap,2020-07-18 20:26:51.795316,353,2,36
Kittitas,2020-07-18 20:26:51.795316,272,0,10
Klickitat,2020-07-18 20:26:51.795316,80,3,8
Lewis,2020-07-18 20:26:51.795316,115,3,18
Lincoln,2020-07-18 20:26:51.795316,5,0,0
Mason,2020-07-18 20:26:51.795316,74,1,7
Okanogan,2020-07-18 20:26:51.795316,293,2,7
Pacific,2020-07-18 20:26:51.795316,18,1,3
Pend Oreille,2020-07-18 20:26:51.795316,18,0,2
Pierce,2020-07-18 20:26:51.795316,3560,110,472
San Juan,2020-07-18 20:26:51.795316,24,0,1
Skagit,2020-07-18 20:26:51.795316,657,16,65
Skamania,2020-07-18 20:26:51.795316,37,0,2
Snohomish,2020-07-18 20:26:51.795316,4238,181,643
Spokane,2020-07-18 20:26:51.795316,2451,44,181
Stevens,2020-07-18 20:26:51.795316,37,1,6
Thurston,2020-07-18 20:26:51.795316,423,5,46
Wahkiakum,2020-07-18 20:26:51.795316,5,0,0
Walla Walla,2020-07-18 20:26:51.795316,263,3,18
Whatcom,2020-07-18 20:26:51.795316,760,37,67
Whitman,2020-07-18 20:26:51.795316,51,0,1
Yakima,2020-07-18 20:26:51.795316,8939,191,628
Adams,2020-07-19 20:16:15.147686,288,0,12
Asotin,2020-07-19 20:16:15.147686,21,2,1
Benton,2020-07-19 20:16:15.147686,2787,98,273
Chelan,2020-07-19 20:16:15.147686,700,6,29
Clallam,2020-07-19 20:16:15.147686,69,0,4
Clark,2020-07-19 20:16:15.147686,1192,30,132
Columbia,2020-07-19 20:16:15.147686,9,0,2
Cowlitz,2020-07-19 20:16:15.147686,338,2,30
Douglas,2020-07-19 20:16:15.147686,457,4,20
Ferry,2020-07-19 20:16:15.147686,6,0,0
Franklin,2020-07-19 20:16:15.147686,2702,42,213
Garfield,2020-07-19 20:16:15.147686,2,0,0
Grant,2020-07-19 20:16:15.147686,925,8,65
Grays Harbor,2020-07-19 20:16:15.147686,66,1,12
Island,2020-07-19 20:16:15.147686,214,11,33
Jefferson,2020-07-19 20:16:15.147686,50,0,10
King,2020-07-19 20:16:15.147686,12953,637,1919
Kitsap,2020-07-19 20:16:15.147686,362,2,42
Kittitas,2020-07-19 20:16:15.147686,273,0,10
Klickitat,2020-07-19 20:16:15.147686,81,3,8
Lewis,2020-07-19 20:16:15.147686,120,3,18
Lincoln,2020-07-19 20:16:15.147686,5,0,0
Mason,2020-07-19 20:16:15.147686,75,1,8
Okanogan,2020-07-19 20:16:15.147686,323,2,10
Pacific,2020-07-19 20:16:15.147686,19,1,3
Pend Oreille,2020-07-19 20:16:15.147686,18,0,1
Pierce,2020-07-19 20:16:15.147686,3643,110,480
San Juan,2020-07-19 20:16:15.147686,24,0,1
Skagit,2020-07-19 20:16:15.147686,669,16,68
Skamania,2020-07-19 20:16:15.147686,40,0,2
Snohomish,2020-07-19 20:16:15.147686,4307,182,652
Spokane,2020-07-19 20:16:15.147686,2573,44,188
Stevens,2020-07-19 20:16:15.147686,43,1,7
Thurston,2020-07-19 20:16:15.147686,444,5,49
Wahkiakum,2020-07-19 20:16:15.147686,5,0,0
Walla Walla,2020-07-19 20:16:15.147686,273,3,20
Whatcom,2020-07-19 20:16:15.147686,772,37,67
Whitman,2020-07-19 20:16:15.147686,55,0,1
Yakima,2020-07-19 20:16:15.147686,9040,193,642
Adams,2020-07-20 20:19:37.421556,307,0,12
Asotin,2020-07-20 20:19:37.421556,21,2,1
Benton,2020-07-20 20:19:37.421556,2884,100,275
Chelan,2020-07-20 20:19:37.421556,766,6,31
Clallam,2020-07-20 20:19:37.421556,68,0,3
Clark,2020-07-20 20:19:37.421556,1201,30,133
Columbia,2020-07-20 20:19:37.421556,9,0,2
Cowlitz,2020-07-20 20:19:37.421556,347,2,30
Douglas,2020-07-20 20:19:37.421556,530,4,21
Ferry,2020-07-20 20:19:37.421556,6,0,0
Franklin,2020-07-20 20:19:37.421556,2794,42,217
Garfield,2020-07-20 20:19:37.421556,2,0,0
Grant,2020-07-20 20:19:37.421556,972,8,67
Grays Harbor,2020-07-20 20:19:37.421556,66,1,10
Island,2020-07-20 20:19:37.421556,216,11,33
Jefferson,2020-07-20 20:19:37.421556,50,0,10
King,2020-07-20 20:19:37.421556,13319,636,1934
Kitsap,2020-07-20 20:19:37.421556,399,3,43
Kittitas,2020-07-20 20:19:37.421556,297,0,11
Klickitat,2020-07-20 20:19:37.421556,83,3,8
Lewis,2020-07-20 20:19:37.421556,129,3,18
Lincoln,2020-07-20 20:19:37.421556,6,0,0
Mason,2020-07-20 20:19:37.421556,81,1,6
Okanogan,2020-07-20 20:19:37.421556,454,2,11
Pacific,2020-07-20 20:19:37.421556,19,1,3
Pend Oreille,2020-07-20 20:19:37.421556,25,0,2
Pierce,2020-07-20 20:19:37.421556,3834,114,492
San Juan,2020-07-20 20:19:37.421556,24,0,1
Skagit,2020-07-20 20:19:37.421556,707,17,70
Skamania,2020-07-20 20:19:37.421556,41,0,2
Snohomish,2020-07-20 20:19:37.421556,4386,182,657
Spokane,2020-07-20 20:19:37.421556,2742,44,197
Stevens,2020-07-20 20:19:37.421556,44,1,7
Thurston,2020-07-20 20:19:37.421556,469,5,52
Wahkiakum,2020-07-20 20:19:37.421556,5,0,0
Walla Walla,2020-07-20 20:19:37.421556,297,3,21
Whatcom,2020-07-20 20:19:37.421556,788,37,67
Whitman,2020-07-20 20:19:37.421556,56,0,1
Yakima,2020-07-20 20:19:37.421556,9185,195,651
Adams,2020-07-21 22:03:51.752136,314,0,12
Asotin,2020-07-21 22:03:51.752136,21,2,1
Benton,2020-07-21 22:03:51.752136,2946,103,278
Chelan,2020-07-21 22:03:51.752136,778,6,32
Clallam,2020-07-21 22:03:51.752136,72,0,3
Clark,2020-07-21 22:03:51.752136,1260,32,136
Columbia,2020-07-21 22:03:51.752136,10,0,2
Cowlitz,2020-07-21 22:03:51.752136,365,2,32
Douglas,2020-07-21 22:03:51.752136,544,4,22
Ferry,2020-07-21 22:03:51.752136,6,0,0
Franklin,2020-07-21 22:03:51.752136,2846,43,219
Garfield,2020-07-21 22:03:51.752136,2,0,0
Grant,2020-07-21 22:03:51.752136,992,8,70
Grays Harbor,2020-07-21 22:03:51.752136,66,2,11
Island,2020-07-21 22:03:51.752136,217,11,33
Jefferson,2020-07-21 22:03:51.752136,50,0,10
King,2020-07-21 22:03:51.752136,13450,638,1946
Kitsap,2020-07-21 22:03:51.752136,407,3,43
Kittitas,2020-07-21 22:03:51.752136,303,2,13
Klickitat,2020-07-21 22:03:51.752136,83,3,8
Lewis,2020-07-21 22:03:51.752136,132,3,18
Lincoln,2020-07-21 22:03:51.752136,6,0,0
Mason,2020-07-21 22:03:51.752136,84,1,6
Okanogan,2020-07-21 22:03:51.752136,482,2,11
Pacific,2020-07-21 22:03:51.752136,25,1,3
Pend Oreille,2020-07-21 22:03:51.752136,26,0,3
Pierce,2020-07-21 22:03:51.752136,3913,115,501
San Juan,2020-07-21 22:03:51.752136,24,0,1
Skagit,2020-07-21 22:03:51.752136,707,17,71
Skamania,2020-07-21 22:03:51.752136,45,1,3
Snohomish,2020-07-21 22:03:51.752136,4454,181,658
Spokane,2020-07-21 22:03:51.752136,2820,44,202
Stevens,2020-07-21 22:03:51.752136,46,1,7
Thurston,2020-07-21 22:03:51.752136,475,5,52
Wahkiakum,2020-07-21 22:03:51.752136,6,0,0
Walla Walla,2020-07-21 22:03:51.752136,300,3,20
Whatcom,2020-07-21 22:03:51.752136,802,37,69
Whitman,2020-07-21 22:03:51.752136,56,0,1
Yakima,2020-07-21 22:03:51.752136,9261,194,657
Adams,2020-07-22 21:59:49.353581,318,0,13
Asotin,2020-07-22 21:59:49.353581,22,2,1
Benton,2020-07-22 21:59:49.353581,2983,102,286
Chelan,2020-07-22 21:59:49.353581,818,6,32
Clallam,2020-07-22 21:59:49.353581,71,0,3
Clark,2020-07-22 21:59:49.353581,1271,32,138
Columbia,2020-07-22 21:59:49.353581,10,0,2
Cowlitz,2020-07-22 21:59:49.353581,367,2,32
Douglas,2020-07-22 21:59:49.353581,576,4,24
Ferry,2020-07-22 21:59:49.353581,6,0,0
Franklin,2020-07-22 21:59:49.353581,2882,44,227
Garfield,2020-07-22 21:59:49.353581,2,0,0
Grant,2020-07-22 21:59:49.353581,1004,8,72
Grays Harbor,2020-07-22 21:59:49.353581,66,2,11
Island,2020-07-22 21:59:49.353581,219,11,33
Jefferson,2020-07-22 21:59:49.353581,50,0,10
King,2020-07-22 21:59:49.353581,13627,638,1953
Kitsap,2020-07-22 21:59:49.353581,423,3,43
Kittitas,2020-07-22 21:59:49.353581,304,4,12
Klickitat,2020-07-22 21:59:49.353581,85,3,9
Lewis,2020-07-22 21:59:49.353581,132,3,18
Lincoln,2020-07-22 21:59:49.353581,6,0,0
Mason,2020-07-22 21:59:49.353581,88,1,6
Okanogan,2020-07-22 21:59:49.353581,506,2,12
Pacific,2020-07-22 21:59:49.353581,26,1,3
Pend Oreille,2020-07-22 21:59:49.353581,26,0,3
Pierce,2020-07-22 21:59:49.353581,4003,115,509
San Juan,2020-07-22 21:59:49.353581,25,0,1
Skagit,2020-07-22 21:59:49.353581,712,17,72
Skamania,2020-07-22 21:59:49.353581,43,1,3
Snohomish,2020-07-22 21:59:49.353581,4512,181,656
Spokane,2020-07-22 21:59:49.353581,2896,45,208
Stevens,2020-07-22 21:59:49.353581,48,1,7
Thurston,2020-07-22 21:59:49.353581,484,5,53
Wahkiakum,2020-07-22 21:59:49.353581,6,0,0
Walla Walla,2020-07-22 21:59:49.353581,308,3,21
Whatcom,2020-07-22 21:59:49.353581,807,37,69
Whitman,2020-07-22 21:59:49.353581,57,0,1
Yakima,2020-07-22 21:59:49.353581,9312,194,663
Adams,2020-07-23 20:00:41.011978,322,0,17
Asotin,2020-07-23 20:00:41.011978,22,2,1
Benton,2020-07-23 20:00:41.011978,3017,103,287
Chelan,2020-07-23 20:00:41.011978,836,8,33
Clallam,2020-07-23 20:00:41.011978,70,0,3
Clark,2020-07-23 20:00:41.011978,1297,33,140
Columbia,2020-07-23 20:00:41.011978,10,0,2
Cowlitz,2020-07-23 20:00:41.011978,378,3,33
Douglas,2020-07-23 20:00:41.011978,581,4,24
Ferry,2020-07-23 20:00:41.011978,7,0,0
Franklin,2020-07-23 20:00:41.011978,2907,44,231
Garfield,2020-07-23 20:00:41.011978,2,0,0
Grant,2020-07-23 20:00:41.011978,1015,8,73
Grays Harbor,2020-07-23 20:00:41.011978,70,2,11
Island,2020-07-23 20:00:41.011978,221,11,33
Jefferson,2020-07-23 20:00:41.011978,50,0,10
King,2020-07-23 20:00:41.011978,13835,638,1960
Kitsap,2020-07-23 20:00:41.011978,442,3,46
Kittitas,2020-07-23 20:00:41.011978,306,6,14
Klickitat,2020-07-23 20:00:41.011978,85,3,9
Lewis,2020-07-23 20:00:41.011978,137,3,19
Lincoln,2020-07-23 20:00:41.011978,7,0,0
Mason,2020-07-23 20:00:41.011978,89,1,6
Okanogan,2020-07-23 20:00:41.011978,524,2,14
Pacific,2020-07-23 20:00:41.011978,27,1,3
Pend Oreille,2020-07-23 20:00:41.011978,28,0,3
Pierce,2020-07-23 20:00:41.011978,4123,117,522
San Juan,2020-07-23 20:00:41.011978,25,0,1
Skagit,2020-07-23 20:00:41.011978,723,18,72
Skamania,2020-07-23 20:00:41.011978,44,1,3
Snohomish,2020-07-23 20:00:41.011978,4562,182,663
Spokane,2020-07-23 20:00:41.011978,2970,47,214
Stevens,2020-07-23 20:00:41.011978,50,1,7
Thurston,2020-07-23 20:00:41.011978,496,5,53
Wahkiakum,2020-07-23 20:00:41.011978,6,0,0
Walla Walla,2020-07-23 20:00:41.011978,314,4,23
Whatcom,2020-07-23 20:00:41.011978,818,37,72
Whitman,2020-07-23 20:00:41.011978,58,0,1
Yakima,2020-07-23 20:00:41.011978,9367,194,670
Adams,2020-07-24 20:21:41.436784,328,0,17
Asotin,2020-07-24 20:21:41.436784,22,2,1
Benton,2020-07-24 20:21:41.436784,3077,105,289
Chelan,2020-07-24 20:21:41.436784,857,8,34
Clallam,2020-07-24 20:21:41.436784,73,0,3
Clark,2020-07-24 20:21:41.436784,1308,33,141
Columbia,2020-07-24 20:21:41.436784,10,0,2
Cowlitz,2020-07-24 20:21:41.436784,389,3,33
Douglas,2020-07-24 20:21:41.436784,597,5,25
Ferry,2020-07-24 20:21:41.436784,7,0,0
Franklin,2020-07-24 20:21:41.436784,2949,44,232
Garfield,2020-07-24 20:21:41.436784,2,0,0
Grant,2020-07-24 20:21:41.436784,1040,9,73
Grays Harbor,2020-07-24 20:21:41.436784,75,2,11
Island,2020-07-24 20:21:41.436784,222,11,33
Jefferson,2020-07-24 20:21:41.436784,50,0,10
King,2020-07-24 20:21:41.436784,14026,643,1964
Kitsap,2020-07-24 20:21:41.436784,473,3,46
Kittitas,2020-07-24 20:21:41.436784,309,6,15
Klickitat,2020-07-24 20:21:41.436784,86,3,9
Lewis,2020-07-24 20:21:41.436784,140,3,19
Lincoln,2020-07-24 20:21:41.436784,8,0,0
Mason,2020-07-24 20:21:41.436784,94,1,6
Okanogan,2020-07-24 20:21:41.436784,551,2,14
Pacific,2020-07-24 20:21:41.436784,26,1,3
Pend Oreille,2020-07-24 20:21:41.436784,28,0,4
Pierce,2020-07-24 20:21:41.436784,4239,118,527
San Juan,2020-07-24 20:21:41.436784,26,0,1
Skagit,2020-07-24 20:21:41.436784,725,19,72
Skamania,2020-07-24 20:21:41.436784,44,1,3
Snohomish,2020-07-24 20:21:41.436784,4640,183,665
Spokane,2020-07-24 20:21:41.436784,3023,47,217
Stevens,2020-07-24 20:21:41.436784,51,1,7
Thurston,2020-07-24 20:21:41.436784,513,6,54
Wahkiakum,2020-07-24 20:21:41.436784,6,0,0
Walla Walla,2020-07-24 20:21:41.436784,325,3,24
Whatcom,2020-07-24 20:21:41.436784,824,37,74
Whitman,2020-07-24 20:21:41.436784,58,0,1
Yakima,2020-07-24 20:21:41.436784,9461,196,668
Adams,2020-07-25 20:16:36.780927,342,1,17
Asotin,2020-07-25 20:16:36.780927,22,2,1
Benton,2020-07-25 20:16:36.780927,3134,104,291
Chelan,2020-07-25 20:16:36.780927,892,8,36
Clallam,2020-07-25 20:16:36.780927,75,0,3
Clark,2020-07-25 20:16:36.780927,1318,33,143
Columbia,2020-07-25 20:16:36.780927,12,0,2
Cowlitz,2020-07-25 20:16:36.780927,390,3,33
Douglas,2020-07-25 20:16:36.780927,618,6,25
Ferry,2020-07-25 20:16:36.780927,7,0,0
Franklin,2020-07-25 20:16:36.780927,2992,44,233
Garfield,2020-07-25 20:16:36.780927,2,0,0
Grant,2020-07-25 20:16:36.780927,1064,10,74
Grays Harbor,2020-07-25 20:16:36.780927,79,2,11
Island,2020-07-25 20:16:36.780927,223,11,33
Jefferson,2020-07-25 20:16:36.780927,50,0,10
King,2020-07-25 20:16:36.780927,14249,644,1971
Kitsap,2020-07-25 20:16:36.780927,494,2,48
Kittitas,2020-07-25 20:16:36.780927,314,8,17
Klickitat,2020-07-25 20:16:36.780927,88,3,9
Lewis,2020-07-25 20:16:36.780927,145,3,20
Lincoln,2020-07-25 20:16:36.780927,10,0,0
Mason,2020-07-25 20:16:36.780927,102,1,6
Okanogan,2020-07-25 20:16:36.780927,575,2,14
Pacific,2020-07-25 20:16:36.780927,27,1,3
Pend Oreille,2020-07-25 20:16:36.780927,32,0,4
Pierce,2020-07-25 20:16:36.780927,4355,117,532
San Juan,2020-07-25 20:16:36.780927,28,0,1
Skagit,2020-07-25 20:16:36.780927,735,18,73
Skamania,2020-07-25 20:16:36.780927,45,1,4
Snohomish,2020-07-25 20:16:36.780927,4718,183,667
Spokane,2020-07-25 20:16:36.780927,3165,46,228
Stevens,2020-07-25 20:16:36.780927,55,1,7
Thurston,2020-07-25 20:16:36.780927,538,6,54
Wahkiakum,2020-07-25 20:16:36.780927,5,0,0
Walla Walla,2020-07-25 20:16:36.780927,340,3,25
Whatcom,2020-07-25 20:16:36.780927,830,37,73
Whitman,2020-07-25 20:16:36.780927,59,0,1
Yakima,2020-07-25 20:16:36.780927,9557,194,668
Adams,2020-07-26 20:18:07.743727,342,1,17
Asotin,2020-07-26 20:18:07.743727,22,2,1
Benton,2020-07-26 20:18:07.743727,3134,104,291
Chelan,2020-07-26 20:18:07.743727,892,8,36
Clallam,2020-07-26 20:18:07.743727,75,0,3
Clark,2020-07-26 20:18:07.743727,1318,33,143
Columbia,2020-07-26 20:18:07.743727,12,0,2
Cowlitz,2020-07-26 20:18:07.743727,390,3,33
Douglas,2020-07-26 20:18:07.743727,618,6,25
Ferry,2020-07-26 20:18:07.743727,7,0,0
Franklin,2020-07-26 20:18:07.743727,2992,44,233
Garfield,2020-07-26 20:18:07.743727,2,0,0
Grant,2020-07-26 20:18:07.743727,1064,10,74
Grays Harbor,2020-07-26 20:18:07.743727,79,2,11
Island,2020-07-26 20:18:07.743727,223,11,33
Jefferson,2020-07-26 20:18:07.743727,50,0,10
King,2020-07-26 20:18:07.743727,14249,644,1971
Kitsap,2020-07-26 20:18:07.743727,494,2,48
Kittitas,2020-07-26 20:18:07.743727,314,8,17
Klickitat,2020-07-26 20:18:07.743727,88,3,9
Lewis,2020-07-26 20:18:07.743727,145,3,20
Lincoln,2020-07-26 20:18:07.743727,10,0,0
Mason,2020-07-26 20:18:07.743727,102,1,6
Okanogan,2020-07-26 20:18:07.743727,575,2,14
Pacific,2020-07-26 20:18:07.743727,27,1,3
Pend Oreille,2020-07-26 20:18:07.743727,32,0,4
Pierce,2020-07-26 20:18:07.743727,4355,117,532
San Juan,2020-07-26 20:18:07.743727,28,0,1
Skagit,2020-07-26 20:18:07.743727,735,18,73
Skamania,2020-07-26 20:18:07.743727,45,1,4
Snohomish,2020-07-26 20:18:07.743727,4718,183,667
Spokane,2020-07-26 20:18:07.743727,3165,46,228
Stevens,2020-07-26 20:18:07.743727,55,1,7
Thurston,2020-07-26 20:18:07.743727,538,6,54
Wahkiakum,2020-07-26 20:18:07.743727,5,0,0
Walla Walla,2020-07-26 20:18:07.743727,340,3,25
Whatcom,2020-07-26 20:18:07.743727,830,37,73
Whitman,2020-07-26 20:18:07.743727,59,0,1
Yakima,2020-07-26 20:18:07.743727,9557,194,668
Adams,2020-07-27 20:10:55.422491,363,1,17
Asotin,2020-07-27 20:10:55.422491,22,2,1
Benton,2020-07-27 20:10:55.422491,3203,106,300
Chelan,2020-07-27 20:10:55.422491,951,8,36
Clallam,2020-07-27 20:10:55.422491,79,0,3
Clark,2020-07-27 20:10:55.422491,1333,34,143
Columbia,2020-07-27 20:10:55.422491,12,0,2
Cowlitz,2020-07-27 20:10:55.422491,402,3,33
Douglas,2020-07-27 20:10:55.422491,665,6,27
Ferry,2020-07-27 20:10:55.422491,10,0,0
Franklin,2020-07-27 20:10:55.422491,3048,45,238
Garfield,2020-07-27 20:10:55.422491,2,0,0
Grant,2020-07-27 20:10:55.422491,1110,11,75
Grays Harbor,2020-07-27 20:10:55.422491,81,2,11
Island,2020-07-27 20:10:55.422491,225,11,33
Jefferson,2020-07-27 20:10:55.422491,50,0,10
King,2020-07-27 20:10:55.422491,14579,645,1987
Kitsap,2020-07-27 20:10:55.422491,542,3,51
Kittitas,2020-07-27 20:10:55.422491,319,12,17
Klickitat,2020-07-27 20:10:55.422491,91,3,9
Lewis,2020-07-27 20:10:55.422491,151,3,20
Lincoln,2020-07-27 20:10:55.422491,9,0,0
Mason,2020-07-27 20:10:55.422491,115,1,6
Okanogan,2020-07-27 20:10:55.422491,635,2,15
Pacific,2020-07-27 20:10:55.422491,30,1,3
Pend Oreille,2020-07-27 20:10:55.422491,36,0,4
Pierce,2020-07-27 20:10:55.422491,4556,121,541
San Juan,2020-07-27 20:10:55.422491,28,0,1
Skagit,2020-07-27 20:10:55.422491,753,20,78
Skamania,2020-07-27 20:10:55.422491,47,1,5
Snohomish,2020-07-27 20:10:55.422491,4788,183,667
Spokane,2020-07-27 20:10:55.422491,3319,50,229
Stevens,2020-07-27 20:10:55.422491,59,1,7
Thurston,2020-07-27 20:10:55.422491,564,6,56
Wahkiakum,2020-07-27 20:10:55.422491,5,0,0
Walla Walla,2020-07-27 20:10:55.422491,354,3,28
Whatcom,2020-07-27 20:10:55.422491,853,37,73
Whitman,2020-07-27 20:10:55.422491,59,0,1
Yakima,2020-07-27 20:10:55.422491,9700,197,666
Adams,2020-07-28 20:18:17.629599,363,1,17
Asotin,2020-07-28 20:18:17.629599,22,2,1
Benton,2020-07-28 20:18:17.629599,3203,106,300
Chelan,2020-07-28 20:18:17.629599,951,8,36
Clallam,2020-07-28 20:18:17.629599,79,0,3
Clark,2020-07-28 20:18:17.629599,1333,34,143
Columbia,2020-07-28 20:18:17.629599,12,0,2
Cowlitz,2020-07-28 20:18:17.629599,402,3,33
Douglas,2020-07-28 20:18:17.629599,665,6,27
Ferry,2020-07-28 20:18:17.629599,10,0,0
Franklin,2020-07-28 20:18:17.629599,3048,45,238
Garfield,2020-07-28 20:18:17.629599,2,0,0
Grant,2020-07-28 20:18:17.629599,1110,11,75
Grays Harbor,2020-07-28 20:18:17.629599,81,2,11
Island,2020-07-28 20:18:17.629599,225,11,33
Jefferson,2020-07-28 20:18:17.629599,50,0,10
King,2020-07-28 20:18:17.629599,14579,645,1987
Kitsap,2020-07-28 20:18:17.629599,542,3,51
Kittitas,2020-07-28 20:18:17.629599,319,12,17
Klickitat,2020-07-28 20:18:17.629599,91,3,9
Lewis,2020-07-28 20:18:17.629599,151,3,20
Lincoln,2020-07-28 20:18:17.629599,9,0,0
Mason,2020-07-28 20:18:17.629599,115,1,6
Okanogan,2020-07-28 20:18:17.629599,635,2,15
Pacific,2020-07-28 20:18:17.629599,30,1,3
Pend Oreille,2020-07-28 20:18:17.629599,36,0,4
Pierce,2020-07-28 20:18:17.629599,4556,121,541
San Juan,2020-07-28 20:18:17.629599,28,0,1
Skagit,2020-07-28 20:18:17.629599,753,20,78
Skamania,2020-07-28 20:18:17.629599,47,1,5
Snohomish,2020-07-28 20:18:17.629599,4788,183,667
Spokane,2020-07-28 20:18:17.629599,3319,50,229
Stevens,2020-07-28 20:18:17.629599,59,1,7
Thurston,2020-07-28 20:18:17.629599,564,6,56
Wahkiakum,2020-07-28 20:18:17.629599,5,0,0
Walla Walla,2020-07-28 20:18:17.629599,354,3,28
Whatcom,2020-07-28 20:18:17.629599,853,37,73
Whitman,2020-07-28 20:18:17.629599,59,0,1
Yakima,2020-07-28 20:18:17.629599,9700,197,666
Adams,2020-07-29 20:26:23.530104,368,2,19
Asotin,2020-07-29 20:26:23.530104,22,2,1
Benton,2020-07-29 20:26:23.530104,3306,106,302
Chelan,2020-07-29 20:26:23.530104,960,8,38
Clallam,2020-07-29 20:26:23.530104,86,0,3
Clark,2020-07-29 20:26:23.530104,1382,36,145
Columbia,2020-07-29 20:26:23.530104,13,0,3
Cowlitz,2020-07-29 20:26:23.530104,415,5,35
Douglas,2020-07-29 20:26:23.530104,681,6,29
Ferry,2020-07-29 20:26:23.530104,11,0,0
Franklin,2020-07-29 20:26:23.530104,3123,45,238
Garfield,2020-07-29 20:26:23.530104,2,0,0
Grant,2020-07-29 20:26:23.530104,1151,12,75
Grays Harbor,2020-07-29 20:26:23.530104,85,2,11
Island,2020-07-29 20:26:23.530104,231,12,33
Jefferson,2020-07-29 20:26:23.530104,50,0,10
King,2020-07-29 20:26:23.530104,14717,648,1997
Kitsap,2020-07-29 20:26:23.530104,564,4,54
Kittitas,2020-07-29 20:26:23.530104,320,14,16
Klickitat,2020-07-29 20:26:23.530104,99,3,9
Lewis,2020-07-29 20:26:23.530104,156,3,20
Lincoln,2020-07-29 20:26:23.530104,9,0,0
Mason,2020-07-29 20:26:23.530104,124,1,6
Okanogan,2020-07-29 20:26:23.530104,655,2,16
Pacific,2020-07-29 20:26:23.530104,31,2,3
Pend Oreille,2020-07-29 20:26:23.530104,36,0,4
Pierce,2020-07-29 20:26:23.530104,4626,124,557
San Juan,2020-07-29 20:26:23.530104,28,0,1
Skagit,2020-07-29 20:26:23.530104,760,20,79
Skamania,2020-07-29 20:26:23.530104,47,1,5
Snohomish,2020-07-29 20:26:23.530104,4853,184,675
Spokane,2020-07-29 20:26:23.530104,3422,54,243
Stevens,2020-07-29 20:26:23.530104,66,1,8
Thurston,2020-07-29 20:26:23.530104,570,7,56
Wahkiakum,2020-07-29 20:26:23.530104,5,0,0
Walla Walla,2020-07-29 20:26:23.530104,368,3,29
Whatcom,2020-07-29 20:26:23.530104,871,38,76
Whitman,2020-07-29 20:26:23.530104,82,0,1
Yakima,2020-07-29 20:26:23.530104,9758,203,673
Adams,2020-07-30 20:44:49.898051,374,3,20
Asotin,2020-07-30 20:44:49.898051,24,2,1
Benton,2020-07-30 20:44:49.898051,3434,107,307
Chelan,2020-07-30 20:44:49.898051,1019,9,40
Clallam,2020-07-30 20:44:49.898051,91,0,4
Clark,2020-07-30 20:44:49.898051,1411,39,149
Columbia,2020-07-30 20:44:49.898051,13,0,3
Cowlitz,2020-07-30 20:44:49.898051,426,5,36
Douglas,2020-07-30 20:44:49.898051,726,7,31
Ferry,2020-07-30 20:44:49.898051,12,0,0
Franklin,2020-07-30 20:44:49.898051,3210,46,244
Garfield,2020-07-30 20:44:49.898051,2,0,0
Grant,2020-07-30 20:44:49.898051,1186,12,77
Grays Harbor,2020-07-30 20:44:49.898051,92,2,11
Island,2020-07-30 20:44:49.898051,234,11,33
Jefferson,2020-07-30 20:44:49.898051,51,0,10
