state,stateAbbrev,date,Cases,Tested,Hospitalizations,Deaths,Age_Cases [0-9],Age_Cases [10-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80+],Age_Cases [Data not available],Age_Deaths [0-9],Age_Deaths [10-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80+],Age_Deaths [Data not available],Sex_Cases [Female],Sex_Cases [Male],Sex_Deaths [Female],Sex_Deaths [Male],Race_Cases [African-American],Race_Cases [Asian],Race_Cases [White],Race_Cases [Hispanic],Race_Cases [Other],Race_Cases [Unknown],Race_Deaths [African-American],Race_Deaths [Asian],Race_Deaths [White],Race_Deaths [Hispanic],Race_Deaths [Other],Race_Deaths [Unknown],pullTime,ActiveHospitalizations
Maryland,MD,2020-08-26,105486,1263171,14090,3717,3827,7365,18902,19710,17505,15608,10623,6482,5464,0.0,0.0,1.0,24.0,52.0,121.0,303.0,595.0,913.0,1704.0,4.0,55730,49756,1827.0,1890.0,33753.0,1946.0,23731.0,25497.0,,15932.0,1518.0,138.0,1580.0,423.0,,19.0,2020-08-26 20:08:44.434275,432.0
Maryland,MD,2020-08-27,106063,1275082,14141,3722,3859,7445,19033,19806,17586,15691,10668,6498,5477,0.0,0.0,1.0,24.0,52.0,121.0,303.0,597.0,914.0,1707.0,3.0,56043,50020,1829.0,1893.0,33923.0,1963.0,23909.0,25593.0,,16025.0,1522.0,138.0,1584.0,425.0,,14.0,2020-08-27 20:00:27.981228,412.0
Maryland,MD,2020-08-28,106664,1291270,14184,3736,3878,7534,19164,19908,17680,15781,10719,6516,5484,0.0,0.0,2.0,24.0,52.0,122.0,305.0,599.0,919.0,1710.0,3.0,56368,50296,1833.0,1903.0,34105.0,1981.0,24102.0,25669.0,,16129.0,1526.0,138.0,1588.0,425.0,,20.0,2020-08-28 19:51:29.493944,412.0
Maryland,MD,2020-08-29,107294,1304483,14217,3746,3901,7606,19322,20016,17752,15886,10772,6542,5497,0.0,0.0,2.0,24.0,52.0,122.0,305.0,603.0,920.0,1715.0,3.0,56696,50598,1837.0,1909.0,34300.0,1999.0,24338.0,25764.0,,16203.0,1534.0,139.0,1591.0,428.0,,15.0,2020-08-29 19:53:22.399503,387.0
Maryland,MD,2020-08-30,107791,1319238,14255,3752,3924,7675,19447,20088,17817,15950,10809,6573,5508,0.0,0.0,2.0,24.0,52.0,123.0,306.0,604.0,921.0,1717.0,3.0,56979,50812,1839.0,1913.0,34463.0,2015.0,24510.0,25848.0,,16234.0,1541.0,139.0,1593.0,429.0,,11.0,2020-08-30 19:45:13.456960,358.0
Maryland,MD,2020-08-31,108249,1330853,14303,3755,3952,7741,19556,20158,17894,16003,10846,6585,5514,0.0,0.0,2.0,24.0,52.0,123.0,307.0,604.0,922.0,1718.0,3.0,57237,51012,1842.0,1913.0,34611.0,2022.0,24667.0,25918.0,,16293.0,1541.0,139.0,1595.0,430.0,,11.0,2020-08-31 21:11:25.685683,377.0
Maryland,MD,2020-09-01,108863,1338917,14337,3761,3983,7841,19708,20258,17963,16085,10895,6607,5523,0.0,0.0,2.0,24.0,52.0,122.0,308.0,605.0,925.0,1720.0,3.0,57579,51284,1846.0,1915.0,35080.0,2061.0,25309.0,24872.0,,16499.0,1541.0,139.0,1596.0,431.0,,15.0,2020-09-01 19:52:11.089711,385.0
Maryland,MD,2020-09-02,109319,1345646,14351,3766,4020,7908,19825,20322,18011,16138,10927,6630,5538,0.0,0.0,2.0,24.0,52.0,122.0,308.0,606.0,926.0,1723.0,3.0,57810,51509,1847.0,1919.0,35232.0,2082.0,25541.0,24952.0,,16443.0,1543.0,139.0,1600.0,433.0,,12.0,2020-09-02 20:00:17.763307,370.0
Maryland,MD,2020-09-03,110012,1357605,14427,3778,4038,8029,19998,20410,18102,16239,10995,6654,5547,0.0,0.0,2.0,24.0,52.0,122.0,308.0,606.0,934.0,1728.0,2.0,58185,51827,1853.0,1925.0,35440.0,2104.0,25821.0,25021.0,,16529.0,1547.0,140.0,1604.0,433.0,,15.0,2020-09-03 20:48:09.698921,382.0
Maryland,MD,2020-09-04,110831,1371465,14473,3789,4061,8189,20202,20531,18225,16339,11052,6675,5557,0.0,0.0,2.0,24.0,52.0,122.0,308.0,607.0,937.0,1735.0,2.0,58637,52194,1861.0,1928.0,35652.0,2121.0,26162.0,25106.0,,16656.0,1546.0,141.0,1610.0,434.0,,17.0,2020-09-04 20:48:17.197249,395.0
Maryland,MD,2020-09-05,111607,1384455,14516,3796,4096,8328,20396,20632,18312,16443,11111,6711,5578,0.0,0.0,2.0,24.0,52.0,122.0,309.0,609.0,939.0,1737.0,2.0,59057,52550,1866.0,1930.0,35922.0,2132.0,26475.0,25186.0,,16731.0,1551.0,142.0,1615.0,434.0,,14.0,2020-09-05 20:06:32.158145,353.0
Maryland,MD,2020-09-06,112119,1393324,14573,3799,4110,8412,20538,20704,18370,16505,11155,6737,5588,0.0,0.0,2.0,24.0,52.0,122.0,310.0,609.0,940.0,1738.0,2.0,59349,52770,1868.0,1931.0,36059.0,2147.0,26702.0,25235.0,,16792.0,1553.0,142.0,1617.0,435.0,,12.0,2020-09-06 20:05:26.392356,341.0
Maryland,MD,2020-09-07,112883,1405189,14603,3804,4146,8565,20741,20801,18454,16586,11204,6780,5606,0.0,0.0,2.0,24.0,53.0,122.0,310.0,610.0,941.0,1740.0,2.0,59756,53127,1872.0,1932.0,36304.0,2163.0,26961.0,25307.0,,16929.0,1557.0,142.0,1618.0,435.0,,12.0,2020-09-07 20:21:58.128510,362.0
Maryland,MD,2020-09-08,113239,1410598,14636,3807,4156,8637,20820,20851,18502,16634,11235,6790,5614,0.0,0.0,2.0,24.0,53.0,122.0,310.0,612.0,942.0,1740.0,2.0,59912,53327,1873.0,1934.0,36403.0,2167.0,27104.0,25356.0,,16980.0,1557.0,142.0,1621.0,436.0,,11.0,2020-09-08 19:57:38.741239,365.0
Maryland,MD,2020-09-09,113575,1415522,14672,3816,4172,8699,20902,20906,18539,16675,11259,6805,5618,0.0,0.0,2.0,24.0,53.0,122.0,312.0,612.0,943.0,1746.0,2.0,60090,53485,1880.0,1936.0,36495.0,2176.0,27231.0,25397.0,,17027.0,1558.0,142.0,1622.0,438.0,,16.0,2020-09-09 20:02:40.065998,370.0
Maryland,MD,2020-09-10,114078,1423727,14706,3824,4188,8770,21018,20968,18596,16759,11306,6830,5643,0.0,0.0,2.0,24.0,53.0,122.0,312.0,615.0,944.0,1750.0,2.0,60359,53719,1883.0,1941.0,36636.0,2180.0,27439.0,25458.0,,17091.0,1563.0,142.0,1627.0,438.0,,13.0,2020-09-10 20:22:59.797487,358.0
Maryland,MD,2020-09-11,114724,1432876,14756,3828,4209,8888,21184,21057,18688,16832,11352,6854,5660,0.0,0.0,2.0,24.0,53.0,122.0,314.0,615.0,945.0,1751.0,2.0,60688,54036,1884.0,1944.0,36811.0,2192.0,27655.0,25534.0,,,1564.0,142.0,1631.0,439.0,,,2020-09-11 20:23:17.034778,369.0
Maryland,MD,2020-09-12,115533,1444452,14796,3836,4234,9075,21414,21139,18792,16915,11414,6878,5672,0.0,0.0,2.0,24.0,53.0,122.0,316.0,617.0,946.0,1754.0,2.0,61097,54436,1886.0,1950.0,36979.0,2210.0,28016.0,25644.0,,,1566.0,142.0,1635.0,440.0,,,2020-09-12 20:04:16.468827,361.0
Maryland,MD,2020-09-13,116110,1455845,14851,3838,4258,9183,21564,21211,18866,16990,11458,6895,5685,0.0,0.0,2.0,24.0,53.0,122.0,316.0,617.0,947.0,1755.0,2.0,61385,54725,1887.0,1951.0,37138.0,2217.0,28240.0,25706.0,,,1568.0,142.0,1637.0,441.0,,,2020-09-13 20:00:42.061844,351.0
Maryland,MD,2020-09-14,116646,1464863,14884,3839,4291,9288,21693,21279,18926,17067,11491,6916,5695,0.0,0.0,2.0,24.0,53.0,122.0,316.0,617.0,948.0,1755.0,2.0,61657,54989,1888.0,1951.0,37280.0,2222.0,28441.0,25766.0,,,1569.0,142.0,1638.0,441.0,,,2020-09-14 20:03:04.441436,347.0
Maryland,MD,2020-09-16,117888,1482958,14959,3855,4345,9518,21985,21457,19047,17222,11604,6981,5729,0.0,0.0,2.0,24.0,53.0,122.0,321.0,618.0,954.0,1759.0,2.0,62290,55598,1894.0,1961.0,37639.0,2249.0,28864.0,25940.0,,,1575.0,142.0,1643.0,442.0,,,2020-09-16 20:11:36.730885,347.0
Maryland,MD,2020-09-17,118519,1494342,15008,3861,4366,9614,22145,21563,19115,17323,11645,7010,5738,0.0,0.0,2.0,24.0,53.0,122.0,322.0,620.0,954.0,1762.0,2.0,62656,55863,1897.0,1964.0,37823.0,2259.0,29083.0,26042.0,,17849.0,1578.0,143.0,1647.0,443.0,,10.0,2020-09-17 20:13:23.497310,353.0
Maryland,MD,2020-09-18,119062,1504867,15070,3869,4389,9707,22285,21649,19184,17402,11677,7026,5743,0.0,0.0,2.0,24.0,53.0,122.0,322.0,621.0,958.0,1764.0,3.0,62953,56109,1901.0,1968.0,37992.0,2266.0,29269.0,26124.0,,17929.0,1583.0,143.0,1649.0,444.0,,10.0,2020-09-18 20:04:30.598674,347.0
Maryland,MD,2020-09-19,119744,1518804,15119,3876,4415,9831,22458,21751,19269,17482,11737,7046,5755,0.0,0.0,2.0,24.0,53.0,122.0,324.0,621.0,961.0,1767.0,2.0,63302,56442,1903.0,1973.0,38168.0,2272.0,29498.0,26212.0,,18085.0,1587.0,143.0,1650.0,444.0,,12.0,2020-09-19 20:55:36.484591,324.0
Maryland,MD,2020-09-20,120156,1529476,15119,3879,4435,9911,22548,21812,19305,17540,11773,7063,5769,0.0,0.0,2.0,24.0,53.0,122.0,324.0,622.0,962.0,1768.0,2.0,63534,56622,1906.0,1973.0,38261.0,2282.0,29686.0,26242.0,,,1589.0,143.0,1653.0,445.0,,,2020-09-20 19:29:08.937497,281.0
Maryland,MD,2020-09-21,120568,1537629,15171,3883,4448,9981,22649,21870,19370,17588,11805,7077,5780,0.0,0.0,2.0,24.0,53.0,122.0,324.0,625.0,963.0,1768.0,2.0,63735,56833,1906.0,1977.0,38370.0,2291.0,29837.0,26305.0,,,1589.0,143.0,1656.0,445.0,,,2020-09-21 20:41:02.282153,290.0
Maryland,MD,2020-09-22,120912,1544014,15237,3895,4462,10015,22735,21933,19407,17645,11839,7091,5785,0.0,0.0,2.0,24.0,53.0,123.0,324.0,629.0,964.0,1774.0,2.0,63901,57011,1910.0,1985.0,38481.0,2293.0,29945.0,26382.0,,18252.0,1592.0,144.0,1659.0,447.0,,13.0,2020-09-22 20:15:39.249072,309.0
Maryland,MD,2020-09-23,121297,1552105,15268,3902,4487,10075,22823,21983,19460,17704,11871,7103,5791,0.0,0.0,2.0,24.0,53.0,124.0,325.0,631.0,965.0,1776.0,2.0,64100,57197,1914.0,1988.0,38590.0,2295.0,30087.0,26458.0,,,1597.0,145.0,1662.0,448.0,,,2020-09-23 20:04:42.106610,332.0
Maryland,MD,2020-09-24,121800,1561579,15299,3909,4505,10140,22938,22064,19530,17784,11917,7122,5800,0.0,0.0,2.0,24.0,53.0,124.0,325.0,633.0,965.0,1781.0,2.0,64355,57445,1919.0,1990.0,38719.0,2305.0,30278.0,26527.0,,,1598.0,145.0,1664.0,448.0,,,2020-09-24 20:07:29.002449,349.0
Maryland,MD,2020-09-25,122359,1572484,15328,3917,4532,10212,23055,22163,19617,17864,11962,7145,5809,0.0,0.0,2.0,24.0,53.0,125.0,325.0,634.0,968.0,1784.0,2.0,64657,57702,1923.0,1994.0,38869.0,2326.0,30474.0,26621.0,,18453.0,1602.0,146.0,1668.0,449.0,,10.0,2020-09-25 20:12:30.825067,344.0
Maryland,MD,2020-09-26,122972,1584300,15382,3925,4558,10290,23195,22265,19691,17965,12026,7167,5815,0.0,0.0,2.0,24.0,53.0,125.0,326.0,637.0,969.0,1787.0,2.0,64965,58007,1923.0,2002.0,38994.0,2330.0,30635.0,26700.0,,18679.0,1603.0,147.0,1672.0,450.0,,11.0,2020-09-26 20:33:09.843532,347.0
Maryland,MD,2020-09-27,123403,1594363,15398,3935,4585,10361,23291,22328,19742,18021,12060,7183,5832,0.0,0.0,2.0,24.0,53.0,125.0,327.0,638.0,971.0,1793.0,2.0,65192,58211,1925.0,2010.0,39111.0,2334.0,30858.0,26766.0,,18669.0,1607.0,148.0,1671.0,450.0,,17.0,2020-09-27 19:54:54.478226,328.0
Maryland,MD,2020-09-28,123880,1603099,15428,3938,4616,10435,23386,22405,19804,18091,12096,7206,5841,0.0,0.0,2.0,24.0,53.0,125.0,327.0,638.0,973.0,1794.0,2.0,65433,58447,1928.0,2010.0,39257.0,2344.0,31027.0,26824.0,,18731.0,1610.0,149.0,1674.0,451.0,,12.0,2020-09-28 20:07:59.746355,315.0
Maryland,MD,2020-09-29,124311,1610310,15460,3946,4635,10483,23471,22484,19865,18153,12137,7231,5852,0.0,0.0,2.0,24.0,54.0,125.0,327.0,640.0,974.0,1798.0,2.0,65662,58649,1933.0,2013.0,39382.0,2354.0,31172.0,26902.0,,,1609.0,149.0,1679.0,452.0,,,2020-09-29 19:57:25.751812,344.0
Maryland,MD,2020-09-30,124725,1618007,15530,3949,4656,10521,23564,22550,19913,18223,12175,7262,5861,0.0,0.0,2.0,24.0,54.0,126.0,327.0,640.0,974.0,1800.0,2.0,65893,58832,1936.0,2013.0,39508.0,2361.0,31329.0,26961.0,,,1612.0,149.0,1682.0,453.0,,,2020-09-30 20:09:01.825033,334.0
Maryland,MD,2020-10-01,125510,1628200,15542,3949,4689,10681,23741,22654,20006,18322,12239,7303,5875,0.0,0.0,2.0,24.0,54.0,126.0,326.0,641.0,974.0,1800.0,2.0,66229,59281,1936.0,2013.0,39670.0,2371.0,31634.0,27061.0,,,1613.0,149.0,1683.0,453.0,,,2020-10-01 21:10:19.377743,331.0
Maryland,MD,2020-10-02,126222,1639785,15574,3950,4723,10781,23880,22770,20106,18419,12312,7342,5889,0.0,0.0,2.0,24.0,54.0,126.0,326.0,642.0,973.0,1801.0,2.0,66585,59637,1937.0,2013.0,39848.0,2383.0,31892.0,27164.0,,,1612.0,150.0,1686.0,454.0,,,2020-10-02 20:13:02.705513,323.0
Maryland,MD,2020-10-03,126819,1649725,15670,3957,4751,10858,24012,22859,20196,18490,12368,7374,5911,0.0,0.0,2.0,24.0,54.0,126.0,327.0,641.0,975.0,1806.0,2.0,66904,59915,1939.0,2018.0,39985.0,2395.0,32140.0,27257.0,,,1613.0,151.0,1686.0,453.0,,,2020-10-03 20:23:55.293705,323.0
Maryland,MD,2020-10-04,127290,1659847,15705,3958,4777,10918,24113,22934,20267,18546,12419,7394,5922,0.0,0.0,2.0,24.0,54.0,126.0,327.0,641.0,975.0,1807.0,2.0,67174,60116,1939.0,2019.0,40123.0,2403.0,32303.0,27325.0,,,1614.0,151.0,1689.0,454.0,,,2020-10-04 19:56:29.696647,320.0
Maryland,MD,2020-10-05,127791,1668317,15745,3961,4813,10981,24196,23012,20351,18606,12471,7424,5937,0.0,0.0,2.0,24.0,54.0,126.0,327.0,642.0,977.0,1807.0,2.0,67421,60370,1940.0,2021.0,40250.0,2412.0,32480.0,27404.0,,,1614.0,151.0,1691.0,454.0,,,2020-10-05 20:00:15.012405,338.0
Maryland,MD,2020-10-06,128204,1675227,15791,3967,4825,11030,24274,23085,20405,18677,12509,7443,5956,0.0,0.0,2.0,25.0,54.0,126.0,327.0,643.0,978.0,1810.0,2.0,67612,60592,1943.0,2024.0,40344.0,2423.0,32625.0,27473.0,,,1617.0,151.0,1694.0,454.0,,,2020-10-06 20:06:28.231685,360.0
Maryland,MD,2020-10-07,128664,1683904,15843,3973,4848,11082,24365,23156,20469,18749,12553,7475,5967,0.0,0.0,2.0,25.0,54.0,126.0,328.0,647.0,980.0,1809.0,2.0,67843,60821,1948.0,2025.0,40466.0,2431.0,32833.0,27532.0,,,1622.0,150.0,1697.0,454.0,,,2020-10-07 20:14:54.997370,391.0
Maryland,MD,2020-10-08,129425,1696299,15898,3979,4886,11199,24524,23259,20588,18853,12626,7507,5983,0.0,0.0,2.0,25.0,54.0,126.0,329.0,647.0,981.0,1813.0,2.0,68229,61196,1953.0,2026.0,40637.0,2456.0,33120.0,27663.0,,,1626.0,150.0,1700.0,454.0,,,2020-10-08 20:12:35.058992,403.0
Maryland,MD,2020-10-09,130159,1707367,15956,3990,4924,11283,24663,23393,20690,18965,12691,7550,6000,0.0,0.0,2.0,25.0,54.0,126.0,331.0,648.0,984.0,1818.0,2.0,68622,61537,1959.0,2031.0,40831.0,2469.0,33387.0,27768.0,,19714.0,1628.0,150.0,1704.0,455.0,,12.0,2020-10-09 20:00:29.700279,391.0
Maryland,MD,2020-10-11,131357,1731844,16058,3999,4983,11407,24882,23603,20854,19143,12842,7614,6029,0.0,0.0,2.0,25.0,54.0,126.0,333.0,650.0,985.0,1822.0,2.0,69272,62085,1960.0,2039.0,41124.0,2499.0,33858.0,27966.0,,,1635.0,150.0,1710.0,455.0,,,2020-10-11 19:59:14.268161,393.0
Maryland,MD,2020-10-13,132343,1751309,16150,4012,5048,11539,25068,23751,20994,19294,12937,7662,6050,0.0,0.0,2.0,25.0,54.0,127.0,334.0,652.0,988.0,1828.0,2.0,69773,62570,1967.0,2045.0,41453.0,2525.0,34191.0,28230.0,,,1637.0,150.0,1714.0,458.0,,,2020-10-13 19:47:44.942481,402.0
Maryland,MD,2020-10-14,132918,1760654,16215,4022,5072,11596,25174,23855,21074,19373,13005,7695,6074,0.0,0.0,2.0,25.0,54.0,127.0,337.0,652.0,992.0,1831.0,2.0,70076,62842,1974.0,2048.0,41603.0,2536.0,34416.0,28317.0,,,1640.0,150.0,1717.0,460.0,,,2020-10-14 20:01:31.621192,417.0
Maryland,MD,2020-10-15,133548,1770835,16255,4028,5104,11662,25277,23966,21175,19463,13076,7725,6100,0.0,0.0,2.0,25.0,55.0,127.0,337.0,653.0,992.0,1835.0,2.0,70407,63141,1975.0,2053.0,41767.0,2556.0,34640.0,28418.0,,,1642.0,150.0,1725.0,460.0,,,2020-10-15 21:38:26.415060,412.0
Maryland,MD,2020-10-16,134329,1782457,16288,4032,5156,11729,25415,24133,21291,19572,13149,7759,6125,0.0,0.0,2.0,25.0,55.0,127.0,338.0,654.0,992.0,1837.0,2.0,70785,63544,1978.0,2054.0,41929.0,2573.0,34928.0,28561.0,,,1642.0,150.0,1727.0,460.0,,,2020-10-16 20:39:48.396708,416.0
Maryland,MD,2020-10-17,135127,1794904,16352,4036,5203,11796,25581,24286,21419,19673,13232,7794,6143,0.0,0.0,2.0,25.0,55.0,127.0,339.0,654.0,991.0,1841.0,2.0,71186,63941,1981.0,2055.0,42152.0,2591.0,35207.0,28708.0,,,1644.0,150.0,1731.0,460.0,,,2020-10-17 20:04:58.380136,422.0
Maryland,MD,2020-10-18,135657,1806662,16435,4037,5222,11855,25674,24380,21508,19744,13288,7831,6155,0.0,0.0,2.0,25.0,55.0,127.0,340.0,654.0,991.0,1841.0,2.0,71477,64180,1981.0,2056.0,42282.0,2602.0,35417.0,28794.0,,20263.0,1646.0,150.0,1732.0,460.0,,6.0,2020-10-18 20:01:41.560835,433.0
Maryland,MD,2020-10-19,136154,1816722,16475,4041,5248,11904,25760,24472,21584,19815,13346,7853,6172,0.0,0.0,2.0,25.0,56.0,127.0,340.0,655.0,992.0,1842.0,2.0,71760,64394,1982.0,2059.0,42415.0,2610.0,35593.0,28879.0,,20335.0,1646.0,150.0,1733.0,460.0,,9.0,2020-10-19 20:12:20.733949,434.0
Maryland,MD,2020-10-20,136744,1824905,16516,4050,5274,11963,25866,24586,21669,19912,13403,7886,6185,0.0,0.0,2.0,25.0,56.0,127.0,340.0,657.0,993.0,1847.0,3.0,72070,64674,1986.0,2064.0,42567.0,2629.0,35784.0,28997.0,,20421.0,1645.0,150.0,1736.0,460.0,,15.0,2020-10-20 20:33:08.071362,464.0
Maryland,MD,2020-10-21,137236,1832007,16549,4058,5297,12013,25953,24675,21746,20000,13448,7913,6191,0.0,0.0,2.0,25.0,56.0,127.0,340.0,658.0,996.0,1851.0,3.0,72327,64909,1991.0,2067.0,42702.0,2632.0,35946.0,29085.0,,,1648.0,150.0,1743.0,460.0,,,2020-10-21 19:52:21.527666,463.0
Maryland,MD,2020-10-22,137979,1843355,16603,4070,5347,12086,26093,24802,21873,20106,13523,7948,6201,0.0,0.0,2.0,25.0,56.0,127.0,340.0,660.0,1000.0,1857.0,3.0,72699,65280,1995.0,2075.0,42907.0,2644.0,36207.0,29229.0,,,1651.0,152.0,1748.0,461.0,,,2020-10-22 19:08:52.013703,458.0
Maryland,MD,2020-10-23,138691,1855294,16650,4078,5376,12168,26232,24916,21983,20210,13593,7988,6225,0.0,0.0,2.0,25.0,57.0,128.0,340.0,659.0,1002.0,1862.0,3.0,73061,65630,2000.0,2078.0,43093.0,2663.0,36460.0,29349.0,,,1652.0,152.0,1752.0,461.0,,,2020-10-23 20:01:51.350950,458.0
Maryland,MD,2020-10-24,139487,1866927,16705,4091,5428,12241,26393,25061,22096,20334,13672,8022,6240,0.0,0.0,2.0,25.0,58.0,130.0,341.0,659.0,1006.0,1867.0,3.0,73457,66030,2005.0,2086.0,43306.0,2673.0,36753.0,29513.0,,,1657.0,152.0,1755.0,463.0,,,2020-10-24 19:54:54.294075,455.0
Maryland,MD,2020-10-25,140279,1878929,16757,4096,5466,12326,26546,25206,22233,20440,13746,8057,6259,0.0,0.0,2.0,25.0,58.0,132.0,341.0,660.0,1007.0,1869.0,2.0,73882,66397,2008.0,2088.0,43513.0,2687.0,37023.0,29634.0,,,1661.0,152.0,1760.0,465.0,,,2020-10-25 20:05:50.784282,446.0
Maryland,MD,2020-10-26,140844,1888371,16819,4099,5492,12366,26681,25322,22320,20511,13794,8082,6276,0.0,0.0,2.0,25.0,58.0,133.0,341.0,660.0,1009.0,1869.0,2.0,74183,66661,2009.0,2090.0,43642.0,2695.0,37220.0,29727.0,,,1662.0,152.0,1762.0,466.0,,,2020-10-26 20:02:18.627003,456.0
Maryland,MD,2020-10-27,141741,1898094,16859,4108,5519,12450,26854,25493,22470,20646,13884,8129,6296,0.0,0.0,2.0,25.0,58.0,133.0,341.0,663.0,1011.0,1873.0,2.0,74616,67125,2011.0,2097.0,43861.0,2712.0,37519.0,29910.0,,,1663.0,152.0,1767.0,466.0,,,2020-10-27 20:09:31.570644,471.0
Maryland,MD,2020-10-28,142425,1905952,16910,4115,5553,12514,26984,25604,22576,20732,13961,8173,6328,0.0,0.0,2.0,25.0,58.0,133.0,341.0,664.0,1014.0,1876.0,2.0,74975,67450,2013.0,2102.0,44035.0,2730.0,37775.0,30054.0,,,1671.0,152.0,1770.0,466.0,,,2020-10-28 20:03:20.945704,501.0
Maryland,MD,2020-10-29,143387,1916848,16971,4127,5611,12601,27162,25795,22721,20866,14046,8232,6353,0.0,0.0,2.0,25.0,58.0,133.0,341.0,665.0,1020.0,1881.0,2.0,75483,67904,2017.0,2110.0,44289.0,2750.0,38112.0,30255.0,,21301.0,1672.0,153.0,1777.0,466.0,,16.0,2020-10-29 20:09:47.389485,502.0
Maryland,MD,2020-10-30,144314,1926518,17023,4137,5663,12699,27323,25943,22871,21007,14131,8291,6386,0.0,0.0,2.0,25.0,58.0,133.0,342.0,666.0,1024.0,1885.0,2.0,75984,68330,2022.0,2115.0,44529.0,2766.0,38458.0,30430.0,,21418.0,1673.0,153.0,1786.0,466.0,,16.0,2020-10-30 19:41:00.322899,513.0
