state,stateAbbrev,date,Cases,Deaths,Tests,Sex_Cases [Male],Sex_Cases [Female],Sex_Cases [Unknown],Age_Cases [0-1],Age_Cases [1-9],Age_Cases [10-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-64],Age_Cases [65-69],Age_Cases [70-74],Age_Cases [75-79],Age_Cases [80+],Race_Cases [Asian],Race_Cases [Black],Race_Cases [Hispanic],Race_Cases [Other],Race_Cases [Unknown],Race_Cases [White],pullTime,Sex_Deaths [Female],Sex_Deaths [Male],Sex_Deaths [Unknown],Age_Cases [Unknown],Age_Deaths [0-1],Age_Deaths [1-9],Age_Deaths [10-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-64],Age_Deaths [65-69],Age_Deaths [70-74],Age_Deaths [75-79],Age_Deaths [80+],Age_Deaths [Unknown],Race_Deaths [Asian],Race_Deaths [Black],Race_Deaths [Hispanic],Race_Deaths [Other],Race_Deaths [White],Race_Deaths [Unknown],Sex_Cases [Gender],Sex_Deaths [Gender],"Age_Cases [Age
Grouping]","Age_Deaths [Age
Grouping]",Race_Cases [Race/Ethnicity],Race_Deaths [Race/Ethnicity],Age_Cases [Pending DOB],Sex_Cases [Total],Sex_Deaths [Total],Age_Cases [Total],Age_Deaths [Grand Total],Race_Cases [Total],Race_Deaths [Total ]
Texas,TX,2020-10-30,893451,17934,8080012.0,36665.0,,866.0,,1029.0,2676.0,11286.0,12217.0,11025.0,9616.0,3565.0,2428.0,1452.0,938.0,1478.0,,9533.0,22986.0,273.0,6694.0,17595.0,2020-10-30 19:41:06.363329,,10350.0,0.0,,,6.0,19.0,111.0,331.0,997.0,2187.0,1716.0,2097.0,2347.0,2216.0,5903.0,0.0,,1949.0,9925.0,96.0,5626.0,12.0,,,,,,,15.0,57928.0,17934.0,57928.0,17934.0,57928.0,17934.0
Texas,TX,2020-10-31,900596,18024,8154233.0,,,,,,,,,,,,,,,,,,,,,,2020-10-31 20:06:50.120934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-01,900596,18024,8154233.0,,,,,,,,,,,,,,,,,,,,,,2020-11-01 20:20:47.397304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-02,909257,18097,8291703.0,,,,,,,,,,,,,,,,,,,,,,2020-11-02 19:55:10.894914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-03,916773,18194,8328869.0,,,,,,,,,,,,,,,,,,,,,,2020-11-03 20:18:36.331762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-04,926400,18320,8404187.0,,,,,,,,,,,,,,,,,,,,,,2020-11-04 20:16:39.810025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-05,934994,18453,8483728.0,,,,,,,,,,,,,,,,,,,,,,2020-11-05 21:25:39.366699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-06,942539,18589,8553766.0,37505.0,,872.0,,1068.0,2780.0,11585.0,12535.0,11257.0,9822.0,3627.0,2461.0,1483.0,948.0,1504.0,,9737.0,23455.0,283.0,6966.0,18001.0,2020-11-06 20:00:58.272525,,10741.0,0.0,,,7.0,21.0,114.0,344.0,1029.0,2246.0,1779.0,2172.0,2424.0,2303.0,6146.0,0.0,,2013.0,10209.0,99.0,5918.0,12.0,,,,,,,15.0,59299.0,18589.0,59299.0,18589.0,59299.0,18589.0
Texas,TX,2020-11-07,950549,18700,8634990.0,,,,,,,,,,,,,,,,,,,,,,2020-11-07 20:51:30.323314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-08,956234,18743,8734857.0,,,,,,,,,,,,,,,,,,,,,,2020-11-08 20:26:30.296760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-09,963019,18769,8849942.0,,,,,,,,,,,,,,,,,,,,,,2020-11-09 19:19:45.694611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-10,974230,18863,8901839.0,,,,,,,,,,,,,,,,,,,,,,2020-11-10 19:43:48.255905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-11,985380,18863,9007171.0,,,,,,,,,,,,,,,,,,,,,,2020-11-11 19:45:56.952492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-12,993841,19147,9033217.0,,,,,,,,,,,,,,,,,,,,,,2020-11-12 20:45:52.956293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-13,1004983,19320,9153369.0,38067.0,,874.0,,1084.0,2834.0,11830.0,12729.0,11398.0,9929.0,3657.0,2482.0,1495.0,955.0,1519.0,,9865.0,23718.0,287.0,7156.0,18258.0,2020-11-13 21:16:48.963082,,11146.0,0.0,,,7.0,22.0,116.0,355.0,1055.0,2314.0,1851.0,2254.0,2522.0,2401.0,6419.0,0.0,,2081.0,10547.0,103.0,6225.0,12.0,,,,,,,15.0,60144.0,19320.0,60144.0,19320.0,60144.0,19320.0
Texas,TX,2020-11-14,1014160,19470,9235382.0,,,,,,,,,,,,,,,,,,,,,,2020-11-14 19:59:28.214980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-15,1014160,19470,9235382.0,,,,,,,,,,,,,,,,,,,,,,2020-11-15 19:58:38.402616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-16,1027889,19579,9371443.0,,,,,,,,,,,,,,,,,,,,,,2020-11-16 19:54:50.095294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-17,1039513,19696,9441069.0,,,,,,,,,,,,,,,,,,,,,,2020-11-17 20:34:35.366023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-18,1039513,19696,9441069.0,,,,,,,,,,,,,,,,,,,,,,2020-11-18 20:00:06.873605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-19,1060883,20113,9656497.0,,,,,,,,,,,,,,,,,,,,,,2020-11-19 20:32:16.259618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-11-20,1072698,20296,9785083.0,39167.0,,884.0,,1113.0,2909.0,12267.0,13148.0,11645.0,10105.0,3713.0,2514.0,1521.0,969.0,1541.0,,10097.0,24266.0,298.0,7432.0,18716.0,2020-11-20 21:16:41.398918,,11740.0,1.0,,,8.0,22.0,121.0,369.0,1100.0,2404.0,1947.0,2365.0,2650.0,2533.0,6773.0,0.0,,2169.0,10969.0,105.0,6666.0,12.0,,,,,,,15.0,61684.0,20296.0,61684.0,20296.0,61684.0,20296.0
