County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Tillamook,2020-06-25 20:02:15.468732,7,0,1112
Umatilla,2020-06-25 20:02:15.468732,341,4,2823
Union,2020-06-25 20:02:15.468732,297,0,1379
Wallowa,2020-06-25 20:02:15.468732,8,0,392
Wasco,2020-06-25 20:02:15.468732,55,1,2032
Washington,2020-06-25 20:02:15.468732,1175,20,28200
Wheeler,2020-06-25 20:02:15.468732,0,0,114
Yamhill,2020-06-25 20:02:15.468732,103,8,4713
Baker,2020-06-26 19:41:00.041713,1,0,-
Benton,2020-06-26 19:41:00.041713,80,5,-
Clackamas,2020-06-26 19:41:00.041713,665,24,-
Clatsop,2020-06-26 19:41:00.041713,48,0,-
Columbia,2020-06-26 19:41:00.041713,27,0,-
Coos,2020-06-26 19:41:00.041713,39,0,-
Crook,2020-06-26 19:41:00.041713,9,0,-
Curry,2020-06-26 19:41:00.041713,7,0,-
Deschutes,2020-06-26 19:41:00.041713,159,0,-
Douglas,2020-06-26 19:41:00.041713,38,0,-
Gilliam,2020-06-26 19:41:00.041713,0,0,-
Grant,2020-06-26 19:41:00.041713,1,0,-
Harney,2020-06-26 19:41:00.041713,1,0,-
Hood River,2020-06-26 19:41:00.041713,88,0,-
Jackson,2020-06-26 19:41:00.041713,98,0,-
Jefferson,2020-06-26 19:41:00.041713,91,0,-
Josephine,2020-06-26 19:41:00.041713,28,1,-
Klamath,2020-06-26 19:41:00.041713,111,0,-
Lake,2020-06-26 19:41:00.041713,12,0,-
Lane,2020-06-26 19:41:00.041713,122,3,-
Lincoln,2020-06-26 19:41:00.041713,305,2,-
Linn,2020-06-26 19:41:00.041713,136,9,-
Malheur,2020-06-26 19:41:00.041713,73,1,-
Marion,2020-06-26 19:41:00.041713,1400,41,-
Morrow,2020-06-26 19:41:00.041713,48,2,-
Multnomah,2020-06-26 19:41:00.041713,2028,68,-
Polk,2020-06-26 19:41:00.041713,134,12,-
Sherman,2020-06-26 19:41:00.041713,1,0,-
Tillamook,2020-06-26 19:41:00.041713,7,0,-
Umatilla,2020-06-26 19:41:00.041713,363,4,-
Union,2020-06-26 19:41:00.041713,309,1,-
Wallowa,2020-06-26 19:41:00.041713,8,0,-
Wasco,2020-06-26 19:41:00.041713,58,1,-
Washington,2020-06-26 19:41:00.041713,1214,20,-
Wheeler,2020-06-26 19:41:00.041713,0,0,-
Yamhill,2020-06-26 19:41:00.041713,109,8,-
Baker,2020-06-27 21:30:42.875731,1,0,-
Benton,2020-06-27 21:30:42.875731,80,5,-
Clackamas,2020-06-27 21:30:42.875731,665,24,-
Clatsop,2020-06-27 21:30:42.875731,48,0,-
Columbia,2020-06-27 21:30:42.875731,27,0,-
Coos,2020-06-27 21:30:42.875731,39,0,-
Crook,2020-06-27 21:30:42.875731,9,0,-
Curry,2020-06-27 21:30:42.875731,7,0,-
Deschutes,2020-06-27 21:30:42.875731,159,0,-
Douglas,2020-06-27 21:30:42.875731,38,0,-
Gilliam,2020-06-27 21:30:42.875731,0,0,-
Grant,2020-06-27 21:30:42.875731,1,0,-
Harney,2020-06-27 21:30:42.875731,1,0,-
Hood River,2020-06-27 21:30:42.875731,88,0,-
Jackson,2020-06-27 21:30:42.875731,98,0,-
Jefferson,2020-06-27 21:30:42.875731,91,0,-
Josephine,2020-06-27 21:30:42.875731,28,1,-
Klamath,2020-06-27 21:30:42.875731,111,0,-
Lake,2020-06-27 21:30:42.875731,12,0,-
Lane,2020-06-27 21:30:42.875731,122,3,-
Lincoln,2020-06-27 21:30:42.875731,305,2,-
Linn,2020-06-27 21:30:42.875731,136,9,-
Malheur,2020-06-27 21:30:42.875731,73,1,-
Marion,2020-06-27 21:30:42.875731,1400,41,-
Morrow,2020-06-27 21:30:42.875731,48,2,-
Multnomah,2020-06-27 21:30:42.875731,2028,68,-
Polk,2020-06-27 21:30:42.875731,134,12,-
Sherman,2020-06-27 21:30:42.875731,1,0,-
Tillamook,2020-06-27 21:30:42.875731,7,0,-
Umatilla,2020-06-27 21:30:42.875731,363,4,-
Union,2020-06-27 21:30:42.875731,309,1,-
Wallowa,2020-06-27 21:30:42.875731,8,0,-
Wasco,2020-06-27 21:30:42.875731,58,1,-
Washington,2020-06-27 21:30:42.875731,1214,20,-
Wheeler,2020-06-27 21:30:42.875731,0,0,-
Yamhill,2020-06-27 21:30:42.875731,109,8,-
Baker,2020-06-28 20:05:42.343890,1,0,-
Benton,2020-06-28 20:05:42.343890,80,5,-
Clackamas,2020-06-28 20:05:42.343890,665,24,-
Clatsop,2020-06-28 20:05:42.343890,48,0,-
Columbia,2020-06-28 20:05:42.343890,27,0,-
Coos,2020-06-28 20:05:42.343890,39,0,-
Crook,2020-06-28 20:05:42.343890,9,0,-
Curry,2020-06-28 20:05:42.343890,7,0,-
Deschutes,2020-06-28 20:05:42.343890,159,0,-
Douglas,2020-06-28 20:05:42.343890,38,0,-
Gilliam,2020-06-28 20:05:42.343890,0,0,-
Grant,2020-06-28 20:05:42.343890,1,0,-
Harney,2020-06-28 20:05:42.343890,1,0,-
Hood River,2020-06-28 20:05:42.343890,88,0,-
Jackson,2020-06-28 20:05:42.343890,98,0,-
Jefferson,2020-06-28 20:05:42.343890,91,0,-
Josephine,2020-06-28 20:05:42.343890,28,1,-
Klamath,2020-06-28 20:05:42.343890,111,0,-
Lake,2020-06-28 20:05:42.343890,12,0,-
Lane,2020-06-28 20:05:42.343890,122,3,-
Lincoln,2020-06-28 20:05:42.343890,305,2,-
Linn,2020-06-28 20:05:42.343890,136,9,-
Malheur,2020-06-28 20:05:42.343890,73,1,-
Marion,2020-06-28 20:05:42.343890,1400,41,-
Morrow,2020-06-28 20:05:42.343890,48,2,-
Multnomah,2020-06-28 20:05:42.343890,2028,68,-
Polk,2020-06-28 20:05:42.343890,134,12,-
Sherman,2020-06-28 20:05:42.343890,1,0,-
Tillamook,2020-06-28 20:05:42.343890,7,0,-
Umatilla,2020-06-28 20:05:42.343890,363,4,-
Union,2020-06-28 20:05:42.343890,309,1,-
Wallowa,2020-06-28 20:05:42.343890,8,0,-
Wasco,2020-06-28 20:05:42.343890,58,1,-
Washington,2020-06-28 20:05:42.343890,1214,20,-
Wheeler,2020-06-28 20:05:42.343890,0,0,-
Yamhill,2020-06-28 20:05:42.343890,109,8,-
Baker,2020-06-29 22:57:24.055578,1,0,477
Benton,2020-06-29 22:57:24.055578,82,5,6050
Clackamas,2020-06-29 22:57:24.055578,716,24,21914
Clatsop,2020-06-29 22:57:24.055578,49,0,2319
Columbia,2020-06-29 22:57:24.055578,29,0,2641
Coos,2020-06-29 22:57:24.055578,40,0,2624
Crook,2020-06-29 22:57:24.055578,10,0,1024
Curry,2020-06-29 22:57:24.055578,7,0,660
Deschutes,2020-06-29 22:57:24.055578,172,0,10392
Douglas,2020-06-29 22:57:24.055578,40,0,4863
Gilliam,2020-06-29 22:57:24.055578,0,0,93
Grant,2020-06-29 22:57:24.055578,1,0,185
Harney,2020-06-29 22:57:24.055578,1,0,385
Hood River,2020-06-29 22:57:24.055578,88,0,2252
Jackson,2020-06-29 22:57:24.055578,109,0,11712
Jefferson,2020-06-29 22:57:24.055578,100,0,1894
Josephine,2020-06-29 22:57:24.055578,32,1,4022
Klamath,2020-06-29 22:57:24.055578,116,0,4894
Lake,2020-06-29 22:57:24.055578,15,0,243
Lane,2020-06-29 22:57:24.055578,145,3,22369
Lincoln,2020-06-29 22:57:24.055578,310,2,4534
Linn,2020-06-29 22:57:24.055578,140,9,6666
Malheur,2020-06-29 22:57:24.055578,101,1,1356
Marion,2020-06-29 22:57:24.055578,1489,43,16423
Morrow,2020-06-29 22:57:24.055578,61,1,449
Multnomah,2020-06-29 22:57:24.055578,2167,69,48638
Polk,2020-06-29 22:57:24.055578,139,12,2794
Sherman,2020-06-29 22:57:24.055578,1,0,141
Tillamook,2020-06-29 22:57:24.055578,9,0,1187
Umatilla,2020-06-29 22:57:24.055578,482,4,3404
Union,2020-06-29 22:57:24.055578,327,1,1537
Wallowa,2020-06-29 22:57:24.055578,8,0,417
Wasco,2020-06-29 22:57:24.055578,68,1,2119
Washington,2020-06-29 22:57:24.055578,1315,20,30766
Wheeler,2020-06-29 22:57:24.055578,0,0,118
Yamhill,2020-06-29 22:57:24.055578,115,8,5086
Baker,2020-06-30 20:16:52.977483,1,0,485
Benton,2020-06-30 20:16:52.977483,82,5,6073
Clackamas,2020-06-30 20:16:52.977483,733,24,22116
Clatsop,2020-06-30 20:16:52.977483,48,0,2334
Columbia,2020-06-30 20:16:52.977483,29,0,2661
Coos,2020-06-30 20:16:52.977483,41,0,2662
Crook,2020-06-30 20:16:52.977483,10,0,1033
Curry,2020-06-30 20:16:52.977483,7,0,667
Deschutes,2020-06-30 20:16:52.977483,181,0,10495
Douglas,2020-06-30 20:16:52.977483,40,0,4904
Gilliam,2020-06-30 20:16:52.977483,0,0,93
Grant,2020-06-30 20:16:52.977483,1,0,188
Harney,2020-06-30 20:16:52.977483,1,0,396
Hood River,2020-06-30 20:16:52.977483,88,0,2263
Jackson,2020-06-30 20:16:52.977483,114,0,11830
Jefferson,2020-06-30 20:16:52.977483,112,0,1919
Josephine,2020-06-30 20:16:52.977483,33,1,4057
Klamath,2020-06-30 20:16:52.977483,119,0,4930
Lake,2020-06-30 20:16:52.977483,17,0,244
Lane,2020-06-30 20:16:52.977483,151,3,22620
Lincoln,2020-06-30 20:16:52.977483,312,2,4546
Linn,2020-06-30 20:16:52.977483,144,9,6684
Malheur,2020-06-30 20:16:52.977483,108,1,1406
Marion,2020-06-30 20:16:52.977483,1514,46,16514
